Title,Author,Original Price,Discounted Price,URL,Image,Summary,Book_Title,Book_Author,Translator,Editor,Publisher,ISBN,Edition,Number Of Pages,Country,Language
নাম দিয়েছি ভালোবাসা (নির্বাচিত ভালোবাসার কবিতা) সিডি,নাজমুল আহসান,"",TK. 60,https://rokomari.com//book/91467/name-diyesi-valobasa--nirbachito-valobasar-kobita--cd,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/imgrok_20141122_91467.gif,"",নাম দিয়েছি ভালোবাসা (নির্বাচিত ভালোবাসার কবিতা) সিডি,নাজমুল আহসান, , ,আবৃত্তিমেলা, , , ,বাংলাদেশ,বাংলা
শোকে সংগ্রামে (আবৃত্তি) সিডি,নাজমুল আহসান,"",TK. 60,https://rokomari.com//book/91621/shoke-songrame--abritti--cd,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/imgrok_20141214_91621.gif,"",শোকে সংগ্রামে (আবৃত্তি) সিডি,নাজমুল আহসান, , ,আবৃত্তিমেলা, , , ,বাংলাদেশ,বাংলা
"সামরিক কবি, বেসামরিক প্রেমিক",আখতারুজ্জামান আজাদ ,TK. 142,TK. 125,https://rokomari.com//book/66996/samorik-kobi--besamorik-premik,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/imgrok0602_66996.GIF,"","সামরিক কবি,বেসামরিক প্রেমিক",আখতারুজ্জামান আজাদ, , ,আবৃত্তিমেলা, , , ,বাংলাদেশ,বাংলা
"শুদ্ধ হব, হবে?",আখতারুজ্জামান আজাদ ,TK. 70,TK. 63,https://rokomari.com//book/66997/shudho-hobo--hobe-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/imgrok0602_66997.GIF,"","শুদ্ধ হব,হবে?",আখতারুজ্জামান আজাদ, , ,আবৃত্তিমেলা, , , ,বাংলাদেশ,বাংলা
অনুপ্রাস,মাহিদুল ইসলাম,TK. 250,TK. 213,https://rokomari.com//book/12917/onupras,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/img_12917.gif,"",অনুপ্রাস,মাহিদুল ইসলাম, , ,আবৃত্তিমেলা, , , ,বাংলাদেশ,বাংলা
ঐকতান,মাহিদুল ইসলাম,TK. 250,TK. 213,https://rokomari.com//book/12918/oikotan,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/img_12918.gif,"",ঐকতান,মাহিদুল ইসলাম, , ,আবৃত্তিমেলা, , , ,বাংলাদেশ,বাংলা
পত্রপুট,মাহিদুল ইসলাম,"",TK. 250,https://rokomari.com//book/12919/potroput,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/img_12919.gif,"",পত্রপুট,মাহিদুল ইসলাম, , ,আবৃত্তিমেলা, , , ,বাংলাদেশ,বাংলা
বিলুপ্ত হৃদয় আরক্ত প্রেম,মাহিদুল ইসলাম,TK. 150,TK. 132,https://rokomari.com//book/12920/bilupto-hridoy-arokto-prem,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/img_12920.gif,"",বিলুপ্ত হৃদয় আরক্ত প্রেম,মাহিদুল ইসলাম, , ,আবৃত্তিমেলা, , , ,বাংলাদেশ,বাংলা
আবৃত্তি নির্মিতি,মাহিদুল ইসলাম,TK. 250,TK. 213,https://rokomari.com//book/12921/abbritti-nirmti,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/img_12921.gif,"",আবৃত্তি নির্মিতি,মাহিদুল ইসলাম, , ,আবৃত্তিমেলা, , , ,বাংলাদেশ,বাংলা
জল হাওয়ার লেখা,সুকান্ত গুপ্ত,"",TK. 50,https://rokomari.com//book/103617/jol-haowar-lekha,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/93972dd44_103617.jpg,"",জল হাওয়ার লেখা, , , ,আবৃত্তিমেলা, , , ,বাংলাদেশ,বাংলা
আমার পরম পিতার মুখ,ওমর আনোয়ার প্রিন্স ,TK. 100,TK. 90,https://rokomari.com//book/105309/amar-porom-pitar-mukh,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",আমার পরম পিতার মুখ, , , ,আবৃত্তিমেলা, , , ,বাংলাদেশ,বাংলা
