Title,Author,Original Price,Discounted Price,URL,Image,Summary,Book_Title,Book_Author,Translator,Editor,Publisher,ISBN,Edition,Number Of Pages,Country,Language
Cardiovascular Fluid Dynamics 1,ডি. এইচ. বারগেল,"","TK. 8,702",https://rokomari.com//book/151461/cardiovascular-fluid-dynamics-1,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",Cardiovascular Fluid Dynamics 1,D. H. Bergel, , ,"Academic Press,USA",9780124314672, ,388,USA,English
Marine Natural Products: Chemical and Biological Perspectives (Volume 5) ,পল স্কেউয়ার,"","TK. 5,836",https://rokomari.com//book/186588/marine-natural-products--chemical-and-biological-perspectives--volume-5--,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/121cbaab2_186588.jpg,"",Marine Natural Products: Chemical and Biological Perspectives (Volume 5) , , ,Paul Scheuer,"Academic Press,USA",9781483246246,"1st Edition,2014",458,USA,English
Marine Natural Products: Chemical and Biological Perspectives (Volume 5),পল জ. ছেউয়ের,"","TK. 5,836",https://rokomari.com//book/186388/marine-natural-products--chemical-and-biological-perspectives--volume-5-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/c7630c92d_186388.jpg,"",Marine Natural Products: Chemical and Biological Perspectives (Volume 5),Paul J. Scheuer, , ,"Academic Press,USA",9781483246246,"1st Published,2014",458,USA,English
Theory of Fertility Decline ,জন কাল্ডওয়েল,"","TK. 11,625",https://rokomari.com//book/109456/theory-of-fertility-decline,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/17705a2ca_109456.jpg,"",Theory of Fertility Decline,John Caldwell , , ,"Academic Press,USA",9780121550806,1982,1503,USA,English
Animal Behavior,মাইকেল ডি ব্রেড,"","TK. 7,280",https://rokomari.com//book/122736/animal-behavior,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/fdcc5ce0b194_122736.jpg,"",Animal Behavior,"Michael D Breed,Janice Moore", , ,"Academic Press,USA",9780128015322,"1st Edition,2015", ,USA,English
Fundamentals of Forensic Science,ম্যাক্স এম হুক,"","TK. 12,610",https://rokomari.com//book/122759/fundamentals-of-forensic-science,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/b49439ddd_122759.jpg,"",Fundamentals of Forensic Science,"Max M Houck,Jay Siege", , ,"Academic Press,USA",9780128000373,"3rd Edition,2015",736,USA,English
Genetic Control of Malaria and Dengue,জ্যাক এন. এডেলম্যান,"","TK. 4,480",https://rokomari.com//book/122764/genetic-control-of-malaria-and-dengue,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/b7847d5039a4_122764.jpg,"",Genetic Control of Malaria and Dengue,Zach N. Adelman, , ,"Academic Press,USA",9780128002469,"1st  Edition,2015",486,USA,English
Genetic Enhancement of Rabi Sorghum: Adapting the Indian Durras,জে.ভি. পাতিল,"","TK. 5,040",https://rokomari.com//book/122765/genetic-enhancement-of-rabi-sorghum--adapting-the-indian-durras,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/c8aa2e111724_122765.jpg,"",Genetic Enhancement of Rabi Sorghum: Adapting the Indian Durras,"J.V. Patil,Sanjana Reddy", , ,"Academic Press,USA",9780128019269,"1st  Edition,2015",248,USA,English
Antimicrobial Resistance and Food Safety: Methods and Techniques,চিন ইউ চেন,"","TK. 5,280",https://rokomari.com//book/122771/antimicrobial-resistance-and-food-safety--methods-and-techniques,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/44fcab444b04_122771.jpg,"",Antimicrobial Resistance and Food Safety: Methods and Techniques,"Chin-Yi Chen,Xianghe Yan", ,Charlene R Jackson,"Academic Press,USA",9780128012147,"1st Edition,2015",452,USA,English
Hair Analysis in Clinical and Forensic Toxicology,মার্কো ভিঞ্চি,"","TK. 3,920",https://rokomari.com//book/122773/hair-analysis-in-clinical-and-forensic-toxicology,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/f12c00d66134_122773.jpg,"",Hair Analysis in Clinical and Forensic Toxicology,"Marco Vincenti,Pascal Kintz,Alberto Salomone", , ,"Academic Press,USA",9780128017005,"1st  Edition,2015",392,USA,English
Aquatic Functional Biodiversity: An Ecological and Evolutionary Perspective,অ্যান্ডরে বেলগ্রানো,"","TK. 11,513",https://rokomari.com//book/122781/aquatic-functional-biodiversity--an-ecological-and-evolutionary-perspective,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/1e3a72b4f4b4_122781.jpg,"",Aquatic Functional Biodiversity: An Ecological and Evolutionary Perspective,"Andrea Belgrano,Guy Woodward", ,Ute Jacob,"Academic Press,USA",9780124170155,"1st Edition,2015",312,USA,English
Efficient Livestock Handling: The Practical Application of Animal Welfare and Behavioral Science,ডন হুগলান্ড,"","TK. 3,680",https://rokomari.com//book/122806/efficient-livestock-handling--the-practical-application-of-animal-welfare-and-behavioral-science,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/d5e4ccd57264_122806.jpg,"",Efficient Livestock Handling: The Practical Application of Animal Welfare and Behavioral Science,"Don Hoglund,Bonnie V. Beave", , ,"Academic Press,USA",9780124186705,"1st  Edition,2015",230,USA,English
Laboratory Animal Anaesthesia,পল ফ্লেকনেল,"","TK. 7,280",https://rokomari.com//book/122827/laboratory-animal-anaesthesia,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/717aac116104_122827.jpg,"",Laboratory Animal Anaesthesia,Paul Flecknell, , ,"Academic Press,USA",9780128000366,"4th  Edition,2015",350,USA,English
Descriptive Inorganic Chemistry,কাথলেন এ হাউজ,"","TK. 10,160",https://rokomari.com//book/122882/descriptive-inorganic-chemistry,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/f05e15fc9954_122882.jpg,"",Descriptive Inorganic Chemistry,"Kathleen A House,James E House", , ,"Academic Press,USA",9780128046975,"3rd edition,2015",440,USA,English
Electric Renewable Energy Systems ,মুহাম্মাদ এইচ রশিদ ,"","TK. 6,560",https://rokomari.com//book/122895/electric-renewable-energy-systems-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/3aa59254ecc4_122895.png,"",Electric Renewable Energy Systems ,Muhammad H. Rashid, , ,"Academic Press,USA",9780128044483,"1st Edition,2015",450,USA,English
Encyclopedia of Agriculture and Food Systems,নিল কে ভ্যান আলফেন,"","TK. 31,360",https://rokomari.com//book/122902/encyclopedia-of-agriculture-and-food-systems,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/253d4bdc8b14_122902.jpg,"",Encyclopedia of Agriculture and Food Systems,Neal K Van Alfen, , ,"Academic Press,USA",9780444525123,"2nd edition,2014",464,USA,English
