Title,Author,Original Price,Discounted Price,URL,Summary,Book_Title,Book_Author,Translator,Editor,Publisher,ISBN,Edition,Number Of Pages,Country,Language
জাল হাদীছের কবলে রাসূলুল্লাহ (সা.)-এর ছালাত,মুযাফফর বিন মুহসিন,"",TK. 130,https://rokomari.com//book/121837/jal-hadeesher-kabole-rasulullah--sm---er-salat,"আমলের মাধ্যমে ব্যক্তি পরিচয় ফুটে উঠে ও আল্লাহর পরীক্ষায় উত্তীর্ণ হয়। সৎ আমল করা একজন মুসলিম ব্যক্তির প্রধান দায়িত্ব। আর সেজন্যই তাকে সৃষ্টি করা হয়েছে। কিন্তু অধিকাংশ মানুষ আমলের বিশুদ্ধতা যাচাইয়ের প্রয়োজন মনে করে না। যে আমল সমাজে চালু আছে সেটাই করে থাকে। এমনকি আল্লাহর নৈকট্য লাভের সর্বশ্রেষ্ঠ মাধ্যম ছালাতের ক্ষেত্রেও একই অবস্থা। অথচ সমাজে প্রচলিত ছালাতের হুকুম-আহকাম অধিকাংশই ত্রুটিপূর্ণ। ওযূ, তায়াম্মুম, ছালাতের ওয়াক্ত, আযান, ইক্বামত, ফরয, নফল, বিতর, তাহাজ্জুদ, তারাবীহ, জুম‘আ, জানাযা ও ঈদের ছালাত সবই বিদ‘আত মিশ্রিত এবং যঈফ ও জাল হাদীছে আক্রান্ত। ফলে রাসূলুল্লাহ (ছাঃ)-এর ছালাতের সাথে আমাদের ছালাতের কোন মিল নেই। বিশেষ করে জাল ও যঈফ হাদীছের করালগ্রাসে রাসূল (ছাঃ)-এর ছালাত সমাজ থেকে প্রায় বিলীন হয়ে গেছে। ফলে সমাজ জীবনে প্রচলিত ছালাতের কোন প্রভাব নেই। নিয়মিত মুছল্লী হওয়া সত্ত্বেও অনেকে নানা অবৈধ কর্মকান্ড ও দুর্নীতির সাথে জড়িত।

সমাজে মসজিদ ও মুছল্লীর সংখ্যা দিন দিন বৃদ্ধি পেলেও দুর্নীতি, সন্ত্রাস, সূদ-ঘুষ, চুরি-ডাকাতি, যুলুম-নির্যাতন, রাহাজানি কমছে না। অথচ আল্লাহ তা‘আলার দ্ব্যর্থহীন ঘোষণা হল, ‘নিশ্চয়ই ছালাত অন্যায় ও অশ্লীল কর্ম থেকে বিরত রাখে’ (সূরা আনকাবূত ৪৫)। অতএব মুছল্লীর সংখ্যা বৃদ্ধি পেলে যাবতীয় অন্যায়-অপকর্ম বন্ধ হবে, নিঃসন্দেহে কমে যাবে এটাই আল্লাহর দাবী। কিন্তু সমাজে প্রচলিত ছালাতের কোন কার্যকারিতা নেই কেন? এ জন্য মৌলিক তিনটি কারণ চিহ্নিত করা যায়।

(এক) খুলূছিয়াতে ত্রুটি রয়েছে। অর্থাৎ ছালাত আদায় করি কিন্তু একমাত্র আল্লাহর উদ্দেশ্যে তা পেশ করি না। অধিকাংশ মুছল্লী মসজিদেও সিজদা করে মাযারেও সিজদা করে, রাসূল (ছাঃ)-কেও সম্মান করে পীরেরও পূজা করে, ইসলামকেও মানে অন্যান্য তরীক্বা ও বিজাতীয় মতবাদেরও অনুসরণ করে। এই আক্বীদায় ছালাত আদায় করলে ছালাত হবে না। একনিষ্ঠচিত্তে একমাত্র আল্লাহর জন্যই সবকিছু করতে হবে, তাঁরই আইন ও বিধান মানতে হবে।[1]

(দুই) রাসূল (ছাঃ)-এর পদ্ধতিতে ছালাত আদায় না করা। অধিকাংশ মুছল্লীই তার ছালাত সম্পর্কে উদাসীন। তিনি যত জ্ঞানী ও বুদ্ধিমানই হোন লক্ষ্য করেন না, তার ছালাত রাসূল (ছাঃ)-এর তরীক্বায় হচ্ছে কি-না। অথচ ছালাতের প্রধান শর্তই হল, রাসূল (ছাঃ) যেভাবে ছালাত আদায় করেছেন ঠিক সেভাবেই আদায় করা।[2] এ ব্যাপারে শরী‘আতের নির্দেশ অত্যন্ত কঠোর। আল্লাহ তা‘আলা বলেন, ‘সুতরাং দুর্ভোগ ঐ সমস্ত মুছল্লীদের জন্য, যারা ছালাতের ব্যাপারে উদাসীন, যারা লোক দেখানোর জন্য আদায় করে’ (মাঊন ৪-৬)। রাসূলুল্লাহ (ছাঃ) বলেন, ‘ক্বিয়ামতের মাঠে বান্দার সর্বপ্রথম হিসাব নেওয়া হবে ছালাতের। ছালাতের হিসাব শুদ্ধ হলে তার সমস্ত আমলই সঠিক হবে আর ছালাতের হিসাব ঠিক না হলে, তার সমস্ত আমল বরবাদ হবে’।[3]

জনৈক ছাহাবী রাসূল (ছাঃ)-এর উপস্থিতিতে তিনবার ছালাত আদায় করেন। কিন্তু রাসূল (ছাঃ) তিনবারই তাকে বলেন, তুমি ফিরে যাও এবং ছালাত আদায় কর, তুমি ছালাত আদায় করোনি।[4] ঐ ব্যক্তি তিন তিনবার অতি সাবধানে ছালাত আদায় করেও রাসূল (ছাঃ)-এর পদ্ধতি মোতাবেক না হওয়ায় তা ছালাত বলে গণ্য হয়নি। উক্ত হাদীছ থেকে বুঝা যায় যে, রাসূল (ছাঃ)-এর তরীক্বায় ছালাত আদায় না করলে কা‘বা ঘরে ছালাত আদায় করেও কোন লাভ নেই। তাঁর ছাহাবী হলেও ছালাত হবে না। অন্য হাদীছে এসেছে, হুযায়ফাহ (রাঃ) জনৈক ব্যক্তিকে ছালাতে রুকূ-সিজদা পূর্ণভাবে আদায় করতে না দেখে ছালাত শেষে তাকে ডেকে বললেন, তুমি ছালাত আদায় করনি। যদি তুমি এই অবস্থায় মারা যাও, তাহলে মুহাম্মাদ (ছাঃ)-কে যে ফিতরাতের উপর আল্লাহ সৃষ্টি করেছেন সেই ফিতরাতের বাইরে মারা যাবে।[5] অন্য বর্ণনায় রয়েছে, হুযায়ফা (রাঃ) তাকে প্রশ্ন করলে বলে, সে প্রায় ৪০ বছর যাবৎ ছালাত আদায় করছে। তখন তিনি উক্ত মন্তব্য করেন।[6] অতএব বছরের পর বছর ছালাত আদায় করেও কোন লাভ হবে না, যদি তা রাসূল (ছাঃ)-এর পদ্ধতি মোতাবেক না হয়।

(তিন) হারাম উপার্জন। ‘হালাল রূযী ইবাদত কবুলের পূর্বশর্ত’ কথাটি সমাজে প্রচলিত থাকলেও এর প্রতি কোন ভ্রুক্ষেপ নেই। প্রত্যেককে লক্ষ্য করা উচিৎ তার খাদ্য, পানীয়, পোশাক, আসবাবপত্র হালাল না হারাম। কারণ হারাম মিশ্রিত কোন ইবাদত আল্লাহ কবুল করেন না। রাসূল (ছাঃ) বলেন, ‘নিশ্চয় আল্লাহ পবিত্র। তিনি পবিত্র বস্ত্ত ছাড়া কবুল করেন না’।কারো খাদ্য, পানীয় ও পোশাক হারাম হলে তার প্রার্থনা গ্রহণযোগ্য হবে না।[7] তাই দুর্নীতি, আত্মসাৎ, প্রতারণার মাধ্যমে অর্জিত সম্পদ এবং সূদ-ঘুষ, জুয়া-লটারী ও অবৈধ পন্থায় প্রাপ্ত অর্থ ভক্ষণ করে ইবাদত করলে কোন লাভ হবে না।

মুছল্লী উক্ত বিষয়গুলো সম্পর্কে সচেতন না হওয়ার কারণে ছালাত যেমন পরিশুদ্ধ হয় না, তেমনি মুছল্লীর মাঝে একাগ্রতা ও মনোযোগ আসে না। ফলে ব্যক্তি ও সমাজ জীবনে ছালাতের কার্যকর কোন প্রভাবও পড়ে না।

অতএব আল্লাহর নিকট গ্রহণযোগ্য হবে এমন ছালাত আদায় করতে চাইলে ছালাতকে অবশ্যই পরিশুদ্ধ করতে হবে এবং একমাত্র রাসূল (ছাঃ)-এর দেখানো পদ্ধতিতেই আদায় করতে হবে। অন্য সব পদ্ধতি বর্জন করতে হবে। কারণ অন্য কোন তরীক্বায় ছালাত আদায় করলে কখনোই একাগ্রতা ও খুশূ-খুযূ সৃষ্টি হবে না। আর আল্লাহভীতি ও একনিষ্ঠতা স্থান না পেলে মুছল্লী পাপাচার থেকে মুক্ত হতে পারবে না (সূরা বাক্বারাহ ২৩৮; মুমিনূন ২)। মনে রাখতে হবে যে, এই ছালাত যদি দুনিয়াবী জীবনে কোন প্রভাব না ফেলে, তাহলে পরকালীন জীবনে কখনোই প্রভাব ফেলতে পারবে না। তাই দলীয় গোঁড়ামী, মাযহাবী ভেদাভেদ, তরীক্বার বিভক্তিকে পিছনে ফেলে রাসূল (ছাঃ)-এর ছালাতের পদ্ধতি অাঁকড়ে ধরতে হবে। ফলে সকল মুছল্লী একই নীতিতে ঐক্যবদ্ধ হয়ে ছালাত আদায়ের সুযোগ পাবে। পুনরায় মুসলিম ঐক্য প্রতিষ্ঠিত হবে। ছালাতের মাধ্যমেই সমাজ দুর্নীতি মুক্ত হবে। ব্যক্তি, পরিবার ও সমাজ জীবনে শান্তির ফল্গুধারা প্রবাহিত হবে।

চরম দুর্ভাগ্যের বিষয় হল, দেশে প্রচলিত ইসলামী দলগুলো সমাজের সংস্কার কামনা করে এবং এ জন্য আন্দোলন-সংগ্রাম করে থাকে। কিন্তু তাদের মাঝে রাসূল (ছাঃ)-এর ছালাত নেই। মাযহাব ও তরীক্বার নামে যে ছালাত প্রচলিত আছে, সেই ছালাতই তারা আদায় করে যাচ্ছে। ইসলামী আন্দোলনের কর্মী হিসাবে তারা যদি নিজেদের ব্যক্তি ও সামাজিক জীবনে মাযহাবী গোঁড়ামীর উপর রাসূল (ছাঃ)-এর আদর্শকে প্রাধান্য দিতে না পারেন, তাহলে জাতীয় জীবনে তারা কিভাবে ইসলামের শাসন কায়েম করবেন? বিশেষ করে রাসূল (ছাঃ)-এর তরীক্বায় ছালাত আদায় করতে তো সামাজিক ও প্রশাসনিক কোন বাধা নেই। তাহলে মূল কারণ কী? মাযহাবী আক্বীদা ও মায়াবন্ধনই মূল কারণ।

এক্ষণে রাসূল (ছাঃ)-এর ছালাত প্রতিষ্ঠার জন্য কিভাবে কার্যকর পদক্ষেপ গ্রহণ করা যায়, সে সম্পর্কে আলোচনা করা প্রয়োজন। আমাদের একান্ত বিশ্বাস নিম্নোক্ত ব্যক্তিবর্গ বলিষ্ঠ ভূমিকা পালন করলে ইনশাআল্লাহ কাঙ্ক্ষিত সাফল্য পাওয়া যাবে।",জাল হাদীছের কবলে রাসূলুল্লাহ (সা.)-এর ছালাত,মুযাফফর বিন মুহসিন, , ,আছ-ছিরাত প্রকাশনী, ,"2nd Edition,2013",400,বাংলাদেশ,বাংলা
ভ্রান্ত আক্বীদা বনাম সঠিক আক্বীদা,মুযাফফর বিন মুহসিন,"",TK. 60,https://rokomari.com//book/122628/vranto-akida-bonam-sothik-akida,"""ভ্রান্ত আক্বীদা বনাম সঠিক আক্বীদা"" বইয়ের ভূমিকা:

মুসলিম জীবন আক্বীদার উপর প্রতিষ্ঠিত। যার আকীদা সঠিক নয়, সে একেবারেই ব্যর্থ মানুষ। কারণ বিশুদ্ধ আক্বীদা মুমিন জীবনের মূল চাবিকাঠি ও মুসলিম উম্মাহর সুদৃঢ় ভিত্তি। সেই বিশ্বাসের আলােকেই মানুষ তার সকল কর্ম সম্পাদন করে থাকে। কিন্তু মুসলিমদের অধিকাংশই ভ্রান্ত আক্বীদা পােষণ করে থাকে। কেউ কুফরী আক্বীদা লালন করছে, কেউ শিরকী, কেউ বিদআতী। এভাবে মনের অজান্তেই তারা ঈমান ও আমল ধ্বংস করে দিচ্ছে। আক্বীদার ব্যাপারে তারা খুবই উদাসীন। তাদের কাছে আক্বীদার কোন গুরুত্বই নেই। কেউ রাজনীতির নামে শিরকী সংস্কৃতির পূজা করছে। যেমন শহীদ বেদী, স্মৃতি সৌধ, খাম্বা, প্রতিকৃতি, শহীদ মিনার, শিখা চিরন্তন, শিখা অনির্বাণ, পতাকা ও দিবসকে শ্রদ্ধা জানাচ্ছে, ফুল দিয়ে ভক্তি প্রদর্শন করছে, দাঁড়িয়ে নীরবতা পালন করছে, কুর্নিশ করে শ্রদ্ধা নিবেদন করছে। গণতন্ত্র, সমাজতন্ত্র, ধর্মনিরপেক্ষতাবাদ, জাতীয়তাবাদ ইত্যাদি শিরকী মতবাদের পূজা করে ইসলামকে অপমান করছে এবং আল্লাহ প্রদত্ত অভ্রান্ত দ্বীনের মর্যাদাকে পদদলিত করছে। উক্ত শিরকী স্তম্ভগুলােকে রাজনীতির মােড়কে মাথা নত করে নগ্নপদে সম্মান জানানাে হচ্ছে। এই জড়বস্তুগুলাে আজ বড়ই ভাগ্যবান। বিধর্মীদের মূর্তিপূজার চেয়েও এগুলাে অত্যধিক জঘন্য কর্ম। কারণ এগুলাের কোন অঙ্গ-প্রত্যঙ্গ নেই। কিন্তু তাদের দেবতার হাত, পা, চোখ, কান, মাথা আছে। অন্যদিকে কেউ ধর্মের নামে শিরকী আস্তানার ইবাদত করছে। কবর, খানকা, মাযার, দরগাহ, গাছ, পাথর, পুকুর, মাছ, কুমির, কচ্ছপ, কবুতর, পীর, ফকীর, বুযুর্গ প্রভৃতি মিথ্যা মাবুদের পূজা করছে। তারা মুখে লা ইলাহা ইল্লাল্লাহু’ উচ্চারণ করলেও প্রাণহীন দেহের মত ঈমানশূন্য ধড়ে পরিণত হয়েছে। তারা উক্ত পবিত্র বাক্যের সাথে চরম মুনাফেক্বী করছে। এরা মুসলিম নামের কলঙ্ক, বিশ্বাসঘাতক। এরা মক্কায় যায় আল্লাহর ইবাদত করতে, আর মন্দিরে যায় মা কালী-দুর্গার প্রশংসাগাথা বর্ণনা করতে।",ভ্রান্ত আক্বীদা বনাম সঠিক আক্বীদা,মুযাফফর বিন মুহসিন, , ,আছ-ছিরাত প্রকাশনী, ,"1st Published,2015",173,বাংলাদেশ,বাংলা
সোনামণিদের ইসলামী আদর্শ শিক্ষা,আব্দুর রশীদ,"",TK. 20,https://rokomari.com//book/100659/sonamonider-islami-adorsho-shikkha,"",সোনামণিদের ইসলামী আদর্শ শিক্ষা,আব্দুর রশীদ, , ,Ach-Chirat Prokashani, ,"1st,2013",48,Bangladesh,Bangla & Arabic
সমাজে প্রচলিত শিরকসমূহ,বযলুর রহমান,"",TK. 150,https://rokomari.com//book/189194/somaje-procholito-shiroksomuho,"",সমাজে প্রচলিত শিরকসমূহ,বযলুর রহমান, , ,আছ-ছিরাত প্রকাশনী, ,"1st Published,2018",288,বাংলাদেশ,বাংলা
তারাবীহর রাক’আত সংখ্যা  ,মুযাফফর বিন মুহসিন,"",TK. 40,https://rokomari.com//book/53643/tarabihar-rak-at-songkhya,"",তারাবীহর রাক’আত সংখ্যা,মুযাফফর বিন মুহসিন, , ,আছ-ছিরাত প্রকাশনী, ,"2nd edition,2010", ,বাংলাদেশ,বাংলা
কুরআন ও ছহীহ হাদীছের আলোকে জান্নাত ও জাহান্নাম,বযলুর রহমান,"",TK. 130,https://rokomari.com//book/153376/quran-o-saheeh-haseether-aloke-jannat-o-jahannam,"",কুরআন ও ছহীহ হাদীছের আলোকে জান্নাত ও জাহান্নাম,বযলুর রহমান, , ,আছ-ছিরাত প্রকাশনী, ,"1st Published,2014",336,বাংলাদেশ,বাংলা
ভ্রান্তির বেড়াজালে ইক্বামতে দ্বীন,মুযাফফর বিন মুহসিন,"",TK. 150,https://rokomari.com//book/152906/vrantir-berajale-iqamate-deen,"",ভ্রান্তির বেড়াজালে ইক্বামতে দ্বীন,মুযাফফর বিন মুহসিন, , ,আছ-ছিরাত প্রকাশনী, ,"2nd Edition,2014",287,বাংলাদেশ,বাংলা
তাবলীগের স্বরূপ,মুযাফফর বিন মুহসিন,"",TK. 100,https://rokomari.com//book/211357/tabliger-sorup,"",তাবলীগের স্বরূপ,মুযাফফর বিন মুহসিন, , ,Ach-Chirat Prokashani, ,"1st Published,2021",264,Bangladesh,Bangla & Arabic
পরিবারকে জাহান্নামের আগুন থেকে বাঁচান,শাইখ মুহাম্মাদ সালেহ আল মুনাজ্জিদ,"",TK. 40,https://rokomari.com//book/211320/poribarke-jahannamer-agun-theke-bachan,মহান আল্লাহ তায়ালা প্রত্যেককে জাহান্নামের আগুন থেকে বাঁচতে বলেছেন। সাথে সাথে পরিবারের প্রত্যেক সদস্যকেও জাহান্নাম থেকে বাাঁচাতে বলেছেন। উক্ত বইয়ে সেই বিষয়েই আলোচনা করা হয়েছে।,পরিবারকে জাহান্নামের আগুন থেকে বাঁচান,শাইখ মুহাম্মাদ সালেহ আল মুনাজ্জিদ, , ,Ach-Chirat Prokashani, ,"1st Published,2018",96,Bangladesh,Bangla & Arabic
ছালাতে একাগ্রতা অর্জনের ৩৩ উপায়,শাইখ মুহাম্মাদ সালেহ আল মুনাজ্জিদ,"",TK. 40,https://rokomari.com//book/211270/salate-ekagrota-orjoner-33-upay,আমাদের অনেকেই নিয়মিত ছালাত আদায় করি কিন্তু আমাদের মনোযোগ ছালাতে থাকে না। আমরা ছালাতে দাড়িয়ে দুনিয়াবী চিন্তা-ভাবনা করে থাকি। ছালাতে একাগ্রতা অর্জনের কিছু উপায় হাদীছে বর্ণিত হয়েছে। যা এই বইয়ে লিপিবদ্ধ।,ছালাতে একাগ্রতা অর্জনের ৩৩ উপায়,শাইখ মুহাম্মাদ সালেহ আল মুনাজ্জিদ,ড. মুযাফফর বিন মহসিন, ,Ach-Chirat Prokashani, ,"1st Published,2021",88,Bangladesh,Bangla & Arabic
