Title,Author,Original Price,Discounted Price,URL,Image,Summary,Book_Title,Book_Author,Translator,Editor,Publisher,ISBN,Edition,Number Of Pages,Country,Language
From Java to C,গ্লেন রোওই,"","TK. 6,298",https://rokomari.com//book/187427/from-java-to-c,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/7827a961d_187427.jpg,"",From Java to C,Glenn Rowe, , ,Addison Wesley,9780321155726,"1st edition,2004",688,India,English
Peopleware: Productive Projects and Teams,টম ডিমারকো,"","TK. 4,807",https://rokomari.com//book/137834/peopleware--productive-projects-and-teams,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/88ed44870af4_137834.jpg,"",Peopleware: Productive Projects and Teams,"Tom DeMarco,Timothy Lister", , ,Addison Wesley,9780321934116,"3rd Edition,2013",250,India,English
Memory: Surprising New Insights into How We Remember and Why We Forget,এলিজাবেথ এফ লোফটাস,"","TK. 11,448",https://rokomari.com//book/161954/memory--surprising-new-insights-into-how-we-remember-and-why-we-forget,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/ac8402d8d_161954.jpg,"",Memory: Surprising New Insights into How We Remember and Why We Forget,Elizabeth F. Loftus, , ,Addison Wesley,9780201044737,"1st Edition,1981",207,India,English
Analog VLSI and Neural Systems (Addison-Wesley VLSI Systems Series),সার্ভার মেয়াদ,"","TK. 19,710",https://rokomari.com//book/186409/analog-vlsi-and-neural-systems--addison-wesley-vlsi-systems-series-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/7b3518acc_186409.jpg,"",Analog VLSI and Neural Systems (Addison-Wesley VLSI Systems Series),Carver Mead, , ,Addison Wesley,9780201059922, ,400,India,English
"The Art of Computer Programming, Volumes 1-4 (Box Set)",ডোনাল্ড ই নাথ ,"","TK. 30,020",https://rokomari.com//book/160029/the-art-of-computer-programming--volumes-1-4--box-set-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/18f9d9f15_160029.jpg,"","The Art of Computer Programming,Volumes 1-4 (Box Set)",Donald E. Knuth , , ,Addison Wesley,9780321751041,"3rd Revised edition,2011",3168,India,English
"Algorithms in C  , Parts 1-4: Fundamentals, Data Structure, Sorting, Searching",রবার্ট সেডজউইক ,"","TK. 9,212",https://rokomari.com//book/160036/algorithms-in-c----parts-1-4--fundamentals--data-structure--sorting--searching,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/d23fe0fb8_160036.jpg,"","Algorithms in C,Parts 1-4: Fundamentals,Data Structure,Sorting,Searching",Robert Sedgewick, , ,Addison Wesley,9780201350883,"3rd edition,1998",752,India,English
"Design of Structural Elements: Concrete, Steelwork, Masonry and Timber Designs to British Standards and Eurocodes",চানক্য রায়া,"",TK. 871,https://rokomari.com//book/167198/design-of-structural-elements--concrete--steelwork--masonry-and-timber-designs-to-british-standards-and-eurocodes,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"","Design of Structural Elements: Concrete,Steelwork,Masonry and Timber Designs to British Standards and Eurocodes",Chanakya Arya, , ,Addison Wesley,9780201065503,"1st edition,1985",616,India,English
Financial ,চার্লিস টি. হর্নগ্রেন,"","TK. 23,844",https://rokomari.com//book/92681/financial,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/rokimg_20150115_92681.gif,"",Financial,"Charles T. Horngren,Harrison Walter T. Jr.,M. Suzanne Oliver", , ,Addison Wesley,9780132497947,3rd Edition,772,India,English
Software Engineering ,ইয়ান সোমারভিল  ,"","TK. 30,906",https://rokomari.com//book/92972/software-engineering,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/rokimg_20150126_92972.gif,"Intended for a sophomore/junior level course in software engineering.

The ninth edition of Software Engineering presents a broad perspective of software engineering, focusing on the processes and techniques fundamental to the creation of reliable, software systems. Increased coverage of agile methods and software reuse, along with coverage of 'traditional' plan-driven software engineering, gives readers the most up-to-date view of the field currently available. Practical case studies, a full set of easy-to-access supplements, and extensive web resources make teaching the course easier than ever.

The book is now structured into four parts:

1: Introduction to Software Engineering
2: Dependability and Security
3: Advanced Software Engineering
4: Software Engineering Management",Software Engineering,Ian Sommerville, , ,Addison Wesley,9780137035151,"9th Edition,2010",792,India,English
The C Book: Featuring The Ansi C Standard ,মাইক বেনান ,"","TK. 28,099",https://rokomari.com//book/92992/the-c-book--featuring-the-ansi-c-standard,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/rokimg_20150126_92992.gif,"",The C Book: Featuring The Ansi C Standard,Mike Banahan , , ,Addison Wesley,9780201544336,"2nd Edition,1991",336,India,English
Computer Architecture And Design ,এ জে ভ্যান ডি গৌর ,"","TK. 4,712",https://rokomari.com//book/93000/computer-architecture-and-design,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/rokimg_20150126_93000.gif,"The aim of this text is to provide a foundation for understanding, evaluating and comparing the design principles incorporated in widely-used, state-of-the-art microprocessors and minicomputers. Practical examples are drawn primarily from the Motorola MC68000 family, but also from the DEC VAX-11 and other architectures, enabling students to understand real designs and the trade-off between speed, memory, and cost. Programming examples are mainly given using the Pascal language. Excellent coverage is given of the operating system interface and of RISC and multiprocessors. Some knowledge of programming languages and an understanding of computer hardware at an introductory level is required. Due to its flexible structure, the text can be used in courses with a variety of emphases.",Computer Architecture And Design,A.J. Van De Goor , , ,Addison Wesley,9780201182415,"1st Edition,1989",633,India,English
The Art of Computer Programming ,ডোনাল্ড ই নাথ ,"","TK. 4,270",https://rokomari.com//book/93019/the-art-of-computer-programming,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/rokimg_20150126_93019.gif,"This multivolume work on the analysis of algorithms has long been recognized as the definitive description of classical computer science. The three complete volumes published to date already comprise a unique and invaluable resource in programming theory and practice. Countless readers have spoken about the profound personal influence of Knuth's writings. Scientists have marveled at the beauty and elegance of his analysis, while practicing programmers have successfully applied his ""cookbook"" solutions to their day-to-day problems. All have admired Knuth for the breadth, clarity, accuracy, and good humor found in his books. To begin the fourth and later volumes of the set, and to update parts of the existing three, Knuth has created a series of small books called fascicles, which will be published at regular intervals. Each fascicle will encompass a section or more of wholly new or revised material. Ultimately, the content of these fascicles will be rolled up into the comprehensive, final versions of each volume, and the enormous undertaking that began in 1962 will be complete. Volume 4, Fascicle 0 This fascicle introduces what will become by far the longest chapter in The Art of Computer Programming, a chapter on combinatorial algorithms that will itself fill three full-sized volumes. Combinatorial algorithms, informally, are techniques for the high-speed manipulation of extremely large quantities of objects, such as permutations or the elements of graphs. Combinatorial patterns or arrangements solve vast numbers of practical problems, and modern approaches to dealing with them often lead to methods that are more than a thousand times faster than the straightforward procedures of yesteryear. This fascicle primes the pump for everything that follows in the chapter, discussing first the essential ideas of combinatorics and then introducing fundamental ideas for dealing efficiently with 0s and 1s inside a machine, including Boolean ba",The Art of Computer Programming,Donald E. Knuth , , ,Addison Wesley,9780321534965,"1st Edition,2008",216,India,English
C   Primer  ,স্ট্যানলি বি. লিপম্যান,"","TK. 6,409",https://rokomari.com//book/54791/c---primer,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/img150110_54791.gif,"",C   Primer,Stanley B. Lippman, , ,Addison Wesley,9780201548488,"2nd Edition,1991",630,India,English
