Title,Author,Original Price,Discounted Price,URL,Image,Summary,Book_Title,Book_Author,Translator,Editor,Publisher,ISBN,Edition,Number Of Pages,Country,Language
নূরানী তা’লীমুল কা’য়িদা ও সহজ তাজবীদ শিক্ষা ,মাওলানা মোহাম্মদ মোরশেদ আলম ফরিদপুরী,TK. 50,TK. 33,https://rokomari.com//book/122421/nurani-talimul-kayida-o-sohoj-tajbid-shikkhi,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/8c240832b8d4_122421.jpg,"",নূরানী তা’লীমুল কা’য়িদা ও সহজ তাজবীদ শিক্ষা,মাওলানা মোহাম্মদ মোরশেদ আলম ফরিদপুরী, ,মাওলানা আবদুর রশীদ ফরিদী,Al Aksa Library, ,"1st Published,2005",80,Bangladesh,Bangla & Arabic
আরবী ছফওয়াতুল মাছাদির (আরবী উর্দূ বাংলা ইংরেজি উচ্চারণসহ),মাওঃ মুহাম্মদ হাফিজুর রহমান যশোরী,TK. 130,TK. 78,https://rokomari.com//book/122671/arbi-safawatul-machadir--arbi-urdu-bangla-english-uccharonsoho-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/f3e3808f9b94_122671.jpg,"",আরবী ছফওয়াতুল মাছাদির (আরবী উর্দূ বাংলা ইংরেজি উচ্চারণসহ),"মাওঃ মুহাম্মদ হাফিজুর রহমান যশোরী,মাওলানা মুশতাক আহমদ",মাওঃ মুহাম্মদ হাফিজুর রহমান যশোরী, ,Al Aksa Library, ,"1st Published,2012",120,Bangladesh,"Bangla,Arabic,Urdu"
বেহেশতের গ্যারান্টি ,মাওঃ মুহাম্মদ হাফিজুর রহমান যশোরী,TK. 160,TK. 96,https://rokomari.com//book/46889/behester-garanti,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/rokimg_20150513_46889.gif,"",বেহেশতের গ্যারান্টি,"মাওঃ মুহাম্মদ হাফিজুর রহমান যশোরী,মুফতী এনায়েত আহমদ রহ.,হুজ্জাতুল ইসলাম আবু হামেদ মুহাম্মদ আল গাযযালী (রহ:)",মাওঃ মুহাম্মদ হাফিজুর রহমান যশোরী, ,আল-আকসা লাইব্রেরী, ,"1st Published,2002",111,বাংলাদেশ,বাংলা
আল ফাউযুল কাবীর ফী উসূলিত তাফসীর,মুফতী সাঈদ আহমদ পালনপুরী,TK. 280,TK. 168,https://rokomari.com//book/122668/al-fawjul-kabir-fi-usulut-tafsir,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/c4c5371780c4_122668.jpg,"",আল ফাউযুল কাবীর ফী উসূলিত তাফসীর,"মুফতী সাঈদ আহমদ পালনপুরী,শাহ্ ওয়ালিউল্লাহ মুহাদ্দিসে দেহলভী (রহ:)","মুফতী সাঈদ আহমদ পালনপুরী,মাওলানা মুহাম্মদ ওয়ালীউল্লাহ",মাওঃ মুহাম্মদ হাফিজুর রহমান যশোরী,Al Aksa Library, ,"1st Edition,2013",256,Bangladesh,Bangla & Arabic
তাফসীরে জালালাইন ১ - ৭ খণ্ড একত্রে,মাওঃ মুহাম্মদ হাফিজুর রহমান যশোরী,"TK. 5,400","TK. 3,240",https://rokomari.com//book/122353/tafsire-jalalain-1---7-part-ekotre,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",তাফসীরে জালালাইন ১ - ৭ খণ্ড একত্রে,"মাওঃ মুহাম্মদ হাফিজুর রহমান যশোরী,আল্লামা জালাল উদ্দীন মুহাম্মদ আহমদ ইবনে মুহাম্মদ আল মহল্লী র.",মাওঃ মুহাম্মদ হাফিজুর রহমান যশোরী, ,Al Aksa Library, ,"1st Published,2014", ,Bangladesh,Bangla & Arabic
মালাবুদ্দা মিনহু বা যা নাহলে নয়,আল্লামা কাজী মুহাম্মদ ছানাউল্লাহ পানিপথী (র),TK. 240,TK. 144,https://rokomari.com//book/122677/malabudda-mihhu-ba-ja-nahole-noy,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/bb35745fb9a4_122677.jpg,"",মালাবুদ্দা মিনহু বা যা নাহলে নয়,আল্লামা কাজী মুহাম্মদ ছানাউল্লাহ পানিপথী (র),মাওঃ মুহাম্মদ হাফিজুর রহমান যশোরী, ,Al Aksa Library, ,"3rd Edition,2005",224,Bangladesh,Bangla & Arabic
হেদায়াতুন নাহু,মাওঃ মুহাম্মদ হাফিজুর রহমান যশোরী,TK. 300,TK. 180,https://rokomari.com//book/122365/hedayatun-nahu,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/912687955764_122365.jpg,"",হেদায়াতুন নাহু,"মাওঃ মুহাম্মদ হাফিজুর রহমান যশোরী,শায়খ সিরাজ উদ্দীন উসমান আউধী,চিশতী (র.)",মাওঃ মুহাম্মদ হাফিজুর রহমান যশোরী,মাওঃ মুহাম্মদ হাফিজুর রহমান যশোরী,আল-আকসা লাইব্রেরী, ,"1st Published,2003",248,বাংলাদেশ,বাংলা
কাসাসুন নাবিয়্যীন [প্রথম ভাগ],সাইয়েদ আবুল হাসান আলী নদভী রহ.,TK. 140,TK. 84,https://rokomari.com//book/122400/kasasun-nabiyin-1,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/6e3094e2c614_122400.jpg,"",কাসাসুন নাবিয়্যীন [প্রথম ভাগ],সাইয়েদ আবুল হাসান আলী নদভী রহ.,মাওলানা মুহাম্মাদ তাফাজ্জুল হুসাইন,মাওঃ মুহাম্মদ হাফিজুর রহমান যশোরী,আল-আকসা লাইব্রেরী, ,"1st Published,2006",112,বাংলাদেশ,বাংলা
সীরাতে খাতিমুল আম্বিয়া (সা:),মাওঃ মুহাম্মদ হাফিজুর রহমান যশোরী,TK. 150,TK. 105,https://rokomari.com//book/122670/sirate-khatimul-ambiya--s--,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/e460f3923384_122670.jpg,"",সীরাতে খাতিমুল আম্বিয়া (সা:),"মাওঃ মুহাম্মদ হাফিজুর রহমান যশোরী,হযরত মাওলানা মুফতী মুহাম্মদ শফী (রহ.)",মাওঃ মুহাম্মদ হাফিজুর রহমান যশোরী, ,আল-আকসা লাইব্রেরী, ,"1st Published,2000",112,বাংলাদেশ,বাংলা
লন্ডনী দুলহান,এস. এম কফিল উদ্দিন,TK. 240,TK. 144,https://rokomari.com//book/98422/londoni-dulhan,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/rokimg_20150513_98422.gif,"",লন্ডনী দুলহান,এস. এম কফিল উদ্দিন, ,মুহাম্মদ হাফিজ বিন ফজল,আল-আকসা লাইব্রেরী, ,"1st Published,2012",224,বাংলাদেশ,বাংলা
