Title,Author,Original Price,Discounted Price,URL,Summary,Book_Title,Book_Author,Translator,Editor,Publisher,ISBN,Edition,Number Of Pages,Country,Language
"দক্ষিণ দিনাজপুরের পুরাকীর্তি, সাংস্কৃতিক ঐতিহ্য ও ইতিহাস",সমিত ঘোষ,"",TK. 990,https://rokomari.com//book/116137/dakshin-dinajpurer--sanskritik-atihya-o-itihas,"","দক্ষিণ দিনাজপুরের পুরাকীর্তি,সাংস্কৃতিক ঐতিহ্য ও ইতিহাস",সমিত ঘোষ, , ,অমর ভারতী (কলকাতা),9788192249711,"1st Published,2014",464,ভারত,বাংলা
বাংলার লোকসংস্কৃতি,ড. আদিত্য মুখোপাধ্যায়,"",TK. 540,https://rokomari.com//book/137700/banglar-lokosongskriti,"",বাংলার লোকসংস্কৃতি,ড. আদিত্য মুখোপাধ্যায়, , ,অমর ভারতী (কলকাতা), ,2009, ,ভারত,বাংলা
লোকায়ত দর্পন,ড. আদিত্য মুখোপাধ্যায়,"",TK. 360,https://rokomari.com//book/137701/lokayoto-dorpon,"",লোকায়ত দর্পন,ড. আদিত্য মুখোপাধ্যায়, , ,অমর ভারতী (কলকাতা), ,2009, ,ভারত,বাংলা
দিনাজপুরের গৌরবোজ্জ্বল অধ্যায়,সত্য রঞ্জন দাস,"",TK. 270,https://rokomari.com//book/137702/dinajpur-gourobozzol-odhyay,"",দিনাজপুরের গৌরবোজ্জ্বল অধ্যায়,সত্য রঞ্জন দাস, , ,অমর ভারতী (কলকাতা), ,2012, ,ভারত,বাংলা
কথায় ও সুরে প্রসূনকুমার বন্দ্যোপাধ্যায়,মীরা বন্দ্যোপাধ্যায়,"",TK. 216,https://rokomari.com//book/137703/kothay-o-sure-prosunkumar-bondopadhay,"",কথায় ও সুরে প্রসূনকুমার বন্দ্যোপাধ্যায়,মীরা বন্দ্যোপাধ্যায়, , ,অমর ভারতী (কলকাতা), ,2013, ,ভারত,বাংলা
বাংলা লোকসংগীত কোষ,কাকলী ধারা মণ্ডল,"","TK. 1,350",https://rokomari.com//book/137704/bangla-lokosongeet-kosh,"",বাংলা লোকসংগীত কোষ,কাকলী ধারা মণ্ডল, , ,অমর ভারতী (কলকাতা), ,2013, ,ভারত,বাংলা
বেদের উদ্ভবস্থল ও গৌড়- বরেন্দ্রভূমি,দেবব্রত মালাকার,"",TK. 891,https://rokomari.com//book/137705/beder-udbhobstol-o-gouro-borendrobhumi,"",বেদের উদ্ভবস্থল ও গৌড়- বরেন্দ্রভূমি,দেবব্রত মালাকার, , ,অমর ভারতী (কলকাতা), ,2014, ,ভারত,বাংলা
তালতত্ত সমগ্র,মাণিক মজুমদার,"",TK. 450,https://rokomari.com//book/137707/taltotto-somogro,"",তালতত্ত সমগ্র,মাণিক মজুমদার, , ,অমর ভারতী (কলকাতা), ,2014, ,ভারত,বাংলা
"দক্ষিণ দিনাজপুর পুরাকীর্তি, সাংস্কৃতিক ঐতিহ্য ও ইতিহাস",সমিত ঘোষ,"",TK. 990,https://rokomari.com//book/137708/dokkhin-dinajpur-purakirti--sangskritik-oitijjyo-o-itihas,"","দক্ষিণ দিনাজপুর পুরাকীর্তি,সাংস্কৃতিক ঐতিহ্য ও ইতিহাস",সমিত ঘোষ, , ,অমর ভারতী (কলকাতা), ,2014, ,ভারত,বাংলা
মধ্যযুগে বাংলার স্থাপত্য অলংকরণে ইসলামী শিল্পশৈলী,নীহার ঘোষ,"",TK. 450,https://rokomari.com//book/137709/modhojuge-banglar-stapotyo-alongkorone-islami-shilposhoili,"",মধ্যযুগে বাংলার স্থাপত্য অলংকরণে ইসলামী শিল্পশৈলী,নীহার ঘোষ, , ,অমর ভারতী (কলকাতা), ,2015, ,ভারত,বাংলা
বাংলার লোকসাহিত্য,আদিত্য মুখোপাধ্যায়,"",TK. 540,https://rokomari.com//book/137706/banglar-lokosahityo,"",বাংলার লোকসাহিত্য,আদিত্য মুখোপাধ্যায়, , ,অমর ভারতী (কলকাতা), ,2014, ,ভারত,বাংলা
নদিয়া চর্চা,মৃত্যুঞ্জয় মণ্ডল,"",TK. 990,https://rokomari.com//book/116138/nadia-charcha,"",নদিয়া চর্চা, , ,মৃত্যুঞ্জয় মণ্ডল,অমর ভারতী (কলকাতা),9788192249704,"1st Published,2014",512,ভারত,বাংলা
