Title,Author,Original Price,Discounted Price,URL,Summary,Book_Title,Book_Author,Translator,Editor,Publisher,ISBN,Edition,Number Of Pages,Country,Language
Siege of the Villa Lipp,এরিক অ্যাম্বলার,"","TK. 1,982",https://rokomari.com//book/127030/siege-of-the-villa-lipp,"",Siege of the Villa Lipp,Eric Ambler, , ,Amereon Limited,9780891904656,"Reprint edition,1977", ,India,English
The Case of the Lame Canary,আর্ল স্ট্যানলি গার্ডনার,"","TK. 3,731",https://rokomari.com//book/106495/the-case-of-the-lame-canary,"",The Case of the Lame Canary,Erle Stanley Gardner, , ,Amereon Limited,9780884114116,"25th Printing Edition,1996",281,India,English
Case of the Beautiful Beggar,আর্ল স্ট্যানলি গার্ডনার,"","TK. 4,595",https://rokomari.com//book/106531/case-of-the-beautiful-beggar,"",Case of the Beautiful Beggar,Erle Stanley Gardner, , ,Amereon Limited,9780848804985,"1st Edition,1990",253,India,English
The Case of the Haunted Husband ,আর্ল স্ট্যানলি গার্ডনার,"","TK. 6,222",https://rokomari.com//book/106821/the-case-of-the-haunted-husband,"",The Case of the Haunted Husband,Erle Stanley Gardner, , ,Amereon Limited,9780884114185,"1st Edition,1941",281,India,English
The case of the substitute face,আর্ল স্ট্যানলি গার্ডনার,"","TK. 4,473",https://rokomari.com//book/106848/the-case-of-the-substitute-face,"",The case of the substitute face,Erle Stanley Gardner, , ,Amereon Limited,9780884114123,"1st Edition,1988", ,India,English
The Case of the Empty Tin ,আর্ল স্ট্যানলি গার্ডনার,"","TK. 5,850",https://rokomari.com//book/106849/the-case-of-the-empty-tin,"",The Case of the Empty Tin,Erle Stanley Gardner, , ,Amereon Limited,9780884114192,"1st Edition,1998", ,India,English
The Case of the Black-Eyed Blonde,আর্ল স্ট্যানলি গার্ডনার,"","TK. 5,054",https://rokomari.com//book/106850/the-case-of-the-black-eyed-blonde,"",The Case of the Black-Eyed Blonde,Erle Stanley Gardner, , ,Amereon Limited,9780848802714,"1st Edition,1985",212,India,English
The Golddiggers Purse ,আর্ল স্ট্যানলি গার্ডনার,"","TK. 6,618",https://rokomari.com//book/106851/the-golddiggers-purse,"",The Golddiggers Purse,Erle Stanley Gardner, , ,Amereon Limited,9780848818319,"1st Edition,1942", ,India,English
The Case of the Cautious Coquette ,আর্ল স্ট্যানলি গার্ডনার,"","TK. 6,627",https://rokomari.com//book/106852/the-case-of-the-cautious-coquette,"",The Case of the Cautious Coquette,Erle Stanley Gardner, , ,Amereon Limited,9780848805005,"1st Edition,1990",193,India,English
Case of the Buried Clock,আর্ল স্ট্যানলি গার্ডনার,"","TK. 6,382",https://rokomari.com//book/106853/case-of-the-buried-clock,"",Case of the Buried Clock,Erle Stanley Gardner, , ,Amereon Limited,9780848802738,"1st Edition,1990",231,India,English
