Title,Author,Original Price,Discounted Price,URL,Image,Summary,Book_Title,Book_Author,Translator,Editor,Publisher,ISBN,Edition,Number Of Pages,Country,Language
Delegation and  Supervision (The Brian Tracy Success Library) ,ব্রায়ান ট্রেসি,"",TK. 994,https://rokomari.com//book/135378/delegation-and--supervision--the-brian-tracy-success-library--,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/a7df6301eb04_135378.jpg,"",Delegation and  Supervision (The Brian Tracy Success Library) ,Brian Tracy, , ,American Management Association (Amacom),9780814433140,"1st Edition,2013",112,India,English
Motivation: The Brian Tracy Success Library ,ব্রায়ান ট্রেসি,"","TK. 1,195",https://rokomari.com//book/135381/motivation--the-brian-tracy-success-library-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/fa848953a914_135381.jpg,"",Motivation: The Brian Tracy Success Library ,Brian Tracy, , ,American Management Association (Amacom),9780814433119,"1st Edition,2013",112,India,English
Leadership: The Brian Tracy Success Library ,ব্রায়ান ট্রেসি,"","TK. 1,008",https://rokomari.com//book/135395/leadership--the-brian-tracy-success-library-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/85c1a0bd24d4_135395.jpg,"",Leadership: The Brian Tracy Success Library ,Brian Tracy, , ,American Management Association (Amacom),9780814433416,"1st Edition,2014",112,India,English
Meetings That Get Results (The Brian Tracy Success Library),ব্রায়ান ট্রেসি,"","TK. 1,195",https://rokomari.com//book/135423/meetings-that-get-results--the-brian-tracy-success-library-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/ef356d1261a4_135423.jpg,"",Meetings That Get Results (The Brian Tracy Success Library),Brian Tracy, , ,American Management Association (Amacom),9780814437056,"1st Edition,2016",112,India,English
"Click Millionaires: Work Less, Live More with an Internet Business You Love",স্কট ফক্স,"","TK. 2,621",https://rokomari.com//book/181581/click-millionaires--work-less--live-more-with-an-internet-business-you-love,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/6c4cd6e64_181581.jpg,"","Click Millionaires: Work Less,Live More with an Internet Business You Love",Scott Fox, , ,American Management Association (Amacom),9780814431917,"1st Edition,2012",256,India,English
How To Identify Your Organisation's Training Needs,ডেভিড ম্যাককনেল,"","TK. 14,398",https://rokomari.com//book/181583/how-to-identify-your-organisation-s-training-needs,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/8f95efab8_181583.jpg,"",How To Identify Your Organisation's Training Needs,David McConnell, , ,American Management Association (Amacom),9780814407103,"1st Edition,2003",336,India,English
Something Really New: Three Simple Steps to Creating Truly Innovative Products,ডেনিস জে হুপ্টলি,"","TK. 2,110",https://rokomari.com//book/162052/something-really-new--three-simple-steps-to-creating-truly-innovative-products,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/db78d26c6_162052.jpg,"",Something Really New: Three Simple Steps to Creating Truly Innovative Products,Denis J. Hauptly, , ,American Management Association (Amacom),9780814400326,"1st Edition,2007",256,USA,English
The Hr Answer Book: An Indispensable Guide for Managers and Human Resources Professionals,রেবেকা মাজিন,"","TK. 4,215",https://rokomari.com//book/170652/the-hr-answer-book--an-indispensable-guide-for-managers-and-human-resources-professionals,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/735e516e7_170652.jpg,"",The Hr Answer Book: An Indispensable Guide for Managers and Human Resources Professionals,"Rebecca Mazin,Shawn Smith", , ,American Management Association (Amacom),9780814417171,"1st Edition,2011",272,India,English
People Styles at Work.And Beyond: Making Bad Relationships Good and Good Relationships Better,ডরোথি গ্রোভার বোল্টন,"","TK. 1,996",https://rokomari.com//book/167716/people-styles-at-work-and-beyond--making-bad-relationships-good-and-good-relationships-better,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/c1297e908_167716.jpg,"",People Styles at Work.And Beyond: Making Bad Relationships Good and Good Relationships Better,"Dorothy Grover Bolton,Robert Bolton", , ,American Management Association (Amacom),9780814413425,"2nd Edition,2009",240,India,English
Just Listen: Discover the Secret to Getting Through to Absolutely Anyone,মার্ক গৌলস্টন,"","TK. 2,344",https://rokomari.com//book/168050/just-listen--discover-the-secret-to-getting-through-to-absolutely-anyone,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/0d50e0997_168050.jpg,"",Just Listen: Discover the Secret to Getting Through to Absolutely Anyone,Mark Goulston , , ,American Management Association (Amacom),9780814436479,"1st Edition,2015",256,India,English
