Title,Author,Original Price,Discounted Price,URL,Summary,Book_Title,Book_Author,Translator,Editor,Publisher,ISBN,Edition,Number Of Pages,Country,Language
মারফতের খনি,জয়নাল হোসেন,"",TK. 20,https://rokomari.com//book/61167/marfoter-khoni,"",মারফতের খনি,জয়নাল হোসেন, , ,আমীর প্রকাশন, , , ,বাংলাদেশ,বাংলা
ক্ষোভ ,হোসেন মুহ. দেলোয়ার ,TK. 100,TK. 90,https://rokomari.com//book/62098/khobh,"",ক্ষোভ,হোসেন মুহ. দেলোয়ার, , ,আমীর প্রকাশন, , , ,বাংলাদেশ,বাংলা
মজার মজার ছড়া,শহীদুল্লাহ আনসারী,TK. 50,TK. 45,https://rokomari.com//book/62275/mojar-mojar-chora,"",মজার মজার ছড়া,শহীদুল্লাহ আনসারী, , ,আমীর প্রকাশন, , , ,বাংলাদেশ,বাংলা
কিচির মিচির ,শহীদুল্লাহ আনসারী,TK. 50,TK. 45,https://rokomari.com//book/62276/kichir-michir,"",কিচির মিচির,শহীদুল্লাহ আনসারী, , ,আমীর প্রকাশন, , , ,বাংলাদেশ,বাংলা
এসো দেখি আঁকি লেখি,শহীদুল্লাহ আনসারী,TK. 40,TK. 36,https://rokomari.com//book/62277/aso-dekhi-akkhi-lekhi,"",এসো দেখি আঁকি লেখি,শহীদুল্লাহ আনসারী, , ,আমীর প্রকাশন, , , ,বাংলাদেশ,বাংলা
এসো বসি অংক কষি,শহীদুল্লাহ আনসারী,TK. 50,TK. 45,https://rokomari.com//book/62286/aso-bosi-angko-koshi,"",এসো বসি অংক কষি,শহীদুল্লাহ আনসারী, , ,আমীর প্রকাশন, , , ,বাংলাদেশ,বাংলা
দাগাদাগি আঁকাআঁকি,মহিউদ্দিন আকবর,TK. 50,TK. 45,https://rokomari.com//book/62287/dagadagi-akhaakhi,"",দাগাদাগি আঁকাআঁকি,মহিউদ্দিন আকবর, , ,আমীর প্রকাশন, , , ,বাংলাদেশ,বাংলা
মহা বিস্ফোরণ,আবুবকর সিদ্দিক চৌধুরী,TK. 300,TK. 255,https://rokomari.com//book/67951/moha-bisporon,"ফ্ল্যাপে লেখা কিছু কথাআমার সামান্য উপলদ্ধি জ্ঞান থেকে পূর্বের এবং সাম্প্রতিক কালের ঘটে যাওয়া ঘটনার বিষয় নিয়ে, পৃথিবী গ্রহের যে পরিবেশ বিপর্যয় ঘটেছে, বিষয় সংক্ষিপ্ত ভাবে এই ‘মহা বিষ্ফোরণ’ বইটি লিখতে চেষ্টা করেছি, আমার এই ক্ষুদ্র লেখা বইটির মধ্যে কোন ঘটনার বিষয় নিয়ে কারও মতে যদি সঠিক বলে বিবেচিত না হয়, তিনি যেন এ বিষয়টি ক্ষমা সুন্দর চোখে দেখেন।",মহা বিস্ফোরণ,আবুবকর সিদ্দিক চৌধুরী, , ,আমীর প্রকাশন, , , ,বাংলাদেশ,বাংলা
নীলের ছড়া,আকন্দ সামসুন নাহার,TK. 25,TK. 23,https://rokomari.com//book/69506/niler-chora,"",নীলের ছড়া,আকন্দ সামসুন নাহার, , ,আমীর প্রকাশন, , ,14,বাংলাদেশ,বাংলা
বাংলাদেশের স্বাধীনতা ঘোষণা ,যাযাবর স্বপন ,TK. 55,TK. 52,https://rokomari.com//book/83892/bangladesher-swadinota-ghoshona,"""বাংলাদেশের স্বাধীনতা ঘোষণা"" বইয়ের লেখকের কথাঃ
বাঙালীদের গৌরব মাখা ইতিহাসকে খাটো করার জন্যই এক অশুভ শক্তি দীর্ঘদিন যাবৎ বিকৃত তথ্য দিয়ে অপচেষ্টায় লিপ্ত । বাংলাদেশের স্বাধীনতা যুদ্ধ, স্বাধীনতার ঘোষণার স্বীকৃত বিষয়কে বারবার বিতর্কিতভাবে উপস্থাপন করে নতুন প্রজন্মকে বিভ্রান্তির মধ্যে ফেলে দিয়েছে। এই ঘৃণ্য অপচেষ্টা বন্ধ করা যেমন জরুরী, তেমনি জাতির স্বার্থেই নতুন প্রজন্মের কাছে সঠিক ইতিহাস তুলে ধরাও আজ সময়ের দাবি। আমাদের নতুন প্রজন্মের কাছে স্বাধীনতার ঘোষণার প্রকৃত ইতিহাস তুলে ধরার জন্যই আমার এই গবেষণালব্ধ প্রকাশনা।
লেখক পরিচিতিঃ
যাযাবর স্বপন, জন্ম কুষ্টিয়া। জেলাধীন দৌলতপুর থানার শ্যামপুর গ্রামে। প্রায় তিন দশক ধরে লেখালেখির সঙ্গে জড়িত। ছোট গল্প ও কবিতা দিয়ে সাহিত্যে পদচারণা শুরু হলেও সাংবাদিকতা করতে এসে বিভিন্ন বিষয়ে লিখেছেন এবং লিখছেন। মজাদার বিষয়ে তিনি সিদ্ধহস্ত। বর্তমানে তিনি পেশায় টিভি অনুষ্ঠান নির্মাতা। তিনি সেখানেও রেখেছেন সৃজনশীলতার স্বাক্ষর। এখন লেখালেখি তার নেশা। একই সঙ্গে তিনি দক্ষ সংগঠকও। স্ত্রী জেসমিন আরা লাভলী ও সন্তান জিসান ওয়াসিফকে নিয়ে সাজিয়েছেন সংসার।",বাংলাদেশের স্বাধীনতা ঘোষণা,যাযাবর স্বপন, , ,আমীর প্রকাশন, ,"1st Published,2010",32,বাংলাদেশ,বাংলা
