Title,Author,Original Price,Discounted Price,URL,Image,Summary,Book_Title,Book_Author,Translator,Editor,Publisher,ISBN,Edition,Number Of Pages,Country,Language
সুকান্ত রচনাবলী,সুকান্ত চট্টোপাধ্যায়,"",TK. 200,https://rokomari.com//book/83786/sukanto-rochonabali--digital-boi-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/rokimg_20140523_83786.GIF,"",সুকান্ত রচনাবলী,সুকান্ত চট্টোপাধ্যায়, , ,আনন্দ কম্পিউটারস্, , , ,বাংলাদেশ,বাংলা
বিজয় শিশু শিক্ষা ১ বাংলা,জেসমিন জুঁই ,TK. 250,TK. 228,https://rokomari.com//book/83742/bijoy-shishu-shikkha-1-bangla,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/rokimg_20140523_83742.gif,"",বিজয় শিশু শিক্ষা ১ বাংলা,জেসমিন জুঁই, , ,আনন্দ কম্পিউটারস্, , , ,বাংলাদেশ,বাংলা
বিজয় শিশু শিক্ষা ১ ইংরেজি,জেসমিন জুঁই ,TK. 180,TK. 164,https://rokomari.com//book/83744/bijoy-shishu-shikkha-1-english,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/rokimg_20140523_83744.gif,"",বিজয় শিশু শিক্ষা ১ ইংরেজি,জেসমিন জুঁই, , ,আনন্দ কম্পিউটারস্, , , ,বাংলাদেশ,বাংলা
বিজয় শিশু শিক্ষা ২ ইংরেজি,জেসমিন জুঁই ,TK. 160,TK. 146,https://rokomari.com//book/83747/bijoy-shishu-shikkha-2-english,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/rokimg_20140523_83747.gif,"",বিজয় শিশু শিক্ষা ২ ইংরেজি,জেসমিন জুঁই, , ,আনন্দ কম্পিউটারস্, , , ,বাংলাদেশ,বাংলা
বিজয় শিশু শিক্ষা ২ বাংলা,জেসমিন জুঁই ,TK. 180,TK. 164,https://rokomari.com//book/83745/bijoy-shishu-shikkha-2-bangla,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/rokimg_20140523_83745.GIF,"",বিজয় শিশু শিক্ষা ২ বাংলা,জেসমিন জুঁই, , ,আনন্দ কম্পিউটারস্, , , ,বাংলাদেশ,বাংলা
বিজয় শিশু শিক্ষা ২ অংক,জেসমিন জুঁই ,TK. 160,TK. 146,https://rokomari.com//book/83746/bijoy-shishu-shikkha-2-math,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/rokimg_20140523_83746.GIF,"",বিজয় শিশু শিক্ষা ২ অংক,জেসমিন জুঁই, , ,আনন্দ কম্পিউটারস্, , , ,বাংলাদেশ,বাংলা
প্রাথমিক কম্পিউটার শিক্ষা - ১ম খণ্ড,মোস্তাফা জব্বার,TK. 270,TK. 246,https://rokomari.com//book/187896/basic-computer-shikkha---1st-part,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/c9ea4c784_187896.jpg,"",প্রাথমিক কম্পিউটার শিক্ষা - ১ম খণ্ড,মোস্তাফা জব্বার, , ,আনন্দ কম্পিউটারস্, , , ,বাংলাদেশ,বাংলা
লিখতে শিখি বাংলা,মোস্তাফা জব্বার,"",TK. 220,https://rokomari.com//book/83750/likhte-shikhi-bangla,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/1816e5029_83750.jpg,"",লিখতে শিখি বাংলা,মোস্তাফা জব্বার, , ,আনন্দ কম্পিউটারস্, , , ,বাংলাদেশ,বাংলা
বিজয় শিশু শিক্ষা ১ অংক,জেসমিন জুঁই ,TK. 150,TK. 137,https://rokomari.com//book/83743/bijoy-shishu-shikkha-1-math,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/bdd0d45fb_83743.jpg,"",বিজয় শিশু শিক্ষা ১ অংক,জেসমিন জুঁই, , ,আনন্দ কম্পিউটারস্, ,"4th Edition,2016",56,বাংলাদেশ,বাংলা
বিজয় আঁঁকতে শিখি-২	,মোস্তাফা জব্বার,TK. 65,TK. 59,https://rokomari.com//book/83755/bijoy-akhte-shikhi-2,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/rokimg_20140523_83755.GIF,"",বিজয় আঁঁকতে শিখি-২,মোস্তাফা জব্বার, , ,আনন্দ কম্পিউটারস্, ,"3rd Published,2016",24,বাংলাদেশ,বাংলা
প্রাথমিক কম্পিউটার শিক্ষা ২য় খন্ড,মোস্তাফা জব্বার,TK. 300,TK. 273,https://rokomari.com//book/83748/basic-computer-shikkha--2nd-part,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/816e28d7d_83748.jpg,"",প্রাথমিক কম্পিউটার শিক্ষা ২য় খন্ড,মোস্তাফা জব্বার, , ,আনন্দ কম্পিউটারস্, ,"Reprint,2018",216,বাংলাদেশ,বাংলা
Let's Write ,মোস্তাফা জব্বার,TK. 135,TK. 123,https://rokomari.com//book/83751/let-s-write,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/aa885a522_83751.jpg,"",Let's Write,Mostofa Jobber, , ,Ananda Computers, , , ,Bangladesh,English
ইচ্ছেমত লিখি,মোস্তাফা জব্বার,TK. 70,TK. 64,https://rokomari.com//book/83749/ichemoto-likhi,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/8af52aac6_83749.jpg,"",ইচ্ছেমত লিখি,মোস্তাফা জব্বার, , ,আনন্দ কম্পিউটারস্, , , ,বাংলাদেশ,বাংলা
বিজয় আঁঁকতে শিখি-৩,মোস্তাফা জব্বার,TK. 65,TK. 59,https://rokomari.com//book/83756/bijoy-akhte-shikhi-3,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/rokimg_20140523_83756.GIF,"",বিজয় আঁঁকতে শিখি-৩,মোস্তাফা জব্বার, , ,আনন্দ কম্পিউটারস্, , , ,বাংলাদেশ,বাংলা
বিজয় আঁঁকতে শিখি-৪,মোস্তাফা জব্বার,TK. 65,TK. 59,https://rokomari.com//book/83757/bijoy-akhte-shikhi-4,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/rokimg_20140523_83757.GIF,"",বিজয় আঁঁকতে শিখি-৪,মোস্তাফা জব্বার, , ,আনন্দ কম্পিউটারস্, , , ,বাংলাদেশ,বাংলা
বিজয় আঁঁকতে শিখি-৫ ,মোস্তাফা জব্বার,TK. 65,TK. 59,https://rokomari.com//book/83758/bijoy-akhte-shikhi-5,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/rokimg_20140523_83758.GIF,"",বিজয় আঁঁকতে শিখি-৫,মোস্তাফা জব্বার, , ,আনন্দ কম্পিউটারস্, , , ,বাংলাদেশ,বাংলা
কম্পিউটারে হাতেখড়ি ,মোস্তাফা জব্বার,"",TK. 222,https://rokomari.com//book/83754/computere-hatekhori,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",কম্পিউটারে হাতেখড়ি,মোস্তাফা জব্বার, , ,আনন্দ কম্পিউটারস্, , , ,বাংলাদেশ,বাংলা
শরৎ রচনাবলী,শরৎচন্দ্র চট্টোপাধ্যায়,"",TK. 200,https://rokomari.com//book/83784/shorot-rochonabali--digital-boi-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/rokimg_20140523_83784.GIF,"",শরৎ রচনাবলী,শরৎচন্দ্র চট্টোপাধ্যায়, , ,আনন্দ কম্পিউটারস্, , , ,বাংলাদেশ,বাংলা
জীবনান্দ রচনাবলী,জীবনানন্দ দাশ,"",TK. 200,https://rokomari.com//book/83785/jibonanodo-rochonabali--digital-boi-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/img150103_83785.gif,"",জীবনান্দ রচনাবলী,জীবনানন্দ দাশ, , ,আনন্দ কম্পিউটারস্, , , ,বাংলাদেশ,বাংলা
