Title,Author,Original Price,Discounted Price,URL,Image,Summary,Book_Title,Book_Author,Translator,Editor,Publisher,ISBN,Edition,Number Of Pages,Country,Language
ছড়ার রাজ্য-৩,লুৎফর রহমান রিটন  ,TK. 80,TK. 60,https://rokomari.com//book/16933/chorar-rajjo-3,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/7cc742ff28b4_16933.gif,"",ছড়ার রাজ্য-৩, , ,লুৎফর রহমান রিটন,অনার্য,9789848990476,"4th Printed,2015",16,বাংলাদেশ,বাংলা
ঘুম,হারুকি মুরাকামি,TK. 200,TK. 150,https://rokomari.com//book/189918/ghum,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/5c00d0620_189918.jpg,"",ঘুম,হারুকি মুরাকামি,সাগর রহমান, ,অনার্য,9789844250383,"1st Published,2019", ,বাংলাদেশ,বাংলা
প্রভু ভালোবাসা,জিয়াউল হক মুক্তা,TK. 120,TK. 72,https://rokomari.com//book/177747/provu-valobasa,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/a7c4c20de_177747.jpg,"",প্রভু ভালোবাসা,"জিয়াউল হক মুক্তা,মাওলানা জালাল উদ্দিন রুমি",জিয়াউল হক মুক্তা, ,অনার্য,9789844250017,"1st Published,2019",48,বাংলাদেশ,বাংলা
ছড়ার রাজ্য-১,লুৎফর রহমান রিটন  ,TK. 80,TK. 60,https://rokomari.com//book/8845/chorar-rajjo-1,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/c0e341cdd644_8845.gif,"",ছড়ার রাজ্য-১, , ,লুৎফর রহমান রিটন,অনার্য,9789848990452,"4th Printed,2015",16,বাংলাদেশ,বাংলা
ক্ষুদিরামের কথা,শাহ বুলবুল,TK. 100,TK. 50,https://rokomari.com//book/27475/khudiramer-kotha,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/c4c661572d44_27475.gif,"",ক্ষুদিরামের কথা,শাহ বুলবুল, , ,অনার্য,9789848990674,"1st Published,2013",64,বাংলাদেশ,বাংলা
শতাব্দীর বিজ্ঞান,তানভীর হোসেন,TK. 400,TK. 300,https://rokomari.com//book/195813/shotabdir-biggan,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/2b62e632c_195813.jpg,"জিনবিজ্ঞান, মহাকাশবিজ্ঞান ও পদার্থবিজ্ঞানের বিভিন্ন বিষয় নিয়ে ‘শতাব্দীর বিজ্ঞান’। মানুষের মধ্যে বিজ্ঞানের প্রতি আগ্রহ বৃদ্ধি এবং বিজ্ঞানকে জনপ্রিয় করার জন্য সহজসরল বাংলা ভাষায় এ গ্রন্থ। এতে তিরিশটি বিজ্ঞান বিষয়ক প্রবন্ধ স্থান পেয়েছে। তাছাড়া গত একশ বছরে বিজ্ঞানের এসব শাখায় আমাদের উপমহাদেশের প্রথিতযশা বিজ্ঞানীদের অসাধারণ অবদানের কথাও স্থান পেয়েছে এ গ্রন্থে।",শতাব্দীর বিজ্ঞান,তানভীর হোসেন, , ,অনার্য,9789844250765,"1st Published,2020",160,বাংলাদেশ,বাংলা
ছড়ার রাজ্য-২,লুৎফর রহমান রিটন  ,TK. 80,TK. 60,https://rokomari.com//book/16720/chorar-rajjo-2,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/b6c27e9ba954_16720.gif,"",ছড়ার রাজ্য-২, , ,লুৎফর রহমান রিটন,অনার্য,9789848990469,"4th Printed,2015",16,বাংলাদেশ,বাংলা
হলদে হাঁসের ছানা,সফিক রহমান,TK. 100,TK. 75,https://rokomari.com//book/27396/holde-hasher-chana,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/eeb62122a_27396.jpg,"",হলদে হাঁসের ছানা,সফিক রহমান, , ,অনার্য,9789848990148,"3rd Printed,2015",24,বাংলাদেশ,বাংলা
চলচ্চিত্র নন্দনতত্ত্ব ও বারোজন ডিরেক্টর,তানভীর মোকাম্মেল,TK. 280,TK. 210,https://rokomari.com//book/180859/cholocchitro-nondontottwo-o-barojon-director,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/1d44b0eb9_180859.jpg,"",চলচ্চিত্র নন্দনতত্ত্ব ও বারোজন ডিরেক্টর,তানভীর মোকাম্মেল, , ,অনার্য,9789844250208,"1st Published,2019",118,বাংলাদেশ,বাংলা
ক্রিকেট অভিধান,ফেরদৌস আরেফীন,TK. 120,TK. 84,https://rokomari.com//book/27477/cricket-ovidhan,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/3a572d6f2494_27477.gif,"",ক্রিকেট অভিধান,ফেরদৌস আরেফীন, , ,অনার্য,9789848990384,"1st Published,2011",80,বাংলাদেশ,বাংলা
মাই ব্রিফ হিস্ট্রি,স্টিফেন হকিং,TK. 150,TK. 113,https://rokomari.com//book/162491/my-brief-history,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/fe1a2a69b_162491.jpg,"",মাই ব্রিফ হিস্ট্রি,স্টিফেন হকিং,সঞ্জয় দে, ,অনার্য,9789848990636,"1st Published,2014",88,বাংলাদেশ,বাংলা
চাঁদের ডিম,সফিক রহমান,TK. 80,TK. 60,https://rokomari.com//book/7545/chader-dim,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/16c2d1d75df4_7545.gif,"",চাঁদের ডিম,সফিক রহমান, , ,অনার্য,9789848990605,"2nd Printed,2013",16,বাংলাদেশ,বাংলা
আলীবাবা,আহমাদ মাযহার,TK. 90,TK. 68,https://rokomari.com//book/1439/alibaba,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/2608967d0c94_1439.gif,"",আলীবাবা,আহমাদ মাযহার, , ,অনার্য,9789848990810,"Reprinted,2013",16,বাংলাদেশ,বাংলা
তিন দাগে ঘেরা বাংলাদেশ,হাসানুল হক ইনু,TK. 200,TK. 150,https://rokomari.com//book/96691/tin-dage-ghera-bangladesh,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/rokimg_20150224_96691.gif,"",তিন দাগে ঘেরা বাংলাদেশ,হাসানুল হক ইনু, , ,অনার্য,9789848991398,"1st,2015",128,বাংলাদেশ,বাংলা
