Title,Author,Original Price,Discounted Price,URL,Image,Summary,Book_Title,Book_Author,Translator,Editor,Publisher,ISBN,Edition,Number Of Pages,Country,Language
পশ্চিমবঙ্গ পঞ্চায়েত আইন,টোডরমল,"",TK. 540,https://rokomari.com//book/137515/poshchimbongo-ponchayet-ayin,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/325adc635_137515.jpg,"",পশ্চিমবঙ্গ পঞ্চায়েত আইন,টোডরমল, , ,অণিমা প্রকাশনী (ভারত),978 93 83123 16 2,"Last Edition,2017",272,ভারত,বাংলা
জৈব কৃষি,আনন্দ কুমার মণ্ডল,"",TK. 630,https://rokomari.com//book/137529/joibo-krishi,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",জৈব কৃষি,আনন্দ কুমার মণ্ডল, , ,অণিমা প্রকাশনী (ভারত), ,2012, ,ভারত,বাংলা
তফসিলী জাতি ও তফসিলী উপজাতি,অনিল কুমার বন্দ্যোপাধ্যায়,"",TK. 180,https://rokomari.com//book/137534/tofsili-jati-o-tofsili-upojati--nishthurota-nibaron----ayin-o-niyomaboli-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",তফসিলী জাতি ও তফসিলী উপজাতি,অনিল কুমার বন্দ্যোপাধ্যায়, , ,অণিমা প্রকাশনী (ভারত), ,2012, ,ভারত,বাংলা
"পিতামাতাগণের ও বয়োজ্যেষ্ঠ নাগরিকগণের ভরণপোষণ ও হিতসাধন আইন, ২০০৭",দ্বিজ দাস কর,"",TK. 180,https://rokomari.com//book/137511/pitamatagoner-o-boyojyoshth-nagorikgoner-bhoronpshon-o-shitosadhon-ayin--2007,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"","পিতামাতাগণের ও বয়োজ্যেষ্ঠ নাগরিকগণের ভরণপোষণ ও হিতসাধন আইন,২০০৭",দ্বিজ দাস কর, , ,অণিমা প্রকাশনী (ভারত), ,2009, ,ভারত,বাংলা
কেমন করে সুখী হবেন,অরুণ সরকার,"",TK. 90,https://rokomari.com//book/137512/kemon-kore-shukhi-hoben,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",কেমন করে সুখী হবেন,অরুণ সরকার, , ,অণিমা প্রকাশনী (ভারত), ,2009, ,ভারত,বাংলা
"বিশেষ বিবাহ আইন,১৯৫৪",দ্বিজ দাস কর,"",TK. 144,https://rokomari.com//book/137513/bishesh-bibah-ayin--1954,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"","বিশেষ বিবাহ আইন,১৯৫৪",দ্বিজ দাস কর, , ,অণিমা প্রকাশনী (ভারত), ,2009, ,ভারত,বাংলা
পশ্চিমবঙ্গের পঞ্চায়েত নিয়মাবলী,টোডরমল,"",TK. 234,https://rokomari.com//book/137514/poshchimbonger-ponchayet-niyomaboli,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",পশ্চিমবঙ্গের পঞ্চায়েত নিয়মাবলী,টোডরমল, , ,অণিমা প্রকাশনী (ভারত), ,2009, ,ভারত,বাংলা
"তথ্য জানার অধিকার আইন,২০০৫",অনিল কুমার বন্দ্যোপাধ্যায়,"",TK. 252,https://rokomari.com//book/137516/tothya-janar-adhikar-ayin--2005,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"","তথ্য জানার অধিকার আইন,২০০৫",অনিল কুমার বন্দ্যোপাধ্যায়, , ,অণিমা প্রকাশনী (ভারত), ,2009, ,ভারত,বাংলা
পারিবারিক হিংসা হতে মহিলাদের সুরক্ষা আইন ও নিয়মাবলী,অনিল কুমার বন্দ্যোপাধ্যায়,"",TK. 144,https://rokomari.com//book/137517/paribarik-hingsha-hote-mohilader-surokkhar-ayin-o-niyomaboli,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",পারিবারিক হিংসা হতে মহিলাদের সুরক্ষা আইন ও নিয়মাবলী,অনিল কুমার বন্দ্যোপাধ্যায়, , ,অণিমা প্রকাশনী (ভারত), ,2009, ,ভারত,বাংলা
অল্পবিজ্ঞান কল্পবিজ্ঞান,তপন কুমার দাস,"",TK. 90,https://rokomari.com//book/137518/alpobiggann-kolpobiggan,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",অল্পবিজ্ঞান কল্পবিজ্ঞান,তপন কুমার দাস, , ,অণিমা প্রকাশনী (ভারত), ,2009, ,ভারত,বাংলা
পশ্চিমবঙ্গ বাড়িভাড়া আইন ও নিয়মাবলী,অনিল কুমার বন্দ্যোপাধ্যায়,"",TK. 180,https://rokomari.com//book/137519/poshchimbonger-baribhara-ayin-niyomaboli,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",পশ্চিমবঙ্গ বাড়িভাড়া আইন ও নিয়মাবলী,অনিল কুমার বন্দ্যোপাধ্যায়, , ,অণিমা প্রকাশনী (ভারত), ,2009, ,ভারত,বাংলা
পশ্চিমবঙ্গ ভূমি সংস্কার আইন,টোডরমল,"",TK. 324,https://rokomari.com//book/137520/poshchim-vumi-songskar-ayin,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",পশ্চিমবঙ্গ ভূমি সংস্কার আইন,টোডরমল, , ,অণিমা প্রকাশনী (ভারত), ,2009, ,ভারত,বাংলা
