Title,Author,Original Price,Discounted Price,URL,Image,Summary,Book_Title,Book_Author,Translator,Editor,Publisher,ISBN,Edition,Number Of Pages,Country,Language
উইংস অব ফায়ার,প্রমিত হোসেন,TK. 200,TK. 150,https://rokomari.com//book/8602/wings-of-fire,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/d636f2195_8602.jpg,"‘উইংস অব ফায়ার’  ফ্ল্যাপে লিখা কথা
আবুল পাকির জয়নুলাবদিন আবদুল কালাম জন্ম গ্রহণ করেন ১৯৩১ সালে, ভারতের তামিল নাড়ু রাজ্যের রামেশ্বরমে। তার অল্প শিক্ষিত পিতা ছিলেন নৌকার মালিক। প্রতিরক্ষা বিজ্ঞানী হিসেবে ক্যারিয়ার শুরু করেন কালাম এবং পরবর্তী সময়ে অসামান্য অবদানের জন্য ভারতের সর্বোচ্চ বেসামরিক পুরস্কার ‘ভারতরত্ন অর্জন করেন। এই বইয়ে নিজের শৈশব থেকে বেড়ে ওঠার অনেক অজানা তথ্য প্রকাশ করেছেন তিনি, সেই সঙ্গে তার পারিবারিক ও পারিপার্শ্বিক বিষয়গুলো। আরও এসেছে তার তৈরি অগ্নি, পৃথ্বী, আবাশ , ত্রিশুল ও নাগ ক্ষেপণাস্ত্রগুলোর নেপথ্য-কাহিনী। ক্ষেপনাস্ত্র শক্তির দিক থেকে এগুলো ভারতকে আন্তর্জাতিক পর্যায়ে উন্নীত করে। এই পরমানু বিজ্ঞানী ব্যাক্তি জীবনে দৈনিক ১৮ ঘ্ন্টা কাজ করেন, এবং বীণা বাজাতে পারেন চমৎকার। তিনি ছিলেন চেন্নাইয়ের আন্না বিশ্ববিদ্যালয়ের টেকনোলজি অ্যান্ড সোসাইটাল ট্রান্সফর্মেশনের অধ্যাপক। 

** ২৭ জুলাই, ২০১৫ আবুল পাকির জয়নুলাবদিন আবদুল কালাম মৃত্যুবরণ করেন।",উইংস অব ফায়ার,"প্রমিত হোসেন,এ. পি. জে. আবদুল কালাম",প্রমিত হোসেন, ,অন্যধারা, , , ,বাংলাদেশ,বাংলা
নির্বাসন,সাদাত হোসাইন ,TK. 590,TK. 443,https://rokomari.com//book/176988/nirbason,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/5cfe859c3_176988.jpg,"‘নির্বাসন’ বইয়ের ফ্ল্যাপের কথাঃ
মনসুর গাঢ় কণ্ঠে বললো, ‘একটু শুনবেন?’
কণা বললো, জি, বলুন? 
আপনার হাতটা একটু দেখি? 
কণা ভারি অবাক হলো। সে রাজ্যের দ্বিধা ও কৌতূহল নিয়ে তার ডান হাতখানা বাড়ালো। মনসুর তার হাতের তালুতে কিছু একটা রাখলো। কোনো চিরকুট কি? কণা তখনো জানে না। সে শুধু জানে, এই ভ্যাপসা গরম আর অদ্ভুত নৈঃশব্দ্য ভেদ করেও তার বুকের ভেতর শিরশির করে ঢুকে যাচ্ছে উত্তুরে হাওয়া, পাখির কোলাহল, অজস্র শব্দ, কম্পন ও কান্না। মনসুর কণার হাতের আঙুলগুলোকে আলতো স্পর্শে মুঠো করে দিলো।
সেই মুঠোর ভেতর কি? চিঠি? 
কণা জানে না। সে কেবল জানে, তার সারা শরীর কাঁপছে। বুকের ভেতর বয়ে যাচ্ছে শ্রাবণের উথালপাথাল নদী। সেই নদী ভাসিয়ে নিতে জানে মন ও মানুষ।
সেই রাতে, যখন বাড়ির সবাই ঘুমুচ্ছে, ঠিক তখন কণা তার ঘরের হারিকেনের মৃদু আলোটাকে আরো খানিক মৃদু করে দিয়ে খুব গোপনে চিরকুটখানা খুললো। সে শুনেছে ডাক্তারদের হাতের লেখা জঘন্য হয়। কিন্তু মনসুরের হাতের লেখা মুক্তোর মতো ঝকঝকে। একটা ধবধবে সাদা কাগজে সে লিখেছে: 
‘কণা, 
এই যে কিছুক্ষণ আগে চিঠিটা দেয়ার সময় আমি ইচ্ছে করেই আপনার হাত স্পর্শ করেছি, আপনি কি তা বুঝতে পেরেছেন? কেন করেছি জানেন? করেছি এটি বোঝার জন্য যে আপনি আমার মনের কোনো কল্পনা ননতো? 
আপনি যদি সত্যি না হয়ে মিথ্যে হন, আমার কল্পনা বা স্বপ্ন হন, তাহলে বিষয়টা খুব বিচ্ছিরি হবে। খুব।
আপনিবিহীন এই পৃথিবীটা কী ভীষণ জঘন্য!'
শেষের লাইনটা কণা আরো বার কয়েক পড়লো। তারপর আরো বার কয়েক। তারপর আবারও। পড়তেই থাকলো। পড়তেই থাকলো। তারপর তার আচমকা মনে হলো, আচ্ছা মানুষটা এত সুন্দর করে কী করে বললো, আপনিবিহীন এই পৃথিবীটা কী ভীষণ জঘন্য! 
কণা তাকালো, বাইরে অন্ধকার। একনাগাড়ে ঝিঁঝি। পোকা ডেকে যাচ্ছে। চাঁদ কী উঠেছে? সে জানে না, কিন্তু সে এটা জানে, ওই মানুষটাকে ছাড়া তার জগৎটাও কী যে জঘন্য, কি ভীষণ জঘন্য!

""নির্বাসন লেখক সাদাত হোসাইন"" এর বইয়ের ভিতরের আরো কিছু লেখা পড়তে লুকিং সাইডে ক্লিক করুন।",নির্বাসন,সাদাত হোসাইন, , ,অন্যধারা,9789849366119,"1st Published,2019",376,বাংলাদেশ,বাংলা
অর্ধবৃত্ত,সাদাত হোসাইন ,TK. 590,TK. 443,https://rokomari.com//book/194491/ordhobritto,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/1ddfc888d_194491.jpg,"",অর্ধবৃত্ত,সাদাত হোসাইন, , ,অন্যধারা,9789849431909,"1st Published,2020",384,বাংলাদেশ,বাংলা
ইন্দিরা (দ্য লাইফ অব ইন্দিরা নেহেরু গান্ধী),মনোজিৎকুমার দাস,TK. 550,TK. 413,https://rokomari.com//book/35932/indira--the-life-of-indira-neheru-gandhi-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/ec5cd9e01_35932.jpg,"পিতামহ মতিলাল নেহেরু ইন্দিরার। জন্মক্ষনে কিছুটা মনক্ষুন্ন ছিলেন। ভেবেছিলেন ছেলে জওহরলালের ঘরে আসবে পুত্র সন্তান। সেই। ছেলে নেহেরু খান্দানের উজ্জলতা ছড়িয়ে দেবে ভারতবর্ষ জুড়ে। তবে কিছুদিন পরেই তিনি তার ভুল বুঝতে পারেন। বুঝতে পারেন কন্যা সন্তান হওয়া সত্ত্বেও শুধু ভারতবর্ষই নয় বিশ্ব রাজনীতিতেও আপন মহিমায় সদম্ভ উপস্থিতি 'ঘােষণা’ করতে যাচ্ছে তাদের ছােট্ট ‘ইন্দু বেটা'। পরের সব ঘটনাই ইতিহাস। ব্রিটিশবিরােধী আন্দোলন, দেশভাগ, ভারত পাকিস্তান উত্তেজনা, বাংলাদেশের জন্ম-এ সামগ্রিক ইতিহাসে বিশাল ভূমিকা ছিল তার। সে ইতিহাস তুলে এনেছেন মার্কিন সাংবাদিক ও জীবনীকার ক্যাথরিন ফ্রাঙ্ক।",ইন্দিরা (দ্য লাইফ অব ইন্দিরা নেহেরু গান্ধী),"মনোজিৎকুমার দাস,ক্যাথরিন ফ্রাঙ্ক","মনোজিৎকুমার দাস,অধ্যাপক ডা. মোঃ শারফুদ্দিন আহমেদ", ,অন্যধারা,9789845030007,"2nd Edition,2014",536,বাংলাদেশ,বাংলা
ছদ্মবেশ,সাদাত হোসাইন ,TK. 255,TK. 191,https://rokomari.com//book/187408/chodmobesh,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/e87b70084_187408.jpg,"ভূমিকা মানুষ রহস্যময়তা পছন্দ করে। কিন্তু বেশিরভাগ সময়ই সে সেটা বুঝতে পারে না। জীবনভর সে তার প্রিয়তম মানুষটিকেও পুরােপুরি বুঝে ফেলতে চায়, কিন্তু পুরােপুরি বােঝা হয়ে গেলে তার প্রতি আগ্রহ হারিয়ে ফেলে। সে আসলে অবচেতনে সবসময়ই অনুদঘাটিত কিছু রহস্য উদঘাটন করতে চায়। যতক্ষণ অবধি সেই রহস্য থাকে, ততক্ষণ অবধি একটা প্রবল আগ্রহ, আকর্ষণ কাজ করে । রহস্য শেষ হয়ে গেলে আকর্ষণ ফুরিয়ে যায়। অথচ জীবনজুড়েই সে ভাবে, সে রহস্য পছন্দ করে না। মানুষের ভেতরে এই দ্বান্দ্বিক সত্ত্বাটা আছে। মানুষ ভাবে, সে ভয় পেতেও পছন্দ করে না, নৃশংসতা পছন্দ করে না। কথা সত্য না। সে অতি আগ্রহ নিয়ে গা হিম হয়ে আসা হরর সিনেমা দেখে, ভূতের বই পড়ে, সিরিয়াল কিলারের ভায়ােলেন্ট মুভি দেখে, সাহিত্য পড়ে। এ কারণেই শিল্প-সাহিত্যে বৈচিত্র্যময় নানান ঘরানার সৃষ্টি হয়েছে। রহস্যোপন্যাস সাহিত্যের সেরকমই একটি সমৃদ্ধ শাখা। এই শাখাটির প্রতি আমার আগ্রহ একদম শৈশবেই। তবে তা শুধুই পড়ার জন্য, লেখার জন্য নয়। কারণ, এই ঘরানাটিকে আমার খুবই কঠিন এবং একই সাথে গাণিতিক ক্যালকুলেটিভ’ মনে হয়। ফলে এতােদিনে কখনােই রহস্যোপন্যাস লেখার কথা আমি ভাবিনি। তাহলে এই উপন্যাসটি কেন লিখেছি? এই উপন্যাস লেখার কারণটা মজার। বহুবছর আগে এক দৈনিক পত্রিকায় হঠাৎ করেই একটি খুনের ঘটনা পড়েছিলাম। ঘটনাটি খুবই সাধারণ। পুলিশ লাশসহ খুনিকে গ্রেপ্তারও করেছে। কিন্তু তারপরও একটা রহস্য রয়ে গেছে। সেই রহস্যের কোনাে কুল কিনারা করতে পারছে না পুলিশ। বিষয়টা আমার মাথায় গেঁথে গেলাে। কিছুতেই মাথা থেকে তাড়াতে পারছি না। অবচেতনেই ঘুরেফিরে বারবার মাথায় চলে আসতে লাগলাে সেই ঘটনা। এই করতে করতেই আচমকা একদিন একটা গল্পও চলে এলাে মাথায়। সেই গল্প লিখেও ফেললাম। লিখতে গিয়ে হঠাৎই আবিষ্কার করলাম, গল্পের প্রধান চরিত্রটিকে আমি বিশেষ পছন্দ করে ফেলেছি। এই চরিত্রটি নিয়ে আমি ধারাবাহিকভাবে আরাে লিখতে চাই। প্রতিটি বইতে সে একেকটি রহস্যের সমাধান করবে। কিন্তু সমস্যা হচ্ছে, রহস্য গল্প লেখা কঠিন। এই কঠিন কাজটি আমি নিয়মিত করতে পারবাে কিনা, সেটি নিয়ে খানিক সংশয়ও আছে। সেই সংশয় নিয়েই আমার প্রথম রহস্যোপন্যাস ছদ্মবেশ। ‘ছদ্মবেশ’ শেষ অবধি রহস্যোপন্যাস হয়ে উঠতে পেরেছে কিনা, সেই সিদ্ধান্ত পাঠকের।",ছদ্মবেশ,সাদাত হোসাইন, , ,অন্যধারা,9789849431626,"1st Published,2019", ,বাংলাদেশ,বাংলা
তোমাকে দেখার অসুখ,সাদাত হোসাইন ,TK. 180,TK. 135,https://rokomari.com//book/195266/tomake-dekhar-osukh,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/6f76666aa_195266.jpg,"বইয়ের ভূমিকা

পাঠকের একটি প্রশ্ন আমি অসংখ্যবার শুনেছি। প্রশ্নটা হলো, ‘আমি কখন লেখি?’ 
দিনের কোন ভাগে? রাতের কোন ভাগে? এই প্রশ্নের উত্তর অনেক খুঁজেছি। খুঁজে উত্তর যা পেলাম, তা হলো- আমি আসলে দিনরাতের কোনো ভাগেই আলাদা সময় নির্দিষ্ট করে লেখিনা। আমি লেখি মূলত প্রবল মন খারাপ বা মন ভালো থাকলে। অর্থাৎ আমার চারপাশের কোনো ঘটনা যখন আমাকে প্রবলভাবে আন্দোলিত করে, উদ্দীপ্ত করে, তখন। আমি যেহেতু প্রচুর লেখি, তার মানে কী এই যে সারাক্ষণই আমার মন ‘প্রবল’ খারাপ কিংবা ভালো থাকে! আর এ কারণেই আমি যখন তখন লিখতেই থাকি?
কথা সত্য। মানুষ হিসেবে আমি প্রচন্ড সংবেদনশীল। ফলে আপাতদৃষ্টিতে ‘উপেক্ষা-যোগ্য’, এমন অনেক ছোটখাট বিষয়েও আমি বিচলিত হই। উপেক্ষা করতে পারি না। হয়তো এ কারণেই সারাক্ষণ সেই অনুভবগুলোকে আমি প্রকাশ করতে চাই। 
আজকাল মোবাইল ফোনের কল্যাণে সুবিধা হয়েছে। যেখানে সেখানে যখন তখন লিখে ফেলা যায়। সেই লেখা ফেসবুকের পাতায় রোজ রোজ প্রকাশও করা যায়। অদ্ভুত ব্যাপার হচ্ছে, আমার এমন অনেক লেখাই পাঠক তুমুল আগ্রহ নিয়ে পড়েন। তারা তাদের নিজেদের মতো সংগ্রহ ও সংরক্ষণ করেন। ছড়িয়ে দেয়ার চেষ্টা করেন। কিন্তু এ কারণে যেটি হয়, লেখাগুলো কোথাও একত্রে সংরক্ষিত থাকে না। বিচ্ছিন্নভাবে নানা নামে, নানা পরিচয়ে ছড়িয়ে ছিটিয়ে যায়। হঠাৎ করেই একদিন আমার মনে হলো, সেই লেখাগুলোকে একত্রে সংরক্ষিত করে রাখা দরকার। 
সেই ইচ্ছে থেকেই ফেসবুকে বিভিন্ন সময়ে লেখা আমার পংক্তিমালার এই চতুর্থ সংকলন। বিচ্ছিন্নভাবে লেখা পংক্তিগুলোকে মলাটবদ্ধ করতে গিয়ে কিছু কিছু ক্ষেত্রে সামান্য অসুবিধা হয়েছে। ফলে কোথাও কোথাও দুয়েকটি লেখার পুনরাবৃত্তিও থাকতে পারে। আশা করি সেটি পাঠককে ভালো লাগার অনুভ‚তিই দিবে। কারণ এই পংক্তিগুলোকে আমি বলি অনুভ‚তির আঁখরে লেখা শব্দ ও নৈঃশব্দ্যের গল্প। 
সেই গল্প ছুঁয়ে যাক মন ও মানুষ। 

সাদাত হোসাইন",তোমাকে দেখার অসুখ,সাদাত হোসাইন, , ,অন্যধারা,9789849431916,"1st Published,2020", ,বাংলাদেশ,বাংলা
এ ডক্টর ইন দ্য হাউস : তুন ডা. মাহাথির মোহামাদের স্মৃতিকথা,মনোজিৎকুমার দাস,TK. 500,TK. 375,https://rokomari.com//book/74829/a-doctor-in-the-house---tun-dr--mahather-mohammad-smritekotha,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/cf4fa7479_74829.jpg,"",এ ডক্টর ইন দ্য হাউস : তুন ডা. মাহাথির মোহামাদের স্মৃতিকথা, ,"মনোজিৎকুমার দাস,প্রমিত হোসেন", ,অন্যধারা,9789845030717,"2nd Printed,2016",448,বাংলাদেশ,বাংলা
কাজল চোখের মেয়ে,সাদাত হোসাইন ,TK. 200,TK. 150,https://rokomari.com//book/173845/kajol-choker-meye,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/00a2b8319_173845.jpg,"‘কাজল চোখের মেয়ে’ বইটির ফ্ল্যাপের কথাঃ
কবিতা কী গল্প নয়? আমার কাছে সকলই গল্প । কিন্তু গল্প বলার ধরণগুলো কেবল আলাদা। আলাদা বলেই আমি ছ’পৃষ্ঠার একটা গল্পে যা বলি, কখনো কখনো তা হয়তো এমন দুই লাইনেই বলে ফেলতে পেরেছি বলে মনে হয়‘কোথায় যাবে তোমার মানুষ রেখে? মানুষ কেন হারিয়ে গেলে, মানুষ পাওয়া শেখে?
কিংবা
“শোনো, কাজল চোখের মেয়ে, আমার দিবস কাটে, বিবশ হয়ে তোমার চোখে চেয়ে কিংবা, ততটুকু দিও, যার পরে আর কিছু চাইবার, বাকী না থাকে! ততটুকু নিও, যার পরে আর, পিছু চাইবার, ফাকি না থাকে! যেতে হলে, এখুনি যাও, পরে গেলে মায়া বেড়ে যাবে, থেকে গেলে, এখুনি থাকো, বেলাশেষে ছায়া বেড়ে যাবে। আমি যা লুকিয়ে রাখি, গভীর, গোপন, তার সবটুকুই তোমার আপন। মেঘের মতো ভার হয়ে রয় বুক, মেঘের মতো থমথমে কী ব্যথা! মেঘ তো তবু বৃষ্টি হয়ে ঝরে, আমার কেবল জমছে আকুলতা। ততটুকু হোক দেনা, যতটুকু হলে, ফিরে আসবার পথটুকু থাকে চেনা। কাজল চোখের মেয়ে বুকের ভেতর পাখির ভেজা পালকের স্পর্শে তিতির বয়ে যাওয়া অজস্র অনুভূতির নদী ছুঁয়ে দেয়ার গল্প, চাইলে তাকে আপনি কবিতা বলতে পারেন, নাও পারেন। কিন্তু স্পর্শ বলবেন, স্পর্শিত হবেন, তা নিশ্চিত।",কাজল চোখের মেয়ে,সাদাত হোসাইন, , ,অন্যধারা,9789849366058,"1st Published,2018", ,বাংলাদেশ,বাংলা
শেষ অধ্যায় নেই,সাদাত হোসাইন ,TK. 400,TK. 300,https://rokomari.com//book/204211/shesh-oddhay-nei,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/f329128b7_204211.jpg,"""শেষ অধ্যায় নেই"" ভূমিকা থেকে লেখা:
একটি ধারাবাহিক চরিত্র নির্মাণের ইচ্ছে থেকেই মূলত রেজা সিরিজের শুরু। তবে সেই শুরুটা ছিল দারুণ সংশয়পূর্ণ। এর মূল কারণ আমার অভ্যস্ত পরিসর বা ‘কম্ফোর্ট জোন’ থেকে বেরিয়ে এসে রহস্যোপন্যাস লেখার চেষ্টা। যাকে আমি বরাবরই দুঃসাহসী চেষ্টা বলে স্বীকার করেছি। ফলে এই সিরিজের প্রথম উপন্যাস ‘ছদ্মবেশ’ লিখেছিলাম একদমই পরীক্ষামূলক হিসেবে। মজার ব্যাপার হচ্ছে, সেই পরীক্ষায় পাঠক সম্ভবত আমাকে পাস মার্কস দিয়ে দিয়েছেন। কারণ প্রথম উপন্যাসের পর দিন যত গড়িয়েছে, ততই এর পরবর্তী উপন্যাসের দাবি উচ্চকিত হয়েছে। বিষয়টি একই সঙ্গে আনন্দ ও শঙ্কার। কারণ প্রথম বইটি নিয়ে কারােই কোনাে প্রত্যাশা ছিল না, কিন্তু দ্বিতীয় বইটি নিয়ে তা তৈরি হয়েছে। সমস্যা হচ্ছে, এই প্রত্যাশা পূরণের ভাবনা নিয়ে আমি লিখতে পারি না। কারণ লেখক হিসেবে আমি স্বতঃস্ফূর্ত। আমার ইচ্ছের অধীন। সেই ইচ্ছে শেষ অবধি আমাকে দিয়ে শুধু আমার গল্পটিই লিখিয়ে নেয়। সেই গল্প কখনাে কখনাে অন্য সবার গল্পও হয়ে ওঠে, কখনাে কখনাে হয় না। শেষ অধ্যায় নেই আমার তেমনই একটি গল্প। তবে লেখক হিসেবে লােভ হয়, আমার এই গল্পটিও অন্য সবার গল্প হয়ে উঠবে।
- সাদাত হােসাইন",শেষ অধ্যায় নেই,সাদাত হোসাইন, , ,অন্যধারা,9789849493549,"1st Published,2020", ,বাংলাদেশ,বাংলা
টার্নিং পয়েন্টস,মনোজিৎকুমার দাস,TK. 200,TK. 150,https://rokomari.com//book/16849/turning-points,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/imgrok_16849.GIF,"লেখক পরিচিতিআবুল পাকির জয়নুলাবদিন আবদুল কালাম জন্ম গ্রহণ করেন ১৯৩১ সালে, ভারতের তামিল নাড়ু রাজ্যোর রামেশ্বরমে। তার অল্প শিক্ষিত পিতা ছিলেন নৌকার মালিক। প্রতিরক্ষা বিজ্ঞানী হিসেবে ক্যারিয়ার শুরু করেন কালাম এবং পরবর্তী সময়ে অসামান্য অবদানের জন্য ভারতে সর্বোচ্চ বেসামরিক পুরষ্কার ‘ভারতরত্ন’ অর্জন করেন। এই পরমাণু বিজ্ঞানী ব্যক্তিগত জীবনে দৈনিক ১৮ ঘন্টা কাজ করেন, এবং বীণা বাজাতে পারেন চমৎকার। তিনি ছিলেন চেন্নাইয়ের আন্না বিশ্ববিদ্যালয়ে টেকনোলজি অ্যান্ড সোসাইটাল ট্রান্সফর্মেশনের অধ্যাপক। ড. কালাম ভারতের ১১তম রাষ্ট্রপতি ছিলেন। ২০০২ থেকে ২০০৭ সাল পর্যন্ত তিনি এ দায়িত্ব পালন করেন। বর্তমানে তিনি ইন্ডিয়ান ইন্সটিটিউট অফ ম্যানেজমেন্ট আহমেদাবাদ ও ইন্ডিয়ান ইন্সটিটিউট অফ ম্যানেজমেন্ট ইন্দোর-এর ভিজিটিং প্রফেসর এবং ইন্ডিয়ান ইন্সটিটিউট অফ স্পেস সায়েন্স অ্যান্ড টেকনোলজির চ্যান্সেলর।",টার্নিং পয়েন্টস,"মনোজিৎকুমার দাস,এ. পি. জে. আবদুল কালাম",মনোজিৎকুমার দাস, ,অন্যধারা, , , ,বাংলাদেশ,বাংলা
