Title,Author,Original Price,Discounted Price,URL,Image,Summary,Book_Title,Book_Author,Translator,Editor,Publisher,ISBN,Edition,Number Of Pages,Country,Language
Loan And Credit,মোঃ রাজু হাওলাদার পলাশ,"TK. 1,200",TK. 900,https://rokomari.com//book/192197/loan-and-credit,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/bf47de6bd_192197.jpg,"",Loan And Credit,Md. Razu Howlader Palash, , ,Arjon Prokashan,9789849411444,"2nd Published,2020",700,Bangladesh,English
স্বপ্নচারিণী,মুনিরা প্রীতু,TK. 200,TK. 150,https://rokomari.com//book/179542/shopnocharini,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/1db8c9f41_179542.jpg,"",স্বপ্নচারিণী,মুনিরা প্রীতু, , ,অর্জন প্রকাশন,9789849411321,"1st Published,2019",96,বাংলাদেশ,বাংলা
গল্প যেখান থেকে শুরু,নাজমুন নাহার,TK. 225,TK. 169,https://rokomari.com//book/199979/golpo-jekhan-theke-shuru,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/f39244eaa_199979.jpg,"",গল্প যেখান থেকে শুরু,নাজমুন নাহার, , ,অর্জন প্রকাশন,9789849411482,"1st Published,2020", ,বাংলাদেশ,বাংলা
উন্মাদীয় রম্য,আহসান হাবীব (কার্টুনিস্ট),TK. 270,TK. 203,https://rokomari.com//book/179543/unmadiya-rommo,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/f488f1cb8_179543.jpg,"",উন্মাদীয় রম্য,আহসান হাবীব (কার্টুনিস্ট), , ,অর্জন প্রকাশন,9789849377627,"1st Published,2019", ,বাংলাদেশ,বাংলা
সখিনার চন্দ্রকলা,সেলিনা হোসেন,TK. 300,TK. 225,https://rokomari.com//book/196145/sokhinar-chondrokola,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/718ff8fd5_196145.jpg,"",সখিনার চন্দ্রকলা,সেলিনা হোসেন, , ,অর্জন প্রকাশন,9789849372704,"1st Published,2020",168,বাংলাদেশ,বাংলা
ট্যাঙ্কিতে কালো ভূত!,অরুণ কুমার বিশ্বাস,TK. 200,TK. 150,https://rokomari.com//book/179547/tankite-kalo-bhut,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/7cb6552ce_179547.jpg,"",ট্যাঙ্কিতে কালো ভূত!,অরুণ কুমার বিশ্বাস, , ,অর্জন প্রকাশন,9789849377641,"1st Published,2018",64,বাংলাদেশ,বাংলা
একগুচ্ছ হাসির গল্প,বিশ্বজিৎ দাস,TK. 200,TK. 150,https://rokomari.com//book/199612/ekguccho-hasir-golpo,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/3f5465f77_199612.jpg,"",একগুচ্ছ হাসির গল্প,বিশ্বজিৎ দাস, , ,অর্জন প্রকাশন,9789849472803,"1st Published,2020",96,বাংলাদেশ,বাংলা
মনীষী বচনামৃত,তাপস রায়,TK. 150,TK. 113,https://rokomari.com//book/199611/monishi-bochonmrito,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/3e9f86e5f_199611.jpg,"",মনীষী বচনামৃত, , , ,অর্জন প্রকাশন, , , ,বাংলাদেশ,বাংলা
মাসুদ রানা যখন গোল আলু,বিশ্বজিৎ দাস,TK. 200,TK. 150,https://rokomari.com//book/182527/masud-rana-jokhon-golaloo,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/264793b0b_182527.jpg,"",মাসুদ রানা যখন গোল আলু,বিশ্বজিৎ দাস, , ,অর্জন প্রকাশন,9789849377603,"1st Published,2019", ,বাংলাদেশ,বাংলা
সময় এখন বাংলাদেশের,লায়ন মুহা. মীযানুর রহমান ,TK. 120,TK. 90,https://rokomari.com//book/196142/somoy-ekhon-bangladesher,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/f1f95c3e4_196142.jpg,"",সময় এখন বাংলাদেশের,লায়ন মুহা. মীযানুর রহমান, , ,অর্জন প্রকাশন,9789849472766,"1st Published,2020",48,বাংলাদেশ,বাংলা
