Title,Author,Original Price,Discounted Price,URL,Image,Summary,Book_Title,Book_Author,Translator,Editor,Publisher,ISBN,Edition,Number Of Pages,Country,Language
"You Are Not So Smart: Why You Have Too Many Friends on Facebook, Why Your Memory Is Mostly Fiction, an d 46 Other Ways You're Deluding Yourself",ডেভিড ম্যাকরেনি,"","TK. 2,245",https://rokomari.com//book/181591/you-are-not-so-smart--why-you-have-too-many-friends-on-facebook--why-your-memory-is-mostly-fiction--an-d-46-other-ways-you-re-deluding-yourself,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/50711ff2f_181591.jpg,"","You Are Not So Smart: Why You Have Too Many Friends on Facebook,Why Your Memory Is Mostly Fiction,an d 46 Other Ways You're Deluding Yourself",David McRaney, , ,Avery,9781592407361,"Reprint Edition,2012",320,India,English
The Archetype Diet: Reclaim Your Self-Worth and Change the Shape of Your Body,ডানা জেমস,"","TK. 2,524",https://rokomari.com//book/168208/the-archetype-diet--reclaim-your-self-worth-and-change-the-shape-of-your-body,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/a6a68214e_168208.jpg,"",The Archetype Diet: Reclaim Your Self-Worth and Change the Shape of Your Body,Dana James, , ,Avery,9780735213760,"1st Edition,2018",336,India,English
"Eats, Shoots and Leaves: The Zero Tolerance Approach to Punctuation",লিন্নি ট্রাস,"","TK. 2,158",https://rokomari.com//book/175872/eats--shoots-and-leaves--the-zero-tolerance-approach-to-punctuation,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/a029bf487_175872.jpg,"","Eats,Shoots and Leaves: The Zero Tolerance Approach to Punctuation",Lynne Truss, , ,Avery,9781592402038,"Reprint edition,2006",240,India,English
Brain Food: The Surprising Science of Eating for Cognitive Power,ডাঃ লিসা মোসকোনি,"","TK. 2,160",https://rokomari.com//book/161380/brain-food--the-surprising-science-of-eating-for-cognitive-power,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/e2260597d_161380.jpg,"",Brain Food: The Surprising Science of Eating for Cognitive Power,Dr. Lisa Mosconi, , ,Avery,9780399573996,"1st Edition,2018",368,USA,English
The Wisdom Paradox: How Your Mind Can Grow Stronger As Your Brain Grows Older,এলখোনন গোল্ডবার্গ,"","TK. 2,358",https://rokomari.com//book/161470/the-wisdom-paradox--how-your-mind-can-grow-stronger-as-your-brain-grows-older,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/38d6d0e26_161470.jpg,"",The Wisdom Paradox: How Your Mind Can Grow Stronger As Your Brain Grows Older,Elkhonon Goldberg, , ,Avery,9781592401871," Reprint edition,2006",352,India,English
Smarter: The New Science of Building Brain Power,ড্যান হার্লি,"",TK. 808,https://rokomari.com//book/161777/smarter--the-new-science-of-building-brain-power,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/da3e8175a_161777.jpg,"",Smarter: The New Science of Building Brain Power,Dan Hurley, , ,Avery,9781594631276,"1st Edition,2013",304,India,English
"20/20 Thinking: 1,000 Powerful Strategies to Sharpen Your Mind, Brighten Your Mood, and Boost Your Memory",ম্যাগি গ্রিনউড-রবিনসন,"","TK. 2,099",https://rokomari.com//book/161902/20-20-thinking--1-000-powerful-strategies-to-sharpen-your-mind--brighten-your-mood--and-boost-your-memory,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/581768724_161902.jpg,"","20/20 Thinking: 1,000 Powerful Strategies to Sharpen Your Mind,Brighten Your Mood,and Boost Your Memory",Maggie Greenwood-Robinson, , ,Avery,9781583331538,"1st Edition,2003",480,India,English
Why Can't I Remember?: Reversing Normal Memory Loss,পাভেল ইউসিস,"","TK. 12,735",https://rokomari.com//book/162706/why-can-t-i-remember---reversing-normal-memory-loss,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/e5460ecab_162706.jpg,"",Why Can't I Remember?: Reversing Normal Memory Loss,Pavel Yutsis, , ,Avery,9780895298416,"1st Edition,1998",220,India,English
"Reclaim Your Brain: How To Calm Your Thoughts, Heal Your Mind, And Bring Your Life Back Under Control",জোসেফ এ. অ্যানিবিলি এমডি,"","TK. 2,648",https://rokomari.com//book/170868/reclaim-your-brain--how-to-calm-your-thoughts--heal-your-mind--and-bring-your-life-back-under-control,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/de0805822_170868.jpg,"","Reclaim Your Brain: How To Calm Your Thoughts,Heal Your Mind,And Bring Your Life Back Under Control",Joseph A. Annibali MD, , ,Avery,9781594632976,"1st Edition,2015",304,India,English
Into the Magic Shop: A Neurosurgeon's Quest to Discover the Mysteries of the Brain and the Secrets of the Heart,জেমস আর. ডটি এমডি,"","TK. 3,598",https://rokomari.com//book/171060/into-the-magic-shop--a-neurosurgeon-s-quest-to-discover-the-mysteries-of-the-brain-and-the-secrets-of-the-heart,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/3c76844c7_171060.jpg,"",Into the Magic Shop: A Neurosurgeon's Quest to Discover the Mysteries of the Brain and the Secrets of the Heart,James R. Doty MD, , ,Avery,9780399183645,"Reprint edition,2017",288,India,English
"What Should I Do with the Rest of My Life?: True Stories of Finding Success, Passion, and New Meaning in the Second Half of Life",ব্রুস ফ্রাঙ্কল,"","TK. 1,156",https://rokomari.com//book/166787/what-should-i-do-with-the-rest-of-my-life---true-stories-of-finding-success--passion--and-new-meaning-in-the-second-half-of-life,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/286e98acb_166787.jpg,"","What Should I Do with the Rest of My Life?: True Stories of Finding Success,Passion,and New Meaning in the Second Half of Life",Bruce Frankel, , ,Avery,9781583334188,"Reprint Edition,2011",304,India,English
"Finding Meaning in the Second Half of Life: How to Finally, Really Grow Up",জেমস হোলিস,"","TK. 1,580",https://rokomari.com//book/167062/finding-meaning-in-the-second-half-of-life--how-to-finally--really-grow-up,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/f2d7f98df_167062.jpg,"","Finding Meaning in the Second Half of Life: How to Finally,Really Grow Up",James Hollis, , ,Avery,9781592402076,"Reprint edition,2006",288,India,English
"Playing Big: Practical Wisdom for Women Who Want to Speak Up, Create, and Lead",তারা মহর,"","TK. 2,111",https://rokomari.com//book/170016/playing-big--practical-wisdom-for-women-who-want-to-speak-up--create--and-lead,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/9b554cdae_170016.jpg,"","Playing Big: Practical Wisdom for Women Who Want to Speak Up,Create,and Lead",Tara Mohr, , ,Avery,9781592409600,"Reprint Edition,2015",304,India,English
"The Emotional Life of Your Brain: How Its Unique Patterns Affect the Way You Think, Feel, and Live--and How You Can Change Them",রিচার্ড জে ডেভিডসন,"",TK. 898,https://rokomari.com//book/166251/the-emotional-life-of-your-brain--how-its-unique-patterns-affect-the-way-you-think--feel--and-live--and-how-you-can-change-them,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/c4bfee71b_166251.jpg,"","The Emotional Life of Your Brain: How Its Unique Patterns Affect the Way You Think,Feel,and Live--and How You Can Change Them",Richard J. Davidson, , ,Avery,9780452298880,"Reprint edition ,2012",304,India,English
How Enlightenment Changes Your Brain: The New Science of Transformation,মার্ক রবার্ট ওয়াল্ডমান,"","TK. 1,573",https://rokomari.com//book/166276/how-enlightenment-changes-your-brain--the-new-science-of-transformation,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/a0ecfa044_166276.jpg,"",How Enlightenment Changes Your Brain: The New Science of Transformation,"Mark Robert Waldman,Andrew B. Newberg", , ,Avery,9780399185595,"Reprint edition ,2017",288,India,English
"Emotional Agility: Get Unstuck, Embrace Change, and Thrive in Work and Life","সুসান ডেভিড, পিএইচডি","","TK. 2,308",https://rokomari.com//book/133120/emotional-agility--get-unstuck--embrace-change--and-thrive-in-work-and-life,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/8945e6933fa4_133120.jpg,"","Emotional Agility: Get Unstuck,Embrace Change,and Thrive in Work and Life","Susan David,Ph.D", , ,Avery,9781592409495,"1st Edition,2016",288,India,English
The Book of Joy: Lasting Happiness in a Changing World,ডগলাস কার্লটন অ্যাব্রাহামস,"","TK. 2,191",https://rokomari.com//book/133506/the-book-of-joy--lasting-happiness-in-a-changing-world,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/d65fa6e8ca74_133506.jpg,"",The Book of Joy: Lasting Happiness in a Changing World,"Douglas Carlton Abrams,Dalai Lama,Desmond Tutu", , ,Avery,9780399185045,"1st Edition,2016",368,India,English
"The Upside of Stress: Why Stress Is Good for You, and How to Get Good at It ",কেলি ম্যাকগনিগাল,"","TK. 2,527",https://rokomari.com//book/135912/the-upside-of-stress--why-stress-is-good-for-you--and-how-to-get-good-at-it-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/76745e333014_135912.jpg,"","The Upside of Stress: Why Stress Is Good for You,and How to Get Good at It ",Kelly McGonigal , , ,Avery,9781101982938,"1st Edition,2016",304,India,English
"Sleep: A Groundbreaking Guide to the Mysteries, the Problems, and the Solution",কার্লোস এইচ শেনক,"","TK. 1,695",https://rokomari.com//book/153306/sleep--a-groundbreaking-guide-to-the-mysteries--the-problems--and-the-solution,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/90b2add31_153306.jpg,"","Sleep: A Groundbreaking Guide to the Mysteries,the Problems,and the Solution",Carlos H. Schenck, , ,Avery,9781583333013,"1st Edition,2008",320,India,English
The End Of Alzheimer'S: The First Program To Prevent And Reverse Cognitive Decline,ডেল ব্রেডসেন,"","TK. 2,304",https://rokomari.com//book/151681/the-end-of-alzheimer-s--the-first-program-to-prevent-and-reverse-cognitive-decline,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/5ab3756ee_151681.jpg,"",The End Of Alzheimer'S: The First Program To Prevent And Reverse Cognitive Decline,Dale Bredesen, , ,Avery,9780735216204,"1st Edition,2017",320,USA,English
The End of Alzheimer's: The First Program to Prevent and Reverse Cognitive Decline,ডেল ব্রেডসেন,"","TK. 1,679",https://rokomari.com//book/151827/the-end-of-alzheimer-s--the-first-program-to-prevent-and-reverse-cognitive-decline,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/d99c6e393_151827.jpg,"",The End of Alzheimer's: The First Program to Prevent and Reverse Cognitive Decline,Dale Bredesen, , ,Avery,9780735216204,"1st Edition,2017",320,India,English
"Altered Traits: Science Reveals How Meditation Changes Your Mind, Brain, and Body",রিচার্ড জে ডেভিডসন,"","TK. 2,291",https://rokomari.com//book/151866/altered-traits--science-reveals-how-meditation-changes-your-mind--brain--and-body,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/dfca88848_151866.jpg,"","Altered Traits: Science Reveals How Meditation Changes Your Mind,Brain,and Body","Richard J. Davidson,Daniel Goleman", , ,Avery,9780399184383,"1st Edition,2017",336,India,English
"I Thought It Was Just Me : Making the Journey from ""What Will People Think?"" to ""I Am Enough""",ব্রেন ব্রাউন,"","TK. 1,445",https://rokomari.com//book/151943/i-thought-it-was-just-me---making-the-journey-from--what-will-people-think---to--i-am-enough-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/ef4149e0d_151943.jpg,"","I Thought It Was Just Me : Making the Journey from ""What Will People Think?"" to ""I Am Enough""",Brene Brown, , ,Avery,9781592403356,"1st Edition,2007",336,India,English
The Hoops Whisperer: On the Court and Inside the Heads of Basketball's Best Players,আইডান রাভিন,"","TK. 1,976",https://rokomari.com//book/122284/the-hoops-whisperer--on-the-court-and-inside-the-heads-of-basketball-s-best-players,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/86aaa95c5804_122284.jpg,"",The Hoops Whisperer: On the Court and Inside the Heads of Basketball's Best Players,Idan Ravin, , ,Avery,9781592409372,"Reprint Edition,2015",256,India,English
