Title,Author,Original Price,Discounted Price,URL,Image,Summary,Book_Title,Book_Author,Translator,Editor,Publisher,ISBN,Edition,Number Of Pages,Country,Language
সে ইরাবতী ,প্রচেত গুপ্ত ,"",TK. 450,https://rokomari.com//book/91617/se-irabori,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/b9effde72_91617.jpg,"অপমান অসম্মান যাকে বিধ্বস্ত করেছে। আর তারপরেও ধ্বংসস্তূপ সরিয়ে উঠে দাঁড়িয়েছে টানটান মাথা উঁচু করে। গড়পড়তা চাকরি, বিয়ে আর শরীরের কামনায় আটকে রাখেনি নিজেকে। জীবনকে সে দেখেছে চ্যালেঞ্জ হিসাবে। যে জীবন স্বপ্নে, সাহসে ঝলসে ওঠে। সে ইরাবতী, সে এক ধারালো মেয়ে।",সে ইরাবতী,প্রচেত গুপ্ত, , ,অভিযান (ভারত),9789380197500,"1st Published,2015",224,ভারত,বাংলা
রবীদ্রনাথ ও রবীন্দ্রোত্তর কাব্য বীক্ষণ,তরুণ সান্যাল,"",TK. 450,https://rokomari.com//book/132637/rabindronath-o-rabindruttor-kabyo-bikkhon,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/1d63dc683_132637.jpg,"",রবীদ্রনাথ ও রবীন্দ্রোত্তর কাব্য বীক্ষণ,তরুণ সান্যাল, , ,অভিযান (ভারত),9789380197296,"1st Published,2014",207,ভারত,বাংলা
বাংলাদেশের অন্য সিনেমা (৫ম খণ্ড),সুশীল সাহা,"",TK. 270,https://rokomari.com//book/132813/bangladesher-onno-cinema-5th-part,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/813f5a228_132813.jpg,"",বাংলাদেশের অন্য সিনেমা (৫ম খণ্ড), , ,সুশীল সাহা,অভিযান (ভারত),9789380197128,"1st Published,2013",128,ভারত,বাংলা
বাংলাদেশের অন্য সিনেমা ( ১ম খণ্ড),সুশীল সাহা,"",TK. 405,https://rokomari.com//book/132812/bangladesher-onno-cinema-1st-part,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/bea18a5ad_132812.jpg,"",বাংলাদেশের অন্য সিনেমা ( ১ম খণ্ড), , ,সুশীল সাহা,অভিযান (ভারত),9789380197128,"1st Published,2013",176,ভারত,বাংলা
বাংলাদেশের অন্য সিনেমা ( ৩য় খণ্ড),সুশীল সাহা,"",TK. 405,https://rokomari.com//book/132811/bangladesher-onno-cinema-3rd-part,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/d3baa49bf_132811.jpg,"",বাংলাদেশের অন্য সিনেমা ( ৩য় খণ্ড), , ,সুশীল সাহা,অভিযান (ভারত),9789380197128,"1st Published,2013",176,ভারত,বাংলা
বাংলাদেশের অন্য সিনেমা ( ২য় খণ্ড),সুশীল সাহা,"",TK. 270,https://rokomari.com//book/132810/bangladesher-onno-cinema-2nd-part,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/722495e0b_132810.jpg,"",বাংলাদেশের অন্য সিনেমা ( ২য় খণ্ড), , ,সুশীল সাহা,অভিযান (ভারত),9789380197128,"1st Published,2013",128,ভারত,বাংলা
বাংলাদেশের অন্য সিনেমা (৬ ষ্ঠ খণ্ড),সুশীল সাহা,"",TK. 270,https://rokomari.com//book/132809/bangladesher-onno-cinema-6th-part,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/d713bffc7_132809.jpg,"",বাংলাদেশের অন্য সিনেমা (৬ ষ্ঠ খণ্ড), , ,সুশীল সাহা,অভিযান (ভারত),9789380197128,"1st Published,2013",112,ভারত,বাংলা
পাশ্চাত্যশিল্পে আধুনিকতাবাদী আন্দোলন ও ভারতের চিত্রকলা,মৃণাল ঘোষ,"","TK. 1,170",https://rokomari.com//book/132823/pashchattoshilpe-adhunikotabadi-andolon-o-varoter-chitrokola,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",পাশ্চাত্যশিল্পে আধুনিকতাবাদী আন্দোলন ও ভারতের চিত্রকলা,মৃণাল ঘোষ, , ,অভিযান (ভারত), ,2014, ,ভারত,বাংলা
বাংলাদেশের অন্য সিনেমা (৪ র্থ খণ্ড),সুশীল সাহা,"",TK. 360,https://rokomari.com//book/132808/bangladesher-onno-cinema-4th-part,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/3c5c798d0_132808.jpg,"",বাংলাদেশের অন্য সিনেমা (৪ র্থ খণ্ড), , ,সুশীল সাহা,অভিযান (ভারত), ,2013, ,ভারত,বাংলা
সাগর হইতে সাবধান,প্রচেত গুপ্ত ,"",TK. 360,https://rokomari.com//book/117392/sagar-hoite-sabdhane,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/509d9f372c14_117392.gif,"",সাগর হইতে সাবধান,প্রচেত গুপ্ত, , ,অভিযান (ভারত),9789380197883,"1st Published,2016",191,ভারত,বাংলা
