Title,Author,Original Price,Discounted Price,URL,Image,Summary,Book_Title,Book_Author,Translator,Editor,Publisher,ISBN,Edition,Number Of Pages,Country,Language
Doctors Directary- 9th Edition,মোঃ দেলোয়ার হোসেন লিটন,TK. 100,TK. 70,https://rokomari.com//book/177520/doctors-directary--9th-edition,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/56c583ecd_177520.jpg,"",Doctors Directary- 9th Edition, , ,Mohd. Delower Hossain Liton,Bangladeshindex.com.bd, ,"9th Edition,2020",552,Bangladesh,English
Doctors Directary-6th Edition,মোঃ দেলোয়ার হোসেন লিটন,TK. 100,TK. 70,https://rokomari.com//book/160190/doctors-directary-6th-edition,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/cc37763f2_160190.jpg,"",Doctors Directary-6th Edition, , ,Mohd. Delower Hossain Liton,Bangladeshindex.com.bd, ,"1st Published,2015",519,Bangladesh,English
Doctors Directary- 10th Edition,মোঃ দেলোয়ার হোসেন লিটন,TK. 100,TK. 70,https://rokomari.com//book/209303/doctors-directary--10th-edition,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/82bc86363_209303.jpg,"",Doctors Directary- 10th Edition,Mohd. Delower Hossain Liton, , ,Bangladeshindex.com.bd, ,"10th Edition,2021",583,Bangladesh,English
ডক্টরস ডিরেক্টরি ৮ম সংস্কণ,মোঃ দেলোয়ার হোসেন লিটন,TK. 100,TK. 90,https://rokomari.com//book/209975/doctors-directory-8th-edition,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",ডক্টরস ডিরেক্টরি ৮ম সংস্কণ,মোঃ দেলোয়ার হোসেন লিটন, , ,বাংলাদেশেইন্ডেক্স.কম.বিডি, ,"1st Published,2021",584,বাংলাদেশ,বাংলা
Doctors Directary-5th Edition ,মোঃ দেলোয়ার হোসেন লিটন,TK. 100,TK. 70,https://rokomari.com//book/160638/doctors-directary-5th-edition,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/38e861c95_160638.jpg,"",Doctors Directary-5th Edition, , ,Mohd. Delower Hossain Liton,Bangladeshindex.com.bd, ,"1st Published,2016",476,Bangladesh,English
Doctors Directary-7Edition,মোঃ দেলোয়ার হোসেন লিটন,TK. 100,TK. 70,https://rokomari.com//book/160191/doctors-directary-7edition,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/227c157ff_160191.jpg,"",Doctors Directary-7Edition, , ,Mohd. Delower Hossain Liton,Bangladeshindex.com.bd, ,"1st Published,2016",560,Bangladesh,English
Doctors Directary-3rd Edition,মোঃ দেলোয়ার হোসেন লিটন,TK. 100,TK. 70,https://rokomari.com//book/160189/doctors-directary-3rd-edition,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/668ce5414_160189.jpg,"",Doctors Directary-3rd Edition, , ,Mohd. Delower Hossain Liton,Bangladeshindex.com.bd, ,"1st Published,2014", ,Bangladesh,English
Doctors Directary-2nd Edition,মোঃ দেলোয়ার হোসেন লিটন,TK. 100,TK. 70,https://rokomari.com//book/160188/doctors-directary-2nd-edition,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/ddbce8e5e_160188.jpg,"",Doctors Directary-2nd Edition, , ,Mohd. Delower Hossain Liton,Bangladeshindex.com.bd, ,"1st Published,2013",329,Bangladesh,English
Doctors Directary-1st Edition ,মোঃ দেলোয়ার হোসেন লিটন,TK. 100,TK. 70,https://rokomari.com//book/160186/doctors-directary-1st-edition,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/9399befe3_160186.jpg,"",Doctors Directary-1st Edition, , ,Mohd. Delower Hossain Liton,Bangladeshindex.com.bd, ,"1st Published,2012",364,Bangladesh,English
Doctor's directory -4th Edition,মোঃ দেলোয়ার হোসেন লিটন,TK. 100,TK. 60,https://rokomari.com//book/100094/doctor-s-directory--4th-edition,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/2ce47afd7_100094.jpg,"",Doctor's directory -4th Edition,Mohd. Delower Hossain Liton, , ,Bangladeshindex.com.bd, ,"4th Edition,2015",259,Bangladesh,English
