Title,Author,Original Price,Discounted Price,URL,Image,Summary,Book_Title,Book_Author,Translator,Editor,Publisher,ISBN,Edition,Number Of Pages,Country,Language
জনস্বাস্থ্য ভাবনা,গৌরীপদ দত্ত,"",TK. 324,https://rokomari.com//book/171804/jonoswastyo-vabona,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",জনস্বাস্থ্য ভাবনা,গৌরীপদ দত্ত, , ,বাঙলার মুখ প্রকাশনা (ভারত), ,2011, ,ভারত,বাংলা
বাগবাজার,কিরনচন্দ্র দত্ত,"",TK. 360,https://rokomari.com//book/171798/bagbajar,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",বাগবাজার,কিরনচন্দ্র দত্ত, , ,বাঙলার মুখ প্রকাশনা (ভারত), ,2009, ,ভারত,বাংলা
স্মৃতি - সান্নিধ্যে বীরেশ্বর,দীপঙ্কর ঘোষ,"",TK. 108,https://rokomari.com//book/171799/smriti-sannidhye-bireshwor,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",স্মৃতি - সান্নিধ্যে বীরেশ্বর,দীপঙ্কর ঘোষ, , ,বাঙলার মুখ প্রকাশনা (ভারত), ,2009, ,ভারত,বাংলা
ঐতিহ্য উত্তরাধিকার,দেবব্রত বিশ্বাস,"",TK. 630,https://rokomari.com//book/171800/oitijyo-uttoradhikar,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",ঐতিহ্য উত্তরাধিকার,দেবব্রত বিশ্বাস, , ,বাঙলার মুখ প্রকাশনা (ভারত), ,2014, ,ভারত,বাংলা
রাজকন্যা নিখোঁজ,অনন্যা দাশ,"",TK. 360,https://rokomari.com//book/171801/rajkonya-nikhoj,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",রাজকন্যা নিখোঁজ,অনন্যা দাশ, , ,বাঙলার মুখ প্রকাশনা (ভারত), ,2015, ,ভারত,বাংলা
হীরাবাই,কৃষ্ণানন্দ শর্মা,"",TK. 225,https://rokomari.com//book/171803/hirabai,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",হীরাবাই,কৃষ্ণানন্দ শর্মা, , ,বাঙলার মুখ প্রকাশনা (ভারত), ,2011, ,ভারত,বাংলা
পার্বত্য-কাহিনী: সাঁওতাল পরগণার ইতিবৃত্ত,ড. প্রভাস চন্দ্র রায়,"",TK. 270,https://rokomari.com//book/171806/parbotyo-kahini--sawtal-porgonar-itibrityo,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",পার্বত্য-কাহিনী: সাঁওতাল পরগণার ইতিবৃত্ত,ড. প্রভাস চন্দ্র রায়, , ,বাঙলার মুখ প্রকাশনা (ভারত), ,2011, ,ভারত,বাংলা
অন্তপ্রহর,মলয়শঙ্কর ভট্টাচার্য,"",TK. 360,https://rokomari.com//book/171809/ontoprohor,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",অন্তপ্রহর,মলয়শঙ্কর ভট্টাচার্য, , ,বাঙলার মুখ প্রকাশনা (ভারত), ,2011, ,ভারত,বাংলা
পথের পাঁচালী কে বিভূতিবাবু,যোগেন্দ্রনাথ সিংহ,"",TK. 234,https://rokomari.com//book/171811/pother-pachali-ke-bibutibabu,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",পথের পাঁচালী কে বিভূতিবাবু,যোগেন্দ্রনাথ সিংহ, , ,বাঙলার মুখ প্রকাশনা (ভারত), ,2011, ,ভারত,বাংলা
আনন্দধাম,গুঞ্জন ঘোষ,"",TK. 252,https://rokomari.com//book/171812/anondodham,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",আনন্দধাম,গুঞ্জন ঘোষ, , ,বাঙলার মুখ প্রকাশনা (ভারত), ,2015, ,ভারত,বাংলা
