Title,Author,Original Price,Discounted Price,URL,Image,Summary,Book_Title,Book_Author,Translator,Editor,Publisher,ISBN,Edition,Number Of Pages,Country,Language
সোনার বাঙলার রূপালী কথা,পিনাকী ভট্টাচার্য,TK. 300,TK. 225,https://rokomari.com//book/112594/sonali-banglar-rupali-kotha,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/18ca177c29f4_112594.gif,"",সোনার বাঙলার রূপালী কথা,পিনাকী ভট্টাচার্য, , ,বাতিঘর,9789848825167,"1st Published,2016",223,বাংলাদেশ,বাংলা
লাল সন্ত্রাস: সিরাজ সিকদার ও সর্বহারা রাজনীতি,মহিউদ্দিন আহমদ,TK. 800,TK. 600,https://rokomari.com//book/210454/lal-shontrash--siraj-sikder-o-sharbohara-rajniti,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/0c9b25d24_210454.jpg,"সত্তরের দশকের শুরুতে কয়েকটি বছর বাংলাদেশের ওপর দিয়ে বয়ে গেছে প্রচণ্ড এক ঝড়ো হাওয়া। এ সময় অল্প কয়েকজন ব্যক্তি নানাভাবে এ দেশের তরুণদের মনোজগতে সাড়া জাগাতে পেরেছিলেন। তাঁদের একজন সিরাজ সিকদার। তাঁর নেতৃত্বে পূর্ব বাংলার সর্বহারা পার্টি ছিলো ওই সময়ের এক আলোচিত চরিত্র। তরুণদের একটা বড় অংশ এই দলের সশস্ত্র ধারার রাজনীতিতে শামিল হয়েছিলেন। তাঁরা কারও চোখে বিপ্লবী, কারও চোখে সন্ত্রাসী। বাংলাদেশের রাজনীতির ইতিহাসের ব্যবচ্ছেদ করতে হলে অনিবার্যভাবেই উঠে আসবে সিরাজ সিকদার এবং সর্বহারা পার্টির রাজনীতির প্রসঙ্গ। এ নিয়ে আছে অনেক আলোচনা, সমালোচনা, বিতর্ক ও বিভ্রান্তি। এ বইয়ে উঠে এসেছে অন্তরঙ্গ বিবরণ, যা পাঠককে নিয়ে যাবে পাঁচ দশক পেছনে।",লাল সন্ত্রাস: সিরাজ সিকদার ও সর্বহারা রাজনীতি,মহিউদ্দিন আহমদ, , ,বাতিঘর,9789849533610,"1st Published,2021",432,বাংলাদেশ,বাংলা
বেলা-অবেলা,মহিউদ্দিন আহমদ,TK. 700,TK. 525,https://rokomari.com//book/195759/bela-obela,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/6480d1e72_195759.jpg,"বাহাত্তরে একটা ধ্বংসস্তুপের মধ্যে উঠে দাড়াল বাংলাদেশ। সরকারের হাল ধরল আওয়ামী লীগ। এর মধ্যে দেশে অনেক ওলটপালট হয়ে গেছে। জনজীবনের স্বাভাবিক ছন্দ গেছে হারিয়ে। মানুষের আকাঙ্ক্ষা হয়েছে আকাশছোঁয়া। রাজনীতি বদলে যাচ্ছে, সমাজে চাহিদারও পরিবর্তন হচ্ছে। দেশ এগােচ্ছে টানাপােড়েনের মধ্য দিয়ে। সংসদীয় গণতন্ত্রের পাশাপাশি জন্ম নিয়েছে গােপন রাজনীতির সশস্ত্র ধারা। তিন বছর যেতে না যেতেই হোঁচট খেল সংবিধান। দেশে জারি হলাে জরুরি আইন, একদলীয় সরকারব্যবস্থা। পঁচাত্তরের আগস্টে হটল রক্তাক্ত পালাবদল । হত্যা, অভ্যুত্থান আর পাল্টা অভ্যুত্থানে টালমাটাল হলাে দেশ। অস্থির সেই সময়ের ছবি তুলে ধরার চেষ্টা করা হয়েছে এ বইয়ে।",বেলা-অবেলা,মহিউদ্দিন আহমদ, , ,বাতিঘর,9789848034682,"1st Published,2020", ,বাংলাদেশ,বাংলা
শেষের কবিতা,রবীন্দ্রনাথ ঠাকুর,TK. 200,TK. 150,https://rokomari.com//book/121601/shesher-kobita,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/28b9586f3_121601.jpg,"",শেষের কবিতা,রবীন্দ্রনাথ ঠাকুর, , ,বাতিঘর,9789848825419,"1st Published,2019",134,বাংলাদেশ,বাংলা
ভারতীয় দর্শনের মজার পাঠ,পিনাকী ভট্টাচার্য,TK. 300,TK. 225,https://rokomari.com//book/128971/varotiyo-dorshoner-mojar-path,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/d541eb0e8924_128971.jpg,"",ভারতীয় দর্শনের মজার পাঠ,পিনাকী ভট্টাচার্য, , ,বাতিঘর,9789848825686,"1st Published,2017",136,বাংলাদেশ,বাংলা
এনলাইটেনমেন্ট থেকে পোস্ট মডার্নিজম: চিন্তার অভিযাত্রা,পিনাকী ভট্টাচার্য,TK. 200,TK. 150,https://rokomari.com//book/184513/enlightenment-theek-postmodernism---chintar-ovizatra,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/b3d949eec_184513.jpg,"ফ্ল্যাপে লেখা কথা
আধুনিকতা বা মডার্নিজমের মতাে। উত্তর-আধুনিকতাও একটি দৃষ্টিভঙ্গি।। আধুনিকতার ধারণার অভিঘাতেই তার পাল্টা প্রতিক্রিয়া হিসেবে জন্ম নিয়েছে। উত্তর-আধুনিকতা বা পােস্ট মডার্নিজম। উত্তর-আধুনিকতাকে বােঝার জন্য আমাদেরকে প্রথমেই আধুনিকতাকে বুঝতে হবে। কেননা, এর মধ্য থেকেই উত্তর-আধুনিকতার যাত্রা শুরু হয়েছিল। আধুনিকতার জন্ম আবার পুঁজিবাদ বা ক্যাপিটালিজমের মনােগাঠনিক চিন্তা হিসেবে । এই আধুনিকতাকে বােঝা ছাড়া বিংশ শতাব্দীর জটিল চিন্তা-কাঠামাে বােঝা রীতিমতাে অসম্ভব। পােস্ট মডার্নিস্ট চিন্তা ঠিক কীভাবে আধুনিকতার ক্রিটিক করে সেটা জানাও জরুরি। এনলাইটেনমেন্ট থেকে পােস্ট মডার্নিজম: চিন্তার অভিযাত্রা বইতে খুব সহজ করে আধুনিকতা আর উত্তর-আধুনিকতাকে ব্যাখ্যা করার চেষ্টা করা হয়েছে।
ভূমিকা
দর্শন বা চিন্তার আলােচনায় কেউ আগ্রহী হয় না কেন। এটা আমার অনেক দিনেরই জিজ্ঞাস্য ছিল। আমার যেটা ধারণা তা হচ্ছে, চিন্তার ইতিহাসের যে ব্যাপ্তি সেটা নিয়ে কম্প্রিহেনসিভভাবে বলতে বা লিখতে পারার মানুষ খুব কম আছে। দর্শনের আলােচনা এমন জটিল আর দুর্বোধ্যভাবে বিজ্ঞজনেরা করে থাকেন যে, সেটায় আগ্রহ ধরে রাখা কারাে জন্যই সম্ভব নয়। বাংলাদেশে প্রকাশিত কিছু দর্শনের বই আমি পড়ে দেখার চেষ্টা করেছি। আক্ষরিক অর্থেই বুঝতে পারিনি লেখক কী বলতে চাচ্ছেন। অথচ এই চিন্তার ইতিহাস অত্যন্ত আনন্দদায়ক পাঠ হতে পারে যদি সেভাবে লেখা যায়। আমার কিছু বইয়ে পিতা-পুত্রের বৈঠকি আলাপের ঢঙে বেশ জটিল বিষয় নিয়েও বই লিখেছি। যেমন: ভারতীয় দর্শনের মজার পাঠ। পাঠক বইটা আগ্রহ নিয়েই পড়েছে।
এই বইটা সেই লক্ষ্য নিয়েই লেখা। আমাদের আধুনিকতার কালপর্বটা নিয়ে পরিচ্ছন্ন ধারণা থাকাটা রাজনৈতিক কারণেই খুব জরুরি। নইলে আমরা ভুল করে শত্রুদের কাতারে দাঁড়িয়ে বন্ধুদের বিরুদ্ধে কৃপাণ তুলে ফেলতে পারি। এই ভুল বাংলাদেশের রাজনীতিতে বারবারই হয়েছে।
চিন্তার ইতিহাস নিয়ে যারা গভীরভাবে জানতে চান, এই বইটা তাদের জন্য নয়। এই বইটা গভীর একাডেমিক ইন্টারেস্ট নিয়ে পড়তে গেলে হতাশ হতে পারেন। তবে চিন্তার ইতিহাস জানার জন্য আগ্রহ আছে; বিষয়টা নিয়ে আরাে পড়তে বা জানতে চান তাদের জন্য বইটির পাঠ উপভােগ্য হবে এতে কোনাে সন্দেহ নেই।
বইটা আমার এমন এক ব্যক্তিগত সময়ে লেখা হয়েছে যখন আমি আত্মগােপনে, এক জায়গা থেকে আরেক জায়গায় পালিয়ে বেড়াচ্ছি। মুক্ত পরিবেশে, নিজের পরিচিত পরিমণ্ডলে বসে লেখা আর এমন একটা অনিশ্চিত উত্তেজনাকর সময়ে বসে লেখা দুটোই ভিন্ন অভিজ্ঞতা।
আপনার আনন্দময় পাঠ কামনা করছি।
-পিনাকী ভট্টাচার্য",এনলাইটেনমেন্ট থেকে পোস্ট মডার্নিজম: চিন্তার অভিযাত্রা,পিনাকী ভট্টাচার্য, , ,বাতিঘর,9789848034217,"1st Published,2019",103,বাংলাদেশ,বাংলা
পিএইচডির গল্প,আসিফ নজরুল ,TK. 250,TK. 188,https://rokomari.com//book/209642/phd-r-golpo,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/3975b3f79_209642.jpg,"",পিএইচডির গল্প,আসিফ নজরুল, , ,বাতিঘর,9789849489696,"1st Published,2021",120,বাংলাদেশ,বাংলা
তিন ভুবনের শিক্ষা: জাপান-নেদারল্যান্ডস-বাংলাদেশ,তানজীনা ইয়াসমিন,TK. 300,TK. 225,https://rokomari.com//book/181416/tin-bhuboner-shikkha---japan-netherlands-bangladesh,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/bc0b0bb9f_181416.jpg,"""তিন ভুবনের শিক্ষা: জাপান-নেদারল্যান্ডস-বাংলাদেশ"" বইয়ের মুখবন্ধ:

একজন বাঙালী মা অথবা বাবা, যিনি বাংলাদেশে লেখাপড়া করেছেন, ভালাে-মন্দ বহু ধরণের অভিজ্ঞতার মধ্য দিয়ে শিক্ষাজীবন শেষ করেছেন, তিনি যখন শিক্ষাদীক্ষায় উন্নত একটা দেশে গিয়ে নিজের সন্তানের শিক্ষাজীবনের অভিজ্ঞতার অংশী হচ্ছেন, তখন তাকে কিভাবে দেখছেন, বা নিজের অভিজ্ঞতার সাথে মিলিয়ে কিভাবে চমকৃত বা হতাশ হচ্ছেন—এটা খুব সহজ-সরলভাবে তুলে ধরাই ছিল এই বইয়ের পাণ্ডুলিপি পরিকল্পনার প্রধান বিবেচ্য। একইসাথে লক্ষ্য ছিল বাংলাদেশের একজন বাবা অথবা মা এখানে যেভাবে তার বাচ্চার শিক্ষাজীবনের অভিজ্ঞতার অংশী হচ্ছেন তাকেও পাণ্ডুলিপিতে পাশাপাশি রাখা। এতে করে আমাদের ধারণা হয়েছিল, বাংলাদেশের একজন অভিভাবক অথবা শিক্ষক অথবা শিক্ষা-প্রশাসন ও ব্যবস্থাপনার সাথে যুক্ত ব্যক্তিবর্গ, তাঁরা এদেশের পরিস্থিতির সাথে শিক্ষায় উন্নত একটা দেশের তুলনা আরাে একটু ভালােভাবে করতে পারবেন। আর সন্তানের মঙ্গল যেহেতু সব বাবা-মা বা শিক্ষক-অভিভাবকই চান, সেহেতু এই তুলনার মাধ্যমে তারা নিজের সন্তান বা শিক্ষার্থীর শিক্ষাজীবন সুন্দর ও আনন্দময় করে তােলার জন্য যত্নবান হতে পারবেন। পাশাপাশি শিক্ষা-প্রশাসক বা ব্যবস্থাপকগণও তাদের পরিকল্পনা প্রণয়ন ও সিদ্ধান্ত গ্রহণের ক্ষেত্রে এই অভিজ্ঞতাগুলাে থেকে কিছু করণীয় থাকলে সে-বিষয়ে ভাবতে পারবেন। কিন্তু পৃথিবীর তিন প্রান্ত জাপান-নেদারল্যাণ্ডস-বাংলাদেশে বসে তিন জনে মিলে একটা পাণ্ডুলিপির পরিকল্পনা করা এক কথা, আর সেই পরিকল্পনা অনুযায়ী লেখা তৈরী করা আরেক কথা। অনেক ইমেইল, ইনবক্স আর কথা চালাচালি-বলাবলি করে পাণ্ডুলিপি পরিকল্পনার কঠিন কাজটি শেষ করার পর দেখা গেল সে-অনুযায়ী লেখা তৈরী করা আরাে কঠিন। কারণ একটা বাচ্চা প্রতিদিন যেভাবে বড়াে হয় এবং শিক্ষাজীবনের মধ্য দিয়ে যেতে থাকে, তার সাথে আমরা অভিভাবকেরা যতাে অঙ্গাঙ্গীভাবেই সম্পৃক্ত থাকি না কেন, তা যদি লিখতে হয় সবার উপযােগী করে, তখন বুঝতে পারি, যার সাথে আমাদের এতাে আবেগ, উদ্বেগ, তাড়না, কষ্ট, ভালােলাগা, হতাশা ও প্রাপ্তি জড়িত, তা ভাষায় প্রকাশ করা কতখানি ধৈর্য ও পরিশ্রমের বিষয়। মনে হয় এর চেয়ে একটা গল্প-উপন্যাস বা প্রবন্ধ লিখে ফেলা অনেক সহজ। আপাত সহজ, কিন্তু প্রকৃত অর্থে জটিল সেই কাজটি করতে তাই আমাদের প্রায় দুই বছরেরও বেশী সময় লেগেছে। এর মাঝে অনেক মা-বাবাই আমাদের এই পরিকল্পনার অংশী হয়ে তাঁদের সন্তানের অভিজ্ঞতার কথা লিখতে চেয়েছিলেন। কিন্তু যেটা আগে বললাম, যা প্রতিদিন এতােটা বাস্তব, এতােটা সজীব, যার ভুক্তভােগী অথবা ফলভােগী আমি নিজে। প্রতিদিন এভাবে, তা অপরের জন্য সুন্দর করে লেখা সহজ নয়। তাই যারা লিখতে চেয়েও লিখতে পারেননি, এই লেখা তাঁদেরও। সম্মিলিত এই আমাদের লেখায় নানা অসঙ্গতি নিশ্চিতভাবেই রয়েছে, যেগুলাে সম্মিলিতভাবেই আমরা পরবর্তী সংস্করণে পরিমার্জনা করতে চাই। তাই সে-বিষয়ে সকল পাঠক, অভিভাবক ও শিক্ষকের সহযােগিতার প্রত্যাশা। আমরা আশা করি দেশ-বিদেশের আরাে অনেক বাবা-মা-শিক্ষকঅভিভাবক এই লেখা পাঠ করে তাঁদের অভিজ্ঞতার কথা লিখতে উৎসাহী হবেন। আর সেসব অভিজ্ঞতার সারাৎসার নিয়ে আমরা আগামীতে এমন শিক্ষাব্যবস্থা নির্মাণ করতে পারবাে যার মাধ্যমে একদিন এই ধ্বংসােন্মত্ত পৃথিবীর গতিমুখ ঘুরিয়ে দিতে পারবাে। যে অগণিত শিশু প্রতিদিন কোন তারার জগৎ থেকে ছুটে আসে, আর আমাদের প্রিয় কবির ভাষায় যার গায়ে নক্ষত্রের শীত লাগে, তার জন্য এক আলােকময় পৃথিবী নির্মাণ। করতে পারবাে।",তিন ভুবনের শিক্ষা: জাপান-নেদারল্যান্ডস-বাংলাদেশ,"তানজীনা ইয়াসমিন,রাখাল রাহা,তানবীরা তালুকদার", , ,বাতিঘর,9789849096092,"1st Published,2019",166,বাংলাদেশ,বাংলা
শেখ মুজিব : তাঁকে যেমন দেখেছি,আবুল ফজল,TK. 250,TK. 188,https://rokomari.com//book/112607/sheikh-mujib---tanke-jeman-dekhechi,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/49bc7a4dced4_112607.gif,"",শেখ মুজিব : তাঁকে যেমন দেখেছি,আবুল ফজল, , ,বাতিঘর,9789848825242,"1st Edition,2016",119,বাংলাদেশ,বাংলা
৩২ নম্বর পাশের বাড়ি: ২৫ মার্চ ১৫ আগস্ট,মহিউদ্দিন আহমদ,TK. 200,TK. 150,https://rokomari.com//book/194950/32-number-pasher-bari--25-march-15-august,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/49291e1f9_194950.jpg,"",৩২ নম্বর পাশের বাড়ি: ২৫ মার্চ ১৫ আগস্ট,মহিউদ্দিন আহমদ, , ,বাতিঘর,9789848034514,"1st Published,2020",108,বাংলাদেশ,বাংলা
