Title,Author,Original Price,Discounted Price,URL,Image,Summary,Book_Title,Book_Author,Translator,Editor,Publisher,ISBN,Edition,Number Of Pages,Country,Language
বাংলাদেশের সংবিধান,আরিফ খান,TK. 500,TK. 350,https://rokomari.com//book/86027/bangladesher-songbidhan,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/4efa9c1e5_86027.jpg,"সংক্ষিপ্ত ইতিহাস ও তথ্য-উপাত্তসহ
বাংলাদেশের সংবিধান

বইটি কেন পড়বেন
* এখন পর্যন্ত এটিই প্রথম ও একমাত্র বই যাতে সম্পূর্ণ সংবিধান এবং এর প্রতিটি অনুচ্ছেদের এক বা একাধিক ব্যাখ্যা প্রদান করা হয়েছে। 

* সংবিধানের বিভিন্ন অনুচ্ছেদে ব্যবহৃত বিভিন্ন টার্মের প্রাসঙ্গিক ও সহজবোধ্য ব্যাখ্যা প্রধান করা হয়েছে এই বইতে। ফলে, অনায়াসে সংবিধানের বিভিন্ন বিষয় আয়ত্ত করা সম্ভব হবে।

* সহজে বুঝার সুবিধার্থে এই বইয়ে সংবিধানের অনুচ্ছেদসমূহ আলাদাভাবে নীল কালিতে ছাপা হয়েছে।

* এই বইয়ে বাংলাদেশের সংবিধান তৈরির ইতিহাস সংক্ষেপে তুলে ধরা হয়েছে। বাজারে প্রচলিত অন্য কোনো বইতে এই তথ্যগুলো নেই।

* সংবিধানের অনুচ্ছেদ, দফা, উপদফা এগুলোর সংজ্ঞা কী? এগুলোকে কেন এই নামে ডাকা হয়? এদের একটির সঙ্গে আরেকটির পার্থক্য কী/ ইত্যাদি চমকপ্রদ তথ্যসম্বলিত একটি আলাদা অধ্যায় যুক্ত করা হয়েছে এই বইয়ে। বলাবাহুল্য,
বাংলাদেশের কোনো বইয়েই সংবিধান পড়ার নিয়ম-সংক্রান্ত এ-জাতীয় কোনো আলোচনা নেই। ফলে, এই বইটি সংবিধান বিষয়ে পূর্ণাঙ্গ ও সঠিক জ্ঞান অর্জন করতে আপনাকে সবচেয়ে বেশি সাহায্য করবে।",বাংলাদেশের সংবিধান,আরিফ খান, , ,বেঙ্গল ল বুকস্‌,9789849071518,"৬ষ্ঠ মুদ্রণ,২০২১",496,বাংলাদেশ,বাংলা
এসেনশিয়াল রেফারেন্সস্ ফর অ্যাডভোকেটস অ্যান্ড জাজেস,আরিফ খান,TK. 300,TK. 210,https://rokomari.com//book/190604/essential-references-for-advocates-and-judges,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/7855e8f63_190604.jpg,"বইটি কেন পড়বেন*
অ্যাডভোকেট ও বিচার বিভাগীয় কর্মকর্তাদের জন্য এটি একটি অবশ্য পাঠ্য বই।*
আইন ও আদালত অঙ্গণে দৈনন্দিন প্র্যাকটিস করতে গিয়ে যেসব মামলার রেফারেন্স ও অন্যান্য নিয়ম-কানুন অহরহ ব্যবহার করতে হয় সেগুলোর সুন্দর, সরল ও সুখপাঠ্য বর্ণনা আছে এই বইতে।*
নবীন অ্যাডভোকেটদের জন্য এই বইটি অপরিহার্য। কেননা, এই বইটি পড়লে তাদের ভবিষ্যতের আইনি জ্ঞানের ভিত্তি খুব মজবুত হবে।*
এই বইটি প্রতিষ্ঠিত লার্নেড অ্যাডভোকেটদের জন্য খুবই গুরুত্বপূর্ণ। কেননা, তা আপনাকে অহেতুক সময় অপচয়ের হাত থেকে বাঁচাবে।*
বাংলাদেশের আইন বিষয়ক রেডি রেফারেন্সভিত্তিক পূর্ণাঙ্গ বই এটিই প্রথম।",এসেনশিয়াল রেফারেন্সস্ ফর অ্যাডভোকেটস অ্যান্ড জাজেস,আরিফ খান, , ,বেঙ্গল ল বুকস্‌,9789849071532,"3rd Printed,2018",184,বাংলাদেশ,বাংলা
কোর্ট ডায়েরি ২০২১ (শুধুমাত্র আইনজীবীদের জন্য বাংলাদেশে প্রথম),আরিফ খান,TK. 550,TK. 512,https://rokomari.com//book/91670/court-diary-2021--the-first-in-bangladesh-for-lawyers-only-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/e5b1d69f6_91670.jpg,"বিচার বিভাগ তথা-
আইন, আদালত, আইনজীবী, আদালত কক্ষের নম্বর/অবস্থান পরিচিতি কোর্ট ফি, রেজিস্ট্রেশন ফি ও আয়কর হার সংক্রান্ত বিপুল তথ্য সম্বলিত। আইনজীবীদের পেশাগত তথ্য রেকর্ড করার জন্য বিশেষ ফরম্যাটের ডায়েরী। লাল, কালো ও নেভি ব্লু তিনটি আলাদা রঙে পাওয়া যাচ্ছে।",কোর্ট ডায়েরি ২০২১ (শুধুমাত্র আইনজীবীদের জন্য বাংলাদেশে প্রথম), , ,আরিফ খান,বেঙ্গল ল বুকস্‌, ,"3rd Edition,2021", ,বাংলাদেশ,বাংলা
মুটিং ও মুট কোর্ট,তৌফিক আমির সৌরভ,TK. 200,TK. 140,https://rokomari.com//book/190609/mooting-and-moot-court,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/d220828ea_190609.jpg,"বইটি কেন পড়বেনঃ*
মুট কোর্ট বিষয়ে বাংলা ভাষায় রচিত এটিই প্রথম ও একমাত্র বই। *
এই বই বিশ্ব বিখ্যাত ব্ল্যাকস্টোন হার্বার্ট স্মিথ মুটিং কম্পিটিশন রুলস্ অনুযায়ী রচিত হয়েছে।*
প্রাঞ্জল ভাষায় মুট কোর্ট আয়োজন সংক্রান্ত বিভিন্ন বিষয়ে আলোচনা করা হয়েছে।*
মুটারদের বক্তব্য উপস্থাপন কৌশল ও বিচারকের সামনে সাবমিশনের সময় ব্যবহৃত বিভিন্ন সম্বোধন সহজ ভাষায় বাংলা ও ইংরেজিতে বর্ণনা করা হয়েছে।*
বাংলাদেশে আইনশিক্ষার ক্ষেত্রে মুট কোর্ট চর্চা একটি নতুন দিগন্ত উন্মোচন করেছে। এই বই এক্ষেত্রে পথিকৃতের ভূমিকা রাখবে তাতে কোনো সন্দেহ নেই।",মুটিং ও মুট কোর্ট,"তৌফিক আমির সৌরভ,আরিফ খান", , ,বেঙ্গল ল বুকস্‌,9789849071556,"3rd Printed,2018",139,বাংলাদেশ,বাংলা
লিগ্যাল রিসার্চ : পদ্ধতি ও কৌশল,আরিফ খান,TK. 200,TK. 140,https://rokomari.com//book/190608/legal-research-method-and-tactics,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/62122d64c_190608.jpg,"বইটি কেন পড়বেনঃ*
বাংলা ভাষায় লিগ্যাল রিসার্চের উপর এটিই প্রথম বই। *
শুধু আইনের শিক্ষার্থীদের প্রয়োজন মাথায় রেখে এই বই রচনা করা হয়েছে। 
সহজ ভাষায় ও সহজবোধ্য পদ্ধতিতে লিগ্যাল রিসার্চ শেখার জন্য এটি একটি অনন্য বই।*
আইন বিষয়ে রিসার্চের প্রায় প্রতিটি ক্ষেত্রের প্রাসঙ্গিক উদাহরণ দেওয়া হয়েছে এই বইয়ে। ফলে, একবার পড়লেই হাতেকলমে লিগ্যাল রিসার্চ শেখা হয়ে যাবে আপনার। *
আইন বিষয়ক বিভিন্ন টার্মের সহজ ও প্রাঞ্জল বর্ণনা দেওয়া হয়েছে। এগুলো আয়ত্ত করতে পারলে আইনের যে-কোনো শিক্ষার্থী আইন বিষয়ক গবেষণা ও প্রবন্ধ লেখায় পারদর্শী হয়ে উঠবে। *
লিগ্যাল রিসার্চ শুধু আইন বিষয়ক আর্টিক্যাল বা বই লেখার জন্যই যে দরকার তা নয়। বরং এ বিষয়ে যেসব শিক্ষার্থীর দক্ষতা রয়েছে তারা এলএল.বি. (অনার্স) ও এলএল.বি. (পাসকোর্স) পরীক্ষায়ও ভালো রেজাল্ট করবে।",লিগ্যাল রিসার্চ : পদ্ধতি ও কৌশল,আরিফ খান, , ,বেঙ্গল ল বুকস্‌,9789849071549,"3rd Printed,2018",140,বাংলাদেশ,বাংলা
সাংবাদিকতা আইন ও আদালত,প্রশান্ত কুমার কর্মকার,"",TK. 300,https://rokomari.com//book/209857/journalism---law-and-courts,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/aef985c13_209857.jpg,"প্রিন্ট, ইলেকট্রনিক ও অনলাইন জার্নালিজম যে-কোনো বিটের সাংবাদিকদের জন্য একটি অপরিহার্য হ্যান্ডবুক",সাংবাদিকতা আইন ও আদালত,প্রশান্ত কুমার কর্মকার, , ,বেঙ্গল ল বুকস্‌,9789849071594,"1st Published,2020",144,বাংলাদেশ,বাংলা
ইন্টারন্যাশনাল ল এন্ড হিউমান রাইটস বাংলাদেশ পার্সপেক্টিভ,আরিফ খান,TK. 500,TK. 350,https://rokomari.com//book/190607/international-law-and-human-rights-bangladesh-perspective,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/1099ae36e_190607.jpg,"বইটি কেন পড়বেনঃ*
আন্তর্জাতিক আইনের ওপর বাংলাদেশ প্রেক্ষিতে লিখিত এটিই প্রথম ও একমাত্র বই।*
সহজ ইংরেজি ভাষায় বইটি লেখা হয়েছে, ফলে, যেকোন স্তরের শিক্ষার্থীগণ বইটি পড়ে বুঝতে সক্ষম হবেন।*
বাংলাদেশ সুপ্রিম কোর্টের যেসব মামলার রায়ে আন্তর্জাতিক আইনের প্রভাব রয়েছে সেসব মামলার আলোকে বিভিন্ন অধ্যায় ব্যাখ্যা করা হয়েছে, বাজারে প্রচলিত অন্য কোন বইয়ে এসব মামলা আলোচিত হয়নি।*
আন্তর্জাতিক আইনের ক্ষেত্রে সবচেয়ে গুরুত্বপূর্ণ আন্তর্জাতিক মামলাগুলো পরিশিষ্ট আকারে এই বইয়ের শেষে যুক্ত করা হয়েছে, ফলে, এই বইটি আন্তর্জাতিক আইনের কেইস বুক (casebook on international law) হিসেবে ব্যবহার করা যাবে।",ইন্টারন্যাশনাল ল এন্ড হিউমান রাইটস বাংলাদেশ পার্সপেক্টিভ,আরিফ খান, , ,বেঙ্গল ল বুকস্‌,9843000006310,"5th Edition,2021",514,বাংলাদেশ,বাংলা
ভার্চুয়াল আদালত ম্যানুয়াল,মুহাম্মদ মহিউদ্দিন,TK. 500,TK. 425,https://rokomari.com//book/209856/virtual-adalot-manual,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/9e1f1925e_209856.jpg,"আদালত কর্তৃক তথ্য-প্রযুক্তির ব্যবহার সংক্রান্ত প্র্যাকটিস ডিরেকসন, নোটিস, বিজ্ঞপ্তি, সার্কুলার প্রভৃতির এই প্রথম ও একমাত্র সংকলন।",ভার্চুয়াল আদালত ম্যানুয়াল,মুহাম্মদ মহিউদ্দিন, , ,বেঙ্গল ল বুকস্‌, ,"1st Published,2021",146,বাংলাদেশ,বাংলা
হাইকোর্ট পারমিশন ভাইভা সহায়িকা প্রস্তুতি ও কৌশল,মুহাম্মদ আবদুল করিম,TK. 400,TK. 280,https://rokomari.com//book/190606/high-court-permission-viva-sohayika-prostuti-o-koushol,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/2b7a5957d_190606.jpg,"বইটি কেন পড়বেনঃ*
এ বইটিতে হাইকোর্ট ডিভিশনে প্রচলিত প্র্যাকটিসের সবগুলো দিক সুন্দরভাবে ফুটিয়ে তোলা হয়েছে।*
ভাইভার জন্য উপযোগী প্রত্যেকটি ছোট-খাটো প্রশ্ন উত্তর ও তথ্য এই বইয়ে সন্নিবেশিত হয়েছে।*
সুপ্রিম কোর্ট পর্যায়ের আদালত ও মামলা পরিচালনার বিভিন্ন পদ্ধতিগত বা প্রসিডিউরাল বিষয়ে খুব সহজবোধ্য ও সরল ভাষায় ভিন্ন ভিন্ন অধ্যায়ে আলোচনা করা হয়েছে।*
প্রযোজ্য ক্ষেত্রে বিভিন্ন অধ্যায়ের  বাংলা ও ইংরেজি উভয় ভাষায় আলোচনা দেওয়া আছে এই বইয়ে। ফলে, আপনি যে মাধ্যমে উত্তর দেবেন সেই মাধ্যমে খুব সহজেই প্রস্তুতি নিতে পারবেন। *
হাইকোর্ট পারমিশনের ভাইভার জন্য এমন সাজানো-গোছানো ও পরিপাটি বই এর আগে প্রকাশিত হয়নি।",হাইকোর্ট পারমিশন ভাইভা সহায়িকা প্রস্তুতি ও কৌশল,"মুহাম্মদ আবদুল করিম,আরিফ খান", , ,বেঙ্গল ল বুকস্‌,9789849071563,"4th Printed,2018",156,বাংলাদেশ,বাংলা
আচরণবিধি,আরিফ খান,TK. 600,TK. 510,https://rokomari.com//book/210055/code-of-conduct,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/abfea75ea_210055.jpg,"বইটি কেন পড়বেন :-

ক. এ বইয়ে বিচারপতি, বিচারক ও আইনজীবীদের জন্য প্রযোজ্য আচরণবিধিসমূহ প্রাঞ্জল ভাষায় অনুবাদ করে দেয়া হয়েছে।

খ. আচরণবিধি-সংক্রান্ত বাংলাদেশ সুপ্রীম কোর্ট ঘোষিত নজির সৃষ্টিকারী রায়সমূহ এখানে সন্নিবেশিত আছে।

গ. এই প্রথম বাংলাদেশ বার কাউন্সিল প্রণীত ‘ক্যাননস্ অব প্রফেশনাল কনডাক্ট অ্যান্ড এটিকেট্’ এর পূর্ণাঙ্গ অনুবাদ প্রদান করা হয়েছে এই বইয়ে।

ঘ. আইনজীবী-সহকারী বা অ্যাডভোকেট ক্লার্কদের জন্য প্রযোজ্য আচরণ ও শৃঙ্খলাবিধিও অন্তর্ভুক্ত আছে এখানে।

##

বিভিন্ন আইন, রায় ইত্যাদি দলিলে ছড়িয়ে-ছিটিয়ে থাকা বিচার বিভাগের জন্য প্রযোজ্য সম্ভাব্য সকল আচরণবিধি নিয়ে প্রকাশিত বাংলায় এটিই প্রথম একমাত্র বই।",আচরণবিধি,আরিফ খান, , ,বেঙ্গল ল বুকস্‌,9789849071587,"1st Published,2019",320,বাংলাদেশ,বাংলা
