Title,Author,Original Price,Discounted Price,URL,Image,Summary,Book_Title,Book_Author,Translator,Editor,Publisher,ISBN,Edition,Number Of Pages,Country,Language
Better Photography - May ' 13,বেটার ফটোগ্রাফি,"",TK. 350,https://rokomari.com//book/66841/better-photography---may---13,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/imgrok0602_66841.GIF,"",Better Photography - May ' 13,Better Photography, , ,Better Photography, , , ,Abroad,English
Better Photography - June ' 13,বেটার ফটোগ্রাফি,"",TK. 450,https://rokomari.com//book/68546/better-photography---june---13,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/imgrok0711_68546.GIF,"",Better Photography - June ' 13,Better Photography, , ,Better Photography, , , ,Bangladesh,English
Better Photography - July ' 13,বেটার ফটোগ্রাফি,"",TK. 450,https://rokomari.com//book/68981/better-photography---july---13,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/33db6be64234_68981.GIF,"",Better Photography - July ' 13,Better Photography, , ,Better Photography, , , ,Bangladesh,English
Better Photography - March ' 13,বেটার ফটোগ্রাফি,"",TK. 350,https://rokomari.com//book/65438/better-photography---march---13,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/imgrok_65438.GIF,"",Better Photography - March ' 13,Better Photography, , ,Better Photography, , , ,Bangladesh,English
Better Photography - April ' 13,বেটার ফটোগ্রাফি,"",TK. 350,https://rokomari.com//book/65913/better-photography---april---13,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/imgrok_65913.GIF,"",Better Photography - April ' 13,Better Photography, , ,Better Photography, , , ,Bangladesh,English
Better Photography - august ' 13,বেটার ফটোগ্রাফি,"",TK. 350,https://rokomari.com//book/70703/better-photography---august---13,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/rokimg_2110_70703.gif,"",Better Photography - august ' 13,Better Photography, , ,Better Photography, , , ,Abroad,English
Better Photography - September ' 13,বেটার ফটোগ্রাফি,"",TK. 350,https://rokomari.com//book/70704/better-photography---september---13,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/rokimg_2110_70704.gif,"",Better Photography - September ' 13,Better Photography, , ,Better Photography, , , ,Abroad,English
Better Photography - April ' 13,বেটার ফটোগ্রাফি,"",TK. 350,https://rokomari.com//book/70705/better-photography---april---13,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/rokimg_2110_70705.GIF,"",Better Photography - April ' 13,Better Photography, , ,Better Photography, , , ,Abroad,English
Better Photography - November ' 13,বেটার ফটোগ্রাফি,"",TK. 400,https://rokomari.com//book/74860/better-photography---november---13,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/rokimg_2111_74860.GIF,"",Better Photography - November ' 13,Better Photography, , ,Better Photography, , , ,Abroad,English
Better Photography - October ' 13,বেটার ফটোগ্রাফি,"",TK. 400,https://rokomari.com//book/72243/better-photography---october---13,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/rokimg_2110_72243.GIF,"",Better Photography - October ' 13,Better Photography, , ,Better Photography, , , ,Bangladesh,English
Better Photography -  July ' 13,বেটার ফটোগ্রাফি,"",TK. 400,https://rokomari.com//book/69363/better-photography----july---13,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/bedfccdaa154_69363.gif,"",Better Photography -  July ' 13,Better Photography, , ,Better Photography, , , ,India,English
Better Photography - February ' 13,বেটার ফটোগ্রাফি,"",TK. 400,https://rokomari.com//book/63755/better-photography---february---13,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/imgrok_63755.GIF,"",Better Photography - February ' 13,Better Photography, , ,Better Photography, , , ,Bangladesh,English
Better Photography - January ' 13,বেটার ফটোগ্রাফি,"",TK. 350,https://rokomari.com//book/59585/better-photography---january---13,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/imgrok_59585.GIF,"",Better Photography - January ' 13,Better Photography, , ,Better Photography, , , ,Bangladesh,English
Better Photography - August ' 12,বেটার ফটোগ্রাফি,"",TK. 250,https://rokomari.com//book/50795/better-photography---august---12,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/img_50795.GIF,"",Better Photography - August ' 12,Better Photography, , ,Better Photography, , , ,Abroad,English
Better Photography - June ' 12,বেটার ফটোগ্রাফি,"",TK. 450,https://rokomari.com//book/48709/better-photography---june---12,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/img_48709.gif,"",Better Photography - June ' 12,Better Photography, , ,Better Photography, , , ,India,English
Better Photography - December ' 12,বেটার ফটোগ্রাফি,"",TK. 350,https://rokomari.com//book/56872/better-photography---december---12,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/img1135_56872.gif,"",Better Photography - December ' 12,Better Photography, , ,Better Photography, , , ,Bangladesh,English
Better Photography - September ' 12,বেটার ফটোগ্রাফি,"",TK. 250,https://rokomari.com//book/51428/better-photography---september---12,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/img_51428.GIF,"",Better Photography - September ' 12,Better Photography, , ,Better Photography, , , ,Bangladesh,English
Better Photography - October ' 12,বেটার ফটোগ্রাফি,"",TK. 200,https://rokomari.com//book/53869/better-photography---october---12,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/img1410_53869.GIF,"",Better Photography - October ' 12,Better Photography, , ,Better Photography, , , ,Bangladesh,English
Better Photography - November ' 12,বেটার ফটোগ্রাফি,"",TK. 350,https://rokomari.com//book/55513/better-photography---november---12,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/img1135_55513.GIF,"",Better Photography - November ' 12,Better Photography, , ,Better Photography, , , ,Bangladesh,English
