Title,Author,Original Price,Discounted Price,URL,Image,Summary,Book_Title,Book_Author,Translator,Editor,Publisher,ISBN,Edition,Number Of Pages,Country,Language
লিমেরিক,অনিলকুমার নাথ,"",TK. 101,https://rokomari.com//book/172064/limerick,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",লিমেরিক,অনিলকুমার নাথ, , ,ভাষা সাহিত্য প্রকাশন (ভারত), ,2009, ,ভারত,বাংলা
কান্নানদীর মেয়ে,অপন দাস,"",TK. 108,https://rokomari.com//book/172065/kannanodir-meye,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",কান্নানদীর মেয়ে,অপন দাস, , ,ভাষা সাহিত্য প্রকাশন (ভারত), ,2009, ,ভারত,বাংলা
চড়ুইপাখির উড়াল,দিলীপ দাস,"",TK. 108,https://rokomari.com//book/172066/choruipakhir-ural,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",চড়ুইপাখির উড়াল,দিলীপ দাস, , ,ভাষা সাহিত্য প্রকাশন (ভারত), ,2009, ,ভারত,বাংলা
আমার রাতনদী আমার রাতফুল,বিমল চক্রবর্তী,"",TK. 108,https://rokomari.com//book/172067/amar-ratnodi-amar-ratful,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",আমার রাতনদী আমার রাতফুল,বিমল চক্রবর্তী, , ,ভাষা সাহিত্য প্রকাশন (ভারত), ,2009, ,ভারত,বাংলা
ধানকল,লহ্মন বণিক,"",TK. 108,https://rokomari.com//book/172068/dhankol,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",ধানকল,লহ্মন বণিক, , ,ভাষা সাহিত্য প্রকাশন (ভারত), ,2009, ,ভারত,বাংলা
সেতু,সিক্তা চক্রবর্তী,"",TK. 117,https://rokomari.com//book/172069/setu,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",সেতু,সিক্তা চক্রবর্তী, , ,ভাষা সাহিত্য প্রকাশন (ভারত), ,2009, ,ভারত,বাংলা
আগুনের ডালপালা,দিলীপ দাস,"",TK. 126,https://rokomari.com//book/172070/aguner-dalpala,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",আগুনের ডালপালা,দিলীপ দাস, , ,ভাষা সাহিত্য প্রকাশন (ভারত), ,2009, ,ভারত,বাংলা
"পাগল, বালি ও ফেনা",কহলীল জিবরান,"",TK. 135,https://rokomari.com//book/172071/pagol--bali-o-fena,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"","পাগল,বালি ও ফেনা",কহলীল জিবরান, , ,ভাষা সাহিত্য প্রকাশন (ভারত), ,2009, ,ভারত,বাংলা
রবীন্দ্রদর্শন ও অন্যান্য প্রবন্ধ,সুখময় ঘোষ,"",TK. 180,https://rokomari.com//book/172072/rabindradorshon-o-onyanyo-probondho,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",রবীন্দ্রদর্শন ও অন্যান্য প্রবন্ধ,সুখময় ঘোষ, , ,ভাষা সাহিত্য প্রকাশন (ভারত), ,2009, ,ভারত,বাংলা
কথায় কথায়,অরুণোদয় সাহা,"",TK. 198,https://rokomari.com//book/172073/kothay-kothay,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",কথায় কথায়,অরুণোদয় সাহা, , ,ভাষা সাহিত্য প্রকাশন (ভারত), ,2009, ,ভারত,বাংলা
সম্মিলন,দীপ্তি সেনগুপ্তা,"",TK. 270,https://rokomari.com//book/172074/sommilon,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",সম্মিলন,দীপ্তি সেনগুপ্তা, , ,ভাষা সাহিত্য প্রকাশন (ভারত), ,2009, ,ভারত,বাংলা
শেষের কুসুম,প্রবীর রায়,"",TK. 180,https://rokomari.com//book/172075/shesher-kusum,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",শেষের কুসুম,প্রবীর রায়, , ,ভাষা সাহিত্য প্রকাশন (ভারত), ,2014, ,ভারত,বাংলা
নীতি- চিন্তনে বঙ্কিমচন্দ্র,প্রবীর রায়,"",TK. 135,https://rokomari.com//book/172076/niti-chintone-bankimchondro,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",নীতি- চিন্তনে বঙ্কিমচন্দ্র,প্রবীর রায়, , ,ভাষা সাহিত্য প্রকাশন (ভারত), ,2014, ,ভারত,বাংলা
