Title,Author,Original Price,Discounted Price,URL,Image,Summary,Book_Title,Book_Author,Translator,Editor,Publisher,ISBN,Edition,Number Of Pages,Country,Language
নামায কেন কবুল হয় না ,অধ্যাপক মাওলানা আতিকুর রহমান ভূঁইয়া,TK. 30,TK. 15,https://rokomari.com//book/99227/namaz-keno-kobul-hoy-na,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/4b892c75e_99227.jpg,"""নামায কেন কবুল হয় না ""বইটির ভূমিকা:


আলহামদুলিল্লাহ! সমস্ত প্রশংসা মহান আল্লাহ রাব্বল আলামীনের। অসংখ্য দরূদ বিশ্ব মানবতার মুক্তিদূত, মহান শিক্ষক হযরত মুহাম্মদ (স.) ও তাঁর বংশধরদের প্রতি এবং হাজারাে সালাম সেসব বীর মুজাহিদদের প্রতি, যারা যুগে যুগে আল্লাহর যমীনে আল্লাহর দ্বীনকে বিজয়ী করতে নিজেদের জীবনকে বিলিয়ে দিয়েছেন।
আল্লাহর অশেষ মেহেরবানী “নামায কেন কবুল হয় না” পুস্তিকাটি নামায সম্পর্কে জানতে আগ্রহী মুসলমান ভাই-বােনদের হাতে তুলে দিতে পারছি। নামায হচ্ছে ইসলামের গুরুত্বপূর্ণ স্তম্ভ। রাসূলুল্লাহ (স.) বলেন, “তােমরা আমাকে যেভাবে নামায পড়তে দেখ, সে ভাবেই নামায আদায় কর”। হযরত ওমর (রা.) বলেন, “যার নামায ঠিক তার সবই ঠিক” । নামায সম্পর্কে আল্লাহ বলেন, “নিশ্চয়ই নামায অশ্লীল ও মন্দ কাজ থেকে ফিরিয়ে রাখে”। ইমাম ইবনে জারীর (র.) বলেন, রাসূলুল্লাহ (স.) বলেছেন, “যে ব্যক্তি নামায পড়ে, অথচ তার নামায তাকে অশ্লীল ও নিষিদ্ধ কাজ থেকে বিরত রাখতে পারে না, সেই নামায দ্বারা সে আল্লাহর কাছ থেকে দূরত্ব ও অভিশাপ ছাড়া কিছুই অর্জন করতে পারে না”। কিন্তু আজ আমাদের মাঝে একজন নামাযী নামাযও পড়ছে অন্যদিকে অশ্লীল কাজেও জড়িত হচ্ছে। তাহলে আমরা বুঝতে পারি তার নামায যথাযথভাবে আদায় হচ্ছে না। আর না হওয়ার কারণ হল, বাহ্যিক পবিত্রতার সাথে সাথে অভ্যন্তরীণ পবিত্রতাও দরকার। এ পুক্তিকায় আমরা অভ্যন্তরীণ পবিত্রতার কথাই মূলতঃ আলােচনা করেছি। যারা অভ্যন্তরীণ পবিত্রতার সাথে নামায আদায় করতে চান তাদের কিছুটা হলেও উপকার যদি আমার এ পুস্তিকায় হয় তাহলে আমি আমার শ্রম সার্থক মনে করব।
সবশেষে, যে সকল মনীষী এবং বিজ্ঞজনের উদার সহযােগিতায় এ পুস্তিকাটি রচনা এবং প্রকাশের কাজটি আমাদের জন্যে সহজ হয়েছে তাদের প্রতি কৃতজ্ঞতা স্বীকার করছি এবং আরজ করছি, যথেষ্ট সাবধানতা সত্ত্বেও যদি কোথাও কোন ভুলত্রুটি হয়ে থাকে, তা আমাদের কাছে পৌছালে বাধিত হব। আল্লাহ তাঁর দ্বীনের পথে আমাদের সকল প্রচেষ্টা কবুল করুন। আমীন!",নামায কেন কবুল হয় না,অধ্যাপক মাওলানা আতিকুর রহমান ভূঁইয়া, , ,ভূঁইয়া প্রকাশনী,984841519X,"1st Published,2009",32,বাংলাদেশ,বাংলা
দোয়া কেন কবুল হয় না ,অধ্যাপক মাওলানা আতিকুর রহমান ভূঁইয়া,TK. 40,TK. 25,https://rokomari.com//book/99228/duya-keno-kobul-hoy-na,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/ae3b34c4b_99228.jpg,"""দোয়া কেন কবুল হয় না ""বইটির প্রথমের কিছু অংশ:

يث أن الخلج
দোয়া কেন কবুল হয় না দোয়ার আভিধানিক অর্থ ও ডাকা, প্রার্থনা করা, চাওয়া, আহ্বান করা, আমন্ত্রণ করা, বিনীত নিবেদন করা ইত্যাদি।
পারিভাষিক অর্থে দোয়া হল, মহান সৃষ্টিকর্তা, মালিক ও মনিব আল্লাহ রাব্বল আলামীনের কাছে বিনয়, নম্রতা ও যথাযােগ্য সম্মান মর্যাদা এবং ভক্তি ও শ্রদ্ধার সাথে ক্ষমা প্রার্থনা করা, সাহায্য চাওয়া, মনের আকুতি ও হৃদয়ের বাসনা পূরণের নিবেদন করা, তাঁর সন্তুষ্টি প্রার্থনা করা, তাঁর অসন্তুষ্টি থেকে মুক্তি চাওয়া, তাঁর প্রকৃত দাস ও অনুগত বান্দা হবার তাওফীক কামনা করা, জাহান্নাম থেকে মুক্তি চাওয়া, জান্নাত লাভের প্রার্থনা করা, তাঁর দয়া ও রহমতের আবদার করা, যাবতীয় নেকী ও কল্যাণের আবেদন করা, যাবতীয় অকল্যাণ থেকে আশ্রয় চাওয়া এবং সত্য ও নেকীর পথে চলার হিম্মত, ধৈর্য ও দৃঢ়তা প্রার্থনা করা এবং দুনিয়া ও আখিরাতের যাবতীয় কল্যাণ প্রার্থনা করা। দোয়া একটি ইবাদত, তাই দোয়া কেবল আল্লাহর কাছেই করতে হবে ।
কোন বিচারকের নিকট দরখাস্ত পেশ করতে গেলে সাধারণত তার মঞ্জুরী নিয়ে আমাদের মনে নানা খটকা জাগে। কিন্তু কোন বিচারক নিজেই যদি কাউকে দরখাস্তের বিষয়বস্তু ও নিয়মাবলী বুঝিয়ে দেন, তাহলে তার মঞ্জুরীর বিষয়টি একেবারে নিশ্চিত হয়ে যায়।
এদিক থেকে মহাবিচারক আল্লাহ তা'আলা মানুষের প্রতি কত সদয় যে, তিনি তাঁর সর্বশেষ কিতাবে বিভিন্নভাবে দরখাস্তের শব্দাবলী ও বাচনভঙ্গি পর্যন্ত বিবৃত করেছেন। দ্বীন ইসলামের ভাষায় এসব দরখাস্তকেই বলা হয় দোয়া।
দোয়ার শরয়ী অর্থ ও আরবীতে দোয়ার কয়েকটি অর্থ হয়, দোয়ার এক অর্থ ইবাদাত, যেমন পবিত্র কুরআনে উল্লেখ আছে
ك .
ولا تدع مژ دون اللي مالا بثتك ولا ب",দোয়া কেন কবুল হয় না,অধ্যাপক মাওলানা আতিকুর রহমান ভূঁইয়া, , ,ভূঁইয়া প্রকাশনী,9848415204,"1st Published,2010",32,বাংলাদেশ,বাংলা
ইবাদত কেন কবুল হয় না,অধ্যাপক মাওলানা আতিকুর রহমান ভূঁইয়া,TK. 30,TK. 18,https://rokomari.com//book/186676/ibadat-keno-kobul-hoy-na,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/5af13d8ec_186676.jpg,"",ইবাদত কেন কবুল হয় না,অধ্যাপক মাওলানা আতিকুর রহমান ভূঁইয়া, , ,Bhuiyan Prokashoni,9848415204,"1st Published,2011",32,Bangladesh,Bangla & Arabic
কুরআন হাদীসের আলোকে ঈমানী জিন্দেগী (১ম খণ্ড),অধ্যাপক মাওলানা আতিকুর রহমান ভূঁইয়া,TK. 60,TK. 30,https://rokomari.com//book/99225/quran-hadiser-aloke-emani-zindegi--1st-part-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/c88123a29_99225.jpg,"",কুরআন হাদীসের আলোকে ঈমানী জিন্দেগী (১ম খণ্ড),অধ্যাপক মাওলানা আতিকুর রহমান ভূঁইয়া, , ,ভূঁইয়া প্রকাশনী,984841522X,"1st Published,2014",64,বাংলাদেশ,বাংলা
রাসূলুল্লাহর (সঃ) নামায,আল্লামা মুহাম্মদ নাসীরুদ্দীন আলবানী (রহঃ),TK. 130,TK. 114,https://rokomari.com//book/98805/rasulullahor--sm---namaj,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/7a5e7175b_98805.jpg,"",রাসূলুল্লাহর (সঃ) নামায,আল্লামা মুহাম্মদ নাসীরুদ্দীন আলবানী (রহঃ),অধ্যাপক মাওলানা আতিকুর রহমান ভূঁইয়া, ,ভূঁইয়া প্রকাশনী,9848415041,"10th Published,2012",152,বাংলাদেশ,বাংলা
কুরআন হাদীসের আলোকে ঈমানী জিন্দেগী (২য় খণ্ড),অধ্যাপক মাওলানা আতিকুর রহমান ভূঁইয়া,TK. 60,TK. 30,https://rokomari.com//book/99226/quran-hadiser-aloke-emani-zindegi--2nd-part-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/f1eb6393f_99226.jpg,"",কুরআন হাদীসের আলোকে ঈমানী জিন্দেগী (২য় খণ্ড),অধ্যাপক মাওলানা আতিকুর রহমান ভূঁইয়া, , ,ভূঁইয়া প্রকাশনী,984841522X,"1st Published,2014",64,বাংলাদেশ,বাংলা
শব্দার্থে রিয়াদুস সালেহীন (১ম-৪র্থ খন্ড একত্রে),ইমাম মুহিউদ্দীন ইয়াহইয়া আন-নববী (র),"TK. 1,000",TK. 600,https://rokomari.com//book/98826/shobdarthe-riyadus-shalehen--1st-4th-khondo-akotre-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/rokimg_20150401_98826.gif,"",শব্দার্থে রিয়াদুস সালেহীন (১ম-৪র্থ খন্ড একত্রে),ইমাম মুহিউদ্দীন ইয়াহইয়া আন-নববী (র),প্রফেসর ড. এবিএম সিদ্দিকুর রহমান, ,Bhuiyan Prokashoni,98`48415084,"15th Print,2016",1200,Bangladesh,Bangla & Arabic
নুজহাতুল ক্বারী (সহজ সরল বাংলা অনুবাদ),ক্বারী মো: ইব্রাহীম (রহ.),TK. 30,TK. 21,https://rokomari.com//book/186677/nujhatul-kwari--sohoj-sorol-bangla-onubad-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/c7b0c7015_186677.jpg,"",নুজহাতুল ক্বারী (সহজ সরল বাংলা অনুবাদ),ক্বারী মো: ইব্রাহীম (রহ.),অধ্যাপক মাওলানা আতিকুর রহমান ভূঁইয়া, ,Bhuiyan Prokashoni,9848415327,"4th Published,2018",30,Bangladesh,Bangla & Arabic
কবীরা গুনাহ,ইমাম আয-যাহাবী রহ.,TK. 180,TK. 126,https://rokomari.com//book/98813/kobira-gunah,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/1fae6545a_98813.jpg,"",কবীরা গুনাহ,ইমাম আয-যাহাবী রহ.,অধ্যাপক মাওলানা আতিকুর রহমান ভূঁইয়া, ,ভূঁইয়া প্রকাশনী,9848415157,"5th Edition,2004",63,বাংলাদেশ,বাংলা
এন্তেখাবে হাদীস (১ম ও ২য় খন্ড),আবদুল গাফ্ফার হাসান নদভী,TK. 170,TK. 102,https://rokomari.com//book/98818/antekhabe-hadis--1st-o-2nd-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/rokimg_20150401_98818.gif,"",এন্তেখাবে হাদীস (১ম ও ২য় খন্ড),আবদুল গাফ্ফার হাসান নদভী,প্রফেসর ড. এবিএম সিদ্দিকুর রহমান, ,ভূঁইয়া প্রকাশনী,9848415025,"2nd,2014",256,বাংলাদেশ,বাংলা
