Title,Author,Original Price,Discounted Price,URL,Image,Summary,Book_Title,Book_Author,Translator,Editor,Publisher,ISBN,Edition,Number Of Pages,Country,Language
কারাগার থেকে বলছি,মাওলানা মামুনুল হক,TK. 250,TK. 175,https://rokomari.com//book/106623/karagar-theka-bolse,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/eeb1634ad_106623.jpg,"""কারাগার থেকে বলছি""বইটির প্রথমের কিছু অংশ:



المدير العين - واللوۃ والسلام على سيد
ل
ى ايه واصحابه اجمين ا
. সকল প্রশংসা মহান আল্লাহ তাআলার জন্য, যিনি মানুষকে সৃষ্টি করেছেন সৃষ্টির সর্বোচ্চ সম্মানিত আশরাফুল মাখলুকাত রূপে। সালাত ও সালাম বর্ষিত হােক মহানবী হযরত মুহাম্মদ মােস্তফা সাল্লাল্লাহু আলাইহি ওয়াসাল্লামের উপর যিনি মানবতাকে মুক্তি দিয়েছেন জাহিলিয়াতের | জিন্দানখানা থেকে। - অতঃপর, আমি অধমের উপর রাব্বে কারীমের বড়ই মেহেরবানী যে, তিনি তার মহান দ্বীন ইসলামের সাথে সম্পৃক্ত হওয়ার তাওফীক দিয়েছেন। সেই সাথে ইসলাম, কুরআন ও মহানবী সাল্লাল্লাহু আলাইহি ওয়াসাল্লামের শান ও মর্যাদা রক্ষায় সংগ্রামের ময়দানে অবতীর্ণ নবী প্রেমিক ইসলামের সৈনিক দলের সাথে রাজপথে নেমে আসার সৌভাগ্য দিয়েছেন। | সাম্প্রতিক সময়ে হেফাজতে ইসলামের ব্যানারে। পরিচালিত আন্দোলন ১৩ দফার নামে হলেও এই আন্দোলনের মূল উদ্দেশ্য ছিল ইসলামের গৌরব রক্ষা করা এবং শাহবাগী আন্দোলনের ছত্রছায়ায় মাথাচাড়া দিয়ে ওঠা নাস্তিক্যবাদ ও ইসলাম বিদ্বেষের বিরুদ্ধে গণজাগরণ সৃষ্টি করা। আলহামদু লিল্লাহ! হেফাজতে ইসলামের নামে গড়ে ওঠা গণজোয়ার বাংলাদেশে আলেম সমাজের নেতৃত্বে একটি সফল আন্দোলনের মাইলফলক রূপে স্মরিত হবে অনাগত ভবিষ্যতের ইতিহাসে। আমি আল্লাহ তাআলার শুকরিয়া আদায় করি যে, বাংলাদেশের ইসলামী আন্দোলনে অন্যতম সফল এই আন্দোলনে কিছু ভূমিকা রাখার তাওফীক",কারাগার থেকে বলছি,মাওলানা মামুনুল হক, , ,বিশ্বকল্যাণ পাবলিকেশন্স, ,"1st Published,2013",189,বাংলাদেশ,বাংলা
হজ্জের মাসায়েল ,হযরত মাওলানা শামসুল হক ফরিদপুরী রহ.,TK. 100,TK. 70,https://rokomari.com//book/45708/hojjer-masayel,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/efc3ff162_45708.jpg,"",হজ্জের মাসায়েল,হযরত মাওলানা শামসুল হক ফরিদপুরী রহ., , ,বিশ্বকল্যাণ পাবলিকেশন্স, ,"5th Printed,2009",208,বাংলাদেশ,বাংলা
মহানবীর (সা.) এর জীবনাদর্শ ,আহমদ আবদুল কাদের,TK. 80,TK. 51,https://rokomari.com//book/46290/mohanobir--sa---ar-jibonadorsho,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/rokimg_20140825_46290.gif,"",মহানবীর (সা.) এর জীবনাদর্শ,আহমদ আবদুল কাদের, , ,বিশ্বকল্যাণ পাবলিকেশন্স, , , ,বাংলাদেশ,বাংলা
আল্লাহর পরিচয় ও মানুষের পরিচয় ,হযরত মাওলানা শামসুল হক ফরিদপুরী রহ.,TK. 100,TK. 64,https://rokomari.com//book/45695/allahor-porichoy-o-manusher-porichoy,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/61e91b581_45695.jpg,"",আল্লাহর পরিচয় ও মানুষের পরিচয়,হযরত মাওলানা শামসুল হক ফরিদপুরী রহ., , ,বিশ্বকল্যাণ পাবলিকেশন্স,9789848397008,"12th Printed,2017",56,বাংলাদেশ,বাংলা
ভুল সংশোধন ,হযরত মাওলানা শামসুল হক ফরিদপুরী রহ.,TK. 140,TK. 90,https://rokomari.com//book/45696/vul-songshodhon,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/ed8d0f86e_45696.jpg,"",ভুল সংশোধন,হযরত মাওলানা শামসুল হক ফরিদপুরী রহ., , ,বিশ্বকল্যাণ পাবলিকেশন্স,9789848397015,"10th Published,2017",108,বাংলাদেশ,বাংলা
হালাল হারাম বিদআত ও ইজতিহাদ ,হযরত মাওলানা শামসুল হক ফরিদপুরী রহ.,TK. 100,TK. 64,https://rokomari.com//book/45699/halal-haram-bidat-o-ejtihad,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/a5365a281_45699.jpg,"",হালাল হারাম বিদআত ও ইজতিহাদ,হযরত মাওলানা শামসুল হক ফরিদপুরী রহ., , ,বিশ্বকল্যাণ পাবলিকেশন্স,9879848397039,"14th Published,2018",40,বাংলাদেশ,বাংলা
আদর্শ মুসলিম পরিবার ও সুষ্ঠু পরিকল্পনা ,হযরত মাওলানা শামসুল হক ফরিদপুরী রহ.,TK. 100,TK. 64,https://rokomari.com//book/45685/adorsho-muslim-poribar-o-susthu-porikolpona,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/a0e23f755_45685.jpg,"",আদর্শ মুসলিম পরিবার ও সুষ্ঠু পরিকল্পনা,হযরত মাওলানা শামসুল হক ফরিদপুরী রহ., , ,বিশ্বকল্যাণ পাবলিকেশন্স,9789848397992,"14th Published,2018",72,বাংলাদেশ,বাংলা
মাওলানা সৈয়দ মুহাম্মদ ফজলুল করীম (রহ.) (পীর সাহেব চরমোনাই),হাফেজ মাওলানা মোহাম্মদ ওমর,TK. 100,TK. 64,https://rokomari.com//book/181757/mawlana-syed-muhammod-fojlul-korim--rh----pir-saheb-chormonai-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/db656584a_181757.jpg,"",মাওলানা সৈয়দ মুহাম্মদ ফজলুল করীম (রহ.) (পীর সাহেব চরমোনাই), , ,হাফেজ মাওলানা মোহাম্মদ ওমর,বিশ্বকল্যাণ পাবলিকেশন্স, ,"6th Edition,2010",142,বাংলাদেশ,বাংলা
মা-বাপ ও সন্তানের হক ,হযরত মাওলানা শামসুল হক ফরিদপুরী রহ.,TK. 100,TK. 64,https://rokomari.com//book/45698/ma-bap-o-sontaner-haque,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/bc846ee65_45698.jpg,"",মা-বাপ ও সন্তানের হক,হযরত মাওলানা শামসুল হক ফরিদপুরী রহ., , ,বিশ্বকল্যাণ পাবলিকেশন্স,9789848397015,"13th Printed,2018",40,বাংলাদেশ,বাংলা
ইসলামী আন্দোলন ,আহমদ আবদুল কাদের,TK. 25,TK. 14,https://rokomari.com//book/46314/islami-andolon,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/81e7652b8_46314.jpg,"",ইসলামী আন্দোলন,আহমদ আবদুল কাদের, , ,বিশ্বকল্যাণ পাবলিকেশন্স, ,"2nd Published,2004",31,বাংলাদেশ,বাংলা
