Title,Author,Original Price,Discounted Price,URL,Image,Summary,Book_Title,Book_Author,Translator,Editor,Publisher,ISBN,Edition,Number Of Pages,Country,Language
আইনস্টাইনের উত্তরাধিকার,পলাশ বরন পাল,"",TK. 216,https://rokomari.com//book/169344/einstainer-uttoradhikar,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/7746326e0_169344.jpg,"",আইনস্টাইনের উত্তরাধিকার,পলাশ বরন পাল, , ,বঙ্গীয় বিজ্ঞান পরিষদ (ভারত), ,"1st Published,2011",184,ভারত,বাংলা
আইজাক নিউটন: নিসর্গদর্শনের সিদ্ধসাধক,অজয় চক্রবর্তী,"",TK. 180,https://rokomari.com//book/169350/isaac-newton-nisorgodorshoner-siddhosadhak,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/98074e5af_169350.jpg,"",আইজাক নিউটন: নিসর্গদর্শনের সিদ্ধসাধক,অজয় চক্রবর্তী, , ,বঙ্গীয় বিজ্ঞান পরিষদ (ভারত), ,"1st Published,2012",96,ভারত,বাংলা
ভারতের গণিত গরিমা,সত্যবাচী সর,"",TK. 180,https://rokomari.com//book/169346/bharoter-gonit-gorima,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",ভারতের গণিত গরিমা,সত্যবাচী সর, , ,বঙ্গীয় বিজ্ঞান পরিষদ (ভারত), ,2012, ,ভারত,বাংলা
গাছ গাছালির বিচিত্র কথা,জয়শ্রী দত্ত,"",TK. 180,https://rokomari.com//book/169352/gach-gachalir-bichitra-kotha,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",গাছ গাছালির বিচিত্র কথা,জয়শ্রী দত্ত, , ,বঙ্গীয় বিজ্ঞান পরিষদ (ভারত), ,2012, ,ভারত,বাংলা
আমাদের ছোটোপাখি,জীবন সর্দার,"",TK. 234,https://rokomari.com//book/169355/amader-chotopakhi,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",আমাদের ছোটোপাখি,জীবন সর্দার, , ,বঙ্গীয় বিজ্ঞান পরিষদ (ভারত), ,2013, ,ভারত,বাংলা
মহিলা বিজ্ঞানী অভিধান,সুমিত্রা চৌধুরী,"",TK. 360,https://rokomari.com//book/169357/mohila-bigghanee-obhidhan,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",মহিলা বিজ্ঞানী অভিধান, , ,সুমিত্রা চৌধুরী,বঙ্গীয় বিজ্ঞান পরিষদ (ভারত), ,2014, ,ভারত,বাংলা
রামেন্দ্রসুন্দর ত্রিবেদী,এম.এ.আজিজ মিয়া,"",TK. 180,https://rokomari.com//book/169359/ramendhrasundor-treebedi,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",রামেন্দ্রসুন্দর ত্রিবেদী,এম.এ.আজিজ মিয়া, , ,বঙ্গীয় বিজ্ঞান পরিষদ (ভারত), ,2014, ,ভারত,বাংলা
গল্পে গল্পে মহাকাশ প্রকৃতি পরিচয়,শিপ্রা বসু তালুকদার,"",TK. 180,https://rokomari.com//book/169362/golpe-golpe-mohakash-prokriti,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",গল্পে গল্পে মহাকাশ প্রকৃতি পরিচয়,শিপ্রা বসু তালুকদার, , ,বঙ্গীয় বিজ্ঞান পরিষদ (ভারত), ,2014, ,ভারত,বাংলা
তাপ-রহস্য,অপরাজিত বসু,"",TK. 144,https://rokomari.com//book/169335/tap-rahosha,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/f77003998_169335.jpg,"",তাপ-রহস্য,অপরাজিত বসু, , ,বঙ্গীয় বিজ্ঞান পরিষদ (ভারত), ,"1st Published,2009",84,ভারত,বাংলা
খাদ্য ও পুষ্টিবিজ্ঞান,সত্যব্রত দাশগুপ্ত,"",TK. 315,https://rokomari.com//book/169337/khaddo-o-pustibigghan,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/2b2547670_169337.jpg,"",খাদ্য ও পুষ্টিবিজ্ঞান,সত্যব্রত দাশগুপ্ত, , ,বঙ্গীয় বিজ্ঞান পরিষদ (ভারত),9788193203132,"2nd Edition,2016",148,ভারত,বাংলা
