Title,Author,Original Price,Discounted Price,URL,Image,Summary,Book_Title,Book_Author,Translator,Editor,Publisher,ISBN,Edition,Number Of Pages,Country,Language
"এক হালি মুরাকামি (দ্যা উইন্ড কেইভ, টনি তাকিতানি, দ্যা বার্থডে গার্ল, বার্ন বারনিং) (৪টি ছোটগল্প)",কৌশিক জামান,TK. 200,TK. 140,https://rokomari.com//book/175151/ek-hali-murakami,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/230a6c812_175151.jpg,"""এক হালি মুরাকামি"" বইয়ের কিছু কথাঃ

প্রিয়জন হারানোর বেদনা আপনাকে কতখানি বদলে দিতে পারে? কোমি কি আসলেই এলিসের গুহায় হারিয়ে গিয়েছিল? টনি কি পারল তার নিঃসঙ্গতা ভীতি এড়াতে? যদি আপনাকে বলা হয় যে আপনার একটি ইচ্ছা পূরণ করা হবে, তাহলে কি চাইবেন?ছাউনি গুলো কি আসলেই অপেক্ষা করে কবে কেউ এসে তাদেরকে পুড়িয়ে মুক্তি দেবে?

জনপ্রিয় জাপানী লেখক হারুকি মুরাকামির চারটি অসাধারণ সুন্দর ছোট গল্প আপনাকে ভাবাবে, নিয়ে যাবে বিষণ্ণতা এবং নাম না জানা সব অনুভুতির এক অদ্ভুত জগতে।","এক হালি মুরাকামি (দ্যা উইন্ড কেইভ,টনি তাকিতানি,দ্যা বার্থডে গার্ল,বার্ন বারনিং) (৪টি ছোটগল্প)","কৌশিক জামান,হারুকি মুরাকামি",কৌশিক জামান, ,বুক স্ট্রিট, ,"1st Published,2019",80,বাংলাদেশ,বাংলা
ইয়োর নেম,মাকোতো শিনকাই,TK. 260,TK. 182,https://rokomari.com//book/189611/your-name,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/2ac22f4d4_189611.jpg,"মতিসুহা এবং তাকি, হাইস্কুল পড়ুয়া দুই কিশোর-কিশোরী। দুই ভিন্ন মরেুর মানুষ। মতিসুহার বাস পাহাড়ের গভীরের একটি ছোট শহরে, অন্যদিকে তাকি থাকে ইট পাথরে ঘেরা টোকিও শহরে।
মতিসুহা স্বপ্ন দেখে একদনি পাহাড় ঘরো কিছুই না পাওয়ার শহর ছেড়ে টোকিও যাবে। স্বপ্ন অর্পূণ থাকে না তার, পূরণ হয় তার স্বপ্ন। একদনি মতিসুহা ঘুম থকেে উঠে নিজেকে আবষ্কিার করে টোকিও শহরে, কিন্তু নিজের শরীরে নয়। তাকি নামরে এক অচনো ছেলেরে শরীর। অন্যদিকে একই সময়ে তাকিও ঘুম থকেে উঠে নিজেকে আবষ্কিার করে অচনো অজানা পাহাড়ঘেরা শহররে মতিসুহা নামের একটি মেয়ের শরীরে।
অচনো অজানা পরিবেশে প্রথম প্রথম নিজেদের মানিয়ে নিতে কষ্ট হলেও শেষ র্পযন্ত তারা নিজেদের মানিয়ে নিতে থাকে অদ্ভুত পরবিশেরে সাথে । সেই সাথে দুজনে দুজন সর্ম্পকে অল্প অল্প করে জানতে থাকে। এভাবইে দুজনরে মধ্যে একটা অম্ল-মধুর সর্ম্পক তৈরি হয়। কিন্তু একদনি কোন রকম র্পূবাভাস না দয়িইে মতিসুহার সাথে সমস্ত যোগাযোগ বিচ্ছিন্ন হয়ে যায় তাকির।
অনকেগুলো না পাওয়া প্রশ্নরে জবাব খুঁজতে তাকি নেমে পড়ে মতিসুহার খোঁজে । কিন্তু তাকির জানা নেই কোথায় থাকে মতিসুহা। কোথায় থেকে শুরু করবে তাও বুঝতে পারছে না সে । যে নাম্বার মতিসুহা তাকে দিয়েছিল সেটিও বন্ধ। বুঝতে পারে প্রায় দুঃসাধ্য একটি কাজে নেমে পড়ছে তাকি
শেষ র্পযন্ত কি হয়ছেলিো? তাকি কি খুঁজে পয়েছেলিো মতিসুহাকে ? পেয়েছিল তার প্রশ্নরে জবাব?
প্রিয় পাঠক, মাকোতো শনিকায়ের তুমল জনপ্রয়ি অ্যানমিশন “ইয়োর নেম” এর নভেলাইজেশনে আপনাকে স্বাগতম।",ইয়োর নেম,মাকোতো শিনকাই,নজরুল ইসলাম, ,বুক স্ট্রিট, ,"1st Published,2019", ,বাংলাদেশ,বাংলা
মাঝরাতে একটা গল্প শুনিয়েছিলেন,নসিব পঞ্চম জিহাদী,TK. 240,TK. 168,https://rokomari.com//book/175147/majhrate-ekta-golpo-shuniyechilen,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/81dfc6c73_175147.jpg,"""মাঝরাতে একটা গল্প শুনিয়েছিলেন"" বইয়ের কিছু কথাঃ

অনেকটা হঠাৎ করেই সৌধ নামের এক তরুণ ক্যাফে বুকওঅর্ম নামের একটা লাইব্রেরি’র লাইব্রেরিয়ান হিসেবে দায়িত্ব পেয়ে যায়। সেখানেই ঝড়বৃষ্টির এক রাতে ওর পরিচয় হয় ইমতিয়াজ সালেহীনের সাথে।
ভদ্রলোক একটু রহস্য করে কথা বলতে পছন্দ করেন। গল্প বলার সময় মানুষকে একদম মন্ত্রমুগ্ধ করে রাখতে পারেন তিনি। বিশেষ করে ভৌতিক কিছু বর্ণনা করার সময় কন্ঠ আর ভাষা দিয়ে এমন একটা আবহ তৈরি করেন যে ভয় না পেয়ে উপায় থাকে না। বিচিত্র সব গাছ-পালায় ঘেরা এক ছাদে সৌধকে একদিন তার জীবনের একটা গল্প শোনান তিনি। সেই গল্প শুনে তীব্র ভয় গ্রাস করে ফেলে সৌধকে। সে কোনমতে পালিয়ে আসে সেখান থেকে। আর এরপর থেকেই প্রবল একটা দুঃস্বপ্ন ওকে তাড়া করতে শুরু করে।
নবাবদের আমলে আর্মেনিয়ানদের ছোটো একটা দল সাথে করে একটা বিশেষ জিনিস নিয়ে এসেছিলো এই দেশে। যেটাকে পৃথিবীর বুক থেকে মুছে ফেলার জন্য মধ্যযুগ থেকে চেষ্টা চালিয়ে যাওয়া হচ্ছে। অল্টারনেটিভ হিস্ট্রিতে নবাবদের পতনের পেছনেও এই নিষিদ্ধ জিনিসটাকে দায়ি করা হয়ে থাকে।
কিন্তু এর সাথে একজন সাধারণ লাইব্রেরিয়ানের সম্পর্ক কী? আর একটা গল্প শুনেই বা সে এতো ভয় পেলো কেনো?",মাঝরাতে একটা গল্প শুনিয়েছিলেন,নসিব পঞ্চম জিহাদী, , ,বুক স্ট্রিট, ,"1st Published,2019",128,বাংলাদেশ,বাংলা
"অরিত্রিকা, ওইখানে যেওনাকো তুমি",নসিব পঞ্চম জিহাদী,TK. 280,TK. 196,https://rokomari.com//book/175145/oritrika--oikhane-jewonako-tumi,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/66ad6edbf_175145.jpg,"""অরিত্রিকা, ওইখানে যেওনাকো তুমি"" বইয়ের কিছু কথাঃ
ছা-পোষা একটা কেরাণির চাকরি, সস্তায় কেনা চারটে শার্ট, সুতো ওঠা প্যান্ট আর মলিন জুতো পরে জীবন কাটাতে থাকা শওকতকে আলাদাভাবে চোখে পড়ার কোনো কারণ নেই। সিটি কর্পোরেশনের বিশাল ময়লার ডাস্টবিনের পাশে প্রায় অদৃশ্য এক গলির কংকালসার তিনতলা একটা দালানে রানুর সাথে ওর জীবন কোনরকমে পার হয়ে যাচ্ছিলো। কিন্তু একদিন ডাক পড়ে গেলো এম.ডি আনিসুজ্জামানের কামরায়। জানালেন, অফিস শেষে গুরুত্বপূর্ণ একটা জিনিস আনতে ওকে যেতে হবে কোথাও। কাওকে কিছু বলা যাবে না। গিয়ে পরিচয় হলো এক টেকো, রক্তমাখা, ভূড়িঅলা কসাইয়ের সাথে।
বহু বছর আগে চৌধুরি বাড়ির ছোটো ছেলে এহসান প্রায় তিন মাস পর বাড়িতে ফিরে এসেছিলো। সাথে ছিলো পাঁচ-ছয় বছর বয়সী এক শিশু। সে জানালো, এই ছেলের ঝামেলা আছে। যেই ঝামেলার কথা শুনলে অনেকেরই ঘৃণায় শরীর রি রি করে ওঠে।
এলভিস হতে চাওয়া তরুণ ওয়াসি’র আগামসি লেনের বাড়িতে একদিন ত্রিদিব বমি করে ভাসিয়ে দিলো। পাকস্থলী উগড়ে বেরিয়ে এলো কুচকুচে, লম্বা কালো একগাদা চুল। বাথরুমের মেঝে ভেসে গেলো টাটকা-কালো চুলে। এর উত্তর যার কাছে আছে সে বিশ্বাস করে, মিথ্যা দীর্ঘদিন পর্যন্ত শোনালে সেটা একসময় সত্য যায়। কিন্তু ৩৫০০ বছর ধরে অপেক্ষায় থাকা ‘সে’ কি এই সত্য গোপন রাখতে দিবে?
প্রতিদিনকার মতো বাড়ি ফিরছিলেন একদিন আনিসুজ্জামান। গাড়ি থেকে নেমে দেখলেন বহু বছরের পরিচিত গলি, রাস্তা, বাড়ি - সবকিছু পাল্টে গিয়েছে। কোথাও কেউ নেই। কোনো মানুষ নেই। তিনি স্পষ্ট বুঝতে পারলেন এই ভয়, এই জগত কোনোভাবেই পৃথিবীর হতে পারে না। এই আতংকের জন্ম অন্য এক জগতে, অন্য এক ভুবনে।
‘অরিত্রিকা, ওইখানে যেওনাকে তুমি’ অন্ধকারের গল্প। আতংক আর অসাড়তার গল্প। কংক্রীটের জঞ্জালের ছায়ায় লুকিয়ে রাখা গল্প। প্রতিদিনের ক্লান্তি-যাপন শেষে আমরা আর পেছনে ফিরে তাকাই না বলে এই আতংক শুধু ছায়াতেই থেকে যায় ...","অরিত্রিকা,ওইখানে যেওনাকো তুমি",নসিব পঞ্চম জিহাদী, , ,বুক স্ট্রিট, ,"1st Published,2019",128,বাংলাদেশ,বাংলা
দ্য গ্রেট গ্যাটসবি ,এফ স্কট ফিটজেরাল্ড,TK. 270,TK. 189,https://rokomari.com//book/175150/the-great-gatsby,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/68b1dc723_175150.jpg,"""গ্রেট গ্যাটসবি"" বইয়ের কিছু কথাঃ

গ্যাটসবির লং আইল্যান্ডের ম্যানশনের এক একটি পার্টি এক একটি আকর্ষনীয় কিংবদন্তীর গল্প বলতো। এতসব চাকচিক্যের মাঝে, অগণিত গেস্টদের মাঝে, শ্যাম্পেইন ও গুঞ্জনের মাঝে পার্টির হোস্ট নিজেকে সবকিছু থেকে, সবার কাছ থেকে গুটিয়ে রাখতো। জে গ্যাটসবি শুধু একজন মানুষের কথাই প্রতি মুহূর্তে ভাবতো, তাকে নিয়ে স্বপ্ন বুনতো। সে ছিল ডেইসি ব্যুকানান, এক অসম্ভব আকর্ষনীয় মনোমুগ্ধকর বিবাহিতা, সোনায় মোড়ানো জীবন তার, যার কন্ঠে আছে উন্মাদনা। গ্যাটসবির কাল হয়ে দাঁড়ায় তার ডেইসির প্রতি অনন্ত আবেশ এবং ঘোলাটে জীপনযাপন। 
এফ. স্কট ফিটযজেরাল্ড-এর এই উপন্যাস জ্যাজ এজ-এর এক স্পষ্ট অবয়ব। এই উপন্যাসের চরিত্রগুলোর উত্থান পতনের মাধ্যমে লেখক পাঠককে ‘দ্য গ্রেট ওয়্যার’ শেষে দিকভ্রান্ত এক লস্ট জেনেরেশনের আকুতির সাথে পরিচয় করিয়ে দেয়, আর রহস্যভেদ করেন আমেরিকান ড্রিম-এর শূন্য হৃদয়ের।",দ্য গ্রেট গ্যাটসবি,এফ স্কট ফিটজেরাল্ড,রেজবিন নাহার মোনালিসা, ,বুক স্ট্রিট, ,"1st Published,2019",168,বাংলাদেশ,বাংলা
শব্দযাত্রা লেখক সংঘ,জুবায়ের আলম,TK. 420,TK. 294,https://rokomari.com//book/175146/shobdojatra-lekhok-songho,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/8b876dcf4_175146.jpg,"""শব্দযাত্রা লেখক সংঘ"" বইয়ের কিছু কথাঃ
লেখকদের নিজস্ব কোন জীবন থাকে না। তাদের জীবন হচ্ছে পরজীবীদের মত। তাদের সৃষ্ট চরিত্রদের জীবনের ওপর ভর করে তাদেরকে বাঁচতে হয়। কিন্তু যখন একজন লেখক রাইটার্স ব্লকের অসহায়ত্বে ভুগতে থাকেন? জীবন ধারন করে বেঁচে থাকার মত আর কোন চরিত্র যখন তার কাছে আর থাকে না? তখন? কোথায় গিয়ে এই অসহায়ত্ব থেকে মুক্তি চান তারা? ম্যাডাম আনানসি ফিসফিস করে বললেন- এই শহরে এমন কিছু জায়গা আছে, যেখানে লেখকরা একবার গেলে আর কখনো ‘লেখক’ হয়ে ফিরে আসে না। 
  খুন হতে শুরু হলেন বেশ কিছু লেখক ও প্রকাশক। ধীরে ধীরে প্রকাশিত হতে শুরু করল এই প্রকাশনা জগতের এক ঘোলাটে অতীত। কে এই ‘পাছাখানার(!) ভূত’। আদাবরের পরিত্যাক্ত গীর্জায় কি এমন আছে? যার ঘন্টা মনে করিয়ে দেয় ভুলে যাওয়া এক কিংবদন্তী।  
  এই বিষাক্ত ঘোলা জলে ডুবে যেতে থাকেন জনৈক ভূত লেখক- টাকার বিনিময়ে যিনি অন্যের হয়ে বই লিখে দেন, একজন ক্রিমিনোলজিস্ট এবং ডিটেক্টিভ ব্রাঞ্চের একজন ক্লান্ত এজেন্ট; ডুবে যেতে থাকেন গভীরে, আরো গভীরে। একজন লেখক, যিনি টাকার বিনিময়ে অন্যের হয়ে বই লিখে দেন, আর একজন লেখক যিনি খ্যাতির মোহে বই লিখে যান। দুজনের সমান্তরাল জীবন মিলে যায় এক ফোঁটা রক্ত বিন্দুতে।
  ঢং করে ঘড়িতে ঘন্টা বাজে, আর নিমি নামের বিড়ালটা এক দৃষ্টিতে তাকিয়ে থাকে ঘড়ির কাঁটার দিকে- সময় কত দ্রুত ফুরিয়ে যাচ্ছে!",শব্দযাত্রা লেখক সংঘ,জুবায়ের আলম, , ,বুক স্ট্রিট, ,"1st Published,2019",288,বাংলাদেশ,বাংলা
দ্য ওশেন অ্যাট দি এন্ড অফ দি লেন,নিল গেইম্যান,TK. 300,TK. 210,https://rokomari.com//book/149087/the-ocean-at-the-end-of-the-lane,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/ee3a25692_149087.jpg,"গল্পটা ইংল্যান্ডের সাসেক্সের । এক মাঝবয়সী লোক ফিরে আসেন তার শৈশবের বাড়িতে, শেষকৃত্যের অনুষ্ঠানে অংশগ্রহণ করতে । যে বাড়িতে কেটেছে তার শৈশব, সেটা অবশ্য অনেক আগেই মিশে গেছে ধূলোর সাথে। কিন্তু রয়ে গেছে পথের শেষের সেই পুকুরটা । সাত বছর বয়সে এখানেই ঘটেছিল তার জীবনের সবচেয়ে চমকপ্রদঘটনা, পরিচয় হয়েছিল লেটি হেম্পস্টক আর তার মা ও নানীমার সাথে । লেটির কথা গত কয়েক যুগ মনে পড়েনি তার, তবুও যখন এই পুকুরটার পাশে বসলো (লেটির মতে যেটা একটা সমুদ্র), ফিরে আসতে লাগলো পুরনো সব স্মৃতি । সেই ভীষণ অদ্ভুত, ভীতিকর, বিপদজনক ঘটনার স্মৃতি – ছোট্ট থাকতে যার মুখোমুখি হয়েছিল সে ।

চল্লিশ বছর আগে এই পথের শেষে খামারটায় চুরি করা গাড়িতে বসে আত্মহত্যা করে এক লোক । কিন্তু সেই মৃত্যু যেন অনুরণন ঘটায় খামারের পরিবেশে । এমন কিছু মুক্তি পায়, যার সৃষ্টিই হয়েছে আঁধারের রাজত্ব কায়েমের জন্যে । সাত বছর বয়সে কিছু না বুঝেই তাকে মুখোমুখি হতে হয় বোধাতীত সেই সত্ত্বার । আর লেটি – বয়সের তুলনায় জ্ঞানী, যাদুকরী – কথা দেয় যেকোন মূল্যে তাকে রক্ষা করার।

নিল গেইম্যানের এই যুগান্তকারী আখ্যান, দ্য ওশেন অ্যাট দি এন্ড অফ দি লেন, একটি মডার্ন ফ্যান্টাসি– যা আপনাকে নিয়ে যাবে শৈশবের সেই ভয়, স্বপ্ন আর অদম্য ইচ্ছের দিনগুলোতে । যে দিনগুলো ছিল স্বপ্নের মতন প্রাণবন্ত, প্রজাপতির পাখনার মত রঙিন আর অন্ধকারে চকচক করা ছুরির ফলার মতই বিপদজনক।

পাঠক আপনাকে স্বাগতম এমন এক জগতে, যেখানে সৃষ্টি হয়েছে বাস্তবতা আর পরাবাস্তবতার অপরূপ এক মেলবন্ধন ।",দ্য ওশেন অ্যাট দি এন্ড অফ দি লেন,নিল গেইম্যান,সালমান হক, ,বুক স্ট্রিট,9789848729458,"1st Published,2017",168,বাংলাদেশ,বাংলা
দ্য বাটারফ্লাই গার্ডেন,মোঃ ফুয়াদ আল ফিদাহ,TK. 380,TK. 266,https://rokomari.com//book/167395/the-butterfly-garden,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/a8e440743_167395.jpg,"সুনসান, নিরিবিলি এলাকার মাঝে দাঁড়িয়ে রয়েছে একটি নির্জন গ্রিনহাউজ। সেই গ্রিনহাউজে রয়েছে অদ্ভুত চমৎকার একটি বাগান; যেখানে জন্মায় সুরভিত ফুলের সারি। নীরবে বয়ে চলা ঝর্ণাও রয়েছে। আর এখানে ঘুরে বেড়ায় অমূল্য সব প্রজাপতি। এই প্রজাপতির দল এখানে হাসে, নাচে, গায়...

প্রজাপতি নামধারী এই তরুণীদেরকে ধরে আনা হয় এখানে, পিঠে এঁকে দেয়া হয় প্রজাপতির পাখার আদলে ট্যাটু। ওদেরকে দেখে রাখে গার্ডেনার-মেয়েদের রূপই যার একমাত্র উপজীব্য। জঘন্য লোকটার স্বপ্ন-সুন্দরী মেয়েদের ধরে এনে, তাদের পিঠে প্রজাপতির ডানা এঁকে দেয়া, তাদের নিজের সংগ্রহে রাখা যতটা বেশি সময় সম্ভব!

নিখুঁত সেই জেলখানার অস্তিত্ব যখন ফাঁস হয়ে গেল, তখন মায়া নামের এক প্রজাপতি হলো জিজ্ঞাসাবাদের মুখোমুখি...অবিশ্বাস্য এক কাহিনী শোনাল মেয়েটি।

দু’জন এফ.বি.আই. এজেণ্টের ওপর দায়িত্ব পড়ল এই রহস্য উদঘাটনের। কিন্তু মায়ার অতীত যেন এক ধাঁধা। আস্তে আস্তে তাদের সামনে উন্মোচিত হতে লাগল অভাবনীয় সব তথ্য...
... যেসব তথ্য নিয়ে ধন্দে পড়ে গেলো তারা।",দ্য বাটারফ্লাই গার্ডেন,"মোঃ ফুয়াদ আল ফিদাহ,ডট হাচিসন",মোঃ ফুয়াদ আল ফিদাহ, ,বুক স্ট্রিট,9789848729540,"1st Published,2018",271,বাংলাদেশ,বাংলা
ডার্ক ওয়াটার,কৌশিক জামান,TK. 300,TK. 210,https://rokomari.com//book/175148/dark-water,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/d31abfa90_175148.jpg,"""ডার্ক ওয়াটার"" বইয়ের কিছু কথাঃ

বিবাহ বিচ্ছেদের পর ইয়োসিমি মাতসুবারা তার পাঁচ বছর বয়সী মেয়ে ইকুকোকে নিয়ে টোকিও বে এর পাশেই একটা বিষণ্ণ রকমের ভ্যাপসা এপার্টমেন্ট বিল্ডিঙে এসে উঠল। কিন্তু একটা বাচ্চার লাল রঙের ব্যাগ যেখানে সেখানে যখন তখন দেখা যেতে লাগল। ইয়োসিমির নিজের মানসিক অবস্থা খারাপ হতে লাগল, কিন্তু শিগগিরি ওর মেয়ের জীবনের ঝুঁকি সবকিছু ছাপিয়ে উঠল।
টোকিও বে এর একটা নিষিদ্ধ দ্বীপে যাওয়ার সুযোগ পেল কেনসুকে সুয়েহিরো, যেটা নিয়ে কিছু অদ্ভুত কাহিনী ওর কানে এসেছে। কিন্তু যখন ও সেখানে পৌঁছল, যা দেখল তার জন্য ও মোটেও প্রস্তুত ছিল না।
পেশায় মৎস্য শিকারি, হিরোউকি তার সংসার নিয়ে সুখী নয়। কিন্তু নিজের স্ত্রীর ঝামেলা থেকে রক্ষা পাওয়া মনে হচ্ছে সহজ হবেনা, বিশেষ করে যখন ওর নিজের বোটই ওর বিরুদ্ধে গিয়ে দাঁড়িয়েছে।
পানির নিচে একটা গুহায় আটকা পড়ল সুগিয়ামা। শেষবারের মত কি সে তার সন্তানের সাথে  অন্তত একটিবার যোগাযোগ করার সুযোগ পাবে?

এরকম এক গুচ্ছ হাড় কাঁপানো ছোট গল্প লিখেছেন জাপানের হরর গ্রান্ড মাস্টার, রিং ট্রিলজি খ্যাত, কোজি সুজুকি।

“ছোট গল্পের এক দারুণ সংকলন.. গল্প গুলোকে একক কোন শ্রেণীতে ফেলা যাবেনা।  হরর, ফ্যান্টাসি, রহস্য সব রকমই রয়েছে। তবে এটুকু নিশ্চয়তা দিয়ে বলতে পারি যে গল্প গুলো আপনার হৃদপিন্ডের জন্য ভাল ব্যায়াম হবে। ”
- দ্যা নিউ ইয়র্ক সান

“সুজুকিকে তার দেশে স্টিফেন কিং বলে ডাকা হয়।  কিন্তু সেটি একদমই সঠিক নয়। এরকম জটিল চরিত্র গঠন, বৈজ্ঞানিক সুত্রের ব্যাখ্যা, কিংবা মানুষের বলা ডায়ালগ লেখার ক্ষেত্রে কিং এতটা পারদর্শী নন। ”
- লাস ভেগাস মার্কারি",ডার্ক ওয়াটার,"কৌশিক জামান,কোজি সুজুকি","কৌশিক জামান,লুৎফুল কায়সার", ,বুক স্ট্রিট, ,"1st Published,2019",192,বাংলাদেশ,বাংলা
কোরালাইন,নিল গেইম্যান,TK. 260,TK. 182,https://rokomari.com//book/159415/coraline,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/6f79cb3c7_159415.jpg,"""কোরালাইন"" বইয়ের সংক্ষিপ্ত কথা:

একটা কথা কোরালাইনের মাথায় প্রায়ই ঘুরপাক খায়, কী আছে ড্রয়িংরুমের ওই বন্ধ দরজার পেছনে? নিরেট ইটের দেয়াল দেখে বেশ হতাশ হয় মেয়েটা। তারপর…আরেকদিনের কথা, দরজার ওপাশে দেখা যায় রহস্যময় এক সিঁড়িপথ। পা রাখা মাত্র কোরালাইন পৌছে যায় অন্য এক জগতে।

নতুন এই জগতের সাথে ওর পরিচিত পুরনো জগতের ভীষণ মিল! তবে এখানকার সবকিছু যেন একটু বাড়াবাড়ি রকমের ভালো- বাড়ির চাইতে সুস্বাদু খাবার, খেলনাগুলোও অসাধারণ।

এই ‘অন্যভুবনের’ বাবা-মা’র চেহারাও কিন্তু ওর নিজের বাবা-মা’র মতো। তবে স্বভাবে তারা আরও বন্ধুসুলভ। বকাঝকার বালাই নেই, উপদেশ বা নিষেধাজ্ঞা আরোপণ-ও তাদের স্বভাবের ভেতর পড়ে না। শুধু চোখের জায়গায় কালো বোতাম না থাকলে, অনায়াসে তাদেরকে নিখুঁত বলা যায়। ছোট্ট মেয়েটাকে নিজেদের কাছে রেখে দিতে চায় তারা…চিরকাল!

নতুন এক দুঃস্বপ্নের জগতের সাথে পরিচিত হয় কোরালাইন, ঘুঁচে যায় আপন আর পরের পার্থক্য। নিজের সাথে সাথে রক্ষা করতে হবে আরও কয়েকটি জীবন। আয়নাবন্দী এ জগত থেকে মুক্তি মিলবে তো?",কোরালাইন,নিল গেইম্যান,ওয়াসি আহমেদ (অনুবাদক), ,বুক স্ট্রিট,9789848729533,"1st Published,2018",143,বাংলাদেশ,বাংলা
