Title,Author,Original Price,Discounted Price,URL,Image,Summary,Book_Title,Book_Author,Translator,Editor,Publisher,ISBN,Edition,Number Of Pages,Country,Language
কই মাছের ঝোল,রুবু মুন্নাফ,TK. 250,TK. 188,https://rokomari.com//book/204785/koi-macher-jhol,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/01b62a612_204785.jpg,"",কই মাছের ঝোল,রুবু মুন্নাফ, , ,বুকিশ পাবলিকেশন্স,9789843489258,"1st Published,2020",72,বাংলাদেশ,বাংলা
বাংলাদেশের রকগাথা: আজম খানের উত্তরাধিকার,মাকসুদুল হক,TK. 400,TK. 300,https://rokomari.com//book/197054/history-of-bangladesh-rock--the-legacy-of-azam-khan,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/48292f396_197054.jpg,বইটির বিক্রয়লব্ধ আয়ের অর্থ মুক্তিযুদ্ধ জাদুঘরের তহবিলে প্রদান করা হবে।,বাংলাদেশের রকগাথা: আজম খানের উত্তরাধিকার,মাকসুদুল হক,তানভীর হোসেন, ,Bookish Publications, ,"1st Published,2020", ,Bangladesh,Bangla & English
রসুন চাষের ঘটনাবলী,মঈন উদ্দিন,TK. 260,TK. 195,https://rokomari.com//book/197657/rashun-chasher-ghotonabali,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/792294411_197657.jpg,"ভিন্নধারার উপন্যাস। উপন্যাসে আমরা তিনটা খুন দেখতে পাই, যাকে বলে একেবারে ঠান্ডা মাথার খুন। আর এসব হত্যার ঘটনাকে ঘিরে আমরা আরো অনেক ঘটনা দেখতে পাবো।",রসুন চাষের ঘটনাবলী,মঈন উদ্দিন, , ,বুকিশ পাবলিকেশন্স,9789843484369,"1st Published,2020",72,বাংলাদেশ,বাংলা
প্রফেট,কহলীল জিবরান,TK. 250,TK. 188,https://rokomari.com//book/203248/prophet,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/017231e19_203248.jpg,"""প্রফেট"" বইয়ের পেছনের কভারে লেখা:‘তােমাদের সুখ তােমাদের দুঃখের মুখােশহীন রূপ’
‘সম্পর্কগুলাের মাঝে কিছু ফাকা জায়গা রেখাে, যাতে স্বর্গীয় হাওয়া তােমাদের পারস্পরিক সম্পর্কের মাঝে দুলুনি দেয় পরস্পরকে। ভালােবাসাে কিন্তু ভালােবাসাকে শৃঙ্খলে বেঁধে। বরং তােমাদের দুই হৃদয়ের মধ্যবর্তী সৈকতে ভালােবাসাকে প্রবাহিত সাগরের মতাে বইতে দাও
‘সৌন্দর্য চিরবসন্তের বাগানের উড়তে থাকা। একঝাক পরি। সৌন্দর্য আয়নায় স্থিরভাবে। নিজের দিকে তাকিয়ে থাকা মহাকাল। তােমরাই সেই আয়না আর তােমরাই সেই মহাকাল।
প্রয়ােজনের যে ভয় তােমাদের মাঝে কাজ করে, ভেবে দেখাে সেটাও আরেক প্রয়ােজন। তােমাদের কূপ যখন পুর্ণ, তখন তৃষ্ণার্ত হয়ে পড়ার আশঙ্কা কি সেই তৃষ্ণা নয়, যা কখনাে মেটানাে যায় না?
‘আইন প্রয়ােগে যেমন তােমাদের উৎসাহ, এর চেয়ে বেশি তােমরা আনন্দিত হও আইন ভাঙার কাজে ‘নিহত ব্যক্তি আপন হত্যার দায় থেকে মুক্ত নয়, লুট হয়ে যাওয়া মানুষও মুক্ত নয় লুণ্ঠনের দায় থেকে। খারাপ মানুষের খারাপির দায় থেকে মুক্ত নয় ন্যায়বান সৎ মানুষ, দুবৃত্তের নােংরামাে ভরে থাকে নিষ্কলুষের হাতে ‘গাছের কোনাে একটি পাতা যেমন বিবর্ণ হতে পারে না সমগ্র গাছের নীরব সম্মতি ছাড়া, তেমনি তােমাদের সম্মিলিত গােপন ইচ্ছে ব্যতীত অপরাধী অপরাধ করতে পারে না।",প্রফেট,কহলীল জিবরান, , ,বুকিশ পাবলিকেশন্স,9789843489265,"1st Published,2020",84,বাংলাদেশ,বাংলা
বিষাদের মা কান্তারা,হাসনাত শোয়েব,TK. 180,TK. 135,https://rokomari.com//book/197656/bishader-maa-kantara,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/35e698c22_197656.jpg,"",বিষাদের মা কান্তারা,হাসনাত শোয়েব, , ,বুকিশ পাবলিকেশন্স,9789843476425,"1st Published,2020",46,বাংলাদেশ,বাংলা
হেমলক সন্ধ্যার গান,জাহিদুর রহিম,TK. 200,TK. 150,https://rokomari.com//book/192508/hemlok-sondhar-gan,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/04d02032f_192508.jpg,"",হেমলক সন্ধ্যার গান,জাহিদুর রহিম, , ,বুকিশ পাবলিকেশন্স,9789843476432,"1st published,2019", ,বাংলাদেশ,বাংলা
দ্য ফ্লি: অ্যামেজিং স্টোরি অব লিও মেসি,মাইকেল পার্ট,TK. 360,TK. 270,https://rokomari.com//book/199155/the-flea--amaging-story-of-leo-messi,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/88812478c_199155.jpg,"লিওনেল মেসি, যার পায়ে ফুটবল ফুল হয়ে ফুটে। সর্বকালের সেরাদের তালিকা করলে যার নাম থাকবে ওপরের সারিতেই। মেসি কেবল খেলেনই না, ফুটবল নাম গোলক বস্তুটিকে নিজের ইচ্ছেমত শাসন করেন। মাঠের মেসিকে নিয়ে অবশ্য নতুন করে কিছু বলার নেই। কিন্তু মাঠের বাইরের মেসি, শৈশবের মেসি সম্পর্কে আমরা কতটাই বা জানি। সেই জানানোর কাজটি ‘দ্য ফ্লি- দ্য অ্যামেজিং স্টোরি অব লিও মেসি’ বইটিতে করেছিলেন মাইকেল পার্ট। মেসিকে নিয়ে দুর্দান্ত এই বইটি এবার বাংলায় অনুবাদ করেছেন কবি ও অনুবাদক তানভীর হোসেন। সরস অনুবাদের এই বইটি এবার প্রকাশ করতে যাচ্ছে ‘বুকিশ’। বইটির সাথে আরও থাকছে মেসির একটি পোষ্টার, বুকমার্ক ও স্টিকার। অগ্রিম বুকিং দিয়ে আপনিও মেসির অসাধারণ এ যাত্রায় সঙ্গী হোন।",দ্য ফ্লি: অ্যামেজিং স্টোরি অব লিও মেসি,মাইকেল পার্ট, , ,বুকিশ পাবলিকেশন্স,9789843484376,"1st Published,2020",104,বাংলাদেশ,বাংলা
বহুদিন ব্যাকফুটে এসে ,সাজ্জাদ সাঈফ,"",TK. 100,https://rokomari.com//book/198750/bahudin-backfute-eshe,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/38a156017_198750.jpg,"",বহুদিন ব্যাকফুটে এসে,সাজ্জাদ সাঈফ, , ,বুকিশ পাবলিকেশন্স,9789843489272,"1st Published,2020",32,বাংলাদেশ,বাংলা
এখানে আরেকটু রোদ,আতিক ফারুক,TK. 160,TK. 120,https://rokomari.com//book/191992/ekhane-arektu-rod,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/e0973b8dc_191992.jpg,"",এখানে আরেকটু রোদ,আতিক ফারুক, , ,বুকিশ পাবলিকেশন্স,9789843475312,"1st Published,2019", ,বাংলাদেশ,বাংলা
ফ্যাসিস্ট বাতাসে প্রেম,সাঈদ বিলাস,TK. 180,TK. 135,https://rokomari.com//book/202910/facsist-batashe-prem,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/418891550_202910.jpg,"",ফ্যাসিস্ট বাতাসে প্রেম,সাঈদ বিলাস, , ,বুকিশ পাবলিকেশন্স,9789843489241,"1st Published,2020",64,বাংলাদেশ,বাংলা
এত যে বাগান উপচানো রক্ত,মোশারফ খোকন,TK. 200,TK. 150,https://rokomari.com//book/205132/eto-je-bagan-upchano-rokto,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/951c77ef6_205132.jpg,"",এত যে বাগান উপচানো রক্ত,মোশারফ খোকন, , ,বুকিশ পাবলিকেশন্স,9789843484376,"1st Published,2020",60,বাংলাদেশ,বাংলা
আল আকসা আবাসিক হোটেল,শুভ নীল,TK. 300,TK. 225,https://rokomari.com//book/197659/al-aksa-abashik-hotel,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/6928b13fa_197659.jpg,"",আল আকসা আবাসিক হোটেল,শুভ নীল, , ,বুকিশ পাবলিকেশন্স,9789843476418,"1st Published,2020",93,বাংলাদেশ,বাংলা
মিউজিয়াম অব ব্রোকেন রিলেশনশিপস,আসমা সুলতানা,TK. 160,TK. 120,https://rokomari.com//book/197661/museum-of-broken-relationship,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/ca8ae524d_197661.jpg,"",মিউজিয়াম অব ব্রোকেন রিলেশনশিপস,আসমা সুলতানা, , ,বুকিশ পাবলিকেশন্স,9789843476388,"1st Published,2020",48,বাংলাদেশ,বাংলা
