Title,Author,Original Price,Discounted Price,URL,Image,Summary,Book_Title,Book_Author,Translator,Editor,Publisher,ISBN,Edition,Number Of Pages,Country,Language
Introduction To Textile Engineering,ড. আবু বকর সিদ্দিকী,TK. 450,TK. 383,https://rokomari.com//book/133653/introduction-to-textile-engineering,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/1beacee2c5b4_133653.jpg,"",Introduction To Textile Engineering,"Dr. Abu Bakr Siddipue,Dr. Hosne Ara Begum,Md. Rashedul Islam,Md. Sharif Ahmed (Lecturer)", , ,Books Fair Publications, ,"1st Published,2014",279,Bangladesh,English
Natural Fibers,ড. হোসনে আরা বেগম,TK. 450,TK. 383,https://rokomari.com//book/133646/natural-fibers,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/1a7b8ad4d044_133646.jpg,"",Natural Fibers,"Dr. Hosne Ara Begum,Dr. Abu Bakr Siddipue", , ,Books Fair Publications, , ,148,Bangladesh,English
Chemistry Of Dyes And Pigments,ডা. শেখ মোঃ মামুন কবির,TK. 550,TK. 468,https://rokomari.com//book/133654/chemistry-of-dyes-and-pigments,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/e809ff571124_133654.jpg,"",Chemistry Of Dyes And Pigments,Dr. Shekh Md. Mamun Kabir, , ,Books Fair Publications,9789848776063,"1st Edition,2016",297,Bangladesh,English
Introduction To Application Of Computer In Textile,ড. হোসনে আরা বেগম,TK. 200,TK. 140,https://rokomari.com//book/133649/introduction-to-application-of-computer-in-textile,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/928498daa314_133649.jpg,"",Introduction To Application Of Computer In Textile,"Dr. Hosne Ara Begum,Dr. Abu Bakr Siddipue", , ,Books Fair Publications, , ,199,Bangladesh,English
Introduction To Textile Engineering,ইঞ্জিনিয়ার মো: সাজ্জাক হোসেন,TK. 450,TK. 383,https://rokomari.com//book/133643/introduction-to-textile-engineering,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/5f9ce26da0e4_133643.jpg,"",Introduction To Textile Engineering,Engr. Md. Sajjak Hossain, , ,Books Fair Publications,9789898776056,"3rd Edition,2014",400,Bangladesh,English
Practice Of Textile Coloration (Volume - 1),এম ফরহাদ হোসেন,TK. 550,TK. 413,https://rokomari.com//book/133652/practice-of-textile-coloration--volume---1-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/757f59bbbb54_133652.jpg,"",Practice Of Textile Coloration (Volume - 1),M Forhad Hossain, , ,Books Fair Publications,9789848776025,"Reprint,2015",335,Bangladesh,English
Instruction Manual Of Technical Textile,জি.এম. ফয়সাল,TK. 280,TK. 157,https://rokomari.com//book/133641/instruction-manual-of-technical-textile,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/45d6c65b99f4_133641.jpg,"",Instruction Manual Of Technical Textile,"G.M. Faysal,Muhd. Samiul Alam Mondal", , ,Books Fair Publications, ,"1st Published,2013",212,Bangladesh,English
Practice Of Garments Merchandising And Management,ইঞ্জি. মোঃ ফারুক হোসেন,TK. 560,TK. 476,https://rokomari.com//book/134756/practice-of-garments-merchandising-and-management,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/5afdcd05a554_134756.jpg,"",Practice Of Garments Merchandising And Management,Engr. Md. faruq hosen, , ,Books Fair Publications, ,"Reprint,2015",500,Bangladesh,English
Elements Of Production Planning And Control,ড. হোসনে আরা বেগম,TK. 560,TK. 476,https://rokomari.com//book/133650/elements-of-production-planning-and-control,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/e74313ef12c4_133650.jpg,"",Elements Of Production Planning And Control,"Dr. Hosne Ara Begum,Dr. Abu Bakr Siddipue,Md. Shafiqur Rahman,Md. Ahashan habib", , ,Books Fair Publications, , ,411,Bangladesh,English
Apparel Manufacturing And Machine Maintenance,পলাশ চন্দ্র নাথ,TK. 360,TK. 252,https://rokomari.com//book/133648/apparel-manufacturing-and-machine-maintenance,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/fe8a0436f784_133648.jpg,"",Apparel Manufacturing And Machine Maintenance,Palash Chandra Nath, , ,Books Fair Publications,9789848776087,"Reprint,2012",216,Bangladesh,English
