Title,Author,Original Price,Discounted Price,URL,Image,Summary,Book_Title,Book_Author,Translator,Editor,Publisher,ISBN,Edition,Number Of Pages,Country,Language
অ্যালকেমী: আধুনিক রসায়নের পথিকৃত,সুনন্দ চট্টোপাধ্যায়,"",TK. 81,https://rokomari.com//book/147902/alchemy--adhunik-rosayoner-pothikrit,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/239571c24_147902.jpg,"",অ্যালকেমী: আধুনিক রসায়নের পথিকৃত,সুনন্দ চট্টোপাধ্যায়, , ,বুকস ওয়ে (ভারত), ,"1st Published,2011",63,ভারত,বাংলা
রেইপ ট্রায়াল,সমীরণ চক্রবর্তী,"",TK. 216,https://rokomari.com//book/147903/rape-trial,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/b990b5916_147903.jpg,"সন্ত্রাসবাদের তীব্র ক্ষতিকারক দিকের কথাই রেইপ ট্রায়াল বইতে বর্ণিত। এর শিকার হচ্ছে সাধারণ হত দরিদ্র মানুষ। যেখানে দুই দেশের মিত্রতার দরজা খােলার চেষ্টা হচ্ছে, অর্থনৈতিক আদান-প্রদানের পথ খোঁজা হচ্ছে, সেখানে বারবার সন্ত্রাসবাদ নামক আত্মঘাতী আগুনই প্রতিবন্ধক হয়ে দাঁড়াচ্ছে। এটাও তাে একপ্রকার সামাজিক ধর্ষণই বটে। সুস্থ স্বাভাবিক নাগরিকদের প্রতি। বাবরি মসজিদ থেকে পরমাণু বিস্ফোরণ, সন্ত্রাসবাদ থেকে অনাহার দারিদ্রের প্রতি লেখকের চিন্তাভাবনা প্রসারিত হয়েছে এই রেইপ ট্রায়াল বইটিতে।
দারিদ্র ও অসহায়তার সুযােগ নিয়ে সাধারণ মানুষের প্রতি বঞ্চনা, অপ্রাপ্তি ঘটিয়ে চলেছে এক শ্রেণীর শক্তিধর। পরমাণু শক্তিধর হতে যে অর্থ ব্যয় হয়, সেই অর্থে দারিদ্রসীমার নীচে থাকা মানুষকে, তার কর্মশক্তিকে কাজে লাগিয়ে অনেক উন্নতি ঘটানাে যায়, কিন্তু বাস্তবে তা হয় না। পরিবেশ ধ্বংস করে এমনকী খাদ্য, পানীয় থেকেও প্রতিনিয়ত বঞ্চনা চলছে দারিদ্র্যের প্রতি। এই অসাম্য, এসবই সামগ্রিক অর্থে ধর্ষণেরই ভিন্ন রূপ। এই বঞ্চনা শুধু ভারতেই নয়, পাকিস্তানে নয়, বিশ্বজুড়েই। লেখক দীর্ঘ প্রবাস জীবনের অভিজ্ঞতায় নিষ্ঠুর সত্যের এক ছবি তাঁর কলমে তুলে ধরেছেন।",রেইপ ট্রায়াল,সমীরণ চক্রবর্তী, , ,বুকস ওয়ে (ভারত),9789380145976,"1st Published,2011",160,ভারত,বাংলা
বিশ্ববিদ্যার আনন্দ প্রাঙ্গনে রবীন্দ্রনাথ ১ম খণ্ড,অমিতাভ ঘোষ ,"",TK. 810,https://rokomari.com//book/147886/bishwobidyar-anando-prangone-robindronath-1st-part,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/551bc435a_147886.jpg,"",বিশ্ববিদ্যার আনন্দ প্রাঙ্গনে রবীন্দ্রনাথ ১ম খণ্ড,অমিতাভ ঘোষ, , ,বুকস ওয়ে (ভারত),9789380145044,"1st Pudlished,2010",336,ভারত,বাংলা
বিশ্ববিদ্যার আনন্দ প্রাঙ্গনে রবীন্দ্রনাথ ২য় খণ্ড,অমিতাভ ঘোষ ,"",TK. 810,https://rokomari.com//book/147888/bishwobidyar-anando-prangone-robindronath-2nd-part,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/8f972bb36_147888.jpg,"",বিশ্ববিদ্যার আনন্দ প্রাঙ্গনে রবীন্দ্রনাথ ২য় খণ্ড,অমিতাভ ঘোষ, , ,বুকস ওয়ে (ভারত),9789380145051,"1st Published,2010",311,ভারত,বাংলা
বিশ্ববিদ্যার আনন্দ-প্রাঙ্গণে রবীন্দ্রনাথ ৩য় খণ্ড,অমিতাভ ঘোষ ,"",TK. 810,https://rokomari.com//book/147890/bishwobidyar-anando-prangone-robindronath-3rd-part,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/dacc7cc02_147890.jpg,"",বিশ্ববিদ্যার আনন্দ-প্রাঙ্গণে রবীন্দ্রনাথ ৩য় খণ্ড,অমিতাভ ঘোষ, , ,বুকস ওয়ে (ভারত),9789380145068,"1st Published,2010",223,ভারত,বাংলা
বিশ্ববিদ্যার আনন্দ-প্রাঙ্গণে রবীন্দ্রনাথ ৪র্থ খণ্ড,অমিতাভ ঘোষ ,"",TK. 810,https://rokomari.com//book/147891/bishwobidyar-anando-prangone-robindronath-4th-part,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/012139834_147891.jpg,"",বিশ্ববিদ্যার আনন্দ-প্রাঙ্গণে রবীন্দ্রনাথ ৪র্থ খণ্ড,অমিতাভ ঘোষ, , ,বুকস ওয়ে (ভারত),9789380145075,"1st Published,2010",286,ভারত,বাংলা
William Blake ,আর্থার সাইমনস্,"",TK. 200,https://rokomari.com//book/85284/william-blake,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/rokimg_20141019_85284.gif,"",William Blake,Arthur Symons, , ,Books Way (India),9789380145747,2010, ,Abroad,English
পরিবেশ শিক্ষা,সোমনাথ দাস,"",TK. 180,https://rokomari.com//book/147911/poribesh-shikkha,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",পরিবেশ শিক্ষা,সোমনাথ দাস, , ,বুকস ওয়ে (ভারত), ,2012, ,ভারত,বাংলা
কল্লোলিত ছোটগল্প,রবিন পাল,"",TK. 270,https://rokomari.com//book/147834/kollolito-choto-golpo,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",কল্লোলিত ছোটগল্প,রবিন পাল, , ,বুকস ওয়ে (ভারত), ,2009, ,ভারত,বাংলা
নাট্য সংতলাপঃমঞ্চ ও পরিপ্রেক্ষিত,অর্ধেন্দু মুখোপাধ্যায়,"",TK. 270,https://rokomari.com//book/147870/natyo-songlap---moncho-o-poriprekkhit,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",নাট্য সংতলাপঃমঞ্চ ও পরিপ্রেক্ষিত,অর্ধেন্দু মুখোপাধ্যায়, , ,বুকস ওয়ে (ভারত), ,2009, ,ভারত,বাংলা
