Title,Author,Original Price,Discounted Price,URL,Image,Summary,Book_Title,Book_Author,Translator,Editor,Publisher,ISBN,Edition,Number Of Pages,Country,Language
নাট্যসাধক গিরিশ্চন্দ্র,অপূর্ব কুন্ডু,"",TK. 540,https://rokomari.com//book/169808/natyasadhak-girishchandra,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",নাট্যসাধক গিরিশ্চন্দ্র, , ,অপূর্ব কুন্ডু,বর্ণালী (ভারত), ,2009, ,ভারত,বাংলা
ভারতের লোকনাট্য পরম্পরা রুপ ও ঐশ্বর্য,রণজিৎকুমার সমাদ্দার,"","TK. 1,260",https://rokomari.com//book/169809/varoter-loknatya-porompora-rup-o-oisharjya,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",ভারতের লোকনাট্য পরম্পরা রুপ ও ঐশ্বর্য,রণজিৎকুমার সমাদ্দার, , ,বর্ণালী (ভারত), ,2009, ,ভারত,বাংলা
নষ্ট মানূষ,নিখিল কুমার চক্রবর্তী,"",TK. 135,https://rokomari.com//book/169811/nosta-manush,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",নষ্ট মানূষ,নিখিল কুমার চক্রবর্তী, , ,বর্ণালী (ভারত), ,2009, ,ভারত,বাংলা
নির্বাচিত কবিতা-২য় খণ্ড,সন্তোষ কুমার দাশ,"",TK. 180,https://rokomari.com//book/169812/nirbachito-kobita-2nd-khondho,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",নির্বাচিত কবিতা-২য় খণ্ড,সন্তোষ কুমার দাশ, , ,বর্ণালী (ভারত), ,2009, ,ভারত,বাংলা
মেঘে ঢাকা রোদ্দুর,ডা. জগন্ময় বন্দ্যোপাধ্যায়,"",TK. 216,https://rokomari.com//book/169813/meghe-dhaka-ruddyur,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",মেঘে ঢাকা রোদ্দুর,ডা. জগন্ময় বন্দ্যোপাধ্যায়, , ,বর্ণালী (ভারত), ,2009, ,ভারত,বাংলা
"বাংলা নাটক, নাট্যতত্ত্ব ও রঙ্গমঞ্চ প্রসঙ্গ -২য় খণ্ড",ডঃ প্রদ্যোত সেনগুপ্ত,"",TK. 630,https://rokomari.com//book/169814/bangla-natok-natyatatya-o-rongomancha-prosongo-2nd-khondho,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"","বাংলা নাটক,নাট্যতত্ত্ব ও রঙ্গমঞ্চ প্রসঙ্গ -২য় খণ্ড",ডঃ প্রদ্যোত সেনগুপ্ত, , ,বর্ণালী (ভারত), ,2009, ,ভারত,বাংলা
ছড়ায় ভরা জ্ঞান বিজ্ঞান,সন্তোষ কুমার দাশ,"",TK. 90,https://rokomari.com//book/169815/chorhay-vora-ggan-biggan,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",ছড়ায় ভরা জ্ঞান বিজ্ঞান,সন্তোষ কুমার দাশ, , ,বর্ণালী (ভারত), ,2011, ,ভারত,বাংলা
রবীন্দ্রনাথের পূর্ণাঙ্গ শিক্ষা ভাবনা প্রসঙ্গে,গীতিকণ্ঠ মজুমদার,"",TK. 360,https://rokomari.com//book/169816/rabindranather-purnhango-shikka-vabona-prosonge,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",রবীন্দ্রনাথের পূর্ণাঙ্গ শিক্ষা ভাবনা প্রসঙ্গে,গীতিকণ্ঠ মজুমদার, , ,বর্ণালী (ভারত), ,2011, ,ভারত,বাংলা
বিবর্ণ উদ্ভাস,নিখিল কুমার চক্রবর্তী,"",TK. 225,https://rokomari.com//book/169817/bibornho-udvas,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",বিবর্ণ উদ্ভাস,নিখিল কুমার চক্রবর্তী, , ,বর্ণালী (ভারত), ,2011, ,ভারত,বাংলা
ঝাড়খণ্ডি বাংলা উপভাষা প্রসঙ্গ: উপভাষা ভাবনার সংকলন,রমানাথ দাস,"",TK. 630,https://rokomari.com//book/169818/zharkhondhi-bangla-upovasha-prosongo--upovasha-vabonar-songkolon,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",ঝাড়খণ্ডি বাংলা উপভাষা প্রসঙ্গ: উপভাষা ভাবনার সংকলন,রমানাথ দাস, , ,বর্ণালী (ভারত), ,2011, ,ভারত,বাংলা
প্লেটোর সাহিত্য তত্ত্ব,শীতল ঘোষ,"",TK. 270,https://rokomari.com//book/169819/playtor-sahitya-tottbo,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",প্লেটোর সাহিত্য তত্ত্ব,শীতল ঘোষ, , ,বর্ণালী (ভারত), ,2011, ,ভারত,বাংলা
এরিস্টটলের সাহিত্য তত্ত্ব,শীতল ঘোষ,"",TK. 396,https://rokomari.com//book/169820/aristotoler-sahitya-tottbao,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",এরিস্টটলের সাহিত্য তত্ত্ব,শীতল ঘোষ, , ,বর্ণালী (ভারত), ,2011, ,ভারত,বাংলা
বাংলা নাটকে ট্র্যাজেডি তত্ত্বের প্রয়োগ,শীতল ঘোষ,"",TK. 630,https://rokomari.com//book/169821/bangla-natoke-tragedy-tottwer-proyug,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",বাংলা নাটকে ট্র্যাজেডি তত্ত্বের প্রয়োগ,শীতল ঘোষ, , ,বর্ণালী (ভারত), ,2011, ,ভারত,বাংলা
স্মরণে মননে বিবেকানন্দ,প্রদ্যোত সেনগুপ্ত,"",TK. 720,https://rokomari.com//book/169822/smorone-monone-bibekananda,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",স্মরণে মননে বিবেকানন্দ,প্রদ্যোত সেনগুপ্ত, , ,বর্ণালী (ভারত), ,2012, ,ভারত,বাংলা
ইতিহাসের স্পন্দন,স্নেহেন্দু মাইতি,"",TK. 216,https://rokomari.com//book/169823/itihaser-spondon,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",ইতিহাসের স্পন্দন,স্নেহেন্দু মাইতি, , ,বর্ণালী (ভারত), ,2012, ,ভারত,বাংলা
ছোটদের গুপী গোয়েন্দা ও অন্যান্য,সন্তোষ কুমার দাশ,"",TK. 144,https://rokomari.com//book/169824/chotoder-guphi-goyenda-o-onyanya,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",ছোটদের গুপী গোয়েন্দা ও অন্যান্য,সন্তোষ কুমার দাশ, , ,বর্ণালী (ভারত), ,2013, ,ভারত,বাংলা
নাচনী যৌবন,রবীন পাণ্ডে,"",TK. 108,https://rokomari.com//book/169825/nachoni-joubon,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",নাচনী যৌবন,রবীন পাণ্ডে, , ,বর্ণালী (ভারত), ,2013, ,ভারত,বাংলা
উথান পতন বিদ্রোহ,প্রশান্ত ঘোষ,"",TK. 540,https://rokomari.com//book/169826/uthan-poton-bidroho,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",উথান পতন বিদ্রোহ,প্রশান্ত ঘোষ, , ,বর্ণালী (ভারত), ,2013, ,ভারত,বাংলা
স্মরণে মননে বিবেকানন্দ-৩য় খন্ড,প্রদ্যোত সেনগুপ্ত,"",TK. 900,https://rokomari.com//book/169827/smorone-monone-bibekananda-3yo-khondo,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",স্মরণে মননে বিবেকানন্দ-৩য় খন্ড, , ,প্রদ্যোত সেনগুপ্ত,বর্ণালী (ভারত), ,2014, ,ভারত,বাংলা
