Title,Author,Original Price,Discounted Price,URL,Image,Summary,Book_Title,Book_Author,Translator,Editor,Publisher,ISBN,Edition,Number Of Pages,Country,Language
মননের মানচিত্র ,সরকার মুনীর ,TK. 100,TK. 90,https://rokomari.com//book/78748/mononer-manchitro,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",মননের মানচিত্র,সরকার মুনীর, , ,বর্তমান সময়, , , ,বাংলাদেশ,বাংলা
ভিডিও-মেকার্স হ্যান্ডবুক্‌-প্রথম পত্র,সৈয়দ লুৎফী আলী,TK. 460,TK. 391,https://rokomari.com//book/95259/video-makers-handbook-1st-part,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/rokimg_20150215_95259.gif,"",ভিডিও-মেকার্স হ্যান্ডবুক্‌-প্রথম পত্র,সৈয়দ লুৎফী আলী, , ,বর্তমান সময়,9789849115083,"1st,2015",176,বাংলাদেশ,বাংলা
ভিডিও-মেকার্স হ্যান্ডবুক্‌-দ্বিতীয় খণ্ড,সৈয়দ লুৎফী আলী,TK. 300,TK. 255,https://rokomari.com//book/95261/video-makers-handbook-2nd-part,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/rokimg_20150215_95261.gif,"",ভিডিও-মেকার্স হ্যান্ডবুক্‌-দ্বিতীয় খণ্ড,সৈয়দ লুৎফী আলী, , ,বর্তমান সময়,9789849115076,"1st,2015",112,বাংলাদেশ,বাংলা
টেলিভিশন প্রযোজনা কৌশল,সৈয়দ লুৎফী আলী,TK. 600,TK. 510,https://rokomari.com//book/95262/television-production-techonuque,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/rokimg_20150215_95262.gif,"",টেলিভিশন প্রযোজনা কৌশল,সৈয়দ লুৎফী আলী, , ,বর্তমান সময়,98470041007616,"1st,2015",240,বাংলাদেশ,বাংলা
Reflections At Twilighit,সারওয়ার মো. সাইফুল্লাহ খালেদ,TK. 500,TK. 425,https://rokomari.com//book/95263/reflections-at-twilighit,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/rokimg_20150215_95263.gif,"",Reflections At Twilighit,Sarwar Md. Saifullah Khaled, , ,Bortoman Somoi,9789849115009,"1st,2015",304,Bangladesh,English
রুশ বিপ্লবের ইতিহাস  ,মঞ্জুরুল আহসান খান,TK. 120,TK. 106,https://rokomari.com//book/38159/rush-biploper-itihas,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/rokimg_2110_38159.gif,"",রুশ বিপ্লবের ইতিহাস,মঞ্জুরুল আহসান খান, , ,বর্তমান সময়, , , ,বাংলাদেশ,বাংলা
বাংলা অলঙ্কার  ,মোঃ আবদুল হাই,TK. 200,TK. 176,https://rokomari.com//book/38141/bangla-olonkar,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",বাংলা অলঙ্কার,মোঃ আবদুল হাই, , ,বর্তমান সময়, , , ,বাংলাদেশ,বাংলা
অর্থনীতি অভিধান ,তাহমিলুর রহমান,TK. 300,TK. 255,https://rokomari.com//book/38143/orthoniti-ovidhan,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",অর্থনীতি অভিধান,তাহমিলুর রহমান, , ,বর্তমান সময়, , , ,বাংলাদেশ,বাংলা
আসাম ও মাওলানা ভাসানী এবং লাইন প্রথা-বাঙালখেদা ,বর্তমান সময়,TK. 60,TK. 54,https://rokomari.com//book/38146/asam-o-mawlana-vasani-and-line-protha-bangalkheda,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",আসাম ও মাওলানা ভাসানী এবং লাইন প্রথা-বাঙালখেদা,বর্তমান সময়, , ,বর্তমান সময়, , , ,বাংলাদেশ,বাংলা
প্রেমঃ দার্শনিক বিচার  ,এরিফ ফ্রম,TK. 60,TK. 54,https://rokomari.com//book/38148/prem--darshonik-bichar,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",প্রেমঃ দার্শনিক বিচার,এরিফ ফ্রম, , ,বর্তমান সময়, , , ,বাংলাদেশ,বাংলা
