Title,Author,Original Price,Discounted Price,URL,Image,Summary,Book_Title,Book_Author,Translator,Editor,Publisher,ISBN,Edition,Number Of Pages,Country,Language
এক ডজন ভূতের গল্প,বিভূতিভূষণ বন্দ্যোপাধ্যায়,"",TK. 90,https://rokomari.com//book/169761/ek-dojon-vuter-golpo,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",এক ডজন ভূতের গল্প,বিভূতিভূষণ বন্দ্যোপাধ্যায়, , ,বসাক বুক সেন্টার (ভারত), ,2013, ,ভারত,বাংলা
সেরা জীবনী সমগ্র: নির্বাচিত মনীষীদের জীবনগাথা,শেখর সেনগুপ্ত,"",TK. 540,https://rokomari.com//book/169750/sera-jiboni-somogro--nirbachito-monhishider-jibongantha,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/c5972ecd9_169750.jpg,"",সেরা জীবনী সমগ্র: নির্বাচিত মনীষীদের জীবনগাথা,শেখর সেনগুপ্ত, , ,বসাক বুক সেন্টার (ভারত), ,2012, ,ভারত,বাংলা
শেক্সপীয়রের ট্রাজেডী,উইলিয়াম শেক্সপীয়ার,"",TK. 180,https://rokomari.com//book/169762/shakespearer--tragedy,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",শেক্সপীয়রের ট্রাজেডী,উইলিয়াম শেক্সপীয়ার, , ,বসাক বুক সেন্টার (ভারত), ,2013, ,ভারত,বাংলা
কিশোর বিভূতি রচনাসমগ্র,বিভূতিভূষণ বন্দ্যোপাধ্যায়,"",TK. 450,https://rokomari.com//book/169745/kishor-bivuti-rachanasomogro,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",কিশোর বিভূতি রচনাসমগ্র,বিভূতিভূষণ বন্দ্যোপাধ্যায়, , ,বসাক বুক সেন্টার (ভারত), ,2014, ,ভারত,বাংলা
ছোটদের রবীন্দ্র রচনাসমগ্র,রবীন্দ্রনাথ ঠাকুর,"",TK. 180,https://rokomari.com//book/169746/chotoder-rabindra-rachanasomogro,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",ছোটদের রবীন্দ্র রচনাসমগ্র,রবীন্দ্রনাথ ঠাকুর, , ,বসাক বুক সেন্টার (ভারত), ,2011, ,ভারত,বাংলা
দি বেস্ট ক্যুইজ কনটেস্ট,শেখর সেনগুপ্ত,"",TK. 180,https://rokomari.com//book/169747/the-best-kuiz-contest,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",দি বেস্ট ক্যুইজ কনটেস্ট,শেখর সেনগুপ্ত, , ,বসাক বুক সেন্টার (ভারত), ,2012, ,ভারত,বাংলা
দি বেস্ট ক্যুইজ কনটেস্ট,শেখর সেনগুপ্ত,"",TK. 180,https://rokomari.com//book/169749/the-best-quiz-contest,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",দি বেস্ট ক্যুইজ কনটেস্ট,শেখর সেনগুপ্ত, , ,বসাক বুক সেন্টার (ভারত), ,2012, ,ভারত,বাংলা
গল্পের ঝুলি,ষষ্ঠীপদ চট্টোপাধ্যায় ,"",TK. 90,https://rokomari.com//book/169751/golper-zuli,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",গল্পের ঝুলি,ষষ্ঠীপদ চট্টোপাধ্যায়, , ,বসাক বুক সেন্টার (ভারত), ,2012, ,ভারত,বাংলা
১০০ শিয়াল,শ্যমলেন্দু চৌধুরী,"",TK. 180,https://rokomari.com//book/169760/100-shiyal,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",১০০ শিয়াল,শ্যমলেন্দু চৌধুরী, , ,বসাক বুক সেন্টার (ভারত), ,2013, ,ভারত,বাংলা
শেক্সপীয়রের কমেডী,উইলিয়াম শেক্সপীয়ার,"",TK. 180,https://rokomari.com//book/169763/shakespearer--comedy,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",শেক্সপীয়রের কমেডী,উইলিয়াম শেক্সপীয়ার, , ,বসাক বুক সেন্টার (ভারত), ,2013, ,ভারত,বাংলা
তিন রসিকর গল্প,প্রীতি পাল চৌধূরী,"",TK. 108,https://rokomari.com//book/169764/tin-rosikor-golpo,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",তিন রসিকর গল্প,প্রীতি পাল চৌধূরী, , ,বসাক বুক সেন্টার (ভারত), ,2013, ,ভারত,বাংলা
অভিশপ্ত তিড্ডিম,ষষ্ঠীপদ চট্টোপাধ্যায় ,"",TK. 117,https://rokomari.com//book/169765/ovishopto-tiddim,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",অভিশপ্ত তিড্ডিম,ষষ্ঠীপদ চট্টোপাধ্যায়, , ,বসাক বুক সেন্টার (ভারত), ,2013, ,ভারত,বাংলা
বনজঙ্গলের গল্প,নির্মলেন্দু গৌতম,"",TK. 45,https://rokomari.com//book/169766/bonjungler-golpo,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",বনজঙ্গলের গল্প,নির্মলেন্দু গৌতম, , ,বসাক বুক সেন্টার (ভারত), ,2013, ,ভারত,বাংলা
ইলিয়ড ও ওডিসি,দেবাশিস চাকী,"",TK. 180,https://rokomari.com//book/169767/iliad-o-odc,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",ইলিয়ড ও ওডিসি,দেবাশিস চাকী, , ,বসাক বুক সেন্টার (ভারত), ,2013, ,ভারত,বাংলা
বাছাই করা ভূতের গল্প,হরিনারায়ণ চট্টোপাধ্যায়,"",TK. 108,https://rokomari.com//book/169768/bachai-kora-vuter--golpo,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",বাছাই করা ভূতের গল্প,হরিনারায়ণ চট্টোপাধ্যায়, , ,বসাক বুক সেন্টার (ভারত), ,2013, ,ভারত,বাংলা
শ্রেষ্ঠ লেখকের সেরা হাসির গল্প,নন্তু গঙ্গোপাধ্যায়,"",TK. 108,https://rokomari.com//book/169769/shreshta-lekhoker-sera-hasir-golpo,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",শ্রেষ্ঠ লেখকের সেরা হাসির গল্প,নন্তু গঙ্গোপাধ্যায়, , ,বসাক বুক সেন্টার (ভারত), ,2013, ,ভারত,বাংলা
এঁরাও রসিক ছিলেন,প্রণবকান্তি মুখোপাধ্যায়,"",TK. 108,https://rokomari.com//book/169771/enrao-rosik-chilen,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",এঁরাও রসিক ছিলেন,প্রণবকান্তি মুখোপাধ্যায়, , ,বসাক বুক সেন্টার (ভারত), ,2016, ,ভারত,বাংলা
কফি হাউসের সেই আড্ডা….,উজ্জ্বল কুমার দাস,"",TK. 180,https://rokomari.com//book/169772/coffee-houser-sei-adda,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",কফি হাউসের সেই আড্ডা….,উজ্জ্বল কুমার দাস, , ,বসাক বুক সেন্টার (ভারত), ,2014, ,ভারত,বাংলা
স্বামী বিবেকানন্দের কথামৃত,উজ্জ্বল কুমার দাস,"",TK. 270,https://rokomari.com//book/169773/swamhi-bibekananda-kothamrito,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",স্বামী বিবেকানন্দের কথামৃত,উজ্জ্বল কুমার দাস, , ,বসাক বুক সেন্টার (ভারত), ,2015, ,ভারত,বাংলা
সিমলার ওপারে সংলাপ,হরেন্দ্রনাথ মাইতি,"",TK. 180,https://rokomari.com//book/169776/simlar-opare-songlap,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",সিমলার ওপারে সংলাপ,"হরেন্দ্রনাথ মাইতি,মোহিত রায়", , ,বসাক বুক সেন্টার (ভারত), ,2009, ,ভারত,বাংলা
