Title,Author,Original Price,Discounted Price,URL,Image,Summary,Book_Title,Book_Author,Translator,Editor,Publisher,ISBN,Edition,Number Of Pages,Country,Language
Business Statistics,ডঃ মোঃ রফিকুল ইসলাম ,TK. 432,TK. 393,https://rokomari.com//book/71499/business-statistics,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/ff56c4800_71499.jpg,"",Business Statistics,"Dr. Md. Rofiqul Islam,Mangal Chandra Paul", , ,CBO Publication,9847006200087,"3rd Edition,2014",820,Bangladesh,English
Management Accounting,জাহাঙ্গীর আলম শেখ,TK. 450,TK. 410,https://rokomari.com//book/71494/management-accounting,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/rokimg_20150810_71494.gif,"",Management Accounting,Jahangir Alam Shekh, , ,CBO Publication,9847006200039,"2nd,2014",865,Bangladesh,English
কম্পিউটার এন্ড ইনফরমেশন টেকনোলজি,মোস্তাফা জব্বার,"",TK. 300,https://rokomari.com//book/71501/computer-and-information-technology,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/7cc434816_71501.jpg,"",কম্পিউটার এন্ড ইনফরমেশন টেকনোলজি,মোস্তাফা জব্বার, , ,সিবিও পাবলিকেশন,9847006200079,"4th Edition,2020",592,বাংলাদেশ,বাংলা
অর্থায়নের নীতিমালা,শাহাদাত হোসেন,TK. 450,TK. 383,https://rokomari.com//book/116337/principles-of-finance,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/88c23d16ca04_116337.gif,"",অর্থায়নের নীতিমালা,শাহাদাত হোসেন, , ,সিবিও পাবলিকেশন,9847006200068,"2nd Published,2015",968,বাংলাদেশ,বাংলা
মার্কেটিং এর আইনগত পরিবেশ,বাদশা আলমগীর,TK. 360,TK. 342,https://rokomari.com//book/116338/legal-environment-of-marketing,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/85f1546d2334_116338.gif,"",মার্কেটিং এর আইনগত পরিবেশ,বাদশা আলমগীর, , ,সিবিও পাবলিকেশন, ,"3rd Published,2016",624,বাংলাদেশ,বাংলা
লিগ্যাল ইনভায়রমেন্ট অব মার্কেটিং,বাদশা আলমগীর,TK. 360,TK. 306,https://rokomari.com//book/102235/legal-environment-of-marketing,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/rokimg_20150810_102235.gif,"",লিগ্যাল ইনভায়রমেন্ট অব মার্কেটিং,বাদশা আলমগীর, , ,সিবিও পাবলিকেশন,9847006200048,"3rd Published,2015",360,বাংলাদেশ,বাংলা
Business Finance and Accounting,জাহাঙ্গীর আলম শেখ,TK. 300,TK. 255,https://rokomari.com//book/71497/business-finance-and-accounting,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/rokimg_20150810_71497.gif,"",Business Finance and Accounting,Jahangir Alam Shekh, , ,CBO Publication,9847006200036,"5th,2014",510,Bangladesh,English
এক্সপোর্ট ইমপোর্ট ম্যানেজমেন্ট,এস. এম. মুজাহিদুল ইসলাম,TK. 300,TK. 255,https://rokomari.com//book/71498/export-import-management,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/4a4c38f05_71498.jpg,"",এক্সপোর্ট ইমপোর্ট ম্যানেজমেন্ট,"এস. এম. মুজাহিদুল ইসলাম,উৎপল চন্দ্র দাস,মোহাম্মদ আলমগীর মজুমদার", , ,সিবিও পাবলিকেশন,9847006200024,"4th Edition,2019",426,বাংলাদেশ,বাংলা
Business Comunication and Report Writing,এম. মাসুদুর রহমান ,TK. 300,TK. 255,https://rokomari.com//book/71500/business-comunication-and-report-writing,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/rokimg_20150810_71500.gif,"",Business Comunication and Report Writing,M. Masudur Rahman, , ,CBO Publication,9847006000024,"2nd,2014",609,Bangladesh,English
Babosthapona Neetimala - Hons 1st Year,মুহাম্মদ আলমগীর,TK. 258,TK. 219,https://rokomari.com//book/71503/babosthapona-neetimala---hons-1st-year,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",Babosthapona Neetimala - Hons 1st Year,"Muhammad Alamgir,Syeeda Salena Mahmud", , ,CBO Publication, , , ,Bangladesh,English
তথ্য ও যোগাযোগ প্রযুক্তি (আইসিটি) (একাদশ-দ্বাদশ শ্রেণি),মোস্তাফা জব্বার,"",TK. 200,https://rokomari.com//book/71505/information-and-communication-technology--ict---class-xi-xii-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/rokimg_20140314_71505.gif,"",তথ্য ও যোগাযোগ প্রযুক্তি (আইসিটি) (একাদশ-দ্বাদশ শ্রেণি),মোস্তাফা জব্বার, , ,সিবিও পাবলিকেশন,9847006217,"3rd,2015",462,বাংলাদেশ,বাংলা
Business Mathematics ,ডঃ মোঃ রফিকুল ইসলাম ,"",TK. 330,https://rokomari.com//book/71502/business-mathematics,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/974fb8f78_71502.jpg,"",Business Mathematics,"Dr. Md. Rofiqul Islam,Mohammod Osman Goni", , ,CBO Publication,9847006200079,"5th Edition,2017",583,Bangladesh,English
শিশু বিকাশ পরিচিতি মা ও শিশু স্বাস্থ্য,গাজী হোসনে আরা,TK. 300,TK. 255,https://rokomari.com//book/116339/introduction-to-child-development-maternal-and-child-health,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/68fa2a7da334_116339.gif,"",শিশু বিকাশ পরিচিতি মা ও শিশু স্বাস্থ্য,গাজী হোসনে আরা, , ,সিবিও পাবলিকেশন,9847006200039, ,352,বাংলাদেশ,বাংলা
ইনোভেশন এ্যান্ড নিউ প্রোডাক্ট ডেভেলপমেন্ট,মোহাম্মদ আবদুল হাই মিয়া,TK. 200,TK. 176,https://rokomari.com//book/102234/innovation,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/rokimg_20150810_102234.gif,"",ইনোভেশন এ্যান্ড নিউ প্রোডাক্ট ডেভেলপমেন্ট,মোহাম্মদ আবদুল হাই মিয়া, , ,সিবিও পাবলিকেশন,9847006200018,"2nd Edition,2014",270,বাংলাদেশ,বাংলা
পোর্টফোলিও ব্যবস্থাপনা,বেনজির রিজভী,TK. 270,TK. 230,https://rokomari.com//book/102236/portfolio-babosthapona--portfolio-management-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/rokimg_20150810_102236.gif,"",পোর্টফোলিও ব্যবস্থাপনা,বেনজির রিজভী, , ,সিবিও পাবলিকেশন,9847006200078,"2nd Edition,2014",370,বাংলাদেশ,বাংলা
স্বাধীন বাংলাদেশের অভ্যুদয়ের ইতিহাস,ড. এ কে এম শাহনাওয়াজ,"",TK. 315,https://rokomari.com//book/102238/shadhin-bangladesher-avudoyer-itihas,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/rokimg_20150810_102238.gif,"",স্বাধীন বাংলাদেশের অভ্যুদয়ের ইতিহাস, ,ড. এ কে এম শাহনাওয়াজ, ,সিবিও পাবলিকেশন,9847006200033,"2nd Edition,2015",448,বাংলাদেশ,বাংলা
