Title,Author,Original Price,Discounted Price,URL,Image,Summary,Book_Title,Book_Author,Translator,Editor,Publisher,ISBN,Edition,Number Of Pages,Country,Language
Casaviva - April ' 13,ক্যাসাভিবা,"",TK. 300,https://rokomari.com//book/66781/casaviva---april---13,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/imgrok0529_66781.GIF,"",Casaviva - April ' 13,Casaviva, , ,Casaviva, , , ,Bangladesh,English
Casaviva - June ' 13,ক্যাসাভিবা,"",TK. 300,https://rokomari.com//book/68570/casaviva---june---13,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/imgrok0718_68570.GIF,"",Casaviva - June ' 13,Casaviva, , ,Casaviva, , , ,Bangladesh,English
Casaviva - March ' 13,ক্যাসাভিবা,"",TK. 300,https://rokomari.com//book/65586/casaviva---march---13,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/imgrok_65586.gif,"",Casaviva - March ' 13,Casaviva, , ,Casaviva, , , ,Bangladesh,English
Casaviva - May ' 13,ক্যাসাভিবা,"",TK. 300,https://rokomari.com//book/68226/casaviva---may---13,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/imgrok0709_68226.GIF,"",Casaviva - May ' 13,Casaviva, , ,Casaviva, , , ,Bangladesh,English
Casaviva - January ' 13,ক্যাসাভিবা,"",TK. 300,https://rokomari.com//book/59851/casaviva---january---13,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/imgrok_59851.GIF,"",Casaviva - January ' 13,Casaviva, , ,Casaviva, , , ,Bangladesh,English
Casaviva - June ' 12,ক্যাসাভিবা,"",TK. 300,https://rokomari.com//book/49578/casaviva---june---12,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/img_49578.GIF,"",Casaviva - June ' 12,Casaviva, , ,Casaviva, , , ,Bangladesh,English
Casaviva - July ' 12,ক্যাসাভিবা,"",TK. 250,https://rokomari.com//book/50100/casaviva---july---12,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/img_50100.gif,"",Casaviva - July ' 12,Casaviva, , ,Casaviva, , , ,Bangladesh,English
Casaviva - August ' 12,ক্যাসাভিবা,"",TK. 250,https://rokomari.com//book/50794/casaviva---august---12,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/img_50794.gif,"",Casaviva - August ' 12,Casaviva, , ,Casaviva, , , ,Abroad,English
Casaviva - November ' 12,ক্যাসাভিবা,"",TK. 300,https://rokomari.com//book/56763/casaviva---november---12,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/img1135_56763.GIF,"",Casaviva - November ' 12,Casaviva, , ,Casaviva, , , ,Bangladesh,English
Casaviva - October ' 12,ক্যাসাভিবা,"",TK. 200,https://rokomari.com//book/53868/casaviva---october---12,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/img1410_53868.GIF,"",Casaviva - October ' 12,Casaviva, , ,Casaviva, , , ,Bangladesh,English
