Title,Author,Original Price,Discounted Price,URL,Image,Summary,Book_Title,Book_Author,Translator,Editor,Publisher,ISBN,Edition,Number Of Pages,Country,Language
শেয়াল ও বিড়াল,স্যমল কুমার দাস,TK. 100,TK. 75,https://rokomari.com//book/157349/sheal-o-biral--nitishikkhar-golpo-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/cfe920935_157349.jpg,"",শেয়াল ও বিড়াল, , ,স্যমল কুমার দাস,চিলড্রেন বুক কালেকশন,97898488810603,"1st Published,2018",16,বাংলাদেশ,বাংলা
পিঁপড়ে ও কবুতর,স্যমল কুমার দাস,TK. 100,TK. 75,https://rokomari.com//book/157345/pipre-o-kobutor--nitishikkhar-golpo-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/92732bddb_157345.jpg,"",পিঁপড়ে ও কবুতর, , ,স্যমল কুমার দাস,চিলড্রেন বুক কালেকশন,97898488810708,"1st Published,2018",16,বাংলাদেশ,বাংলা
শহরের ইঁদুর ও গ্রামের ইঁদুর,স্যমল কুমার দাস,TK. 100,TK. 75,https://rokomari.com//book/157346/shohorer-idur-o-gramer-idur---nitishikkhar-golpo-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/9e75d462d_157346.jpg,"‘শহরের ইঁদুর ও গ্রামের ইঁদুর (নীতিশিক্ষার গল্প)’ গল্পটির কিছু অংশ
অনেক দিন আগের কথা, এক গাঁয়ে এক ইঁদুর বাস করতো।",শহরের ইঁদুর ও গ্রামের ইঁদুর, , ,স্যমল কুমার দাস,চিলড্রেন বুক কালেকশন,97898488810109,"1st Published,2018",16,বাংলাদেশ,বাংলা
ব্যাঙ ও ইঁদুর,স্যমল কুমার দাস,TK. 100,TK. 75,https://rokomari.com//book/157351/bang-o-idur--nitishikkhar-golpo-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/1c545691d_157351.jpg,"",ব্যাঙ ও ইঁদুর, , ,স্যমল কুমার দাস,চিলড্রেন বুক কালেকশন,97898488810705,"1st Published,2018",16,বাংলাদেশ,বাংলা
গাধার ছায়া,স্যমল কুমার দাস,TK. 100,TK. 75,https://rokomari.com//book/157350/gadhar-chhaya--nitishikkhar-golpo-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/b3a988d93_157350.jpg,"",গাধার ছায়া, , ,স্যমল কুমার দাস,চিলড্রেন বুক কালেকশন,97898488810309,"1st Published,2018",16,বাংলাদেশ,বাংলা
শেয়াল ও সারস,স্যমল কুমার দাস,TK. 100,TK. 75,https://rokomari.com//book/157348/sheal-o-sharos,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/68d16dd69_157348.jpg,"‘শেয়াল ও সারস’ গল্পটির কিছু অংশ
সারস ও শেয়াল ছিলো দুই বন্ধু। একদিন শেয়াল সারসকে তার বাসায় দাওয়াত করলো......",শেয়াল ও সারস, , ,স্যমল কুমার দাস,চিলড্রেন বুক কালেকশন,97898488810804,"1st Published,2018",16,বাংলাদেশ,বাংলা
শেয়াল ও উট,স্যমল কুমার দাস,TK. 100,TK. 75,https://rokomari.com//book/157347/sheal-o-utt,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/7eca10349_157347.jpg,"",শেয়াল ও উট, , ,স্যমল কুমার দাস,চিলড্রেন বুক কালেকশন,97898488810601,"1st Published,2018",16,বাংলাদেশ,বাংলা
ভীষণ বিপদে গুড্ডুবুড়া,আনিসুল হক,TK. 180,TK. 135,https://rokomari.com//book/195538/vision-bipode-guddobura,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/5f6410179_195538.jpg,"",ভীষণ বিপদে গুড্ডুবুড়া,আনিসুল হক, , ,চিলড্রেন বুক কালেকশন, ,"1st Published,2020",40,বাংলাদেশ,বাংলা
Children's Moral Stories,চিলড্রেন বুকস্‌ কালেকশন,TK. 240,TK. 180,https://rokomari.com//book/178842/children-s-moral-stories,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/6164db96d_178842.jpg,"",Children's Moral Stories, , ,Children Book Collection,Children Book Collection,9789848881939,"1st Published,2019",80,Bangladesh,English
The Crane And The Crab (Moral Story),চিলড্রেন বুকস্‌ কালেকশন,TK. 100,TK. 75,https://rokomari.com//book/151541/the-crane-and-the-crab--moral-story-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/11fbe690f_151541.jpg,"",The Crane And The Crab (Moral Story), , ,Children Book Collection,Children Book Collection,97898488810704,"1st Published,2017",16,Bangladesh,English
Aesops Fables,চিলড্রেন বুকস্‌ কালেকশন,TK. 240,TK. 180,https://rokomari.com//book/178840/aesops-fables,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/cc43c96a7_178840.jpg,"",Aesops Fables, , ,Children Book Collection,Children Book Collection,9789848881947,"1st Published,2019",40,Bangladesh,English
গুরুপূর্ণিমার রাতে যত কাণ্ড,আহসান হাবীব (কার্টুনিস্ট),TK. 240,TK. 180,https://rokomari.com//book/198090/gurupurnimar-rate-zoto-kando,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/0cf51959f_198090.jpg,"",গুরুপূর্ণিমার রাতে যত কাণ্ড,আহসান হাবীব (কার্টুনিস্ট), , ,চিলড্রেন বুক কালেকশন,9789848881151,"1st Published,2020",64,বাংলাদেশ,বাংলা
কিটু,জিল্লুর রহমান সিদ্দিকী,TK. 100,TK. 75,https://rokomari.com//book/178850/kitu,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/7a769d952_178850.jpg,"",কিটু,জিল্লুর রহমান সিদ্দিকী, , ,চিলড্রেন বুক কালেকশন,9789848881919,"1st Published,2019",16,বাংলাদেশ,বাংলা
এক বোকা নীল শিয়াল,স্যমল কুমার দাস,TK. 100,TK. 75,https://rokomari.com//book/186967/ek-boka-neel-shiyel--nitishikkhar-golpo-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/799214772_186967.jpg,"",এক বোকা নীল শিয়াল, , ,স্যমল কুমার দাস,চিলড্রেন বুক কালেকশন,97898488810904,"1st Publication,2018",16,বাংলাদেশ,বাংলা
