Title,Author,Original Price,Discounted Price,URL,Image,Summary,Book_Title,Book_Author,Translator,Editor,Publisher,ISBN,Edition,Number Of Pages,Country,Language
Collins Gem (Ancient Rome) ,কলিনস জেম,"",TK. 312,https://rokomari.com//book/52107/collins-gem--ancient-rome-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/rokimg_2111_52107.GIF,"",Collins Gem (Ancient Rome),Collins Gem, , ,Collins, , , ,Abroad,English
"Mum-Me : Raising Babies, Surviving Toddlers And Learning To Love Myself ",নাওমি র্জজ,"",TK. 360,https://rokomari.com//book/101083/mum-me---raising-babies--surviving-toddlers-and-learning-to-love-myself,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/bc75dfd5e_101083.jpg,"Motherhood is a beautiful thing. A womans life is transformed after having a baby. From breastfeeding to running around after the little one as he learns to walk, life can be full of joy and wonder. But things are not always that easy. Young mothers find no time to care for themselves and often fall prey to unhealthy eating habits, lack of sleep can lead to depression, romance with the husband takes a backseat while it becomes impossible to balance home with a demanding full-time career. Mum - Me is a chronicling of this very journey that every new mother goes through. Written by a young mother of two, the book provides valuable insight into raising babies and toddlers while at the same time retaining and nurturing the woman within the mother. Cherishing the woman within is as important as cherishing the child and vital in keeping alive the identity of the mother. With handy hints and advice brought alive through anecdotes and humorous life stories, this is the book for you if you are a mother or planning to become one.

About the Author

Naomi George is a thirty-four-year-old mum to two children, a fifteen-month toddler boy and a four-year-old girl. She lives in Bengaluru, is a keen yoga practitioner and a fitness enthusiast. She has a degree in English Literature from Sophia College Mumbai and a masters in Professional Communication from Australia.","Mum-Me : Raising Babies,Surviving Toddlers And Learning To Love Myself",Naomi George, , ,Collins,9789351363644,"1st Published,2014",147,India,English
Collins Gem (10-Minute Watercolours) ,কলিনস জেম,"","TK. 1,060",https://rokomari.com//book/52100/collins-gem--10-minute-watercolours-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/rokimg_2111_52100.gif,"",Collins Gem (10-Minute Watercolours),Collins Gem, , ,Collins,9780007202157, , ,Abroad,English
Easy Learning English Conversation: Book 1 (Collins Easy Learning English),কলিনস ডিকশনারিজ,"","TK. 1,395",https://rokomari.com//book/190919/easy-learning-english-conversation--book-1--collins-easy-learning-english-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/4f1800793_190919.jpg,"",Easy Learning English Conversation: Book 1 (Collins Easy Learning English),Collins Dictionaries, , ,Collins,9780008101749,"2nd Edition,2015",256,India,English
Birds of India (Collins Field Guide),নরমাল আরলট,"","TK. 1,258",https://rokomari.com//book/207225/birds-of-india--collins-field-guide-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/480591eb7_207225.jpg,"",Birds of India (Collins Field Guide),Norman Arlott, , ,Collins,9780007429554,"1st Published,2015",400,India,English
Get Ready for IELTS - Listening: IELTS 4  (A2 ) (Collins English for IELTS),জেন শর্ট,"","TK. 1,955",https://rokomari.com//book/170122/get-ready-for-ielts---listening--ielts-4---a2----collins-english-for-ielts-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/3392e944f_170122.jpg,"",Get Ready for IELTS - Listening: IELTS 4  (A2 ) (Collins English for IELTS),Jane Short, , ,Collins,9780007460625,"1st Edition,2012",136,India,English
Start Up Your Restaurant: The Definitive Guide for Anyone Who Dreams of Running Their Own Restaurant,প্রিয়া বালা,"",TK. 538,https://rokomari.com//book/163269/start-up-your-restaurant--the-definitive-guide-for-anyone-who-dreams-of-running-their-own-restaurant,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/36a2f3950_163269.jpg,"",Start Up Your Restaurant: The Definitive Guide for Anyone Who Dreams of Running Their Own Restaurant,"Priya Bala,Jayanth Narayanan", , ,Collins,9789351777205,"1st Edition,2016",244,India,English
True North Group: Powerful Path to Personal and Leadership Development,George BBaker D,"",TK. 450,https://rokomari.com//book/187000/true-north-group--powerful-path-to-personal-and-leadership-development,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/053599ba9_187000.jpg,"",True North Group: Powerful Path to Personal and Leadership Development,George BBaker D, , ,Collins,9781609946876,"1st edition,2011",179,India,English
"The Stress Cure: A Simple, 7-Step Plan to Help Women Balance Mood, Improve Memory, and Restore Energy",ভেরন  এস চেরিওটেনকো,"","TK. 3,120",https://rokomari.com//book/162783/the-stress-cure--a-simple--7-step-plan-to-help-women-balance-mood--improve-memory--and-restore-energy,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/6985ee2a7_162783.jpg,"","The Stress Cure: A Simple,7-Step Plan to Help Women Balance Mood,Improve Memory,and Restore Energy","Vern S. Cherewatenko,Paul Perry", , ,Collins,9780060957841,"1st Edition,2004",272,USA,English
Nemai Ghosh s Kolkata  ,নিমাই ঘোষ,"","TK. 4,788",https://rokomari.com//book/91198/nemai-ghosh-s-kolkata,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/imgrok_20141125_91198.gif,"Well-known photographer Nemai Ghosh, has been acclaimed for his work with Satyajit Ray. This spectacular coffee table shows a different facet of the genius of the ace cameraman. Here he documents the changing landscape of Kolkata over the last 50 years in a series of stunning black and white photographs that record every minute detail of the megapolis, from modern skyscrapers and shanties, to unknown alleyways, from the ghats of the Hooghly to the expanse of the Maidan and also incredibly candid shots of some of the citys most well-known personalities.",Nemai Ghosh s Kolkata,Nemai Ghosh, , ,Collins,9789350296066, ,204,India,English
Microcomputers in Agriculture ,মোভার্লি,"","TK. 3,960",https://rokomari.com//book/61353/microcomputers-in-agriculture,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/2f8713354_61353.jpg,"",Microcomputers in Agriculture,Moverley, , ,Collins,9780003831863,1987,192,India,English
Collins Gem (100 Ways to Boost Your Energy) ,কলিনস জেম,"",TK. 312,https://rokomari.com//book/52101/collins-gem--100-ways-to-boost-your-energy-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/rokimg_20141105_52101.gif,"",Collins Gem (100 Ways to Boost Your Energy),Collins Gem, , ,Collins, , , ,Abroad,English
Collins Gem (15-Minute Yoga) ,কলিনস জেম,"",TK. 312,https://rokomari.com//book/52103/collins-gem--15-minute-yoga-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/rokimg_2111_52103.gif,"",Collins Gem (15-Minute Yoga),Collins Gem, , ,Collins, , , ,Abroad,English
Collins Gem (5-Minute Memory Workout) ,কলিনস জেম,"",TK. 312,https://rokomari.com//book/52104/collins-gem--5-minute-memory-workout-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/rokimg_2111_52104.GIF,"",Collins Gem (5-Minute Memory Workout),Collins Gem, , ,Collins, , , ,Abroad,English
Collins Gem (Feng Shui),কলিনস জেম,"",TK. 225,https://rokomari.com//book/52118/collins-gem--feng-shui-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/rokimg_2111_52118.GIF,"",Collins Gem (Feng Shui),Collins Gem, , ,Collins, , , ,Abroad,English
Collins Gem (First Aid),কলিনস জেম,"",TK. 312,https://rokomari.com//book/52119/collins-gem--first-aid-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/rokimg_2111_52119.GIF,"",Collins Gem (First Aid),Collins Gem, , ,Collins, , , ,Abroad,English
Collins Gem (Gemstones),কলিনস জেম,"",TK. 312,https://rokomari.com//book/52121/collins-gem--gemstones-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/rokimg_2111_52121.GIF,"",Collins Gem (Gemstones),Collins Gem, , ,Collins, , , ,Abroad,English
Collins Gem (Meditations),কলিনস জেম,"",TK. 312,https://rokomari.com//book/52122/collins-gem--meditations-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/rokimg_2111_52122.GIF,"",Collins Gem (Meditations),Collins Gem, , ,Collins, , , ,Abroad,English
Collins Gem (Water-Colour Tips),কলিনস জেম,"",TK. 312,https://rokomari.com//book/52127/collins-gem--water-colour-tips-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/rokimg_2111_52127.GIF,"",Collins Gem (Water-Colour Tips),Collins Gem, , ,Collins, , , ,Abroad,English
Collins Gem (Yoga),কলিনস জেম,"",TK. 312,https://rokomari.com//book/52128/collins-gem--yoga-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/rokimg_2111_52128.GIF,"",Collins Gem (Yoga),Collins Gem, , ,Collins, , , ,Abroad,English
Ancient Rome ,ডেভিড পিকারিং ,"",TK. 163,https://rokomari.com//book/117716/ancient-rome,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/077ba153cd54_117716.jpg,"",Ancient Rome,David Pickering, , ,Collins,9780007288601,"1st Edition,2008",256,India,English
More Than A Mouthful ,সন্দেশ মায়েকার,"",TK. 575,https://rokomari.com//book/100983/more-than-a-mouthful,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/rokimg_20150701_100983.gif,"We use our teeth every day to munch on an apple or carrot, to hold a pen-knife or a hairpin, we put them on display when we smile or laugh. But we rarely think about the strain we subject them to, rushing to the dentist only when our teeth cry out in pain. Or, sometimes, when they disturb the symmetry of our face.

Teeth may get lost while shooting for a Bollywood fighting scene. They may shrink to half their size because of too much cola intake. A man may commit suicide because of the buzzing in his ears caused by a strained muscle in the jaw. Dr. Sandesh Mayekar has seen all this and worse. He has filled the dark cavity in a molar, fought smelly mouth odour, whitened a ladys gums for a beauty contest and sealed that wide gap between a mans front teeth for a photo shoot.

More than a mouthful tells the stories behind those healthy teeth that you see on TV or on the ramp. Mayekar has stayed up nights, sometimes travelled miles, to address an emergency. He has assuaged patients fears with as much clinical care as personal concern. It is also the tale of one mans determination to master his craft and lay the foundation of aesthetic dentistry in India is a journey that has taken him from humble beginnings in a chawl in Mumbai to the swanky bandstand at Bandra.

Written with compassion and laced with wit, more than a mouthful is what the doctor prescribes to rid you of that fear of the dentist.",More Than A Mouthful,Sandesh Mayekar, , ,Collins,9789351369745,"1st,2014",332,India,English
Collins Early English Skills Workbook 1,ই জে বেল,"","TK. 12,036",https://rokomari.com//book/134979/collins-early-english-skills-workbook-1,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/e587b81f5064_134979.jpg,"",Collins Early English Skills Workbook 1,"E J Bell,M. Munro", , ,Collins,9780003122305,"1st Edition,1981",32,USA,English
Collins Early English Skills Workbook 2,ই জে বেল,"","TK. 13,500",https://rokomari.com//book/134980/collins-early-english-skills-workbook-2,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/46f9f3b7f104_134980.jpg,"",Collins Early English Skills Workbook 2,"E J Bell,M. Munro", , ,Collins,9780003122312, ,32,USA,English
Nonverbal Advantage ,ক্যারল কিনসে গোম্যান,"",TK. 575,https://rokomari.com//book/101009/nonverbal-advantage,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/rokimg_20150701_101009.gif,"The Workplace is a “BLINK” WORLD: studies show that we form opinions of one another within seven seconds of meeting and that 93 percent of the messages people receive from us have nothing to do with we actually say. So good nonverbal communication skills can be q huge professional advantage.

Carol Kinsey Goman combines the latest research and her twenty five years of practical experience as a practical guide to understanding what you and the people you work with are saying without speaking. Cartoons, photos, entertaining anecdotes and dozens of simple and enlightening exercises help readers gain control of the messages their bodies are sending so they can project a more accurate and compelling picture of who they really are to their colleagues, clients and partners.

About the Author
Carol Kinsey Goman, PHD, is president of Kinsey Consulting Services. She has worked with over 130 organizations in twenty-one countries. Her work has been featured on CNN, Bloomberg Television and NBC News.",Nonverbal Advantage,Carol Kinsey Goman, , ,Collins,9781609946890,"1st,2012",200,India,English
