Title,Author,Original Price,Discounted Price,URL,Image,Summary,Book_Title,Book_Author,Translator,Editor,Publisher,ISBN,Edition,Number Of Pages,Country,Language
The Age of Sustainable Development,জেফরি ডি শাশস্‌,"","TK. 5,153",https://rokomari.com//book/123676/the-age-of-sustainable-development,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/ff138a374c54_123676.jpg,"",The Age of Sustainable Development,"Jeffrey D Sachs,Ki Moon Ban", , ,Columbia University Press,9780231173155,"1st Edition,2015",544,India,English
Space as a Strategic Asset,জোয়ান জনসন ফ্রেজে,"","TK. 7,183",https://rokomari.com//book/162151/space-as-a-strategic-asset,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",Space as a Strategic Asset,Joan Johnson freese, , ,Columbia University Press,9780231136549,"1st Edition,2007",320,India,English
"Choreographies of Shared Sacred Sites: Religion, Politics, and Conflict Resolution",কারেন বার্কে,"","TK. 7,915",https://rokomari.com//book/168622/choreographies-of-shared-sacred-sites--religion--politics--and-conflict-resolution,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/800c92a1f_168622.jpg,"","Choreographies of Shared Sacred Sites: Religion,Politics,and Conflict Resolution","Karen Barke,Elazar Barkan", , ,Columbia University Press,9780231169943,"1st Edition,2014",384,India,English
Palestinians in Syria: Nakba Memories of Shattered Communities,আনহেদ আল হার্ডান,"","TK. 6,561",https://rokomari.com//book/168718/palestinians-in-syria--nakba-memories-of-shattered-communities,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/85ddd9f9b_168718.jpg,"",Palestinians in Syria: Nakba Memories of Shattered Communities,Anaheed Al hardan , , ,Columbia University Press,9780231176361,"1st Edition,2016",272,India,English
The Shorter Columbia Anthology of Traditional Chinese Literature,ভিক্টর মায়ার,"","TK. 6,298",https://rokomari.com//book/163928/the-shorter-columbia-anthology-of-traditional-chinese-literature,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/225568b3f_163928.jpg,"",The Shorter Columbia Anthology of Traditional Chinese Literature,Victor Mair, , ,Columbia University Press,9780231119993,"1st Edition,2001",774,India,English
What I Learned Losing a Million Dollars (Columbia Business School Publishing),জিম পাল,"","TK. 3,330",https://rokomari.com//book/170092/what-i-learned-losing-a-million-dollars--columbia-business-school-publishing-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/80266b96a_170092.jpg,"",What I Learned Losing a Million Dollars (Columbia Business School Publishing),"Jim Paul,Brendan Moynihan", , ,Columbia University Press,9780231164689,"1st Edition,2013",208,India,English
Sacred Knowledge – Psychedelics and Religious Experiences,উইলিয়াম রিচার্ডস,"","TK. 2,750",https://rokomari.com//book/166264/sacred-knowledge---psychedelics-and-religious-experiences,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/3db081d30_166264.jpg,"",Sacred Knowledge – Psychedelics and Religious Experiences,William Richards, , ,Columbia University Press,9780231174060,"1st Edition,2016",256,India,English
"Big Money Thinks Small – Biases, Blind Spots, And Smarter Investing ",জোয়েল টিলিংহাস্ট,"","TK. 2,644",https://rokomari.com//book/158941/big-money-thinks-small---biases--blind-spots--and-smarter-investing,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/2dbd23f28_158941.jpg,"","Big Money Thinks Small – Biases,Blind Spots,And Smarter Investing",Joel Tillinghast, , ,Columbia University Press,9780231175708,"1st Edition,2017",320,India,English
The Politics of the Governed: Reflections on Popular Politics in Most of the World (Leonard Hastings Schoff Lectures),পার্থ চ্যাটার্জি,"","TK. 3,335",https://rokomari.com//book/170385/the-politics-of-the-governed--reflections-on-popular-politics-in-most-of-the-world--leonard-hastings-schoff-lectures-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/67d14a87d_170385.jpg,"",The Politics of the Governed: Reflections on Popular Politics in Most of the World (Leonard Hastings Schoff Lectures),Partha Chatterjee, , ,Columbia University Press,9780231130639,"1st Edition,2006",200,India,English
"Poems Between Women: Four Centuries of Love, Romantic Friendship, and Desire",ইমা ডুনুগুই,"","TK. 3,811",https://rokomari.com//book/126303/poems-between-women--four-centuries-of-love--romantic-friendship--and-desire,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/6a4672d0db94_126303.jpg,"","Poems Between Women: Four Centuries of Love,Romantic Friendship,and Desire",Emma Donoghue, , ,Columbia University Press,9780231109253,"Revised edition,1999",256,India,English
