Title,Author,Original Price,Discounted Price,URL,Image,Summary,Book_Title,Book_Author,Translator,Editor,Publisher,ISBN,Edition,Number Of Pages,Country,Language
কারেন্ট নিউজ - এপ্রিল ‘ ১৩,কারেন্ট নিউজ,"",TK. 20,https://rokomari.com//book/64977/current-news---april---13,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",কারেন্ট নিউজ - এপ্রিল ‘ ১৩,কারেন্ট নিউজ, , ,কারেন্ট নিউজ, , , ,বাংলাদেশ,বাংলা
কারেন্ট নিউজ - ফ্রেব্রুয়ারী ‘ ১৩,কারেন্ট নিউজ,"",TK. 20,https://rokomari.com//book/60003/current-news---february---13,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/imgrok_60003.GIF,"",কারেন্ট নিউজ - ফ্রেব্রুয়ারী ‘ ১৩,কারেন্ট নিউজ, , ,কারেন্ট নিউজ, , , ,বাংলাদেশ,বাংলা
কারেন্ট নিউজ - মার্চ ‘ ১৩,কারেন্ট নিউজ,"",TK. 20,https://rokomari.com//book/63762/current-news---march---13,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/imgrok_63762.GIF,"",কারেন্ট নিউজ - মার্চ ‘ ১৩,কারেন্ট নিউজ, , ,কারেন্ট নিউজ, , , ,বাংলাদেশ,বাংলা
কারেন্ট নিউজ - আগস্ট ‘ ১২,কারেন্ট নিউজ,"",TK. 20,https://rokomari.com//book/49223/current-news---august---12,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/img_49223.gif,"",কারেন্ট নিউজ - আগস্ট ‘ ১২,কারেন্ট নিউজ, , ,কারেন্ট নিউজ, , , ,বাংলাদেশ,বাংলা
কারেন্ট নিউজ - সেপ্টেম্বর ‘ ১২,কারেন্ট নিউজ,"",TK. 20,https://rokomari.com//book/50042/current-news---september---12,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/img_50042.GIF,"",কারেন্ট নিউজ - সেপ্টেম্বর ‘ ১২,কারেন্ট নিউজ, , ,কারেন্ট নিউজ, , , ,বাংলাদেশ,বাংলা
কারেন্ট নিউজ - জুন ’ ১২,কারেন্ট নিউজ,"",TK. 20,https://rokomari.com//book/47535/current-news---june---12,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/img_47535.gif,"",কারেন্ট নিউজ - জুন ’ ১২,কারেন্ট নিউজ, , ,কারেন্ট নিউজ, , ,95,বাংলাদেশ,বাংলা
কারেন্ট নিউজ - জুলাই ‘ ১২,কারেন্ট নিউজ,"",TK. 20,https://rokomari.com//book/47833/current-news---july---12,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/img_47833.gif,"",কারেন্ট নিউজ - জুলাই ‘ ১২,কারেন্ট নিউজ, , ,কারেন্ট নিউজ, , ,96,বাংলাদেশ,বাংলা
কারেন্ট নিউজ - জানুয়ারী ‘ ১৩,কারেন্ট নিউজ,"",TK. 20,https://rokomari.com//book/56990/current-news---january---13,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/img1135_56990.gif,"",কারেন্ট নিউজ - জানুয়ারী ‘ ১৩,কারেন্ট নিউজ, , ,কারেন্ট নিউজ, , , ,বাংলাদেশ,বাংলা
কারেন্ট নিউজ - অক্টোবর ‘ ১২,কারেন্ট নিউজ,"",TK. 20,https://rokomari.com//book/53666/current-news---october---12,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/img701_53666.GIF,"",কারেন্ট নিউজ - অক্টোবর ‘ ১২,কারেন্ট নিউজ, , ,কারেন্ট নিউজ, , , ,বাংলাদেশ,বাংলা
কারেন্ট নিউজ - নভেম্বর ‘ ১২,কারেন্ট নিউজ,"",TK. 20,https://rokomari.com//book/53865/current-news---november---12,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/img1410_53865.GIF,"",কারেন্ট নিউজ - নভেম্বর ‘ ১২,কারেন্ট নিউজ, , ,কারেন্ট নিউজ, , , ,বাংলাদেশ,বাংলা
কারেন্ট নিউজ - ডিসেম্বর ’ ১২,কারেন্ট নিউজ,"",TK. 20,https://rokomari.com//book/55462/current-news---december---12,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/img1135_55462.GIF,"",কারেন্ট নিউজ - ডিসেম্বর ’ ১২,কারেন্ট নিউজ, , ,কারেন্ট নিউজ, , , ,বাংলাদেশ,বাংলা
