Title,Author,Original Price,Discounted Price,URL,Image,Summary,Book_Title,Book_Author,Translator,Editor,Publisher,ISBN,Edition,Number Of Pages,Country,Language
গুগল প্রাথমিক/প্রাক-প্রাথমিক সহকারী শিক্ষক নিয়োগ কুইক প্রিপারেশন,কারেন্ট পাবলিশার্স,TK. 199,TK. 145,https://rokomari.com//book/164516/google-pratomik--prak-pratomik-sohokari-shikkok-neuag-guide--suggestion---solution--model-test-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/baa48f665_164516.jpg,"",গুগল প্রাথমিক/প্রাক-প্রাথমিক সহকারী শিক্ষক নিয়োগ কুইক প্রিপারেশন, , ,কারেন্ট পাবলিশার্স,কারেন্ট পাবলিশার্স, ,"3rd Edition,2020",183,বাংলাদেশ,বাংলা
Job Vocabulary,দিব্যেন্দু দ্বীপ,TK. 140,TK. 98,https://rokomari.com//book/123960/job-vocabulary,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/b05ddf0e3c04_123960.jpg,"""কেউ আপনাকে বলল """"I’m so impressed to see you"""" ঠিক তখন আপনি যদি তার সাথে তাল মিলিয়ে ইংরেজিতে কথা বলতে না পারেন তবে ব্যাপারটা অবশ্যই লজ্জাজনক। কিন্তু আপনি কি জানেন ইংরেজিতে কথা কথা বলতে না পারার প্রথম ও প্রধান কারণ কোনটি? 
এর প্রধান কারণ হলো- ভোকাবুলারি না জানা। ভোকাবুলারি না জানলে শুধু প্রতিনিয়ত কথা বলায় নয় হেরে যেতে হবে বিভিন্ন প্রতিযোগিতা মূলক পরীক্ষায়ও? তাই ইংরেজিতে এক্সপার্ট হতে হলে দক্ষতা অর্জন করতে হবে ভোকাবুলারির উপর।  
প্রতিনিয়ত ১৫-২০ টি ভোকাবুলারি আয়ত্ব করতে পারলে ইংরেজি নিয়ে আর চিন্তার  কোনো কারণ নেই। তবে হ্যাঁ আপনার ভোকাবুলারি যদি ভালো না হয় এবং আপনি চাকুরির প্রতিযোগিতায় নামতে চাচ্ছেন? তবে আপনি নির্ভর করতে পারেন """"Job Vocabulary"""" বইটির উপর।",Job Vocabulary,Dibbendu Dwip, ,"Atashi Iqbal,Farzana Mukta,Mizanur Rahman Milon,Mithun Mandal,Foyjunnesa Akter",Current Publishers, , ,142,Bangladesh,English
কারেন্ট বাংলাদেশ রেলওয়ে নিয়োগ সহায়িকা,কারেন্ট পাবলিকেশন্স লিঃ,TK. 225,TK. 135,https://rokomari.com//book/153773/current-bangladesh-railway-niyog-guide,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/2820cafe9_153773.jpg,"",কারেন্ট বাংলাদেশ রেলওয়ে নিয়োগ সহায়িকা, , ,কারেন্ট পাবলিকেশন্স লিঃ,কারেন্ট পাবলিশার্স, ,"New Edition,2019",232,বাংলাদেশ,বাংলা
৩ আরএস ইংলিশ এইড দ্য বেস্ট ইংলিশ গাইড ফর ক্যাডেট কলেজ  এডমিশন ‍সেকারস,মুহাম্মদ হাবীবুল্লাহ,"",TK. 499,https://rokomari.com//book/75669/3rs--english-aid-the-best-english-guide--for-cadet-admission-seekers,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/0c573c13c_75669.jpg,"",৩ আরএস ইংলিশ এইড দ্য বেস্ট ইংলিশ গাইড ফর ক্যাডেট কলেজ  এডমিশন ‍সেকারস,"মুহাম্মদ হাবীবুল্লাহ,শাহ মো: মোকছেদুল ইসলাম রাজা,মোঃ কামরুল হাসান", ,মুহাম্মদ হাবীবুল্লাহ,Current Publishers, ,"New Edition,2020",632,Bangladesh,Bangla & English
কারেন্ট বেসরকারি শিক্ষক নিবন্ধন কম্পিউটার (সহকারী),কারেন্ট পাবলিকেশন্স লিঃ,TK. 300,TK. 195,https://rokomari.com//book/50383/current-private-teacher-nibondhon-computer--assistant-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",কারেন্ট বেসরকারি শিক্ষক নিবন্ধন কম্পিউটার (সহকারী),কারেন্ট পাবলিকেশন্স লিঃ, , ,কারেন্ট পাবলিশার্স, , , ,বাংলাদেশ,বাংলা
Google Bank Job (Quick Prepation),মোঃ নূরু-ই-আলম সিদ্দিকী,TK. 199,TK. 145,https://rokomari.com//book/164507/google-bank-job--quick-prepation-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/c9f0bdeaf_164507.jpg,"",Google Bank Job (Quick Prepation),"Md. Noor-E-Alom Siddiquee,Md. Aynal Sarder,Sodrul Alom Shihab,Md. Abdul Halim Khan,Md. Abdul Alim Khan,Abdullah Hel Kafi Shek", ,Current Publishers,Current Publishers, ,"March,2019",240,Bangladesh,English
কারেন্ট রিসেন্ট জব সল্যুশন,কারেন্ট পাবলিশার্স,TK. 299,TK. 179,https://rokomari.com//book/164503/current-recent-job-solution,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/41c968732_164503.jpg,"",কারেন্ট রিসেন্ট জব সল্যুশন, , ,কারেন্ট পাবলিশার্স,কারেন্ট পাবলিশার্স, ,"1st Published,2018",244,বাংলাদেশ,বাংলা
কারেন্ট অল ব্যাংক জব মডেল টেস্ট,কারেন্ট পাবলিকেশন্স লিঃ,TK. 199,TK. 139,https://rokomari.com//book/153770/current-all-bank-job-model-test,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/9cb2879b7_153770.jpg,"",কারেন্ট অল ব্যাংক জব মডেল টেস্ট, , ,কারেন্ট পাবলিকেশন্স লিঃ,কারেন্ট পাবলিশার্স, ,"1st Published,2017",176,বাংলাদেশ,বাংলা
কারেন্ট সাব-ইন্সপেক্টর ও পুলিশ সার্জেন্ট নিয়োগ সহায়িকা,কারেন্ট পাবলিশার্স,TK. 399,TK. 259,https://rokomari.com//book/185355/current-sub-inspector-and-police-sergeant-recruitment-assistant--bangla--english--sadharon-gyan--patigonit-o-monnostottwo-porikkhar-225-nomborer-purnango-boi---2019-saler-porikkharthider-jonyo-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/1d1c7c06d_185355.jpg,"এক্সক্লুসিভ বৈশিষ্ট্যঃ
* বিগত বছরের প্রশ্ন সমাধান
* পুলিশ বিষয়ক সর্বশেষ তথ্য-উপাত্ত
* সমাধানসহ স্পেশাল মডেল টেস্ট
* বিগত সালের প্রশ্ন বিশ্লেষণে অধ্যায় বিন্যাস
* বাছাইকৃত সাম্প্রতিক ইস্যু সংযোজন।",কারেন্ট সাব-ইন্সপেক্টর ও পুলিশ সার্জেন্ট নিয়োগ সহায়িকা, , ,কারেন্ট পাবলিশার্স,কারেন্ট পাবলিশার্স, ,"New Edition,2019",296,বাংলাদেশ,বাংলা
প্রাক-প্রাথমিক সহকারী শিক্ষক নিয়োগ সহায়িকা,কারেন্ট পাবলিকেশন্স লিঃ,TK. 530,TK. 345,https://rokomari.com//book/50329/prak-primary-assistant-teacher-appointment-guide,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/fd7a2a744354_50329.jpg,"",প্রাক-প্রাথমিক সহকারী শিক্ষক নিয়োগ সহায়িকা,কারেন্ট পাবলিকেশন্স লিঃ, , ,কারেন্ট পাবলিশার্স, , , ,বাংলাদেশ,বাংলা
