Title,Author,Original Price,Discounted Price,URL,Image,Summary,Book_Title,Book_Author,Translator,Editor,Publisher,ISBN,Edition,Number Of Pages,Country,Language
Hungry: Lessons Learned on the Journey from Fat to Thin,অ্যালেন জ্যাডফ,"","TK. 7,763",https://rokomari.com//book/168217/hungry--lessons-learned-on-the-journey-from-fat-to-thin,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/52fd57793_168217.jpg,"",Hungry: Lessons Learned on the Journey from Fat to Thin,Allen Zadoff, , ,Da Capo Lifelong Books,9780738211053,"1st Edition,2007",192,India,English
"Overcoming Passive-Aggression: How to Stop Hidden Anger from Spoiling Your Relationships, Career, and Happiness",লোরিয়ান ওবেরলিন,"","TK. 1,598",https://rokomari.com//book/168232/overcoming-passive-aggression--how-to-stop-hidden-anger-from-spoiling-your-relationships--career--and-happiness,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/832ae920a_168232.jpg,"","Overcoming Passive-Aggression: How to Stop Hidden Anger from Spoiling Your Relationships,Career,and Happiness","Loriann Oberlin,Tim Murphy", , ,Da Capo Lifelong Books,9780738219189,"2nd Edition,2016",336,India,English
Beyond Anger: A Guide for Men: How to Free Yourself from the Grip of Anger and Get More Out of Life ,থমাস জে হার্বিন,"","TK. 1,408",https://rokomari.com//book/168249/beyond-anger--a-guide-for-men--how-to-free-yourself-from-the-grip-of-anger-and-get-more-out-of-life-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/30a2d17e0_168249.jpg,"",Beyond Anger: A Guide for Men: How to Free Yourself from the Grip of Anger and Get More Out of Life ,Thomas J. Harbin, , ,Da Capo Lifelong Books,9781569246214,"1st Edition,2000",240,India,English
You Can Draw in 30 Days,মার্ক কিস্টলার,"","TK. 1,755",https://rokomari.com//book/181590/you-can-draw-in-30-days,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/fa0013bc5_181590.jpg,"",You Can Draw in 30 Days,Mark Kistler, , ,Da Capo Lifelong Books,9780738212418,"Csm Edition,2011",256,India,English
The Mayo Clinic Guide to Stress-Free Living,মায়ো ক্লিনি  ,"","TK. 2,173",https://rokomari.com//book/167741/the-mayo-clinic-guide-to-stress-free-living,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/3101c93ff_167741.jpg,"",The Mayo Clinic Guide to Stress-Free Living,"Mayo Clinic,Amit Sood", , ,Da Capo Lifelong Books,9780738217123,"1st Edition,2013",336,India,English
Motherless Daughters: The Legacy of Loss,হোপ আডেলম্যান,"","TK. 1,600",https://rokomari.com//book/167744/motherless-daughters--the-legacy-of-loss,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/ac04c0f25_167744.jpg,"",Motherless Daughters: The Legacy of Loss,Hope Edelman, , ,Da Capo Lifelong Books,9780738217734,"1st Edition,2014",400,India,English
The 8 Minute Organizer,রেজিনা লিডস,"","TK. 1,723",https://rokomari.com//book/133222/the-8-minute-organizer,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/9e7a544d2474_133222.jpg,"",The 8 Minute Organizer,Regina Leeds, , ,Da Capo Lifelong Books,9780738215716,"1st Editon,2012",240,India,English
"The Get Healthy, Go Vegan Cookbook: 125 Easy and Delicious Recipes to Jump-Start Weight Loss and Help You Feel Great",নীল ডি বার্নার্ড,"","TK. 1,593",https://rokomari.com//book/138064/the-get-healthy--go-vegan-cookbook--125-easy-and-delicious-recipes-to-jump-start-weight-loss-and-help-you-feel-great,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/c929f64a7_138064.jpg,"","The Get Healthy,Go Vegan Cookbook: 125 Easy and Delicious Recipes to Jump-Start Weight Loss and Help You Feel Great",Neal D Barnard, , ,Da Capo Lifelong Books,9780738213583,"1st Edition,2010",248,India,English
Life after Loss: A Practical Guide to Renewing Your Life after Experiencing Major Loss,বব ডিটস,"","TK. 1,928",https://rokomari.com//book/134797/life-after-loss--a-practical-guide-to-renewing-your-life-after-experiencing-major-loss,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/1345b40c8114_134797.jpg,"",Life after Loss: A Practical Guide to Renewing Your Life after Experiencing Major Loss,Bob Diets, , ,Da Capo Lifelong Books,9780738213460,"5th edition,2009",304,India,English
"One Year to an Organized Work Life: From Your Desk to Your Deadlines, the Week-by-Week Guide to Eliminating Office Stress for Good",রেজিনা লিডস,"","TK. 2,164",https://rokomari.com//book/132148/one-year-to-an-organized-work-life--from-your-desk-to-your-deadlines--the-week-by-week-guide-to-eliminating-office-stress-for-good,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/9460c2597d64_132148.jpg,"","One Year to an Organized Work Life: From Your Desk to Your Deadlines,the Week-by-Week Guide to Eliminating Office Stress for Good",Regina Leeds, , ,Da Capo Lifelong Books,9780738212791,"1st Edition,2008",304,India,English
