Title,Author,Original Price,Discounted Price,URL,Image,Summary,Book_Title,Book_Author,Translator,Editor,Publisher,ISBN,Edition,Number Of Pages,Country,Language
আপনার আমানত,হযরত মাওলানা কালীম সিদ্দিকী,TK. 40,TK. 24,https://rokomari.com//book/104339/apnar-amanot,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/1c7a05657_104339.jpg,"",আপনার আমানত,হযরত মাওলানা কালীম সিদ্দিকী,মাওলানা মোহাম্মদ আনোয়ার এলাহী জাহিদ, ,দারুল কুরআন, ,"1st Published,2014",32,বাংলাদেশ,বাংলা
হে বোন তোমাকে বলছি...,মুহাম্মদ যাইনুল আবিদীন,TK. 40,TK. 24,https://rokomari.com//book/184395/he-bon-tomake-bolchi---,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/5b973f695_184395.jpg,"",হে বোন তোমাকে বলছি...,মুহাম্মদ যাইনুল আবিদীন, ,মুফতি মুহাম্মদ ওবাইদুল্লাহ সাহেব,দারুল কুরআন, ,"1st Published,2015",32,বাংলাদেশ,বাংলা
সময়ের মূল্যায়ন,(شيخ الاسلام مفتي محمد تقي عثماني) শাইখুল ইসলাম মুফতী মুহাম্মদ তকী উসমানী ,TK. 130,TK. 78,https://rokomari.com//book/99390/somoyer-mulyaon,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/da7ae9df0_99390.jpg,"",সময়ের মূল্যায়ন,(شيخ الاسلام مفتي محمد تقي عثماني) শাইখুল ইসলাম মুফতী মুহাম্মদ তকী উসমানী,মাওলানা আবদুস সাত্তার, ,দারুল কুরআন, ,"1st Published,2015",112,বাংলাদেশ,বাংলা
গীবত ও কুদৃষ্টির ভয়াবহ পরিণতি,আরেফ বিল্লাহ হাকীম মাওলানা আখতার সাহেব (করাচী),TK. 40,TK. 24,https://rokomari.com//book/99442/gibot-o-kudrishtir-voyaboho-porinoti,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/48762ea7f_99442.jpg,"",গীবত ও কুদৃষ্টির ভয়াবহ পরিণতি,"আরেফ বিল্লাহ হাকীম মাওলানা আখতার সাহেব (করাচী),মুফতী রশীদ আহমদ লুধিয়ানুভী (রহ.)",মোহাম্মদ ইউসুফ হোসেন,আল্লামা শফীকুর রহমান জালালাবাদী (দাঃ বাঃ),দারুল কুরআন, ,"1st Published,2014",48,বাংলাদেশ,বাংলা
সহীহ হাদীসের আলোকে: হানাফীদের নামায,মাওলানা মুফতী তারেকুজ্জামান,TK. 440,TK. 220,https://rokomari.com//book/184062/sohih-hadiser-aloke--hanafider-namaz,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/4ff8bead6_184062.jpg,"",সহীহ হাদীসের আলোকে: হানাফীদের নামায,মাওলানা মুফতী তারেকুজ্জামান, , ,Darul Quran, ,"1st Published,2018",496,Bangladesh,Bangla & Arabic
এক মিনিটের মাদরাসা,আরেফ বিল্লাহ হাকীম মাওলানা আখতার সাহেব (করাচী),TK. 130,TK. 78,https://rokomari.com//book/184371/ek-miniter-madrasa,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/80baa63e1_184371.jpg,"",এক মিনিটের মাদরাসা,আরেফ বিল্লাহ হাকীম মাওলানা আখতার সাহেব (করাচী), , ,দারুল কুরআন, ,"1st Published,2018",128,বাংলাদেশ,বাংলা
সুখময় দাম্পত্য জীবন,মাওলানা যুলফিকার আহমদ নকশবন্দী,TK. 130,TK. 78,https://rokomari.com//book/184392/sukhomoy-dampotto-jibon,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/97e66bf5c_184392.jpg,"মনে রাখবেন! দাম্পত্য জীবনে সুখী হওয়ার মূল ভিত্তি হচ্ছে বিশ্বাস। তাই আপনার জীবনসঙ্গীকে বিশ্বাস করুন গভীর ভালােবাসায়। পরিহার করুন, অবশ্যাই পরিহার করুন সন্দেহ। এটি জীবনকে বিষিয়ে তুলতে পারে। দাম্পত্য জীবনের অন্যতম সমস্যা এটি। যা একটি সুন্দর সাজানাে সংসারকে তছনছ করে দেয়। আপনি যাকে জীবনসঙ্গী হিসেবে পছন্দ করেছেন, সে কখনােই খারাপ হতে পারে না। কারণ, আপনার পছন্দ বা রুচি কখনােই খারাপ হতে পারে না। আর আপনাকে যে পছন্দ করেছে, অবশ্যই তার কাছে আপনার পছন্দের গুরুত্ব থাকবে। তাই বলে গভীর বিশ্বাস করেন এটা প্রমাণ করতে গিয়ে এমন কিছু করে বসবেন না, যার জন্য ভবিষ্যতে অনুশােচনা করতে হয়।",সুখময় দাম্পত্য জীবন,মাওলানা যুলফিকার আহমদ নকশবন্দী,মুফতি মুহাম্মাদ আতিকুল ইসলাম, ,দারুল কুরআন, ,"1st Published,2018",112,বাংলাদেশ,বাংলা
বারো চাঁদ ভিত্তিক জুমার বয়ান,(شيخ الاسلام مفتي محمد تقي عثماني) শাইখুল ইসলাম মুফতী মুহাম্মদ তকী উসমানী ,TK. 600,TK. 360,https://rokomari.com//book/191624/baro-chad-vittik-jumar-boyan,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/b048eea13_191624.jpg,"",বারো চাঁদ ভিত্তিক জুমার বয়ান,(شيخ الاسلام مفتي محمد تقي عثماني) শাইখুল ইসলাম মুফতী মুহাম্মদ তকী উসমানী, ,মাওলানা আবদুস সাত্তার,দারুল কুরআন, ,"1st Published,2019",624,বাংলাদেশ,বাংলা
কসদুস সাবীল আল্লাহকে পাওয়ার পথ, حكيم الامت مولانا اشرف علي تهانوي رح  ( হাকীমুল উম্মত মাওলানা আশরাফ আলী থানভী রহ.),TK. 50,TK. 30,https://rokomari.com//book/184396/kosdus-sabil-allahoke-pawyar-poth,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/c3ba60db2_184396.jpg,"",কসদুস সাবীল আল্লাহকে পাওয়ার পথ,حكيم الامت مولانا اشرف علي تهانوي رح  ( হাকীমুল উম্মত মাওলানা আশরাফ আলী থানভী রহ.),মাওলানা আবদুস সাত্তার, ,দারুল কুরআন, ,"1st Published,2016",48,বাংলাদেশ,বাংলা
আমার ইসলাম গ্রহণ ও বাবরী মসজিদ ভাঙ্গার প্রেক্ষাপট,মুফতী হায়াত মাহমুদ জাকির,TK. 30,TK. 18,https://rokomari.com//book/184398/amar-islam-grohon-o-babri-mosjid-vangar-prekkhapot,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/e83e93b48_184398.jpg,"",আমার ইসলাম গ্রহণ ও বাবরী মসজিদ ভাঙ্গার প্রেক্ষাপট,মুফতী হায়াত মাহমুদ জাকির, , ,দারুল কুরআন, ,"1st Published,2016",32,বাংলাদেশ,বাংলা
