Title,Author,Original Price,Discounted Price,URL,Image,Summary,Book_Title,Book_Author,Translator,Editor,Publisher,ISBN,Edition,Number Of Pages,Country,Language
কন্যা সন্তান আল্লাহর রহমত,আবদুর রউফ সাখরবী,TK. 30,TK. 18,https://rokomari.com//book/99518/konya-sontan-allahor-rahmot,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/f000e66a1_99518.jpg,"",কন্যা সন্তান আল্লাহর রহমত,আবদুর রউফ সাখরবী,মাওলানা মুহাম্মাদ সাইফুর রহমান কাসেমী, ,দারুল উলূম লাইব্রেরী, ,"1st Published,2014",38,বাংলাদেশ,বাংলা
আল্লাহকে পেতে চাইলে...,মাওলানা তারিক জামিল,TK. 240,TK. 144,https://rokomari.com//book/98626/allahke-pete-chaile---,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/db5b91d19024_98626.jpg,"",আল্লাহকে পেতে চাইলে...,মাওলানা তারিক জামিল, , ,দারুল উলূম লাইব্রেরী, ,"1st Published,2015",192,বাংলাদেশ,বাংলা
খুতুবাতে যুলফিকার (১-২ খণ্ড),মাওলানা যুলফিকার আহমদ নকশবন্দী,TK. 450,TK. 270,https://rokomari.com//book/99752/khutubate-zulfikar--1-2-khondo-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/6caf490ac_99752.jpg,"",খুতুবাতে যুলফিকার (১-২ খণ্ড),মাওলানা যুলফিকার আহমদ নকশবন্দী,মাওলানা মুহাম্মাদ ফয়জুল্লাহ,মাওলানা মুহাম্মদ মুহিউদ্দীন,দারুল উলূম লাইব্রেরী, ,"1st Published,2015",463,বাংলাদেশ,বাংলা
নবীজির মহব্বত,মাওলানা আলমগীর হুসাইন যশোরী,TK. 140,TK. 84,https://rokomari.com//book/98617/nabijir-mohobbot,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/80433ed77_98617.jpg,"",নবীজির মহব্বত,"মাওলানা আলমগীর হুসাইন যশোরী,মাওলানা যুলফিকার আহমদ নকশবন্দী",মাওলানা আলমগীর হুসাইন যশোরী, ,দারুল উলূম লাইব্রেরী, ,"1st Published,2014",111,বাংলাদেশ,বাংলা
গান-বাজনার শরঈ বিধান,মুফতী আব্দুর রউফ সাখরাবী,TK. 30,TK. 18,https://rokomari.com//book/100616/gan-bajnar-soroye-bidhan,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/9a81e182e_100616.jpg,"",গান-বাজনার শরঈ বিধান,মুফতী আব্দুর রউফ সাখরাবী,মাওলানা মুহাম্মাদ সাইফুর রহমান কাসেমী, ,দারুল উলূম লাইব্রেরী, ,"1st Published,2014",40,বাংলাদেশ,বাংলা
স্বাধীনতা সংগ্রামে আলেম সমাজের ভূমিকা,মাওলানা শহীদুল ইসলাম মাজহেরী ,TK. 30,TK. 18,https://rokomari.com//book/99516/shadinota-songrame-alem-somajer-vumika,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/bb810b5b4_99516.jpg,"",স্বাধীনতা সংগ্রামে আলেম সমাজের ভূমিকা,"মাওলানা শহীদুল ইসলাম মাজহেরী,মাওলানা মামুনুল হক", ,মাওলানা শহীদুল ইসলাম মাজহেরী,দারুল উলূম লাইব্রেরী, ,"1st Published,2014",24,বাংলাদেশ,বাংলা
আত্মার ব্যাধি ও তার প্রতিকার,আরিফ বিল্লাহ শাহ হাকীম মাও: মোঃ আখতার [দা.বা.],TK. 360,TK. 216,https://rokomari.com//book/98681/attar-badhi-o-tar-protikar,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/af8044cd8594_98681.jpg,"",আত্মার ব্যাধি ও তার প্রতিকার,আরিফ বিল্লাহ শাহ হাকীম মাও: মোঃ আখতার [দা.বা.],মাওলানা মুহাম্মদ খাইরুল ইসলাম বিন খোরশেদ আলম, ,দারুল উলূম লাইব্রেরী, ,"3rd Print,2010",286,বাংলাদেশ,বাংলা
কোম্পানি শেয়ার ও বীমা,মাওলানা মুফ্‌তী মাহমুদুর রহমান,TK. 120,TK. 72,https://rokomari.com//book/98674/company-share-o-bima,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/829f0914c_98674.jpg,"",কোম্পানি শেয়ার ও বীমা,মাওলানা মুফ্‌তী মাহমুদুর রহমান, , ,দারুল উলূম লাইব্রেরী, ,"2nd Published,2014",96,বাংলাদেশ,বাংলা
ইসলাহী খুতুবাত-১,(شيخ الاسلام مفتي محمد تقي عثماني) শাইখুল ইসলাম মুফতী মুহাম্মদ তকী উসমানী ,TK. 200,TK. 120,https://rokomari.com//book/98621/islahi-khutubat-1,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/7b4fbeba2c24_98621.jpg,"",ইসলাহী খুতুবাত-১,(شيخ الاسلام مفتي محمد تقي عثماني) শাইখুল ইসলাম মুফতী মুহাম্মদ তকী উসমানী,মাওলানা মুহাম্মদ উমায়ের কোব্বাদী, ,দারুল উলূম লাইব্রেরী,9848409083,"3rd Print,2010",189,বাংলাদেশ,বাংলা
পর্দা নারীর মর্যাদা ও নিরাপত্তার প্রতীক,মুফতী আব্দুর রউফ সাখরাবী,TK. 40,TK. 24,https://rokomari.com//book/99522/porda-narir-morzada-o-niripottar-protik,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/d893959e1_99522.jpg,"",পর্দা নারীর মর্যাদা ও নিরাপত্তার প্রতীক,মুফতী আব্দুর রউফ সাখরাবী,মাওলানা মুহাম্মাদ সাইফুর রহমান লক্ষ্ণীপুরী, ,দারুল উলূম লাইব্রেরী, ,"1st Published,2015",40,বাংলাদেশ,বাংলা
