Title,Author,Original Price,Discounted Price,URL,Image,Summary,Book_Title,Book_Author,Translator,Editor,Publisher,ISBN,Edition,Number Of Pages,Country,Language
"The Illuminatus! Trilogy: The Eye in the Pyramid, The Golden Apple, Leviathan",রবার্ট শেয়া,"","TK. 2,700",https://rokomari.com//book/191377/the-illuminatus--trilogy--the-eye-in-the-pyramid--the-golden-apple--leviathan,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/92e435d5a_191377.jpg,"","The Illuminatus! Trilogy: The Eye in the Pyramid,The Golden Apple,Leviathan","Robert Shea,Robert Anton Wilson", , ,Dell,9780440539810,"1st Edition,1983",805,USA,English
"Superlearning 2000: New Triple Fast Ways You Can Learn, Earn, and Succeed in the 21st Century",শইডার,"","TK. 1,305",https://rokomari.com//book/162018/superlearning-2000--new-triple-fast-ways-you-can-learn--earn--and-succeed-in-the-21st-century,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/e771429ea_162018.jpg,"","Superlearning 2000: New Triple Fast Ways You Can Learn,Earn,and Succeed in the 21st Century","Schroeder,Sheila Ostrander", , ,Dell,9780440223887,"Reissue edition,1997",544,India,English
Accelerated Learning,কলিন রোজ,"","TK. 3,238",https://rokomari.com//book/162573/accelerated-learning,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/2605c2134_162573.jpg,"",Accelerated Learning,Colin Rose, , ,Dell,9780440500445,"Revised edition,1987",256,India,English
I Could Do Anything If I Only Knew What It Was: How to Discover What You Really Want and How to Get It,বারবারা স্মিথ,"","TK. 1,246",https://rokomari.com//book/167343/i-could-do-anything-if-i-only-knew-what-it-was--how-to-discover-what-you-really-want-and-how-to-get-it,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/14516e14a_167343.jpg,"",I Could Do Anything If I Only Knew What It Was: How to Discover What You Really Want and How to Get It,"Barbara Smith,Barbara Sher", , ,Dell,9780440505006,"1st Edition,1995",322,India,English
Dream Dictionary: An A-to-Z Guide to Understanding Your Unconscious Mind,টনি ক্রিস্প,"","TK. 3,073",https://rokomari.com//book/167348/dream-dictionary--an-a-to-z-guide-to-understanding-your-unconscious-mind,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/9d3232e2f_167348.jpg,"",Dream Dictionary: An A-to-Z Guide to Understanding Your Unconscious Mind,Tony Crisp, , ,Dell,9780440237075,"1st Edition,2002",464,India,English
One,রাইচার্ড ব্যচ,"",TK. 958,https://rokomari.com//book/164285/one,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/ab21cdc8c_164285.jpg,"",One,Richard Bach, , ,Dell,9780440205623,"Reissue edition,1989",400,India,English
The Smoke Jumper,নিকোলাস ইভানস,"","TK. 1,440",https://rokomari.com//book/164331/the-smoke-jumper,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/47cf5893f_164331.jpg,"",The Smoke Jumper,Nicholas Evans, , ,Dell,9780440235163,"Reprint edition,2002",576,India,English
How to Think Like Leonardo da Vinci: Seven Steps to Genius Every Day,মাইকেল জে গেলব,"","TK. 1,350",https://rokomari.com//book/170407/how-to-think-like-leonardo-da-vinci--seven-steps-to-genius-every-day,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/8f03094e1_170407.jpg,"",How to Think Like Leonardo da Vinci: Seven Steps to Genius Every Day,Michael J. Gelb, , ,Dell,9780440508274,"Reissue Edition,2000",336,India,English
Wild Heat,বেল্লা আন্দ্রে,"","TK. 1,015",https://rokomari.com//book/127045/wild-heat,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/8a57c2dff374_127045.jpg,"",Wild Heat,Bella Andre, , ,Dell,9780440245001,"Reissue edition,2009",352,India,English
Hot as Sin: A Novel,বেল্লা আন্দ্রে,"",TK. 790,https://rokomari.com//book/127046/hot-as-sin--a-novel,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/c452bbfc74f4_127046.jpg,"",Hot as Sin: A Novel,Bella Andre, , ,Dell,9780440245018,"1st Edition,2009",352,India,English
The Testament: A Novel,জন গৃশাম,"",TK. 985,https://rokomari.com//book/147221/the-testament--a-novel,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/a649ec9b7_147221.jpg,"",The Testament: A Novel,John Grisham, , ,Dell,9780345531964,"Reissue edition,2011",560,India,English
Rogue Lawyer: A Novel,জন গৃশাম,"","TK. 1,053",https://rokomari.com//book/124223/rogue-lawyer--a-novel,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/3f09a96082e4_124223.jpg,"",Rogue Lawyer: A Novel,John Grisham, , ,Dell,9780553393484,"Reprint Edition,2016 ",400,India,English
Never Look Away: A Thriller,লিনউড বারক্লে,"","TK. 1,360",https://rokomari.com//book/125663/never-look-away--a-thriller,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/27d226f1b1a4_125663.jpg,"",Never Look Away: A Thriller,Linwood Barclay , , ,Dell,9780553591743,"Reprint edition,2011",528,USA,English
Fear the Worst: A Thriller,লিনউড বারক্লে,"",TK. 880,https://rokomari.com//book/125666/fear-the-worst--a-thriller,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/eebe43b001c4_125666.jpg,"",Fear the Worst: A Thriller,Linwood Barclay , , ,Dell,9780553591750,"1st Edition,2010",544,USA,English
