Title,Author,Original Price,Discounted Price,URL,Image,Summary,Book_Title,Book_Author,Translator,Editor,Publisher,ISBN,Edition,Number Of Pages,Country,Language
ওগো বিদেশিনি,কয়েস সামী,TK. 180,TK. 135,https://rokomari.com//book/193020/ogo-bideshini,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/d892498cf_193020.jpg,"""ওগো বিদেশিনি"" বইয়ের পিছনের কভারের লেখা:
শরীফকে ভালােবেসে কেনিয়ার মেয়ে ডরিস কুন্ডা উড়ে এলাে বাংলাদেশে। এসে জানলাে শরীফ বিবাহিত। তদুপরি শরীফ যখন ডরিসকে চিনতেই পারলাে না, তখন তার পায়ের নিচের মাটি যেন সরে গেল। সবকিছু ছেড়ে চলে এসেছে সে, কেনিয়া। ফিরে যাবার কোনাে উপায় নেই আর; বাড়ির মুরুব্বিদের সিদ্ধান্ত অনুযায়ী অসহায় ডরিস থেকে গেল শরীফদের বাড়িতেই। নাতাশার সাথে বাইরে বের হয়ে হলাে ইভটিজিং এর শিকার। রাগে-ক্ষোভে-ঘৃণায় ইভটিজিং এর বিরুদ্ধে গড়ে তুললাে প্রতিরােধ। তৈরি করলাে ফেসবুক পেজ “ইভটিজারস অব বাংলাদেশ’ । পেজটি সারা দেশে বিপুল সাড়া ফেলে দিল। একসময় তাকে কিডন্যাপ করা হল। সে কি কিডন্যাপারদের হাত থেকে মুক্তি পেয়েছিল, তার প্রেমিককে কি সে ফিরে পেয়েছিল অবশেষে- এসব প্রশ্নের উত্তর দিবে উপন্যাস ‘ওগাে বিদেশিনি’। এক নিঃশ্বাসে পড়ার মতাে শ্বাসরুদ্ধকর, বিচিত্র, ভিন্ন আঙ্গিকের উপন্যাস- ‘ওগাে বিদেশিনি।",ওগো বিদেশিনি,কয়েস সামী, , ,দেশ পাবলিকেশনস,9789849406488,"1st Published,2019",80,বাংলাদেশ,বাংলা
আমাদের পরিচয় ছিল না,কাসাফাদ্দৌজা নোমান,TK. 150,TK. 113,https://rokomari.com//book/158329/amader-porichoy-chilo-na,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/fb7248538_158329.jpg,"",আমাদের পরিচয় ছিল না,কাসাফাদ্দৌজা নোমান, , ,দেশ পাবলিকেশনস,9789849207740,"1st Published,2018",78,বাংলাদেশ,বাংলা
পরকীয়া,ফারজানা মিতু,TK. 360,TK. 270,https://rokomari.com//book/157774/porokia,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/524ea637d_157774.jpg,"""পরকীয়া"" বইয়ের ফ্ল্যাপের লেখা:

জীবনের গন্তব্য যখন অনিশ্চিত, তখন মাঝিহীন নৌকার মতাে ভেসে যাওয়া নীতি বাক্যের উচ্চারণ ছাড়া আর কিছুই করার নেই ভুলে গেলে চলবে না অবশেষে জীবন আশ্রয় চায়। যন্ত্রণা-অনিহায় মানুষ এক পর্যায়ে অন্ধকারকে আলাে ভাবতে শুরু করে। আলাের নেশায় নীরবে চলে যায় গন্তব্যে। সেই গন্তব্য জীবন আলােকিত করবে নাকি অন্ধকারের মিছিলে মুখরিত হবে তা কারও জানা থাকে না। তবে এসব ভিন্ন জীবনের চিত্র জানতে পড়তে হবে ‘পরকীয়া'।",পরকীয়া,ফারজানা মিতু, , ,দেশ পাবলিকেশনস,9789849207641,"1st Published,2018",184,বাংলাদেশ,বাংলা
বেদনার রেস্তোরাঁ,মতিউর রহমান রিয়াদ,TK. 180,TK. 135,https://rokomari.com//book/194435/bedonar-restora,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/e9dbaddd6_194435.jpg,"এত দীর্ঘশ্বাসের ভীড়ে প্রাণবন্ত নিঃশ্বাস নিতে পারাটা এখন যেন ইতিহাস। ঐতিহাসিক চক্রবাকে চক্রাকারে যা ফিরে আসে, তা স্বাভাবিক নিয়মে তার গতিপথ খুঁজে পায়। কিন্তু যা ঘূর্ণির বায়ুতে ভর করে এলোমেলো সাজে সজ্জিত হয়, তা অধরা থেকে যায় আজীবন। হয়ত এই অধরাকেই নিয়তি বলে।
উপন্যাসে মধ্যবিত্ত মানুষটার ঝলমলে আকাশ সময়ের আবর্তে বারিধারায় সিক্ত হয়ে যখনই রৌদ্রময় দিনগুলোতে নিজেকে ফিরে পাবার আশায় স্বপ্নের মুখ দেখে, তখন কেনো সেই দর্প চূর্ণ হয় এক সূর্যগ্রহণে। মানুষের অফুরন্ত ইচ্ছেশক্তির আদর্শে যা রাখা হয় সযতনে সেই অধ্যায়ের পরিসমাপ্তি হয় তা-ও অতি গোপনে। 
নিবিষ্টচিত্বে উপন্যাসের পাঠগুলো পঠনের মধ্য দিয়ে পাঠকগণ তা জানতে পারবেন এবং বেদনার রেস্তোরাঁ উপন্যাসটি নিঃসন্দেহে সমকালীন সাহিত্যাঙ্গনে এক অনন্য অভিজাত সংযোজন।",বেদনার রেস্তোরাঁ,মতিউর রহমান রিয়াদ, , ,দেশ পাবলিকেশনস,9789849470953,"1st Published,2020", ,বাংলাদেশ,বাংলা
শর্মিলা,মাহতাব হোসেন,TK. 200,TK. 150,https://rokomari.com//book/177725/sharmila,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/c4d1b7db3_177725.jpg,"“শর্মিলা"" বইটির ফ্ল্যাপে লেখা কিছু কথাঃ
আজ আর কাল এখানে দাঁড়িয়ে থাকবেন না, দাঁড়িয়ে থাকা রিস্ক। পরশু কাকু স্কুল ছুটির পর আসবেন। উনি শিলিগুড়ি যাচ্ছেন। ফিরতে ফিরতে রাত হবে। আর ওইদিন আমাদের ক্লাস শেষে স্কাউটের ড্রিল হবে। শেষ হবে ৫ টায়। আমি একাই বাসায় ফিরবাে। চাইলে দেখা হবে, আমি সুভাষ বসু পার্কের সামনে দিয়ে যাবাে।",শর্মিলা,মাহতাব হোসেন, , ,দেশ পাবলিকেশনস,9789849406075,"1st Published,2019",112,বাংলাদেশ,বাংলা
ধূপছায়া,সাজ্জাক হোসেন শিহাব,TK. 150,TK. 113,https://rokomari.com//book/129456/dhupchaya,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/84043631fae4_129456.jpg,"রােদ ও ছায়ার সংযােগস্থানকে ধূপছায়া বলে। প্রাপ্তি। -অপ্রাপ্তির জীবনে অধিকাংশ মানুষই সমন্বয়বাদী। মানব জীবনের চাওয়া-পাওয়া, আনন্দ-দুঃখ,আলােআঁধারকে ঘিরে আবর্তিত হতে থাকে সমন্বয় সাধন। ভালাে থাকার নিমিত্তে আমরা নিরাপদ অবস্থান নিতে মােটেও ভুল করিনা। ধূপছায়ায় তাদের কথাই বলা আছে। আমার লেখায় মাঝেমাঝে নিজেরও মনের অব্যক্ত গহীনের কথা বের হয়ে আসে, যেখানে থাকে। কিছু স্মৃতি, আনন্দ অথবা দীর্ঘশ্বাসের ফিসফিসানি। যা কাউকে বলা যায়না, হয়তাে বলা হয়না,কলমের কালি হয়ে তা খাতায় তরজমা হয়। আর এ-কারণেই আমি লেখি। যা মুখে বললে অনেকের মুখ কালাে হয়ে যায়। নেহায়েতই মনের ক্ষুধা নিবারণের আশায়, আমার এই লেখালেখি। সুন্দর প্রচ্ছদ মােড়ানাে বই, যেমন আমার কথা বলে , তেমনি মাঝে মাঝে তা আপনাদেরও কথা হয়ে যায়। আমার কথা যখন আপনার কথা হয়, তখনই তা সমাজের কথা হয়ে উঠে। ধূপছায়া’র শব্দজালে পাঠক আমাদের সমাজের সেই রূঢ়-বাস্তব কথাগুলােকেই খুঁজে পাবেন।",ধূপছায়া,সাজ্জাক হোসেন শিহাব, , ,দেশ পাবলিকেশনস,9789849180364,"1st Published,2017",64,বাংলাদেশ,বাংলা
কান্নার আওয়াজ,আনিসুর বুলবুল,TK. 150,TK. 83,https://rokomari.com//book/177832/kannar-awyaj,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/a26083d41_177832.jpg,"",কান্নার আওয়াজ,আনিসুর বুলবুল, , ,দেশ পাবলিকেশনস,9789849406051,"1st Published,2019",64,বাংলাদেশ,বাংলা
সময় হলো অসময়ে ,কাসাফাদ্দৌজা নোমান,TK. 180,TK. 135,https://rokomari.com//book/129211/somoy-holo-osomoye,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/cb313a300714_129211.jpg,"",সময় হলো অসময়ে,কাসাফাদ্দৌজা নোমান, , ,দেশ পাবলিকেশনস,9789849180494,"1st Published,2017",96,বাংলাদেশ,বাংলা
মহাদেশ মহাকাল,সাজ্জাক হোসেন শিহাব,TK. 400,TK. 300,https://rokomari.com//book/195235/mohadesh-mohakal,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/7647f1c53_195235.jpg,"",মহাদেশ মহাকাল,সাজ্জাক হোসেন শিহাব, , ,দেশ পাবলিকেশনস,9789849158912,"3rd Edition,2020",174,বাংলাদেশ,বাংলা
গল্পটি শুনতে চেয়ো না ,সোহেল নওরোজ,TK. 200,TK. 150,https://rokomari.com//book/178105/golpoti-shunte-cheyo-na,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/fd418ccdd_178105.jpg,"“গল্পটি শুনতে চেয়ো না” বইটির ফ্ল্যাপে লেখা কিছু কথাঃ
আকাশে কমলা রঙের চাঁদ উঠেছে। কুয়াশার ভারি পর্দার ভেতর দিয়ে চাঁদটাকে দেখতে কষ্ট হচ্ছে না তবে অস্বস্তি লাগছে। এই রাত রঙিন কিছু দেখার জন্য উপযুক্ত না। হাফিজুল হকের গায়ে কালাে রঙের চাদর। রাতের অন্ধকারে কালাে রঙ সহজে মিশে যায়, সাদা মেশে না। তিনি অন্ধকারে মিশে যাওয়ার জন্যই ঘর থেকে পা বাড়িয়েছেন। যে জীবন এতদিন বয়ে নিয়ে এসেছেন তাতে মিশে থাকা অন্ধকার হঠাৎ করেই প্রতিভাত হয়ে আধিপত্য বিস্তার করতে শুরু করেছে। এটাই হয়তাে নিয়তি! সময় কখন কাকে কোথায় নিয়ে যায় আগে থেকে কেউ জানে না। তিনিই এখন তার উপন্যাসের অচ্ছুৎ এক চরিত্র হয়ে উঠেছেন। সারা জীবন গল্প বলে যাওয়া মানুষটা নিজের গল্প কাউকে বলতে পারছে না- এরচেয়ে বড় পরিহাস আর কী হতে পারে!",গল্পটি শুনতে চেয়ো না,সোহেল নওরোজ, , ,দেশ পাবলিকেশনস,9789849405917,"1st Published,2019",112,বাংলাদেশ,বাংলা
