Title,Author,Original Price,Discounted Price,URL,Image,Summary,Book_Title,Book_Author,Translator,Editor,Publisher,ISBN,Edition,Number Of Pages,Country,Language
গান্ধীজীর শিক্ষাচিন্তা,বিপ্লব কুমার চট্টোপাধ্যায়,"",TK. 90,https://rokomari.com//book/146380/gandhijir-shikkhachinta,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",গান্ধীজীর শিক্ষাচিন্তা,বিপ্লব কুমার চট্টোপাধ্যায়, , ,দেবী বুক স্টল (ভারত), ,2012, ,ভারত,বাংলা
জন্ম জন্মান্তর,অসীম সরকার,"",TK. 180,https://rokomari.com//book/146377/jonmo-jonmantor,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",জন্ম জন্মান্তর,অসীম সরকার, , ,দেবী বুক স্টল (ভারত), ,2009, ,ভারত,বাংলা
ফলন বাড়াতে চাষের মাটি ও তার পরিচর্য্যা ,জাহাঙ্গীর আলি,"",TK. 360,https://rokomari.com//book/146206/folon-barate-casher-mati-o-tar-porichorja,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",ফলন বাড়াতে চাষের মাটি ও তার পরিচর্য্যা,জাহাঙ্গীর আলি, , ,দেবী বুক স্টল (ভারত), ,2013, ,ভারত,বাংলা
ছূটির ঠিকানা:,সৌম্যশান্ত শাসমল,"",TK. 360,https://rokomari.com//book/146208/chutir-thikana--pashcimbongo-vromon-guide-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",ছূটির ঠিকানা:,সৌম্যশান্ত শাসমল, , ,দেবী বুক স্টল (ভারত), ,2013, ,ভারত,বাংলা
অ্যাডভান্স ক্যুইজ,সমরেন্দ্রনাথ খাঁড়া,"",TK. 180,https://rokomari.com//book/146210/advance-quiz,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",অ্যাডভান্স ক্যুইজ,সমরেন্দ্রনাথ খাঁড়া, , ,দেবী বুক স্টল (ভারত), ,2014, ,ভারত,বাংলা
রেলের জানালয় হিমাচল প্রদেশ,রমেশ দাস,"",TK. 180,https://rokomari.com//book/146212/railer-janala-himachal-prodesh,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",রেলের জানালয় হিমাচল প্রদেশ,রমেশ দাস, , ,দেবী বুক স্টল (ভারত), ,2014, ,ভারত,বাংলা
বন্ধু ভুতের গল্প,শচীদুলাল চট্টোপাধ্যায়,"",TK. 108,https://rokomari.com//book/146214/bondhu-vhooter-golpo,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",বন্ধু ভুতের গল্প,শচীদুলাল চট্টোপাধ্যায়, , ,দেবী বুক স্টল (ভারত), ,2014, ,ভারত,বাংলা
পুষ্টি এবং রোগ নিরাময়ে বাংলার শাকসবজি ও ফল,প্রভাস চন্দ্র দাস,"",TK. 216,https://rokomari.com//book/146215/pusti-ebong-rog-niramoy-banglar-saksobji-o-fol,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",পুষ্টি এবং রোগ নিরাময়ে বাংলার শাকসবজি ও ফল,প্রভাস চন্দ্র দাস, , ,দেবী বুক স্টল (ভারত), ,2014, ,ভারত,বাংলা
ফুল বাগানের গাইডলাইন,চন্দা পারিয়া,"",TK. 144,https://rokomari.com//book/146217/ful-bagane-guideline,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",ফুল বাগানের গাইডলাইন,চন্দা পারিয়া, , ,দেবী বুক স্টল (ভারত), ,2014, ,ভারত,বাংলা
প্রাথমিক শিক্ষা,তপন কুমার দাস,"",TK. 450,https://rokomari.com//book/146218/prathomik-shikkha,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",প্রাথমিক শিক্ষা,তপন কুমার দাস, , ,দেবী বুক স্টল (ভারত), ,2014, ,ভারত,বাংলা
পুষ্টি এবং রোগ নিরাময়ে বাংলার শাকসব্জি ও ফল,প্রভাস চন্দ্র দাস,"",TK. 216,https://rokomari.com//book/146221/pushti-ebong-rog-niramoye-banglar-shaksobji-o-fol,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",পুষ্টি এবং রোগ নিরাময়ে বাংলার শাকসব্জি ও ফল,প্রভাস চন্দ্র দাস, , ,দেবী বুক স্টল (ভারত), ,2014, ,ভারত,বাংলা
বন্ধু ভূতের গল্প,শচীদুলাল চট্টোপাধ্যায়,"",TK. 108,https://rokomari.com//book/146223/bondhu-vhooter-golpo,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",বন্ধু ভূতের গল্প,শচীদুলাল চট্টোপাধ্যায়, , ,দেবী বুক স্টল (ভারত), ,2014, ,ভারত,বাংলা
