Title,Author,Original Price,Discounted Price,URL,Image,Summary,Book_Title,Book_Author,Translator,Editor,Publisher,ISBN,Edition,Number Of Pages,Country,Language
শেয়াল পন্ডিত,ঢাকা আহ্‌ছানিয়া মিশন,"",TK. 40,https://rokomari.com//book/80632/sheyal-pondit,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/imgrok_20141126_80632.gif,"",শেয়াল পন্ডিত,ঢাকা আহ্‌ছানিয়া মিশন, , ,ঢাকা আহ্‌ছানিয়া মিশন, , , ,বাংলাদেশ,বাংলা
ছবিতে ছবিতে গল্প ,ঢাকা আহ্‌ছানিয়া মিশন,"",TK. 40,https://rokomari.com//book/80631/chobite-chobite-golpo,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/imgrok_20141126_80631.gif,"",ছবিতে ছবিতে গল্প,ঢাকা আহ্‌ছানিয়া মিশন, , ,ঢাকা আহ্‌ছানিয়া মিশন, , , ,বাংলাদেশ,বাংলা
এনজিও উত্তমনীতি ও পদ্ধতি নির্দেশিকা,ঢাকা আহ্‌ছানিয়া মিশন,"",TK. 70,https://rokomari.com//book/80608/ngo-uttomneeti-o-poddhoti-nirdeshika,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",এনজিও উত্তমনীতি ও পদ্ধতি নির্দেশিকা,ঢাকা আহ্‌ছানিয়া মিশন, , ,ঢাকা আহ্‌ছানিয়া মিশন, , , ,বাংলাদেশ,বাংলা
কাটবে সবার ভাল দিন,ঢাকা আহ্‌ছানিয়া মিশন,"",TK. 45,https://rokomari.com//book/80574/katbe-sobar-valo-din,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/c374bba60_80574.jpg,"""কাটবে সবার ভাল দিন"" বইয়ের পিছনের কভারের লেখা:

আজকে যে শিশু, সে একদিন বড় হবে। দেশ ও সমাজে দায়িত্ব পালন করবে। তাই শিশুদের সঠিক মানুষ হিসেবে গড়ে তুলতে হবে। সাধারণত শিশুদের বিকাশের লক্ষ্যে প্রাথমিক শিক্ষার সময়কালকেই বেশি গুরুত্ব দেওয়া হয়ে থাকে। কিন্তু প্রাক শৈশব থেকেই শিশু বিকাশের জন্য পরিচর্যা শুরু করা উচিত। বিশেষজ্ঞরা মনে করেন শিশু বিকাশের ক্ষেত্রগুলাে হচ্ছে- • শারীরিক বিকাশ • বুদ্ধি ও ভাষার বিকাশ • আবেগিক বিকাশ • সৃজনশীলতার বিকাশ এবং • সামাজিক বিকাশ। “কাটবে সবার ভালাে দিন"" এই উপকরণমালারই একটি বই। শিশুদের মধ্যে পরিবেশ সচেতনতা তথা সামাজিক বিকাশের লক্ষ্যে এই বইটি উন্নয়ন করা হয়েছে। উল্লেখ্য বইটি প্রাথমিক পর্যায়ের শিশুদের জন্যও ব্যবহার করা যাবে। বইয়ের শেষ দিকে একটি নির্দেশনা রয়েছে। সহায়ক বা অভিভাবকগণ এই নির্দেশনা অনুযায়ী বইটি ব্যবহার করলে শিশুদের পরিবেশ। সচেতন করতে সহায়ক হবে।",কাটবে সবার ভাল দিন,ঢাকা আহ্‌ছানিয়া মিশন, , ,ঢাকা আহ্‌ছানিয়া মিশন,9848357453,"6th Printed,2014",16,বাংলাদেশ,বাংলা
শিশুশ্রম মুক্ত দেশ গড়ি,ঢাকা আহ্‌ছানিয়া মিশন,"",TK. 104,https://rokomari.com//book/80532/shishushrom-mukto-desh-gori,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/1bccd6dfb_80532.jpg,"",শিশুশ্রম মুক্ত দেশ গড়ি,ঢাকা আহ্‌ছানিয়া মিশন, , ,ঢাকা আহ্‌ছানিয়া মিশন, ,"1st Published,2014",12,বাংলাদেশ,বাংলা
প্রাক-প্রাথমিক টিউটর নির্দেশিকা,ঢাকা আহ্‌ছানিয়া মিশন,"",TK. 810,https://rokomari.com//book/80555/prak-prathomik-tutor-nirdeshika,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/imgrok_20141126_80555.gif,"",প্রাক-প্রাথমিক টিউটর নির্দেশিকা,ঢাকা আহ্‌ছানিয়া মিশন, , ,ঢাকা আহ্‌ছানিয়া মিশন, , , ,বাংলাদেশ,বাংলা
মিলাব জানব,ঢাকা আহ্‌ছানিয়া মিশন,"",TK. 72,https://rokomari.com//book/80630/milab-janbo,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/imgrok_20141126_80630.gif,"",মিলাব জানব,ঢাকা আহ্‌ছানিয়া মিশন, , ,ঢাকা আহ্‌ছানিয়া মিশন, , , ,বাংলাদেশ,বাংলা
তিথির সাথী,ঢাকা আহ্‌ছানিয়া মিশন,"",TK. 46,https://rokomari.com//book/80570/tithir-sathee,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/imgrok_20141126_80570.gif,"",তিথির সাথী,ঢাকা আহ্‌ছানিয়া মিশন, , ,ঢাকা আহ্‌ছানিয়া মিশন, , , ,বাংলাদেশ,বাংলা
আমরা তোমাদের ভুলব না,ঢাকা আহ্‌ছানিয়া মিশন,TK. 48,TK. 44,https://rokomari.com//book/80564/amra-tomader-vulbo-na,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/f01a6ee1e_80564.jpg,"",আমরা তোমাদের ভুলব না,ঢাকা আহ্‌ছানিয়া মিশন, , ,ঢাকা আহ্‌ছানিয়া মিশন,9847004700205,"1st Published,1998",30,বাংলাদেশ,বাংলা
দুর্যোগ থেকে বাঁচার উপায়,ঢাকা আহ্‌ছানিয়া মিশন,"",TK. 126,https://rokomari.com//book/80573/durjog-theke-bachar-upay,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/7a46b5bf0_80573.jpg,"",দুর্যোগ থেকে বাঁচার উপায়,ঢাকা আহ্‌ছানিয়া মিশন, , ,ঢাকা আহ্‌ছানিয়া মিশন, , , ,বাংলাদেশ,বাংলা
