Title,Author,Original Price,Discounted Price,URL,Image,Summary,Book_Title,Book_Author,Translator,Editor,Publisher,ISBN,Edition,Number Of Pages,Country,Language
কবিবংশ (সমকাল সাহিত্য পুরুস্কার প্রাপ্ত),মুজিব ইরম,TK. 130,TK. 98,https://rokomari.com//book/78766/kobibongho--somokal-shahitto-puruskar-prapto-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/rokimg_20140830_78766.gif,"",কবিবংশ (সমকাল সাহিত্য পুরুস্কার প্রাপ্ত),মুজিব ইরম, , ,ধ্রুবপদ,9789848919668,"1st,2014",64,বাংলাদেশ,বাংলা
একাত্তরের সেই গেরিলা,রীতা ভৌমিক,TK. 120,TK. 90,https://rokomari.com//book/63868/akattorer-sei-gerila,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/imgrok0610_63868.GIF,"সূচিপত্র
মুক্তিযোদ্ধা কানাই ঘোষ
মুক্তিযোদ্ধা ডালিয়া আহমেদ
মুক্তিযোদ্ধা সিরু মিয়া
মুক্তিযোদ্ধা শহীদউল্লাহ সাউদ",একাত্তরের সেই গেরিলা,রীতা ভৌমিক, , ,ধ্রুবপদ, , , ,বাংলাদেশ,বাংলা
ইসলামী গান ও গজল,হাবীব আহসান সামসাদ,TK. 213,TK. 160,https://rokomari.com//book/159749/islami-gaan-o-gojol,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/7edd311a1_159749.jpg,"",ইসলামী গান ও গজল,হাবীব আহসান সামসাদ, , ,ধ্রুবপদ,9789849136941,"1st Published,2018",120,বাংলাদেশ,বাংলা
রবীন্দ্রনাথের উপন্যাস : চেতনালোক ও শিল্পরূপ,সৈয়দ আকরম হোসেন,TK. 600,TK. 450,https://rokomari.com//book/49656/rabindhronather-uponnas---chetanalik-o-shilparuop,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/dc4a54082_49656.jpg,"",রবীন্দ্রনাথের উপন্যাস : চেতনালোক ও শিল্পরূপ,সৈয়দ আকরম হোসেন, , ,ধ্রুবপদ,9789848919842,"1st Published,2014",328,বাংলাদেশ,বাংলা
সুইডেন ভ্রমণ,অনু ইসলাম ,TK. 196,TK. 147,https://rokomari.com//book/97325/sweden-bhromon,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/rokimg_20150228_97325.gif,"",সুইডেন ভ্রমণ,অনু ইসলাম, , ,ধ্রুবপদ,9789849136781,"1st,2015",90,বাংলাদেশ,বাংলা
জলাধারে স্রোতস্বিনী,ইমরান খান,TK. 256,TK. 192,https://rokomari.com//book/159747/joladhare-srotoswini,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/3581e9a88_159747.jpg,"",জলাধারে স্রোতস্বিনী,ইমরান খান, , ,ধ্রুবপদ,9789849216964,"1st Published,2018",144,বাংলাদেশ,বাংলা
অচেনা দি আউটসাইডার ,আলবার্ট কামুস,TK. 144,TK. 108,https://rokomari.com//book/139228/achena-the-outsider,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/40fabfe6af84_139228.jpg,"",অচেনা দি আউটসাইডার,আলবার্ট কামুস, , ,ধ্রুবপদ,9789849216940,"1st Published,2017",71,বাংলাদেশ,বাংলা
বুদ্ধি বিকাশের গল্প-৪,আবুল বাশার ফিরোজ,TK. 167,TK. 125,https://rokomari.com//book/190747/buddi-bikasher-golpo-4,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/04fa16f4c_190747.jpg,"",বুদ্ধি বিকাশের গল্প-৪,আবুল বাশার ফিরোজ, , ,ধ্রুবপদ,9789848023983,"1st Published,2019", ,বাংলাদেশ,বাংলা
বুদ্ধি বিকাশের গল্প-৩,আবুল বাশার ফিরোজ,TK. 167,TK. 125,https://rokomari.com//book/190746/buddi-bikasher-golpo-3,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/bb890bdb0_190746.jpg,"",বুদ্ধি বিকাশের গল্প-৩,আবুল বাশার ফিরোজ, , ,ধ্রুবপদ,9789848023976,"1st Published,2019", ,বাংলাদেশ,বাংলা
বিষয় কবিতা কথা ও শিক্ষা,শোয়াইব জিবরান,TK. 120,TK. 90,https://rokomari.com//book/28756/bishoy-kobita-kotha-o-shikha,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/rokimg_20140824_28756.gif,"",বিষয় কবিতা কথা ও শিক্ষা,শোয়াইব জিবরান, , ,ধ্রুবপদ,9789848919149,"1st Published,2010",72,বাংলাদেশ,বাংলা
