Title,Author,Original Price,Discounted Price,URL,Image,Summary,Book_Title,Book_Author,Translator,Editor,Publisher,ISBN,Edition,Number Of Pages,Country,Language
শঙ্খনীল কারাগার,হুমায়ূন আহমেদ,TK. 125,TK. 94,https://rokomari.com//book/51238/shonkhonil-karagar,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/imgrok0529_51238.GIF,"ভূমিকা
সোমেন চন্দের লেখা অসাধারণ ছোট গল্প ‘ইঁদুর’ পড়ার পরই নিম্ন মধ্যবিত্তদের নিয়ে গল্প লেখার একটা সুতীব্র ইচ্ছা হয়। ‘নন্দিত নরকে’ , ‘শঙ্খনীল কারাগার’ ও ‘মনসুবিজন’ নামে তিনটি আলাদা গল্প প্রায় সঙ্গে সঙ্গেই লিখে ফেলি। নিজের উপরে বিশ্বাসের অভাবের জন্যেই লেখাগুলি দীর্ঘদিন আড়ালে পড়ে থাকে। যাইহোক জনাব আহমদ ছফা ও বন্ধু রফিক কায়সারের আগ্রহে ‘নন্দিত নরকে’ প্রকাশিত হয় মাস ছয়েক আগে। এবারে প্রকাশিত হল ‘শঙ্খনীল কারাগার’। 
‘নন্দিত নরকে’র সঙ্গে এই গল্পের কোনো মিল নেই। দুটি গল্পই উত্তম পুরুষে বলা্ এবং নিম্ন মধ্যবিত্তের গল্প এই মিলটুকু ছাড়া। নামধাম দুটি বইতেই প্রায় একই রেখেছি। প্রথমত নতুন নাম খুঁজে পাইনি বলে, দ্বিতীয়ত এই নামগুলির প্রতি আমি ভয়ানক দুর্বল বলে। কার্যকারণ ছাড়াই যেমন কারো কারো কিছু কিছু দুর্বলতা থাকে, এও সেরকম। 
আন্তরিক চেষ্টা থাকা সত্ত্বেও কিছু কিছু ছাপার ভুল রয়ে গেছে। ভুলগুলি অন্যমনস্ক পা্ঠকের চোখ এড়িয়ে যাবে এইটুকুই যা ক্ষীণ আশা।",শঙ্খনীল কারাগার,হুমায়ূন আহমেদ, , ,দিব্য প্রকাশ,9844832020,"2nd Printed,2008",78,বাংলাদেশ,বাংলা
যে জলে আগুন জ্বলে (রকমারি বেস্টসেলার),হেলাল হাফিজ,TK. 120,TK. 90,https://rokomari.com//book/39406/je-jole-agun-jole,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/e00984654164_39406.gif,"""যে জলে আগুন জ্বলে"" বইয়ের সূচিপত্র
* অস্ত্র সমর্পণ
* বেদনা বোনের মতো
 * ইচ্ছে ছিলো
* প্রতিমা
* অন্যরকম সংসার
* নিখুঁত স্ট্র্যাটেজি
* আমার সকল আয়োজন
 * হিরণবালা
 * দুঃখের আরেক নাম
* প্রত্যাবর্তন
* তীর্থ
 * অনির্ণীত নারী
 * অশ্লীল সভ্যতা
 * কবিতার কসম খেলাম
 * পরানের পাখি
 * বাম হাত তোমাকে দিলাম
 * উপসংহার
 * শামুক
 * আমার কী এসে যাবে
 * ইদানীং জীবন যাপন
 * পৃথক পাহাড়
 * অহংকার
* কোমল কংক্রিট
 * নাম ভূমিকায়
* সম্প্রদান
 * একটি পতাকা পেলে
* মানবানল
 * যার যেখানে জায়গা
* কবি ও কবিতা
 * ফেরীঅলা
 * উৎসর্গ
 * অগ্ন্যুৎসব
 * যেভাবে সে এলো
* রাডার
 * যাতায়াত
* যুগল জীবনী
* লাবণ্যের লতা
 * তোমাকেই চাই
* ভূমিহীন কৃষকের গান
* কবুতর
* নেত্রকোনা
 * তুমি ডাক দিলে
 * হিজলতলীর সুখ
* রাখাল
* ব্যবধান
* কে
 * অমীমাংসিত সন্ধি
* ক্যাকটাস
 * তৃষ্ণা
 * হৃদয়ের ঋণ
* রস্থান
* ঘরোয়া রাজনীতি
* ডাকাত",যে জলে আগুন জ্বলে (রকমারি বেস্টসেলার),হেলাল হাফিজ, , ,দিব্য প্রকাশ,9789849054535,"25th Printed,2015",64,বাংলাদেশ,বাংলা
নন্দিত নরকে,হুমায়ূন আহমেদ,TK. 125,TK. 94,https://rokomari.com//book/50108/nondito-noroke,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/imgrok0529_50108.GIF,"ভূমিকামাসিক ‘মুখপত্রে’র প্রথম বর্ষের তৃতীয় সংখ্যায় গল্পের নাম ‘নন্দিত নরকে’ দেখেই আকৃষ্ট হয়েছিলাম। কেননা ঐ নামের মধ্যেই যেন একটি নতুন জীনবদৃষ্টি,  একটি অভিনব রুচি, চেতানার একটি নতুন আকাশ উঁকি দিচ্ছিল। লেখক তো বটেই, তাঁর নামটিও ছিল আামার সম্পূর্ন অপরিচিত। তবু পড়তে শুরু করলাম ঐ নামের মোহেই।পড়ে আমি অভিভূত হলাম। গল্পে সবিস্ময়ে প্রত্যক্ষ করেছি একজন সূকহ্মদর্শী শিল্পীর, একজন কুশলী স্রষ্টার পাকা হাত। বাঙলা সাহিত্য ক্ষেত্রে এক সুনিপুন শিল্পীর এক দক্ষ রুপকারের, এক প্রজ্ঞাবান দ্রষ্টার জন্মলগ্ন যেন অনুভব করলাম। জীবনের প্রাত্যাহিকতার ও তুচ্ছতার মধ্যেই যে ভিন্নমুখী প্রকৃতি ও প্রবৃত্তির জটাজটিল জীবন কাব্য তার মাধুর্য, তার ঐশ্বর্য , তার মহিমা, তার গ্লানি, তার দূর্বলতা, তার বঞ্চনা ও বিড়ম্বনা, তার শূন্যতার যন্ত্রনা ও আনন্দিত স্বপ্ন নিয়ে কলেবরে ও বৈচিত্র্যে ম্ফীত হতে থাকে , এত অল্প বয়সেও লেখক তাঁর চিন্তা চেতনায় তা ধারন করতে পেরেছেন দেখেমুগ্ধ ও বিস্মিত।বিচিত্র বৈষয়িক ও বহুমুখী মানবিক সম্পর্কের মধ্যেই যে জীবনের সামগ্রিক স্বরুপ নিহত , সে উপলব্ধিও লেখরে রয়েছে। তাই এ গল্পের ক্ষুদ্র পরিসরে অনেক মানুষের ভিড়, বহুজনের বিদ্যুৎ  দীপ্তি ও খণ্ড খণ্ড চিত্রের সমাবেশ ঘটেছে। আপাত নিস্তরঙ্গ ঘরোয়া জীবনের বহুমুথী সম্পর্কের বর্ণালী কিন্তু অসংলগ্ন ও বিচিত্র আলেখ্যের মাধ্যমে লেখক বহুতে ঐক্যের সুষমা দান করেছেন। তাঁর দক্ষতা ঐ নেপুণ্যিই নিহিত। বিড়ম্বিত জীবনে প্রীতি ও করুণার আশ্বাসই সম্বল। হুমায়ুন আহমেদ বয়সে তরুন, মনে প্রাচীন দ্রষ্টা, মেজাজে জীবন রসিক,স্বভাবে রূপদর্শী, যোগ্যতায় দক্ষ রূপকায়। ভবিষ্যতে তিনি বিশিষ্ট জীবনশিল্পী হবেন-এই বিশ্বাস ও প্রত্যাশা নিয়ে অপেক্ষা করব।ড. আহমদ শরীফঢাকা বিশ্ববিদ্যালয়১৬.০৬.০৭২",নন্দিত নরকে,হুমায়ূন আহমেদ, , ,দিব্য প্রকাশ,9844832012,"2nd Printed,2008",64,বাংলাদেশ,বাংলা
আইন-ই-আকবরী ও আকবরের জীবনী,আবুল ফজল,TK. 250,TK. 188,https://rokomari.com//book/40318/ayne-e-akbore-o-akborer-jiboni,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/184dd1bb7_40318.jpg,"",আইন-ই-আকবরী ও আকবরের জীবনী,আবুল ফজল,পাঁচকড়ি বন্দ্যোপাধ্যায়, ,দিব্য প্রকাশ,9844832699,"2nd Printed,2012",172,বাংলাদেশ,বাংলা
আল-মুকাদ্দিমা -১ম খণ্ড,ইবনে খালদুন,TK. 650,TK. 488,https://rokomari.com//book/40354/al-mukadima-1st-khondho,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/69169d3b2_40354.jpg,"“আল-মুকাদ্দিমা ১ম খণ্ড” বইয়ের ভূমিকাইতিহাসের বিষয় গুরুত্ব, তাঁর বিভিন্ন পদ্ধতিগত বিশ্লেষণ এবং ইতিহাসবিদদের সম্ভাব্য ত্রুটি-বিচ্যুতির বিবরণ ও কারণ, বনি ইসরাইলের সৈন্যসংখ্যা, তুব্বা রাজন্যবর্গের দিগ্বিজয়, ইরাম নগরীরর কাহিনী, বরমেকীদের পতন, আকসামের মধ্যপান, মামুনের প্রেম, উবায়দী বংশধারা, ইনরিসী বংশধারা, আল-মেহেদীর বংশধারা, ঐতিহাসিকদের দায়িত্ব, শিক্ষকতা প্রসঙ্গ, বিচারক প্রসঙ্গ, ভুল বর্ণনা পদ্ধতি, প্রতিবর্ণীকরণ সমস্যা, প্রাথমিক বক্তব্য।	“আল-মুকাদ্দিমা ১ম খণ্ড” বইয়ের সূচিপত্র:*আল্লামা ইবনে খালদুন*আল-মুকাদ্দিমা : আলোচনা*অনুবাদ প্রসঙ্গ*প্রান্ত ক্রুচি*ইদিগাম প্রসঙ্গ*উৎসর্গ",আল-মুকাদ্দিমা -১ম খণ্ড,ইবনে খালদুন,গোলাম সামদানী কোরায়শী, ,দিব্য প্রকাশ,9844832594,"4th Printed,2017",632,বাংলাদেশ,বাংলা
আল-মুকাদ্দিমা ২য় খণ্ড,ইবনে খালদুন,TK. 550,TK. 413,https://rokomari.com//book/40355/al-mukadima-2nd-part,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/4daf643f8_40355.jpg,"",আল-মুকাদ্দিমা ২য় খণ্ড,ইবনে খালদুন,গোলাম সামদানী কোরায়শী, ,দিব্য প্রকাশ,6511532594,"4th Printed,2017",456,বাংলাদেশ,বাংলা
বেদনাকে বলেছি কেঁদো না,হেলাল হাফিজ,TK. 200,TK. 150,https://rokomari.com//book/192618/bedonake-bolechi-kedo-na,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/5293200a3_192618.jpg,"""বেদনাকে বলেছি কেঁদো না” বইয়ের ভিতরের লেখা:

প্লিজ, অবেলায়
তরঙ্গ তুলিয়া রঙ্গে ভঙ্গ দিও না
ওগো, বাচিবো না
মরিয়া যাইবো আমি মরণের আগে",বেদনাকে বলেছি কেঁদো না,হেলাল হাফিজ, , ,দিব্য প্রকাশ,9789849054500,"1st Published,2019",79,বাংলাদেশ,বাংলা
দুনিয়া কাঁপানো তৈমুর লং,হ্যারল্ড ল্যাম্ব,TK. 350,TK. 263,https://rokomari.com//book/93797/duniya-kapano-toymur-long,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/598fe02a0_93797.jpg,"""দুনিয়া কাঁপানো তৈমুর লং"" বইয়ের ফ্ল্যাপের লেখা:

পাঁচশত পঞ্চাশ বছর আগে একজন মানুষ প্রচেষ্টা নিয়েছিলেন পুরাে পৃথিবীর সম্রাট হওয়ার। নিঝঞাট এই মানুষটির ছিল কিছু গবাদি আর সেসব প্রতিপালনের জন্য মধ্য এশিয়ায় কিছু জমিজমা। আলেকজান্ডারের মত যেমন কোন রাজার পুত্র তিনি ছিলেন না তেমনি ছিলেন না চেঙ্গিস খানের মত কোন গােত্র প্রধানের উত্তরাধিকারী । তারপরও তিনি একের পর এক পরাজিত করেছিলেন অর্ধেক পৃথিবীর সেনাদের। তাঁর সৃষ্ট পথে দুই মহাদেশের ব্যবসায়ীরা কাফেলা নিয়ে চলত। হাতে এসেছিল সাম্রাজ্যের ধনসম্পদ আর সেসব তিনি ব্যয় করেছেন যখন যেমনটা করতে চেয়েছেন। তিনি কি চেষ্টা করেছিলেন তা বুঝতে আমাদের তাকাতে হবে কিভাবে তিনি বেঁচেছিলেন। আর তা করতে ইউরােপীয় ইতিহাসকে আমাদের এক পাশে সরিয়ে রাখতে হবে। আধুনিক সভ্যতা এবং এর কুসংস্কার থেকে আমাদের চোখ ফিরিয়ে রাখতে হবে। তাঁকে দেখতে হবে তাঁর সঙ্গে চলা তাঁর অনুসারীদের দৃষ্টিতে। আমরা তাঁকে ডাকি তৈমুর লং বলে ।",দুনিয়া কাঁপানো তৈমুর লং,হ্যারল্ড ল্যাম্ব,যায়নুদ্দিন সানী, ,দিব্য প্রকাশ,9789849147411,"2nd Printed,2017",232,বাংলাদেশ,বাংলা
চেঙ্গিস খান : সব মানুষের সম্রাট,হ্যারল্ড ল্যাম্ব,TK. 325,TK. 244,https://rokomari.com//book/77944/changish-khan---sobmanusher-samrat,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/ed6030ee0674_77944.gif,"’চেঙ্গিস খান : সব মানুষের সম্রাট' বইয়ের ফ্ল্যাপের লেখা

“প্রায় সাতশ বছর আগে একজন মানুষ প্রায় অর্ধেক পৃথিবী জয় করে ফেলেছিলেন। অনেক উপাধি পেলেও তিনি সবচেয়ে পরিচিত ‘চেঙ্গিস খান’ নামে”- এভাবে হ্যারল্ড ল্যাম্ব শুরু করেন তার বিখ্যাত রচনা ‘চেঙ্গিস খান। তার রচিত চেঙ্গিস খানের জীবনীগ্রন্থটি প্রকাশিত হয় ১৯২৮ সালে। প্রকাশের পর দারুণ সাড়া পড়ে যায়। প্রচণ্ড জনপ্রিয় হয়। আজও প্রকাশের আশি বছর পরও বইটি চেঙ্গিস খানের জীবনের ওপর লেখা গ্রন্থগুলাের ভেতর সবচেয়ে বেশি পঠিত। কেবল শুষ্ক-রুক্ষ তথ্য উপস্থাপন করে এটিকে তিনি একটি ইতিহাসগ্রন্থ করেননি, গভীর ভালােবাসা আর মমতা দিয়ে তিনি ফুটিয়ে তুলেছেন প্রতিটি চরিত্রকে। বুদ্ধিমত্তার সঙ্গে বারােশ শতকের পটভূমিকায় চেঙ্গিস খানের চরিত্রকে ফুটিয়ে তুলেছেন। বইটি পড়ে অবসান হবে চেঙ্গিস খানকে ঘিরে থাকা অনেক ভুল ধারণার।

’চেঙ্গিস খান : সব মানুষের সম্রাট' বইয়ের সূচীপত্র


ভূমিকা
রহস্যসূচীপত্র..........৯
প্রথম পর্ব 
মরুভূমি..........১৭
বেঁচে থাকার সংগ্রাম..........২৭
গরুগাড়ির যুদ্ধ..........৩০
তিমুজিন এবং একটি উচ্ছ্বাস..........৩৬
যখন গুপ্ত পাহাড়ে পতাকা উড়ছিল..........৪০
প্রিস্টার জনের মৃত্যু..........৫১
ইয়াসা..........৫৭
দ্বিতীয় পর্ব
ক্যাথি..........৬৫
স্বর্ণালি সম্রাট..........৭১
মঙ্গোলদের প্রত্যাবর্তন..........৭৭
কারাকোরাম..........৮২
তৃতীয় পর্ব
ইসলামের তরবারি..........৮৯
পশ্চিমের দিকে অভিযান..........৯৫
প্রথম অভিযান..........১০১
বােখারা ১০৬ সেনাপ্রধানদের যাত্রা..........১১৪
চেঙ্গিস খানের মৃগয়া..........১২০
তুলির স্বর্ণ সিংহাসন..........১২৬",চেঙ্গিস খান : সব মানুষের সম্রাট,হ্যারল্ড ল্যাম্ব,যায়নুদ্দিন সানী, ,দিব্য প্রকাশ,9789849054597,"2nd Edition,2015",206,বাংলাদেশ,বাংলা
গন্দমফুল,ইমতিয়াজ মাহমুদ,TK. 150,TK. 113,https://rokomari.com//book/179120/gondomphul,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/a603726c6_179120.jpg,"",গন্দমফুল,ইমতিয়াজ মাহমুদ, , ,Dibya Prakhsh,9789849232032,"1st Published,2019",56,Bangladesh,Bangla & English
