Title,Author,Original Price,Discounted Price,URL,Image,Summary,Book_Title,Book_Author,Translator,Editor,Publisher,ISBN,Edition,Number Of Pages,Country,Language
ছোটদের মুক্তিযুদ্ধের ইতিহাস ,গাজী রাজিউর রহামান রাজু ,TK. 100,TK. 75,https://rokomari.com//book/156421/chotoder-muktizuddher-itihas,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/c4886a122_156421.jpg,"",ছোটদের মুক্তিযুদ্ধের ইতিহাস, , ,গাজী রাজিউর রহামান রাজু,দিরা প্রকাশন,9844619412513,"1st Published,2018",58,বাংলাদেশ,বাংলা
মুক্তিযুদ্ধের বিভীষিকা,এম এ জব্বার,TK. 180,TK. 135,https://rokomari.com//book/114561/muktijuddher-bivisika,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/3190d58a04e4_114561.jpg,"",মুক্তিযুদ্ধের বিভীষিকা,এম এ জব্বার, , ,দিরা প্রকাশন,9844619412511,"2nd Edition,2016",80,বাংলাদেশ,বাংলা
স্বাধীনতার অতীত বর্তমান,গাজী রাজিউর রহামান রাজু ,TK. 200,TK. 150,https://rokomari.com//book/156423/shadhinotar-otit-bortoman,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/042159c62_156423.jpg,"",স্বাধীনতার অতীত বর্তমান, , ,গাজী রাজিউর রহামান রাজু,দিরা প্রকাশন,9844619412511,"1st Published,2018",104,বাংলাদেশ,বাংলা
মুক্তিযোদ্ধার কাহিনী,মঞ্জুর-ই-মাওলা,TK. 200,TK. 150,https://rokomari.com//book/97807/muktijoddhar-kahini,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/daa5dda26_97807.jpg,"",মুক্তিযোদ্ধার কাহিনী,মঞ্জুর-ই-মাওলা, , ,দিরা প্রকাশন,98446194152,"1st Published,2015",112,বাংলাদেশ,বাংলা
অনসূয়া ,রিফফাত জাহান মীম ,TK. 160,TK. 120,https://rokomari.com//book/159370/onusuya,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/92f11bfaf_159370.jpg,"",অনসূয়া,রিফফাত জাহান মীম, , ,দিরা প্রকাশন,9844619412515,"1st Published,2018",104,বাংলাদেশ,বাংলা
নিঃশব্দ প্রেম,খোরশেদ আলম,TK. 120,TK. 90,https://rokomari.com//book/38147/nisobdho-prem,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/9e009c4fd_38147.jpg,"",নিঃশব্দ প্রেম,খোরশেদ আলম, , ,দিরা প্রকাশন,98446194122,"1st Published,2014",48,বাংলাদেশ,বাংলা
মানুষ সত্য,মোহাঃ রেজাউল হোসেন,TK. 140,TK. 123,https://rokomari.com//book/200117/manush-sotto,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/70e28ca1d_200117.jpg,"",মানুষ সত্য,মোহাঃ রেজাউল হোসেন, , ,দিরা প্রকাশন,9844619412518,"1st Published,2020",64,বাংলাদেশ,বাংলা
লালন ফকিরের জাত ও দর্শনের স্বরূপ উন্মোচন,মোহাঃ রেজাউল হোসেন,TK. 350,TK. 263,https://rokomari.com//book/209254/lalon-fakirer-jat-o-dorshoner-swarup-unmochon,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/1952e1c0a_209254.jpg,"",লালন ফকিরের জাত ও দর্শনের স্বরূপ উন্মোচন,মোহাঃ রেজাউল হোসেন, , ,দিরা প্রকাশন,98446194125101,"1st Published,2021",240,বাংলাদেশ,বাংলা
নিঝুম-দ্বীপের ভালোবাসা,খোরশেদ আলম,TK. 120,TK. 90,https://rokomari.com//book/114562/neejhum-dipa-valobasa,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/c900ed526a34_114562.jpg,"",নিঝুম-দ্বীপের ভালোবাসা,খোরশেদ আলম, , ,দিরা প্রকাশন,9844619414252,"1st Published,2016",56,বাংলাদেশ,বাংলা
চিলেকোঠা ,শাহীন আক্তার স্বাতী,TK. 160,TK. 120,https://rokomari.com//book/156424/chilekotha,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/90edee207_156424.jpg,"বই পরিচিতি:
 
ছোট্ট একটা চিলেকোঠায় ভালবাসার দুজন কপত-কপতি, আসিফ এবং পৃথার বাস। সাধারণ মধ্যবিত্ত পরিবারেও এ দম্পতি চরম সুখের চাদরে আবৃত। অর্থ আর প্রাচুর্য্য ছাড়াও জীবনে সুখী হওয়া যায়, তা চিলেকোঠায় বসবাসরত ভালবাসার রঙে রঙিন দুজন মানব-মানবীকে দেখলে বোঝা যায়। বৃষ্টি বিলাসী মেয়ে পৃথা তার কল্পনার ক্যানভাসে আসিফকে নিয়ে মন ভেজায় প্রিয় চিলেকোঠার ছাদে। স্বপ্ন দেখে কোন এক ঝুম বরষায় আসিফের দুহাত ধরে মন-প্রাণ উজাড় করে বৃষ্টি জলে সিক্ত হবার। পৃথার সেই স্বপ্ন কি পূরণ হয়েছিলো? আসিফ কি পেরেছিলো তার চিলেকোঠার রানীর কথা রাখতে? এক পশলা বৃষ্টি শেষ পর্যন্ত পেরেছিলো ছোট্ট চিলেকোঠায় সুখের পরশ বুলিয়ে দিতে? জানতে হলে পড়ুন আমার প্রথম উপন্যাস ‘চিলেকোঠা'।",চিলেকোঠা,শাহীন আক্তার স্বাতী, , ,দিরা প্রকাশন,98444619412514,"1st Published,2018",48,বাংলাদেশ,বাংলা
স্বপ্নের মৃত্যু,তাহমিনা বেগম,TK. 160,TK. 120,https://rokomari.com//book/97753/shopner-mirttu,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/rokimg_20150307_97753.gif,"",স্বপ্নের মৃত্যু,তাহমিনা বেগম, , ,দিরা প্রকাশন,98446194122,"1st,2015",80,বাংলাদেশ,বাংলা
স্মৃতির অনলে (কবিতা সমগ্র),তাহমিনা বেগম,TK. 180,TK. 135,https://rokomari.com//book/97752/smritir-onole--kabita-somogro-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/rokimg_20150307_97752.gif,"",স্মৃতির অনলে (কবিতা সমগ্র),তাহমিনা বেগম, , ,দিরা প্রকাশন,98446194117,"1st,2015",96,বাংলাদেশ,বাংলা
হৃদয়ের অনুভব,শিরিন সুলতানা,TK. 300,TK. 225,https://rokomari.com//book/97750/hridoyer-onubhob,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/rokimg_20150307_97750.gif,"",হৃদয়ের অনুভব,শিরিন সুলতানা, , ,দিরা প্রকাশন,984641941254,"1st,2015",160,বাংলাদেশ,বাংলা
