Title,Author,Original Price,Discounted Price,URL,Image,Summary,Book_Title,Book_Author,Translator,Editor,Publisher,ISBN,Edition,Number Of Pages,Country,Language
ছোটোদের বাংলা উদ্ধৃতি-সংকলন,অশোককুমার দে,"",TK. 72,https://rokomari.com//book/146542/chotoder-bangla-uddriti---songkolon,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",ছোটোদের বাংলা উদ্ধৃতি-সংকলন,অশোককুমার দে, , ,দক্ষভারতী (ভারত), ,2012, ,ভারত,বাংলা
ঐতিহাসিক ইতিহাসের ইতিবৃত্ত,তনুজ লস্কর,"",TK. 72,https://rokomari.com//book/146543/aoithihasik-itihasher-etibritto,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",ঐতিহাসিক ইতিহাসের ইতিবৃত্ত,তনুজ লস্কর, , ,দক্ষভারতী (ভারত), ,2012, ,ভারত,বাংলা
আবিষ্কারের গপ্পো,তনুজ লস্কর,"",TK. 72,https://rokomari.com//book/146544/abiskarer-goppo,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",আবিষ্কারের গপ্পো,তনুজ লস্কর, , ,দক্ষভারতী (ভারত), ,2012, ,ভারত,বাংলা
ছড়ানো মুক্ত,মণীন্দ্রনাথ সান্যাল,"",TK. 54,https://rokomari.com//book/146545/chorano-mukto,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",ছড়ানো মুক্ত,মণীন্দ্রনাথ সান্যাল, , ,দক্ষভারতী (ভারত), ,2012, ,ভারত,বাংলা
গল্পের নাম মানুষ,রীতা দাশ,"",TK. 90,https://rokomari.com//book/146546/golper-name-manus,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",গল্পের নাম মানুষ,রীতা দাশ, , ,দক্ষভারতী (ভারত), ,2012, ,ভারত,বাংলা
ভয়ঙ্কর ভূত,সুনীল মান্না,"",TK. 81,https://rokomari.com//book/146548/voyongkor-vhoot,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",ভয়ঙ্কর ভূত,সুনীল মান্না, , ,দক্ষভারতী (ভারত), ,2012, ,ভারত,বাংলা
তুবড়ি,রবি মুখোপাধ্যায়,"",TK. 144,https://rokomari.com//book/146549/tubri,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",তুবড়ি,রবি মুখোপাধ্যায়, , ,দক্ষভারতী (ভারত), ,2012, ,ভারত,বাংলা
নাট্য পঞ্চক,পূর্ণচন্দ্র মুখোপাধ্যায়,"",TK. 162,https://rokomari.com//book/146550/natto-pongchok,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",নাট্য পঞ্চক,পূর্ণচন্দ্র মুখোপাধ্যায়, , ,দক্ষভারতী (ভারত), ,2012, ,ভারত,বাংলা
আরণ্য,সূর্যকান্ত চক্রবর্তী,"",TK. 180,https://rokomari.com//book/146551/aronno,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",আরণ্য,সূর্যকান্ত চক্রবর্তী, , ,দক্ষভারতী (ভারত), ,2012, ,ভারত,বাংলা
টুকরো গল্পে সড়গড়,অসিতাভ ভট্টাচার্য,"",TK. 126,https://rokomari.com//book/146552/tukro-golpe-sorgor,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",টুকরো গল্পে সড়গড়,অসিতাভ ভট্টাচার্য, , ,দক্ষভারতী (ভারত), ,2014, ,ভারত,বাংলা
আমায় মানুষ করো: স্বামী বিবেকানন্দের বাণী ও রচনা সংকলন,সনাতনানন্দ,"",TK. 135,https://rokomari.com//book/146547/amai-manus-koro--shami-vivekananda-bani-o-rochona-songkolon,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",আমায় মানুষ করো: স্বামী বিবেকানন্দের বাণী ও রচনা সংকলন,সনাতনানন্দ, , ,দক্ষভারতী (ভারত), ,2012, ,ভারত,বাংলা
