Title,Author,Original Price,Discounted Price,URL,Image,Summary,Book_Title,Book_Author,Translator,Editor,Publisher,ISBN,Edition,Number Of Pages,Country,Language
যুগান্তর,বাসুদেব মোশেল,"",TK. 315,https://rokomari.com//book/146371/jugantar,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",যুগান্তর,বাসুদেব মোশেল, , ,ধ্রুপদী (ভারত), ,2009, ,ভারত,বাংলা
সাগর থেকে ফেরা,রামরঞ্জন রায়,"",TK. 90,https://rokomari.com//book/146374/sagor-theke-fera,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",সাগর থেকে ফেরা,রামরঞ্জন রায়, , ,ধ্রুপদী (ভারত), ,2014, ,ভারত,বাংলা
চণ্ডীদাস চর্চা,মঞ্জুলা বেরা,"",TK. 900,https://rokomari.com//book/146382/chandidas-charcha,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",চণ্ডীদাস চর্চা,মঞ্জুলা বেরা, , ,ধ্রুপদী (ভারত), ,2009, ,ভারত,বাংলা
মন্মথনাথ ঘোষ: চরিত সাহিত্যের রূপকার,বাসুদেব মোশেল,"",TK. 90,https://rokomari.com//book/146383/monmothnath-ghosh---chorit-sahityer-rupokar,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",মন্মথনাথ ঘোষ: চরিত সাহিত্যের রূপকার,বাসুদেব মোশেল, , ,ধ্রুপদী (ভারত), ,2009, ,ভারত,বাংলা
পাঁচালীকার রসিকচন্দ্র রায়: জীবন ও সাহিত্য,মনিকা ঘোষ ,"",TK. 135,https://rokomari.com//book/146384/pachalikar-rosikchandhro-roy-jibon-o-sahityo,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",পাঁচালীকার রসিকচন্দ্র রায়: জীবন ও সাহিত্য,মনিকা ঘোষ, , ,ধ্রুপদী (ভারত), ,2010, ,ভারত,বাংলা
পার্থ ফিরে এলো,রাম বসু,"",TK. 90,https://rokomari.com//book/146385/partho-fire-elo,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",পার্থ ফিরে এলো,রাম বসু, , ,ধ্রুপদী (ভারত), ,2011, ,ভারত,বাংলা
উচ্চ -মাধ্যমিকঃবাংলা সাহিত্যের ইতিহাস,উজ্জ্বলকুমার মজুমদার ,"",TK. 135,https://rokomari.com//book/146389/uccho-madhomik-bangla-sahityo-itihas,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",উচ্চ -মাধ্যমিকঃবাংলা সাহিত্যের ইতিহাস,উজ্জ্বলকুমার মজুমদার, , ,ধ্রুপদী (ভারত), ,2012, ,ভারত,বাংলা
আধুনিক কবিতা: নির্মিত বহুরূপ,অজিত ত্রিবেদী,"",TK. 405,https://rokomari.com//book/146390/adhunik-kobita-nirmeto-bohurup,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",আধুনিক কবিতা: নির্মিত বহুরূপ,অজিত ত্রিবেদী, , ,ধ্রুপদী (ভারত), ,2012, ,ভারত,বাংলা
ছোট গল্পের পথে পথে,রবিন পাল,"",TK. 225,https://rokomari.com//book/146392/choto-golper-pathe-pathe,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",ছোট গল্পের পথে পথে,রবিন পাল, , ,ধ্রুপদী (ভারত), ,2012, ,ভারত,বাংলা
দেশভাগ ও বাংলা সাহিত্য,সুদীপ্তা বসু,"",TK. 180,https://rokomari.com//book/146393/deshvag-o-bangla-sahityo,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",দেশভাগ ও বাংলা সাহিত্য,সুদীপ্তা বসু, , ,ধ্রুপদী (ভারত), ,2012, ,ভারত,বাংলা
