Title,Author,Original Price,Discounted Price,URL,Image,Summary,Book_Title,Book_Author,Translator,Editor,Publisher,ISBN,Edition,Number Of Pages,Country,Language
ফল,ফেরদৌস আলম ,TK. 100,TK. 75,https://rokomari.com//book/64091/fruits,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/d0d760c7c_64091.jpg,"",ফল,ফেরদৌস আলম, , ,ডাক,9789849038092,"1st Published,2015",26,বাংলাদেশ,বাংলা
ফুল ,ফেরদৌস আলম ,TK. 100,TK. 75,https://rokomari.com//book/64090/full,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/imgrok0723_64090.GIF,"",ফুল,ফেরদৌস আলম, , ,ডাক, , , ,বাংলাদেশ,বাংলা
Nursery Rhymes,স্বপন সিকদার ,TK. 100,TK. 75,https://rokomari.com//book/64087/nursery-rhymes,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/imgrok0723_64087.GIF,"",Nursery Rhymes,Swapan Sikdar, , ,Duck, , , ,Bangladesh,English
লেটস লার্ন  বুদ্ধির লড়াই IQ,শাহীন এ আলম,TK. 380,TK. 285,https://rokomari.com//book/111468/let-s-learn-buddhir-lorai-iq,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/0276789b5604_111468.gif,"",লেটস লার্ন  বুদ্ধির লড়াই IQ,শাহীন এ আলম, , ,ডাক,9789849196723,"1st Published,2016",84,বাংলাদেশ,বাংলা
হারিয়ে যাবো ছবির দেশে - ১,জাহিদুল ইসলাম,TK. 120,TK. 90,https://rokomari.com//book/143152/hariye-jabo-shabir-dese---1,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/c205ee6a93e4_143152.jpg,"",হারিয়ে যাবো ছবির দেশে - ১,জাহিদুল ইসলাম, , ,ডাক,978984916815,"1st Published,2017",23,বাংলাদেশ,বাংলা
আমাদের দেশে হবে সেই ছেলে কবে,রাগীব নূর,TK. 150,TK. 113,https://rokomari.com//book/99254/amader-deshe-hobe-sei-chela-kobe,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/rokimg_20150430_99254.gif,"",আমাদের দেশে হবে সেই ছেলে কবে, ,রাগীব নূর, ,ডাক,9789849060635,"1st Published,2014",18,বাংলাদেশ,বাংলা
হারিয়ে যাবো ছবির দেশে - ২,জাহিদুল ইসলাম,TK. 120,TK. 90,https://rokomari.com//book/143151/hariye-jabo-shabir-dese---2,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/c4addbbf6a34_143151.jpg,"",হারিয়ে যাবো ছবির দেশে - ২,জাহিদুল ইসলাম, , ,ডাক,9789849196822,"1st Published,2017",23,বাংলাদেশ,বাংলা
Lets Learn Who Are Great In The History,আহমেদ গিয়াস,TK. 100,TK. 75,https://rokomari.com//book/144268/lets-learn-who-are-great-in-the-history,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/d7c0386251f4_144268.jpg,"",Lets Learn Who Are Great In The History,Ahmed Gias, , ,Duck,9789849231554,"1st Published,2017",24,Bangladesh,English
ডাইনোসর,ফেরদৌস আলম ,TK. 100,TK. 75,https://rokomari.com//book/64094/dainosor,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/imgrok0723_64094.gif,"",ডাইনোসর,ফেরদৌস আলম, , ,ডাক, , , ,বাংলাদেশ,বাংলা
Lets Learn IQ Master,শাহীন এ আলম,TK. 380,TK. 285,https://rokomari.com//book/172943/lets-learn-iq-master,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/99763718e_172943.jpg,"""Lets Learn IQ Master"" বইয়ের ফ্ল্যাপে লেখা:

“Why a picture based IQ book is needed for your kid”
Following western education system, kindergarten and nursery school have been mushrooming in our country over the last few years. But lack of brilliant and high-quality books those schools are always lagging behind from the promise the education lover founders do at the time of the inception of that school. 
Generally kids of 3 to 10 years are made admitted into kindergarten and nursery school. They enjoy rhyme, dance, reading, reciting, number counting and letter writing there. That is very good, but the very young students need various brain development courses which storm their intelligence and that are definitely IQ add-on. In western school, kids play in the classroom with toys designed for raising their IQ. But in our country it is not possible to invest a lot for that kind of classroom. Thus we entirely depend on books and teachers' lecture. Teachers depend on book completely. 
Consequently books play the vital role in our education system. Without right books right education is impossible here. We need reasoning books for the kids because sense enhancement is more important than learning by heart. Here is the book IQ MASTER for the young students to be precise. This book is based on the whole picture. Kids can idea the answer if they are cordially made understand the questions. When they confuse any question, should turn into the next question. 
Don't let them fail, always get them into the pleasant environment. After a kid finish reading the book by making answers, teacher can understand his/her IQ level. By practicing this kind of book, one's IQ will improve fast. 
So, it is your duty to let your kid perform IQ test.",Lets Learn IQ Master,Shaheen A Alom, , ,Duck,9789849196730,"1st Published,2018",84,Bangladesh,English
