Title,Author,Original Price,Discounted Price,URL,Image,Summary,Book_Title,Book_Author,Translator,Editor,Publisher,ISBN,Edition,Number Of Pages,Country,Language
"এমপি থ্রী মানসিক দক্ষতা (৪১, ৪২ এবং ৪৩তম বিসিএস)",ড. মোঃ শাহনেওয়াজ হোসেন,TK. 380,TK. 266,https://rokomari.com//book/142112/mp3-mental-ability--41--42--and-43th-bcs-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/4968518e7_142112.jpg,"","এমপি থ্রী মানসিক দক্ষতা (৪১,৪২ এবং ৪৩তম বিসিএস)",ড. মোঃ শাহনেওয়াজ হোসেন, , ,ইজি পাবলিকেশন্স, ,"New Edition,2021",656,বাংলাদেশ,বাংলা
"নৈতিকতা, মূল্যবোধ এবং সুশাসন (৪১, ৪২ এবং ৪৩তম বিসিএস)",ড. মোঃ শাহনেওয়াজ হোসেন,TK. 160,TK. 96,https://rokomari.com//book/142113/noytikotha--mullobod-and-sushason--41--42--and-43th-bcs-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/73f7938c5_142113.jpg,"শুধু বিসিএস পরীক্ষায় টিকে যাওয়ার জন্য না পড়ে সত্যিকার অর্থে নিজের মূল্যবোধকে জাগ্রত করার উদ্দেশ্য নিয়ে পড়া উচিৎ। যদিও এই জিনিস শুধু বই পড়ে উন্নতি সাধন করা সম্ভব নয়। যদি তাই হতো তাহলে বিসিএস চাকরি করা কোন লোক কোন ধরণের দুর্নীতির সাথে আপোষ করতো না। কারণ সবাই নিশ্চয়ই নৈতিকতা, মূল্যবোধ এবং সুশাসনের জন্য থাকা ১০ নম্বরে ভাল নম্বর পেয়েই বিসিএস ক্যাডার হয়। 
যাইহোক কাজের কথা হচ্ছে যারা বিসিএস দিতে চাচ্ছেন বা অন্যকোন চাকরির পরীক্ষা দিবেন তাদের জন্য এই বইটি পাঠ্য বইয়ের মত। বইটির সবচেয়ে ভাল বিষয় হলো বইটি অনেকটা ক্লাস নাইন টেনে পড়া বাংলাদেশ ও বিশ্বপরিচয় বইটির আদলে লেখা ফলে পড়তে অনেক সুবিধা হবে। বইটিতে নাগরিকের অধিকার, দায়িত্ব, কর্তব্য ইত্যাদি বিষয়ে বিস্তারিত বর্ণান সাজিয়ে লেখা হয়েছে তাই একজন শিক্ষার্থী সহজে মনে রাখতে পারবে।
নৈতিকতা, মূল্যবোধ এবং সুশাসনের জন্য থাকা ১০ নম্বর হাতছাড়া করতে না চাইলে এখনই সংগ্রহ করুন চমৎকার এই বইটি-","নৈতিকতা,মূল্যবোধ এবং সুশাসন (৪১,৪২ এবং ৪৩তম বিসিএস)",ড. মোঃ শাহনেওয়াজ হোসেন, , ,ইজি পাবলিকেশন্স, ,"New Edition,2021",182,বাংলাদেশ,বাংলা
"এমপি থ্রী দৈনন্দিন বিজ্ঞান (৪১, ৪২ এবং ৪৩তম বিসিএস)",ড. মোঃ শাহনেওয়াজ হোসেন,TK. 340,TK. 221,https://rokomari.com//book/142111/mp3-doinondin-biggan--41--42--and-43th-bcs-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/78a410c4a_142111.jpg,"এমপি থ্রী দৈনন্দিন বিজ্ঞানঃ*
বিসিএস প্রিলিমিনারি*
সরকারি - বেসরকারি ব্যাংক নিয়োগ*
পিএসসি’র নিয়োগ*
প্রভাষক - শিক্ষক নিবন্ধন*
মাধ্যমিক - প্রাথমিক শিক্ষক নিয়োগ*
বিশ্ববিদ্যালয় - মেডিকেল ভর্তি সহায়িকা","এমপি থ্রী দৈনন্দিন বিজ্ঞান (৪১,৪২ এবং ৪৩তম বিসিএস)",ড. মোঃ শাহনেওয়াজ হোসেন, , ,ইজি পাবলিকেশন্স,9789843332878,"New Edition,2021",536,বাংলাদেশ,বাংলা
"জর্জ বাংলা ভাষা ও সাহিত্য (৪১, ৪২ এবং ৪৩তম বিসিএস)",ড. মোঃ শাহনেওয়াজ হোসেন,TK. 560,TK. 358,https://rokomari.com//book/117879/george-s-bangla-vasa-o-shahitto--41--42--and-43th-bcs-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/05a3990d2_117879.jpg,"এক ঢিলে দুই পাখি মারার কথা শুনেছেন??
তবে এবার এক ঢিলে পাঁচ পাখি মারতে পারবেন। 
-	বি সি এস প্রিলিমিনারি
-	পি এস সি নিয়োগ
-	ব্যাংক রিক্রুটমেন্ট
-	শিক্ষক প্রভাষক নিবন্ধন
-	বিশ্ববিদ্যালয় মেডিকেল ভর্তি
 যেহেতু বাংলার জন্য একটা বই আপনার কেনার লিস্টে আছেই সেহেতু এই বইটা প্রথম পছন্দ হতে পারে।","জর্জ বাংলা ভাষা ও সাহিত্য (৪১,৪২ এবং ৪৩তম বিসিএস)",ড. মোঃ শাহনেওয়াজ হোসেন, , ,ইজি পাবলিকেশন্স, ,"New Edition,2021",992,বাংলাদেশ,বাংলা
"জর্জ ভূগোল, পরিবেশ ও দুর্যোগ ব্যবস্থাপনা (৪১, ৪২ এবং ৪৩তম বিসিএস)",ড. মোঃ শাহনেওয়াজ হোসেন,TK. 220,TK. 134,https://rokomari.com//book/142116/george-s-vhugol--poribesh-o-durjog-bebosthapona--41--42--and-43th-bcs-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/161af17a1_142116.jpg,"","জর্জ ভূগোল,পরিবেশ ও দুর্যোগ ব্যবস্থাপনা (৪১,৪২ এবং ৪৩তম বিসিএস)",ড. মোঃ শাহনেওয়াজ হোসেন, , ,ইজি পাবলিকেশন্স, ,"New Edition,2021",288,বাংলাদেশ,বাংলা
"জর্জ ম্যাথ রিভিউ (৪১, ৪২ এবং ৪৩তম বিসিএস)",ড. মোঃ শাহনেওয়াজ হোসেন,TK. 580,TK. 371,https://rokomari.com//book/154237/george-s-math-review--41--42--and-43th-bcs-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/a220c1606_154237.jpg,"","জর্জ ম্যাথ রিভিউ (৪১,৪২ এবং ৪৩তম বিসিএস)",ড. মোঃ শাহনেওয়াজ হোসেন, , ,ইজি পাবলিকেশন্স, ,"New Edition,2021",1136,বাংলাদেশ,বাংলা
"জর্জ সিরিজ প্রাক-প্রাথমিক, প্রাথমিক সহকারী শিক্ষক এবং প্রাথমিক প্রধান শিক্ষক নিয়োগ সহায়িকা",ড. মোঃ শাহনেওয়াজ হোসেন,TK. 740,TK. 518,https://rokomari.com//book/172672/george-series-prak-prathomik--prathomik-sohokari-shikkhak-ebong-prathomik-prodhan-shikkhok-niyog-sohayika,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/d197cf5e4_172672.jpg,"","জর্জ সিরিজ প্রাক-প্রাথমিক,প্রাথমিক সহকারী শিক্ষক এবং প্রাথমিক প্রধান শিক্ষক নিয়োগ সহায়িকা",ড. মোঃ শাহনেওয়াজ হোসেন, , ,ইজি পাবলিকেশন্স,9789843395900,"8th Edition,2020",1260,বাংলাদেশ,বাংলা
"জর্জ সাধারণ জ্ঞান বাংলাদেশ- ১ম খণ্ড (৪১, ৪২ এবং ৪৩তম বিসিএস)",ড. মোঃ শাহনেওয়াজ হোসেন,TK. 560,TK. 358,https://rokomari.com//book/154179/george-s-general-knowledgel-bangladesh--1st-part--41--42--and-43th-bcs-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/6045b0b1e_154179.jpg,"","জর্জ সাধারণ জ্ঞান বাংলাদেশ- ১ম খণ্ড (৪১,৪২ এবং ৪৩তম বিসিএস)",ড. মোঃ শাহনেওয়াজ হোসেন, , ,ইজি পাবলিকেশন্স, ,"New Edition,2021", ,বাংলাদেশ,বাংলা
"জর্জ ইংলিশ ল্যাংগুয়েজ (৪১, ৪২ এবং ৪৩তম বিসিএস)",ড. মোঃ শাহনেওয়াজ হোসেন,TK. 720,TK. 461,https://rokomari.com//book/150147/george-s-english-language--41--42--and-43th-bcs-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/9e0a75817_150147.jpg,"","জর্জ ইংলিশ ল্যাংগুয়েজ (৪১,৪২ এবং ৪৩তম বিসিএস)",ড. মোঃ শাহনেওয়াজ হোসেন, , ,ইজি পাবলিকেশন্স, ,"New Edition,2021",976,বাংলাদেশ,বাংলা
"George English Literature (41, 42 ‍and 43th BCS)",ড. মোঃ শাহনেওয়াজ হোসেন,TK. 220,TK. 132,https://rokomari.com//book/192402/george-english-literature--41--42--and-43th-bcs-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/c6b49ae01_192402.jpg,"","George English Literature (41,42 ‍and 43th BCS)",Dr. Md. Shahnewaz Hossain, , ,Easy Publications, ,"New Edition,2021",268,Bangladesh,English
