Title,Author,Original Price,Discounted Price,URL,Image,Summary,Book_Title,Book_Author,Translator,Editor,Publisher,ISBN,Edition,Number Of Pages,Country,Language
Mans Search For Meaning,ভিক্টর ই. ফ্র্যাঙ্কেল,"",TK. 538,https://rokomari.com//book/132281/mans-search-for-meaning,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/8e6cb7334f04_132281.jpg,"'Man's Search For Meaning' Summary of the book
Man’s Search for Meaning was first published in German in 1946, just one year after the end of the Second World War and the liberation of its author, psychologist Viktor Emil Frankl, from a Nazi concentration camp. With its exhortation to each individual to find the meaning in his or her life, Frankl’s combined memoir and psychological treatise—first translated into English in 1959—has become one of the most influential books of the twentieth century.

Frankl’s book consists of two long essays and a short postscript added in 1984. The first essay, “Experiences in a Concentration Camp,” details the author’s experiences and observations while imprisoned in several different concentration camps, paying particular attention to how finding meaning in even the most dire of circumstances allowed him and others to survive. The second essay, “Logotherapy in a Nutshell,” describes the basic principles of Frankl’s meaning-centered therapeutic practice. The postscript, “The Case for a Tragic Optimism,” explores the idea of “saying yes to life in spite of everything.”(enotes.com)",Mans Search For Meaning,Viktor E. Frankl, , ,Ebury Publishing,9781846041242,"1st Edition,2008",160,India,English
My olympic Journey (50 of India's Leading Sportspersons on the Biggest Test of Their Career),দিগভিজায় সিং দিয়ো ,"",TK. 538,https://rokomari.com//book/132440/my-olympic-journey--50-of-india-s-leading-sportspersons-on-the-biggest-test-of-their-career-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/e46d2420a_132440.jpg,"'My olympic Journey' Summary of the book
Authored by broadcast sports journalists Digvijay Singh Deo and Amit Bose, the book has 50 top Olympians narrating their own story. It makes the collection interesting and so much authentic and readable.

Some of the experiences of theses sportspersons are revealing and never heard before. For instance, celebrated boxer and Beijing Olympic medallist Vijender Singh revealed how his sole aim was to become the national champion so that he could get a job in Police or Army. No doubt, it is the hard reality of Indian sport that everyone knows but that coming from Vijender — now when he is an icon of Indian sport — means a lot. 
Anjali Bhagwat, who is considered a pioneer of Indian shooting, has a similar tale to share. Even after becoming a national champion she had to share a solitary rifle with ten other girls! She goes on to recount how actor Nana Patekar sponsored her first shooting kit.

Then there are personal anecdotes. For instance, how badminton ace Ashwinin Ponnappa met tennis superstar Novak Djokovic — revealing the human side of a star herself.

For India’s solitary individual Olympic gold medallist Abhinav Bindra, the post-medal celebrations were no better than a 'tamasha'. On his golden deed at Beijing Bindra recalls, ""I had even anticipated the hysteria that followed, but I did not want to have anything to do with it. I hated every moment of the 'tamasha' that followed.""

Hockey wizard Dhyan Chand’s son Ashok has an interesting story to share. He relates an emotional experience during Munich Olympics. He met a man who was brought on a stretcher to the ground. This man simply wanted to share with Ashok that he had seen his father Dhyan Chand playing during the Berlin Olympics in 1936. This, perhaps, could be the best anecdote of the 327-page book brought out by Penguin.

Yogeshwar Dutt saying that he has never met Leander Paes is also a very interesting revelation of the book and an honest confession by the Olympic wrestling bronze medallist.

No book on Indians in Olympics is complete without the 'Flying Sikh' Milkha Singh. And so much is written on the Rome Olympic star that it is difficult to get anything new. But Digvijay and Amit have managed to churn out stories about how he held conversation with American sprinter Charlie Jenkins without knowing a word of the English language.

The fact that the two authors could get so much out of these Indian superstars is because of Digvijay’s experience of covering the Olympics, Asian and Commonwealth Games. His personal equation with athletes has also helped him a great deal. (firstpost.com)",My olympic Journey (50 of India's Leading Sportspersons on the Biggest Test of Their Career),"Digvijay Singh Deo,Amit Bose", , ,Ebury Publishing,9780143426639,"1st Edition,2016",330,Abroad,English
Losing My Virginity,স্যার রিচার্ড ব্রানসন,"","TK. 1,078",https://rokomari.com//book/143155/losing-my-virginity,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/ebd403e5aa24_143155.jpg,"",Losing My Virginity,Sir Richard Branson, , ,Ebury Publishing,9780753519554,"1st Edition,2009",608,India,English
Flow: The Psychology of Happiness,মিহলে সিস্কজেন্থমেহলি,"","TK. 1,258",https://rokomari.com//book/132033/flow--the-psychology-of-happiness,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/2ed400cd7a24_132033.jpg,"",Flow: The Psychology of Happiness,Mihaly Csikszentmihalyi, , ,Ebury Publishing,9780712657594,"New edition,2002",320,India,English
"Lean In (Women, Work And The Will To Lead)",সেরিল স্যান্ডবার্গ,"","TK. 1,078",https://rokomari.com//book/152874/lean-in--women--work-and-the-will-to-lead-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/a29993c15_152874.jpg,"","Lean In (Women,Work And The Will To Lead)",Sheryl Sandberg, , ,Ebury Publishing,9780753541630,"1st Edition,2015",238,India,English
How to Memorize Anything: The Ultimate Handbook to Enlighten and Improve Your Memory,অদিতি সিংহল,"",TK. 538,https://rokomari.com//book/161773/how-to-memorize-anything--the-ultimate-handbook-to-enlighten-and-improve-your-memory,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/c031b56a1_161773.jpg,"",How to Memorize Anything: The Ultimate Handbook to Enlighten and Improve Your Memory,Aditi Singhal , , ,Ebury Publishing,9788184005219,"1st Edition,2015",352,India,English
Golf For Enlightenment,দীপক চোপড়া,"",TK. 718,https://rokomari.com//book/174582/golf-for-enlightenment,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/7f7aa5893_174582.jpg,"",Golf For Enlightenment,Deepak Chopra, , ,Ebury Publishing,9781844135813,"New Edition,2005",208,India,English
How to Be an Overnight Success: Making It in Business,মারিয়া হাটিজিস্টফ্যানিস,"","TK. 1,360",https://rokomari.com//book/165444/how-to-be-an-overnight-success--making-it-in-business,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/e74618e9d_165444.jpg,"",How to Be an Overnight Success: Making It in Business,Maria Hatzistefanis, , ,Ebury Publishing,9781785037320,"1st Edition,2018",224,USA,English
Essentialism : The Disciplined Pursuit of Less,গ্রেগ ম্যাকেউন,"","TK. 1,078",https://rokomari.com//book/132111/essentialism---the-disciplined-pursuit-of-less,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/71a3857a6b74_132111.jpg,"",Essentialism : The Disciplined Pursuit of Less,Greg McKeown, , ,Ebury Publishing,9780753555163,"1st Edition,2014",272,India,English
The Chimp Paradox,প্রফেসর স্টিভ পিটার্স,"","TK. 1,267",https://rokomari.com//book/132066/the-chimp-paradox,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/4d8380d9da24_132066.jpg,"",The Chimp Paradox,Prof Steve Peters, , ,Ebury Publishing,9780091935580,"1st Edition,2012", ,India,English
