Title,Author,Original Price,Discounted Price,URL,Image,Summary,Book_Title,Book_Author,Translator,Editor,Publisher,ISBN,Edition,Number Of Pages,Country,Language
তপোধীর ভট্টাচার্য :সমবায় পাঠ,বিশ্বজিৎ চৌধুরী,"","TK. 1,080",https://rokomari.com//book/137076/topodhir-bhottacharj---somobay-path,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",তপোধীর ভট্টাচার্য :সমবায় পাঠ,বিশ্বজিৎ চৌধুরী, , ,একুশ শতক (ভারত), ,2011, ,ভারত,বাংলা
সত্যজিৎ রায়ের গোয়েন্দা সাহিত্য ও চলচ্চিত্র,সঙ্গীতা ত্রিপাঠী মিত্র,"",TK. 180,https://rokomari.com//book/137084/sottojit-rayer-goyenda-sahitto-o-cholichhitro,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",সত্যজিৎ রায়ের গোয়েন্দা সাহিত্য ও চলচ্চিত্র,সঙ্গীতা ত্রিপাঠী মিত্র, , ,একুশ শতক (ভারত), ,2011, ,ভারত,বাংলা
প্রথম পঁচিশ,মুর্শিদ এ এম,"",TK. 270,https://rokomari.com//book/137165/prothom-pochish,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",প্রথম পঁচিশ,মুর্শিদ এ এম, , ,একুশ শতক (ভারত), ,2015, ,ভারত,বাংলা
সাহিত্য ও শিল্প সম্পর্কে মার্কস এবং এঙ্গেলস,জীবেশ চন্দ্র নায়ক,"",TK. 270,https://rokomari.com//book/137072/sahittyo-shilpo-somporke-markx-ebong-engels,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/a066e0fc6_137072.jpg,"",সাহিত্য ও শিল্প সম্পর্কে মার্কস এবং এঙ্গেলস,জীবেশ চন্দ্র নায়ক, , ,একুশ শতক (ভারত),9788191083248,"1st Published,2011",144,ভারত,বাংলা
মহর্ষিদেব ও রবীন্দ্রনাথ,অরুন্ধতী রায়,"",TK. 180,https://rokomari.com//book/137065/mohorshideb-o-robindronath,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",মহর্ষিদেব ও রবীন্দ্রনাথ,অরুন্ধতী রায়, , ,একুশ শতক (ভারত), ,2011, ,ভারত,বাংলা
মহাভারত ভাবনা,সত্যদুলাল মণ্ডল,"",TK. 450,https://rokomari.com//book/137109/mohavarot-vabona,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/5a650ac4e_137109.jpg,"",মহাভারত ভাবনা,সত্যদুলাল মণ্ডল, , ,একুশ শতক (ভারত), ,"1st Published,2012",312,ভারত,বাংলা
ফিল্ম নিয়ে,সত্যজিৎ চৌধুরী,"",TK. 540,https://rokomari.com//book/137138/film-niye,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/f336ede2b_137138.jpg,"",ফিল্ম নিয়ে,সত্যজিৎ চৌধুরী, , ,একুশ শতক (ভারত), ,"1st Published,2013",220,ভারত,বাংলা
শিখরে শিখরে বাঙালি,সুবীর ভট্টাচার্য,"",TK. 540,https://rokomari.com//book/137174/shikhore-shikhore-bangali,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/f5830b031_137174.jpg,"",শিখরে শিখরে বাঙালি, , ,সুবীর ভট্টাচার্য,একুশ শতক (ভারত), ,"1st Published,2015",200,ভারত,বাংলা
"যা দেখেছি, যা বুঝেছি",দীনেশ ডাকুয়া,"",TK. 360,https://rokomari.com//book/137051/ja-dekhechi--ja-bujhechi,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/5b6beb930_137051.jpg,"","যা দেখেছি,যা বুঝেছি",দীনেশ ডাকুয়া, , ,একুশ শতক (ভারত), ,"Reprint,2018",239,ভারত,বাংলা
দেশভাগের কবিতা,ড.শঙ্করপ্রসাদ চক্রবর্তী ,"",TK. 270,https://rokomari.com//book/137055/deshbhager-kobita,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/326fe36de_137055.jpg,"",দেশভাগের কবিতা, , ,ড.শঙ্করপ্রসাদ চক্রবর্তী,একুশ শতক (ভারত), ,"Reprint,2012",104,ভারত,বাংলা
অসীম চিন্তা-নায়ক রবীন্দ্রনাথ,সরোজমোহন মিত্র,"",TK. 360,https://rokomari.com//book/137092/asim-chinta-nayok-robindronath,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/9e93e0b6a_137092.jpg,"",অসীম চিন্তা-নায়ক রবীন্দ্রনাথ,সরোজমোহন মিত্র, , ,একুশ শতক (ভারত), ,"1st Published,2019",228,ভারত,বাংলা
