Title,Author,Original Price,Discounted Price,URL,Image,Summary,Book_Title,Book_Author,Translator,Editor,Publisher,ISBN,Edition,Number Of Pages,Country,Language
Femina - January ' 13,ফেমিনা,"",TK. 150,https://rokomari.com//book/61022/femina---january---13,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/imgrok2_61022.GIF,"",Femina - January ' 13,Femina, , ,Femina, , , ,Bangladesh,English
Femina - 25 March ' 13,ফেমিনা,"",TK. 150,https://rokomari.com//book/66331/femina---25-march---13,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/imgrok_66331.GIF,"",Femina - 25 March ' 13,Femina, , ,Femina, , , ,Bangladesh,English
Femina - April ' 13,ফেমিনা,"",TK. 300,https://rokomari.com//book/66545/femina---april---13,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/imgrok0515_66545.GIF,"",Femina - April ' 13,Femina, , ,Femina, , , ,Bangladesh,English
Femina - May ' 13,ফেমিনা,"",TK. 350,https://rokomari.com//book/66842/femina---may---13,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/imgrok0602_66842.gif,"",Femina - May ' 13,Femina, , ,Femina, , , ,Abroad,English
ফেমিনা - জুন ‘ ১৩,ফেমিনা,"",TK. 300,https://rokomari.com//book/68538/femina---june---13,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/imgrok0711_68538.gif,"",ফেমিনা - জুন ‘ ১৩,ফেমিনা, , ,ফেমিনা, , , ,বাংলাদেশ,বাংলা
Femina - 29 May ' 13,ফেমিনা,"",TK. 150,https://rokomari.com//book/68569/femina---29-may---13,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/imgrok0718_68569.GIF,"",Femina - 29 May ' 13,Femina, , ,Femina, , , ,Bangladesh,English
Femina - March ' 13,ফেমিনা,"",TK. 150,https://rokomari.com//book/65826/femina---march---13,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/imgrok_65826.GIF,"",Femina - March ' 13,Femina, , ,Femina, , , ,Bangladesh,English
Femina -  October ' 13,ফেমিনা,"",TK. 150,https://rokomari.com//book/72389/femina----october---13,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/rokimg_2110_72389.GIF,"",Femina -  October ' 13,Femina, , ,Femina, , , ,Abroad,English
Femina - June ' 13,ফেমিনা,"",TK. 120,https://rokomari.com//book/69156/femina---june---13,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/bf1c7bea47d4_69156.png,"",Femina - June ' 13,Femina, , ,Femina, , , ,India,English
Femina - December ' 12,ফেমিনা,"",TK. 150,https://rokomari.com//book/57551/femina---december---12,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/d5380c9fc704_57551.png,"",Femina - December ' 12,Femina, , ,Femina, , , ,Bangladesh,English
Femina - 28December ' 12,ফেমিনা,"",TK. 150,https://rokomari.com//book/59221/femina---28december---12,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/imgrok_59221.gif,"",Femina - 28December ' 12,Femina, , ,Femina, , , ,Bangladesh,English
Femina - June ' 12,ফেমিনা,"",TK. 110,https://rokomari.com//book/49021/femina---june---12,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/book_av.png,"",Femina - June ' 12,Femina, , ,Femina, , , ,India,English
FEMINA Cookbook,ফেমিনা,"",TK. 250,https://rokomari.com//book/49486/femina-cookbook,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/img_49486.gif,"",FEMINA Cookbook,Femina, , ,Femina, , , ,Bangladesh,English
Femina - August ' 12,ফেমিনা,"",TK. 250,https://rokomari.com//book/50097/femina---august---12,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/img_50097.GIF,"",Femina - August ' 12,Femina, , ,Femina, , , ,Bangladesh,English
Femina - June ' 12,ফেমিনা,"",TK. 110,https://rokomari.com//book/48717/femina---june---12,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/img_48717.GIF,"",Femina - June ' 12,Femina, , ,Femina, , , ,Bangladesh,English
Femina - September ' 12,ফেমিনা,"",TK. 100,https://rokomari.com//book/51568/femina---september---12,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/951ede47aac4_51568.png,"",Femina - September ' 12,Femina, , ,Femina, , , ,Bangladesh,English
Femina - November ' 12,ফেমিনা,"",TK. 150,https://rokomari.com//book/53859/femina---november---12,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/img1410_53859.GIF,"",Femina - November ' 12,Femina, , ,Femina, , , ,Bangladesh,English
