Title,Author,Original Price,Discounted Price,URL,Image,Summary,Book_Title,Book_Author,Translator,Editor,Publisher,ISBN,Edition,Number Of Pages,Country,Language
The Diary of A Young Girl(First Published 1947),অ্যানা ফ্রাঙ্ক,"",TK. 315,https://rokomari.com//book/52523/the-diary-of-a-young-girl-first-published-1947-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/d759276d4_52523.jpg,"INTRODUCTION
A thirteen-year-old girl in Netherlands is given a diary for her birthday. Two days later she starts writing in it. It would have been the typical diary of a typical teenage girl, only it was the June of 1942, Adolf Hitler had launched his aggressive campaign against the Jews of continental Europe; his armies had taken over much of the continent already Austria, Czechoslovakia, and Poland falling one after the other like matchsticks-and when the Germans entered Netherlands, the little girl, also a Jew, went into hiding with her father Otto Frank, her mother Edith, sister Margot, and another family of three in a sealed-off room concealed behind a wooden bookcase in the upper annex of the building her father worked in, in Amsterdam. There she would remain in hiding with the others for two years until they would all be betrayed and then whisked away by soldiers of the occupying German forces to a concentration camp where she would ultimately die of typhus, a mere two weeks before she would have been liberated along with the others by British troops had she managed to pull herself through the illness, Anne Frank was fifteen years old when she died in that Bergen-Belsen concentration camp in the early days of March 1945, her short young life snuffed out tragically by the workings of a twisted manic ideology. 
Born in June 1929, Anne Frank would have probably led a life of obscurity had her diary not been published by her father in 1947. She would have remained a number, a faceless statistic lost in a government file supposedly documenting the human side of the Second World War. But, it was not to be so. Though she had started writing in her diary in the summer of 1942, it had never been with the intention of creating a record of her experiences as a Jew in hiding Anne's diary was, for her, a space to express herself in the most honest and candid of terms. She shied away from writing nothing, revealing all and baring her very soul on the pages of the diary. However, in March 1944, Anne heard a radio broadcast by a member of the Dutch government in exile in London who spoke of wanting to create a public archive of the Dutch people's experiences of oppression under the German regime. He asked the people to save all their letters, their diaries, journals, and photographs for they would all prove invaluable to his project. Inspired, Anne began editing her journal with the intention of submitting it for publication once the war was over. She worked her way through two years of writing, always staying true to what she had seen and been through, to what she had written. 
Today, Anne Frank's diary is one of the most important documents to have survived Hitler's madness. Official records and political discourses aside, it is through the victim and the survivor's voices alone that a human story can be woven out of historical tragedies, and Anne's diary does just this. She was thirteen years old when she started writing. She had nothing to prove, no hidden agendas to achieve, no propaganda to spread. She wrote simply because she wanted to. She wrote with the great innocence and sincerity that only children can possess, but what she wrote was not as innocent as she herself was, Amidst all the controversies and debates that have surrounded the Holocaust, Anne's diary, one of the most meticulously-maintained and revealing of documents to come from the victims' side, has become a symbolic text of the Holocaust. Children read abridged versions of the diary as a part of their academic curriculum to acquaint themselves of what a girl their age faced during a particularly terrible time in the 1940s. Academicians and historians revolve works of great merit around it, using it as an authentic source point of historical truth. Of the diary itself, Dutch journalist and historian Jan Romein said in 1946, that although 'stammered out in a child's voice, it 'embodies all the hideousness of fascism, more so than all the evidence at Nuremberg put together 
Anne's voice has reached out across continents and generations. Her diary has kept the victims of Holocaust from slipping into an otherwise inevitable anonymity. She has given others like her a face and a life. She has made it real for all those who lived through it and for those who came after her, like us. It is said that the wound the psyche of

Anne Frank's diary needs no introduction.
This Beautifully Written memoir of a young girl Caught in the middle of one of the most horrific periods of human history
 is a testament to the indestructible human will to persevere and Survive in the face of the most adverse of Circumstances. Where Anne Frank herself became One of the Victims Of the Second World War, her words, crowding every available inch of space in her diary,
Survived to keep her story and her memory alive for the rest of the World through the ages .",The Diary of A Young Girl(First Published 1947),Anne Frank, , ,Fingerprint Publishing,9788172345198,"Reprinted,2016",280,Abroad,English
A Tale of Two Cities,চার্লস ডিকেন্স,"",TK. 358,https://rokomari.com//book/86448/a-tale-of-two-cities,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/420e79d1a4e4_86448.jpg,"বইটি আপনি কেন পড়বেন?দেখে নিন বিশ্বের সেরা সাইট আমাজন.কম এর কিছু তথ্য-  
রিভিউ সংখ্যা – ১১,৬৩৯
এভারেজ রেটিং – ৪.৫   
সাহিত্য ক্যাটেগরির ৩৯ তম বেস্টসেলার বই 
আমাজন.কম লিংক -  https://goo.gl/FRBRRD  
																																																															Summary of the Book

The best of times, the worst of times, the age of wisdom, the age of foolishness, the epoch of belief, the epoch of incredulity, the season of Light, the season of Darkness, the spring of hope, the winter of despair, having everything, yet nothing, leading to heaven, yet leading to the other way, the time of the French Revolution was all this and more. In this setting Dickens begins his most famous work, telling the story of the French peasantry demoralised by the French aristocracy in the years leading up to the revolution. Principally the story of Sidney Carton and Lucie Manette, this book follows them and the villainous Madame Defarge to tell a story of darkness, love, forgiveness, revenge and self-sacrifice.

About Charles Dickens

Charles Dickens was an English novelist, short story writer and social critic. He is best remembered for his prolific writing, and especially the novels: David Copperfield, A Christmas Carol and The Pickwick Papers.

Considered the literary juggernaut of his age, Dickens constantly portrayed the poor and orphaned in his novels and stories, and touched upon the poor living situations which were rampant in those days.",A Tale of Two Cities,Charles Dickens, , ,Fingerprint Publishing,9788172345686,2009,495,Abroad,English
The Art of War,সান জু,"",TK. 178,https://rokomari.com//book/124149/the-art-of-war,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/efdbd8c4ac54_124149.jpg,"'The Art of War' Summary of the book
The Art of War is an ancient Chinese military treatise dating from the Late Spring and Autumn Period (roughly 5th century BC). The work, which is attributed to the ancient Chinese military strategist Sun Tzu (""Master Sun"", also spelled Sunzi), is composed of 13 chapters. Each one is devoted to an aspect of warfare and how it applies to military strategy and tactics. For almost 1,500 years it was the lead text in an anthology that would be formalised as the Seven Military Classics by Emperor Shenzong of Song in 1080. The Art of War remains the most influential strategy text in East Asian warfare[1] and has influenced both Eastern and Western military thinking, business tactics, legal strategy and beyond.

This book contained a detailed explanation and analysis of the Chinese military, from weapons and strategy to rank and discipline. Sun Tzu also stressed the importance of intelligence operatives and espionage to the war effort. Because Sun Tzu has long been considered to be one of history's finest military tacticians and analysts, his teachings and strategies formed the basis of advanced military training for centuries to come.
Chapter summary
1. Detail assessment and planning: explores the five fundamental factors (the Way, seasons, terrain, leadership, and management) and seven elements that determine the outcomes of military engagements. By thinking, assessing and comparing these points, a commander can calculate his chances of victory. Habitual deviation from these calculations will ensure failure via improper action. The text stresses that war is a very grave matter for the state and must not be commenced without due consideration.
2. Waging war : explains how to understand the economy of warfare and how success requires winning decisive engagements quickly. This section advises that successful military campaigns require limiting the cost of competition and conflict.
3. Strategic attack : defines the source of strength as unity, not size, and discusses the five factors that are needed to succeed in any war. In order of importance, these critical factors are: Attack, Strategy, Alliances, Army and Cities.
4. Disposition of the army : explains the importance of defending existing positions until a commander is capable of advancing from those positions in safety. It teaches commanders the importance of recognizing strategic opportunities, and teaches not to create opportunities for the enemy.
5. Forces : explains the use of creativity and timing in building an army's momentum.
6. Weaknesses and strengths : explains how an army's opportunities come from the openings in the environment caused by the relative weakness of the enemy and how to respond to changes in the fluid battlefield over a given area.
7. Military maneuvers : explains the dangers of direct conflict and how to win those confrontations when they are forced upon the commander.
8. Variations and adaptability : focuses on the need for flexibility in an army's responses. It explains how to respond to shifting circumstances successfully.
9. Movement and development of troops : describes the different situations in which an army finds itself as it moves through new enemy territories, and how to respond to these situations. Much of this section focuses on evaluating the intentions of others.
10. Terrain : looks at the three general areas of resistance (distance, dangers and barriers) and the six types of ground positions that arise from them. Each of these six field positions offers certain advantages and disadvantages.
11. The nine battlegrounds : describes the nine common situations (or stages) in a campaign, from scattering to deadly, and the specific focus that a commander will need in order to successfully navigate them.
12. Attacking with fire : explains the general use of weapons and the specific use of the environment as a weapon. This section examines the five targets for attack, the five types of environmental attack and the appropriate responses to such attacks.
13. Intelligence and espionage : focuses on the importance of developing good information sources, and specifies the five types of intelligence sources and how to best manage each of them.",The Art of War,Sun Tzu, , ,Fingerprint Publishing,9788172345242,"1st Edition,2014",100,India,English
Animal Farm,জর্জ অরওয়েল,"",TK. 178,https://rokomari.com//book/53115/animal-farm,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/f5dac89ad_53115.jpg,"Inspired by a long-forgotten ballad, two young pigs decide to exact vengeance on their corrupt human rulers. They lead the other farm animals in an epic battle as they oust the farmer and his family, seizing control over the farm. They declare that there will be no more meaningless labour, and that all animals are created equal. However, their “government” soon begins to fall apart as they begin displaying their mistrust for one another. In their attempts to be different from their human masters, they begin to slowly follow their edicts, and slowly their ideals shift. In Animal Farm, there is only one thing that you must remember. All animals are created equal, but some animals are more equal than others.",Animal Farm,George Orwell, , ,Fingerprint Publishing,9788172344399,"1st Edition,2011",95,India,English
Nineteen Eighty-Four (Dystopian Novel),জর্জ অরওয়েল,"",TK. 538,https://rokomari.com//book/124143/nineteen-eighty-four--dystopian-novel-,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/2cb299d83414_124143.jpg,"“Nineteen Eighty-Four” Book Introduction
George Orwell, born Eric Arthur Blair, was a much-respected English novelist, political author, and journalist who wrote some of the finest pieces in literary criticism, poetry, fiction, and polemical journalism. Born on June 25, 1903 in Bihar, India, to a Civil Servant who worked in the then legal opium trade, Orwell moved to London with his mother and elder sister at the age of one. He started his schooling at St Cyprian's, which he referred to as ""a lukewarm bath of snobbery', and later won a scholarship to Eton, but didn't perform well there, perhaps by choice. Having no other option left, he signed up for the Indian Imperial Police and left for Burma (modern-day Myanmar) in 1922. Having grown to hate imperialism and keen to start a fresh career with writing, Orwell returned home in 1927 and moved to Paris. During his years in Paris, he wrote numerous short stories and articles, but he didn't achieve much success with either. He came back to London after he fell seriously ill, and it was here that he wrote under the pseudonym George Orwell for the first time. His first work under this pen-name was Down and Out in Paris and London, a memoir-cum-travelogue themed on poverty in the two capital cities. Considered perhaps the twentieth century's best chronicler of English culture, Orwell's work is known for its simplicity, astuteness, and wit. His writing is mainly within the genres of dystopia and satire, and he wrote with great cleverness on subjects such as anti-fascism, democratic socialism, totalitarianism, and the anti-Stalinist left. He used his fiction writing, as well as his journalism, to defend his political convictions. Orwell's work continues to feed popular and political culture. Many of the words coined by him, such as 'doublethink', 'thought crime', 'Big Brother, and 'thought police', have found a place in popular jargon today.
His best works include Animal Farm, Nineteen Eighty Four, and Homage to Catalonia (which is inspired by his stint in the Spanish Civil War). George Orwell died at the age of forty-six in 1950.

PREFACE
A polemic text, George Orwell's Nineteen Eighty Four is a bold voice that cries out against the cacophony of fascist, communist, and other totalitarian forms of governance. Considered a self-contained critique of the totalitarian state, this Orwellian masterpiece has given the modern world much of its popular political jargon. 
Set in Oceania, one of the three intercontinental super states that divided the world among themselves after a global atomic war, the story unfolds in London, the chief city of Airstrip One, governed by the Party headed by the Big Brother. Posters screaming BIG BROTHER IS WATCHINGYOU” clutter every inch of available public and private space in the city. Every street corner, every lamp post, and every wall has life-size pictures of Big Brother's face, his eyes following the wary citizens as they walk past it.
When the book opens, it is a bright cold day in April, the clocks are 'striking thirteen, and the protagonist, Winston Smith, is in the clutches of a dystopian future. The world as we know it has been obliterated by a global atomic war. Those who have survived it are living in what are the ruins of an England already ravaged by World War II, civil conflict, and the political revolution which brought the Party to power. Winston Smith is a member of the Outer Party which consists, almost entirely, of the middle class. He works for Minitrue, the Ministry of Truth, where he is an editor responsible for changing and doctoring the past, day in and day out, to match the Party's ever-changing official version, intended to make the state an omniscient entity. This perpetual engagement with state-sponsored rewriting of history inspires within Winston a dangerous fascination for the true past, and he tries, discreetly, and against the state diktat, to unearth as much of the truth as he can. 
In a world where thought crime is death, where a fascination with the true past is an offense punishable by death, Winston starts maintaining a journal criticizing the Party and Big Brother, its enigmatic leader. He writes sitting at his desk in an alcove in his flat, at an angle that hides him from the intrusive eyes of the telescreen, a privacy that is as much a rebellion as it is a rarity, And then one day, in the middle of his daily work and private rebellion, he meets Julia, a young dark-haired mechanic who repairs the Minitrue novel-writing machines. From here begins Winston's fall into an abyss which takes both Julia and him them through love, painful confessions, betrayals and much more. 
What George Orwell did in Nineteen Eighty Four was not only ahead of its times, but it was revolutionary as well. And revolutionary in more than one sense. While it commented upon the times to come in a rather ominous prophetic manner-newscasters even today talk about an Orwellian present/future-the text also shed light upon the conditions that defined much of the world when Orwell actually set about writing it. Orwell touched upon a raw nerve as he shaped Winston Smith, giving a voice and a face to all the popular fears and nightmares that were running in everyone's heads about the rot that had set in in the social and political structures of the day. 
Can Nineteen Eighty Four, then, be considered to be a prophecy? A prophecy of sorts, perhaps, yes. The text did touch upon problem points that were, then, yet to come, and which, now, are very much a part of the present. It was a warning ahead of its times, a cautionary piece of writing about human freedom being on the verge of enslavement by the chains of political organization and technology, about how power, once acquired, needs absolute sacrifice for the sake of those seeking it and maintaining it. 
While Nineteen Eighty Four is often hailed as an excellent piece of modern science fiction literature dealing with dystopian futures, it is also at once a commentary on the ideas of revolution, war, totalitarianism, nationalism, and political geographies. It grapples, at the same time, with such issues as living standards and extreme censorship, 
Most of the original novel was written in Jura between 1947 to 1948. During this time, George Orwell himself was seriously ill, suffering from tuberculosis. The book was finally sent to the publisher on the 4"" of December, 1948 and published on the 8"" of June the following year. The….",Nineteen Eighty-Four (Dystopian Novel),George Orwell, , ,Fingerprint Publishing,9788172345143,"Reprind,2016",272,India,English
How To Win Friends And Influence People,ডেল কার্নেগী,"",TK. 285,https://rokomari.com//book/124594/how-to-win-friends-and-influence-people,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/1cd6dd4f08c4_124594.jpg,"",How To Win Friends And Influence People,Dale Carnegie, , ,Fingerprint Publishing,9788175993488,"1st Published,2016",279,India,English
Pride and  Prejudice,জেন অস্টেন,"",TK. 351,https://rokomari.com//book/124147/pride-and--prejudice,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/241fa3963a84_124147.jpg,"'Pride and Prejudice' Summary of the book
Pride and Prejudice is set in rural England in the early 19th century, and it follows the Bennet family, which includes five very different sisters. Mrs. Bennet is anxious to see all her daughters married, especially as the modest family estate is to be inherited by William Collins when Mr. Bennet dies. At a ball, the wealthy and newly arrived Charles Bingley takes an immediate interest in the eldest Bennet daughter, the beautiful and shy Jane. The encounter between his friend Darcy and Elizabeth is less cordial. Although Austen shows them intrigued by each other, she reverses the convention of first impressions: pride of rank and fortune and prejudice against the social inferiority of Elizabeth’s family hold Darcy aloof, while Elizabeth is equally fired both by the pride of self-respect and by prejudice against Darcy’s snobbery.

The pompous Collins subsequently arrives, hoping to marry one of the Bennet sisters. Elizabeth, however, refuses his offer of marriage, and he instead becomes engaged to her friend Charlotte Lucas. During this time, Elizabeth encounters the charming George Wickham, a military officer. There is a mutual attraction between the two, and he informs her that Darcy has denied him his inheritance.

After Bingley abruptly departs for London, Elizabeth’s dislike of Darcy increases as she becomes convinced that he is discouraging Bingley’s relationship with Jane. Darcy, however, has grown increasingly fond of Elizabeth, admiring her intelligence and vitality. While visiting the now-married Charlotte, Elizabeth sees Darcy, who professes his love for her and proposes. A surprised Elizabeth refuses his offer, and, when Darcy demands an explanation, she accuses him of breaking up Jane and Bingley. Darcy subsequently writes Elizabeth a letter in which he explains that he separated the couple largely because he did not believe Jane returned Bingley’s affection. He also discloses that Wickham, after squandering his inheritance, tried to marry Darcy’s then 15-year-old sister in an attempt to gain possession of her fortune. With these revelations, Elizabeth begins to see Darcy in a new light.

Shortly thereafter the youngest Bennet sister, Lydia, elopes with Wickham. The news is met with great alarm by Elizabeth, since the scandalous affair—which is unlikely to end in marriage—could ruin the reputation of the other Bennet sisters. When she tells Darcy, he persuades Wickham to marry Lydia, offering him money. Despite Darcy’s attempt to keep his intervention a secret, Elizabeth learns of his actions. At the encouragement of Darcy, Bingley subsequently returns, and he and Jane become engaged. Finally, Darcy proposes again to Elizabeth, who this time accepts.",Pride and  Prejudice,Jane Austen, , ,Fingerprint Publishing,9788172344504,"1st Edition,2016",407,India,English
The Prophet (26 prose poetry ),কহলীল জিবরান,"",TK. 178,https://rokomari.com//book/90999/the-prophet--26-prose-poetry--,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/f1ea46265_90999.jpg,"This is Khalil Gibran?s best and most powerful work ever-written?. Blending the elements of Eastern and Western mysticism, Lebanese ? American essayist ? Khalil Gibran, in this enriching collection of parables expounds the philosophy of living conveying a strong and beautiful message on every aspect of life. Set forth in the form of profound wisdom and philosophy of life, these discourses apply dynamically with amazing timeliness to our human problems in day-to-day life. Millions of followers today absorb Gibran?s writings with religious devotion and fervours because his thoughts are ageless and realistic.
						
Contents:
1. The Coming of the Ship
2. Love
3. Marriage
4. Children
5. Giving
6. Eating and Drinking
7. Work
8. Joy and Sorrow
9. Houses
10. Clothes	
11. Buying and Selling
12. Crime and Punishment
13. Laws
14. Freedom
15. Reason and Passion
16. Pain
17.Self-Knowledge
18. Teaching
19. Friendship
20. Talking
21. Time
22. Good and Evil
23. Prayer
24. Pleasure
25. Beauty
26. Religion
27. Death
28. The Farewell",The Prophet (26 prose poetry ),Kahlil Gibran, , ,Fingerprint Publishing,9789386538192,1st Edition,188,Abroad,English
The Great Gatsby,এফ. স্কট. ফিটজিরাল্ড,"",TK. 270,https://rokomari.com//book/86168/the-great-gatsby,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/8612091c2_86168.jpg,"'The Great Gatsby' Summary of the book
Written by F. Scott Fitzgerald and published in 1925, The Great Gatsby is set during the Roaring Twenties, in 1922 and tells the story of one man's pursuit of the American Dream. The narrator, Nick Carraway, is an upper class American man who moves from the West to New York to try his luck as a bond trader. He meets an eccentric, exceptionally wealthy neighbor named Jay Gatsby, and becomes embroiled in Gatsby's plan to rekindle a lost love with a woman named Daisy Buchanan, who happens to be Nick's cousin.

The protagonist, Jay Gatsby, is involved in illegal activities, including bootlegging, or selling liquor during prohibition, when liquor sales are illegal in the United States. He throws lavish parties and eventually meets and begins an affair with his beloved Daisy. Daisy's husband, Tom, is carrying on an affair with a garage owner's wife; a woman named Myrtle Wilson. Driving home from New York, Daisy strikes and kills Myrtle while driving Gatsby's car. She is unaware that she has killed her husband's mistress and leaves the scene of the crime. Myrtle's husband is despondent and tries to find his wife's killer. Daisy's husband, Tom, directs him to Gatsby's house, where he shoots and kills Gatsby, and then himself, thus resolving Daisy's affair. (softschools.com)",The Great Gatsby,F. Scott Fitzgerald, , ,Fingerprint Publishing,9788172344566,"Reprinted,2018",200,India,English
The Autobiography Of Benjamin Franklin,বেনজামিন ফ্রাঙ্কলিন,"",TK. 358,https://rokomari.com//book/125896/the-autobiography-of-benjamin-franklin,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/ec2684667e14_125896.jpg," The Autobiography of Benjamin Franklin is the traditional name for the unfinished record of his own life written by Benjamin Franklin from 1771 to 1790; however, Franklin himself appears to have called the work his Memoirs. Although it had a tortuous publication history after Franklin's death, this work has become one of the most famous and influential examples of an autobiography ever written. Franklin was a statesman, author, inventor, printer, and scientist. 
Part One of The Autobiography is addressed to Franklin's son William, at that time (1771) Royal Governor of New Jersey. While in England at the estate of the Bishop of St Asaph in Twyford, Franklin, now 65 years old, begins by saying that it may be agreeable to his son to know some of the incidents of his father's life; so with a week's uninterrupted leisure, he is beginning to write them down for William. He starts with some anecdotes of his grandfather, uncles, father and mother. He deals with his childhood, his fondness for reading, and his service as an apprentice to his brother James Franklin, a Boston printer and the publisher of the New England Courant. After improving his writing skills through study of the Spectator by Joseph Addison and Sir Richard Steele, he writes an anonymous paper and slips it under the door of the printing house by night. Not knowing its author, James and his friends praise the paper and it is published in the Courant, which encourages Ben to produce more essays (the ""Silence Dogood"" essays) which are also published. When Ben reveals his authorship, James is angered, thinking the recognition of his papers will make Ben too vain. James and Ben have frequent disputes and Ben seeks for a way to escape from working under James. 
The second part begins with two letters Franklin received in the early 1780s while in Paris, encouraging him to continue the Autobiography, of which both correspondents have read Part One. (Although Franklin does not say so, there had been a breach with his son William after the writing of Part One, since the father had sided with the Revolutionaries and the son had remained loyal to the British Crown. 
Beginning in August 1788 when Franklin had returned to Philadelphia, the author says he will not be able to utilize his papers as much as he had expected, since many were lost in the recent Revolutionary War. He has, however, found and quotes a couple of his writings from the 1730s that survived. One is the ""Substance of an intended Creed"" consisting of what he then considered to be the ""Essentials"" of all religions. He had intended this as a basis for a projected sect but, Franklin says, did not pursue the project.


CONTENTS*
Ancestry and Early Youth in Boston - 19*
Beginning Life as a Printer – 31*
Arrival in Philadelphia - 44*
First Visit to Boston - 53*
Early Friends in Philadelphia – 62*
First Visit to London – 67*
Beginning Business in Philadelphia – 81*
Business Success and First Public Service – 98*
Plan for Attaining Moral Perfection – 110*
Poor Richard's Almanac and Other Activities – 125*
Interest in Public Affairs – 136*
Defense of the Province – 144*
Public Services and Duties – 154*
Albany Plan of Union – 169*
Quarrels with the Proprietary Governors – 172*
Braddock's Expedition - 176*
Franklin's Defense of the Frontier - 189*
Scientific Experiments – 199*
Agent of Pennsylvania in London - 204
Appendix*
Electrical Kite – 2121*
The Way to Wealth – 225*
The Whistle – 229*
A Letter to Samuel Mather - 233*
Bibliography - 235",The Autobiography Of Benjamin Franklin,Benjamin Franklin, , ,Fingerprint Publishing,9788175993280,"1st Edition,2015",240,India,English
