Title,Author,Original Price,Discounted Price,URL,Image,Summary,Book_Title,Book_Author,Translator,Editor,Publisher,ISBN,Edition,Number Of Pages,Country,Language
First News - February ' 13,ফার্স্ট নিউজ,"",TK. 50,https://rokomari.com//book/61989/first-news---february---13,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/imgrok2_61989.gif,"",First News - February ' 13,First News, , ,First News, , , ,Bangladesh,English
ফার্স্ট নিউজ - ১২ মে ‘ ১৩,ফার্স্ট নিউজ,"",TK. 50,https://rokomari.com//book/66583/first-news---12-may---13,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/imgrok0520_66583.GIF,"",ফার্স্ট নিউজ - ১২ মে ‘ ১৩,ফার্স্ট নিউজ, , ,ফার্স্ট নিউজ, , , ,বাংলাদেশ,বাংলা
First News -  June ' 13,ফার্স্ট নিউজ,"",TK. 50,https://rokomari.com//book/67236/first-news----june---13,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/imgrok0610_67236.GIF,"",First News -  June ' 13,First News, , ,First News, , , ,Abroad,English
First News - 9 June ' 13,ফার্স্ট নিউজ,"",TK. 50,https://rokomari.com//book/67523/first-news---9-june---13,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/imgrok0610_67523.gif,"",First News - 9 June ' 13,First News, , ,First News, , , ,Bangladesh,English
First News - ৩০ June ' 13,ফার্স্ট নিউজ,"",TK. 50,https://rokomari.com//book/67734/first-news------june---13,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/imgrok0630_67734.GIF,"",First News - ৩০ June ' 13,First News, , ,First News, , , ,Bangladesh,English
First News - April ' 13,ফার্স্ট নিউজ,"",TK. 50,https://rokomari.com//book/65233/first-news---april---13,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/imgrok_65233.gif,"",First News - April ' 13,First News, , ,First News, , , ,Bangladesh,English
First News - 21 April ' 13,ফার্স্ট নিউজ,"",TK. 50,https://rokomari.com//book/65768/first-news---21-april---13,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/imgrok_65768.gif,"",First News - 21 April ' 13,First News, , ,First News, , , ,Bangladesh,English
ফার্স্ট নিউজ - ৩ ফেব্রুয়ারি ‘ ১৩,ফার্স্ট নিউজ,"",TK. 50,https://rokomari.com//book/60879/first-news---3-february---13,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/imgrok_60879.gif,"",ফার্স্ট নিউজ - ৩ ফেব্রুয়ারি ‘ ১৩,ফার্স্ট নিউজ, , ,ফার্স্ট নিউজ, , , ,বাংলাদেশ,বাংলা
আনন্দধারা - ১-১৫ ফেব্রুয়ারী ‘ ১৩,আনন্দধারা,"",TK. 20,https://rokomari.com//book/60886/anondodhara---1-15-february---13,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/imgrok_60886.gif,"",আনন্দধারা - ১-১৫ ফেব্রুয়ারী ‘ ১৩,আনন্দধারা, , ,ফার্স্ট নিউজ, , , ,বাংলাদেশ,বাংলা
First News - 20 January ' 13,ফার্স্ট নিউজ,"",TK. 50,https://rokomari.com//book/58823/first-news---20-january---13,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/img_58823.GIF,"",First News - 20 January ' 13,First News, , ,First News, , , ,Bangladesh,English
First News - 6 January ' 13,ফার্স্ট নিউজ,"",TK. 50,https://rokomari.com//book/57083/first-news---6-january---13,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/img1135_57083.gif,"",First News - 6 January ' 13,First News, , ,First News, , , ,Abroad,English
First News -  13 January ' 13,ফার্স্ট নিউজ,"",TK. 50,https://rokomari.com//book/57661/first-news----13-january---13,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/img1135_57661.GIF,"",First News -  13 January ' 13,First News, , ,First News, , , ,Bangladesh,English
First News - July ' 12,ফার্স্ট নিউজ,"",TK. 50,https://rokomari.com//book/49058/first-news---july---12,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/img_49058.GIF,"",First News - July ' 12,First News, , ,First News, , , ,India,English
First News - July ' 12,ফার্স্ট নিউজ,"",TK. 40,https://rokomari.com//book/49243/first-news---july---12,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/img_49243.gif,"",First News - July ' 12,First News, , ,First News, , , ,India,English
First News - July ' 12,ফার্স্ট নিউজ,"",TK. 50,https://rokomari.com//book/49508/first-news---july---12,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/img_49508.GIF,"",First News - July ' 12,First News, , ,First News, , , ,Bangladesh,English
First News - August ' 12,ফার্স্ট নিউজ,"",TK. 50,https://rokomari.com//book/49946/first-news---august---12,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/img_49946.gif,"",First News - August ' 12,First News, , ,First News, , , ,Bangladesh,English
First News -May '12,ফার্স্ট নিউজ,"",TK. 50,https://rokomari.com//book/38191/first-news--may--12,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/img2_38191.gif,"",First News -May '12,First News, , ,First News, , , ,Bangladesh,English
ফার্স্ট নিউজ - নভেম্বর ‘ ১২,ফার্স্ট নিউজ,"",TK. 50,https://rokomari.com//book/54122/first-news---november---12,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/img1135_54122.GIF,"",ফার্স্ট নিউজ - নভেম্বর ‘ ১২,ফার্স্ট নিউজ, , ,ফার্স্ট নিউজ, , , ,বাংলাদেশ,বাংলা
