Title,Author,Original Price,Discounted Price,URL,Image,Summary,Book_Title,Book_Author,Translator,Editor,Publisher,ISBN,Edition,Number Of Pages,Country,Language
ফাযায়েল ও মাসায়েলে রমযান,মুফতী গাউসুর রহমান ফয়েজী,TK. 120,TK. 78,https://rokomari.com//book/116520/fazayele-o-masayele-ramjan,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/f12e2a082374_116520.gif,"",ফাযায়েল ও মাসায়েলে রমযান,মুফতী গাউসুর রহমান ফয়েজী, , ,ফয়েজিয়া কুতুবখানা, ,"1st Published,2013",176,বাংলাদেশ,বাংলা
افاضة النحو شرح بنغلا هداية النحو (ইফাজাতুন নাহ্ব শরহে বাংলা হেদায়েতুন নাহব),মাওলানা শেখ আজিমুদ্দীন,"",TK. 500,https://rokomari.com//book/46478/efjatun-naha-sorhe-bangla-hedayetullah-nahod,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/img_46478.GIF,"",افاضة النحو شرح بنغلا هداية النحو (ইফাজাতুন নাহ্ব শরহে বাংলা হেদায়েতুন নাহব),মাওলানা শেখ আজিমুদ্দীন, , ,Foyezia Kutubkhana, , , ,Bangladesh,Bangla & Arabic
মুকাদ্দিমাতুল মিশ্‌কাত,মাওলানা হারুন অর রশীদ,TK. 120,TK. 78,https://rokomari.com//book/116521/mukaddimatul-mishkat,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/4e2ab9762aa4_116521.gif,"",মুকাদ্দিমাতুল মিশ্‌কাত,"মাওলানা হারুন অর রশীদ,আল্লামা শায়খ আব্দুল হক মোহাদ্দিসে দেহলভী",মাওলানা হারুন অর রশীদ, ,ফয়েজিয়া কুতুবখানা, ,"1st Published,2008",112,বাংলাদেশ,বাংলা
সহজ বাংলা খেলাফতে রাশেদা,মাওলানা আব্দুর রাকিব,TK. 280,TK. 182,https://rokomari.com//book/46476/sohoj-bangla-khelapot-rasheda,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/img_46476.GIF,"",সহজ বাংলা খেলাফতে রাশেদা,মাওলানা আব্দুর রাকিব, , ,ফয়েজিয়া কুতুবখানা, , , ,বাংলাদেশ,বাংলা
সহজ বাংলা রাহে নাজাত,মাওলানা আব্দুল আযীয মুহাদ্দেসে দেহলভী (রহঃ),"",TK. 40,https://rokomari.com//book/46484/sohoj-bangla-rahe-najat,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/ba6de0d79_46484.jpg,"",সহজ বাংলা রাহে নাজাত,মাওলানা আব্দুল আযীয মুহাদ্দেসে দেহলভী (রহঃ),মাওলানা নূরুদ্দীন, ,ফয়েজিয়া কুতুবখানা, ,"1st Published,2010",48,বাংলাদেশ,বাংলা
ফাতহুল মুগীছ,মাওলানা আব্দুল আওয়াল,TK. 150,TK. 98,https://rokomari.com//book/116522/fathul-mugeech,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/3c88344186f4_116522.gif,"",ফাতহুল মুগীছ, , ,মাওলানা আব্দুল আওয়াল,ফয়েজিয়া কুতুবখানা, ,"1st Published,2014",168,বাংলাদেশ,বাংলা
রিয়াযুল মুন্‌’ইম শরহে নাহবেমীর,মাওলানা মুফতী ফরীদু্দ্দীন,TK. 200,TK. 130,https://rokomari.com//book/110389/riazul-munyem-sharhe-nahu-mir,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/6c9890a291c4_110389.gif,"",রিয়াযুল মুন্‌’ইম শরহে নাহবেমীর,"মাওলানা মুফতী ফরীদু্দ্দীন,মুফতী হিফজুর রহমান", ,মাওলানা মুফতী ফরীদু্দ্দীন,Foyezia Kutubkhana, , ,182,Bangladesh,Bangla & Arabic
সহজ বাংলা ফয়জুল কালাম,মুফতী মোহাম্মদ আব্দুর রাজ্জাক হোসাইনী,TK. 420,TK. 273,https://rokomari.com//book/46480/sohoj-bangla-foyjul-kalam,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/a7b47c709_46480.jpg,"",সহজ বাংলা ফয়জুল কালাম,"মুফতী মোহাম্মদ আব্দুর রাজ্জাক হোসাইনী,মাওলানা মুহাম্মাদ ফয়জুল্লাহ",মুফতী মোহাম্মদ আব্দুর রাজ্জাক হোসাইনী, ,ফয়েজিয়া কুতুবখানা, ,"1st Edition,2009",544,বাংলাদেশ,বাংলা
স্বপ্নের তা’বীর,মাওলানা শেখ রফিকুল ইসলাম সিরাজী,TK. 280,TK. 182,https://rokomari.com//book/46471/swopner-tabir,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/f01ce5b8d_46471.jpg,"",স্বপ্নের তা’বীর,"মাওলানা শেখ রফিকুল ইসলাম সিরাজী,আল্লামা মুহাম্মদ ইবনে সীরীন (রহ.)",মাওলানা শেখ রফিকুল ইসলাম সিরাজী, ,ফয়েজিয়া কুতুবখানা, ,"2nd Print,2015",384,বাংলাদেশ,বাংলা
সহজ বাংলা গুলিস্থা,মাওলানা ইসমাইল বুখারী,TK. 160,TK. 104,https://rokomari.com//book/46479/sohoj-bangala-gulishta,https://ds.rokomari.store/rokomari110/ProductNew20190903/130X186/img_46479.GIF,"",সহজ বাংলা গুলিস্থা,মাওলানা ইসমাইল বুখারী, , ,ফয়েজিয়া কুতুবখানা, , , ,বাংলাদেশ,বাংলা
