Title,Author,Original Price,Discounted Price,URL,Summary,Book_Title,Book_Author,Translator,Editor,Publisher,ISBN,Edition,Number Of Pages,Country,Language
ABCL IELTS Prep Software Package ,এস. এম. জাকির হুসাইন,"TK. 3,000","TK. 2,850",https://rokomari.com//book/87385/abcl-ielts-prep-software-package,"",ABCL IELTS Prep Software Package,S. M. Zakir Hussain, , ,ABCL (Ahsania Books for creative learning), , , ,Bangladesh,English
ABCL Creative Writing and Listening,এস. এম. জাকির হুসাইন,"TK. 1,500","TK. 1,425",https://rokomari.com//book/87260/abcl-creative-writing-and-listening,"",ABCL Creative Writing and Listening,S. M. Zakir Hussain, , ,ABCL (Ahsania Books for creative learning), , , ,Bangladesh,English
A Passage to the English Grammar and Composition -Volume-1 :Grammar,এস. এম. জাকির হুসাইন,TK. 620,TK. 527,https://rokomari.com//book/87199/a-passage-to-the-english-grammar-and-composition--volume-1--grammar,"",A Passage to the English Grammar and Composition -Volume-1 :Grammar,S. M. Zakir Hussain, , ,ABCL (Ahsania Books for creative learning), ,"1st Published,2013",1456,Bangladesh,English
A Passage to the English Grammar (Part-2),এস. এম. জাকির হুসাইন,TK. 550,TK. 468,https://rokomari.com//book/87200/a-passage-to-the-english-grammar--part-2-,"",A Passage to the English Grammar (Part-2),S. M. Zakir Hussain, , ,ABCL (Ahsania Books for creative learning), , , ,Bangladesh,English
ABCL Grammar Analysis and Blank-Filling,এস. এম. জাকির হুসাইন,TK. 250,TK. 213,https://rokomari.com//book/87208/abcl-grammar-analysis-and-blank-filling,"",ABCL Grammar Analysis and Blank-Filling,S. M. Zakir Hussain, , ,ABCL (Ahsania Books for creative learning), , , ,Bangladesh,English
ABCL Academic English Grammar,এস. এম. জাকির হুসাইন,TK. 220,TK. 187,https://rokomari.com//book/87209/abcl-academic-english-grammar,"",ABCL Academic English Grammar,S. M. Zakir Hussain, , ,ABCL (Ahsania Books for creative learning), , ,648,Bangladesh,English
ABCL English Structures ,এস. এম. জাকির হুসাইন,TK. 120,TK. 106,https://rokomari.com//book/87222/abcl-english-structures,"",ABCL English Structures,S. M. Zakir Hussain, , ,ABCL (Ahsania Books for creative learning), , ,120,Bangladesh,English
The English Sentence,এস. এম. জাকির হুসাইন,TK. 200,TK. 176,https://rokomari.com//book/87224/the-english-sentence,"",The English Sentence,S. M. Zakir Hussain, , ,ABCL (Ahsania Books for creative learning), , ,264,Bangladesh,English
ABCL Creative Speaking & Listening,এস. এম. জাকির হুসাইন,TK. 220,TK. 187,https://rokomari.com//book/87228/abcl-creative-speaking---listening,"",ABCL Creative Speaking & Listening,S. M. Zakir Hussain, , ,ABCL (Ahsania Books for creative learning), , ,344,Bangladesh,English
সৃজনশীল চিন্তা এবং বুদ্ধিমত্তা বিকাশের কৌশল ,এস. এম. জাকির হুসাইন,TK. 120,TK. 106,https://rokomari.com//book/87233/srijonshi-chintar-abong-buddhimotta-bikasher-koushol,"",সৃজনশীল চিন্তা এবং বুদ্ধিমত্তা বিকাশের কৌশল,এস. এম. জাকির হুসাইন, , ,এবিসিএল (আহসানিয়া বুকস ফর ক্রিয়ের্টিভ লানিং), , ,136,বাংলাদেশ,বাংলা
Techniques for Smart Reading and Deep Thinking,এস. এম. জাকির হুসাইন,TK. 190,TK. 167,https://rokomari.com//book/87239/techniques-for-smart-reading-and-deep-thinking,"",Techniques for Smart Reading and Deep Thinking,S. M. Zakir Hussain, , ,ABCL (Ahsania Books for creative learning), , ,256,Bangladesh,English
ABCL Creative Math Multimedia ,এস. এম. জাকির হুসাইন,TK. 300,TK. 255,https://rokomari.com//book/87265/abcl-creative-math-multimedia,"",ABCL Creative Math Multimedia,S. M. Zakir Hussain, , ,ABCL (Ahsania Books for creative learning), , , ,Bangladesh,English
ABCL English Grammar Multimedia,এস. এম. জাকির হুসাইন,"TK. 1,500","TK. 1,275",https://rokomari.com//book/87269/abcl-english-grammar-multimedia,"",ABCL English Grammar Multimedia,S. M. Zakir Hussain, , ,ABCL (Ahsania Books for creative learning), , , ,Bangladesh,English
ABCL English Grammar and Composition volume-2 ,এস. এম. জাকির হুসাইন,TK. 550,TK. 468,https://rokomari.com//book/87386/abcl-english-grammar-and-composition-volume-2,"",ABCL English Grammar and Composition volume-2,S. M. Zakir Hussain, , ,ABCL (Ahsania Books for creative learning), , , ,Bangladesh,English
ABCL English Grammar and Composition volume-1,এস. এম. জাকির হুসাইন,TK. 620,TK. 527,https://rokomari.com//book/87387/abcl-english-grammar-and-composition-volume-1,"",ABCL English Grammar and Composition volume-1,S. M. Zakir Hussain, , ,ABCL (Ahsania Books for creative learning), , , ,Bangladesh,English
