Title,Author,Original Price,Discounted Price,URL,Summary,Book_Title,Book_Author,Translator,Editor,Publisher,ISBN,Edition,Number Of Pages,Country,Language
Secularism Under Siege: Revisiting the Indian Secular State,জহির আলি,"","TK. 2,151",https://rokomari.com//book/147084/secularism-under-siege--revisiting-the-indian-secular-state,"",Secularism Under Siege: Revisiting the Indian Secular State,Zaheer Ali, , ,Aakar Books,9789350024164,"1st Edition,2016",416,India,English
"Intersections in Sociology, Art and Art History: A Conversation With Parul Dave-Mukherji",ডেভ নাথ পাঠাক,"",TK. 225,https://rokomari.com//book/147071/intersections-in-sociology--art-and-art-history--a-conversation-with-parul-dave-mukherji,"","Intersections in Sociology,Art and Art History: A Conversation With Parul Dave-Mukherji",Dev Nath Pathak, , ,Aakar Books,9789350024416,"1st Edition,2016", ,India,English
The Child and the Curriculum and Other Educational Essays,জন ডিবি,"",TK. 531,https://rokomari.com//book/147091/the-child-and-the-curriculum-and-other-educational-essays,"",The Child and the Curriculum and Other Educational Essays,John Dewey, , ,Aakar Books,9789350024027,"1st Edition,2016",160,India,English
Lise : Lbrary And Information Science Education (LISE) Based On UGC-CBCS Guideline,প্রাভাকার রাথ,"",TK. 540,https://rokomari.com//book/147099/lise---lbrary-and-information-science-education--lise--based-on-ugc-cbcs-guideline,"",Lise : Lbrary And Information Science Education (LISE) Based On UGC-CBCS Guideline,Pravakar Rath, , ,Aakar Books,9789350023976,"1st Edition,2016", ,India,English
What Happened in History? ,ভি. গর্ডন চিল্ড,"",TK. 531,https://rokomari.com//book/147124/what-happened-in-history-,"",What Happened in History?,V. Gordon Childe, , ,Aakar Books,9789350023693,"1st Edition,2016",288,India,English
Dialectical Materialism: An Introduction,মাউরিস ক্লার্ক ,"",TK. 710,https://rokomari.com//book/158718/dialectical-materialism--an-introduction,"",Dialectical Materialism: An Introduction,Maurice Clerc, , ,Aakar Books,9789350023402, ,207,India,English
Religion and the Rise of Capitalism,আর.এইচ. টউনি,"",TK. 630,https://rokomari.com//book/175401/religion-and-the-rise-of-capitalism,"",Religion and the Rise of Capitalism,R.H. Tawney, , ,Aakar Books,9789350022269,"1st Published,2012",296,India,English
Toward an Anthropology of Women,রায়না আর. রেইটার,"","TK. 1,431",https://rokomari.com//book/165675/toward-an-anthropology-of-women,"",Toward an Anthropology of Women,Rayna R. Reiter, , ,Aakar Books,9789350021620,"1st Edition,2012",413,India,English
Between Equal Rights: A Marxist Theory of International Law,চায়না মেইভিল,"","TK. 1,611",https://rokomari.com//book/147016/between-equal-rights--a-marxist-theory-of-international-law,"",Between Equal Rights: A Marxist Theory of International Law,China Mieville, , ,Aakar Books,9789350024461,"1st Edition,2016", ,India,English
Critical Companion to Contemporary Marxism ,জ্যাকুইস বিডেট,"","TK. 3,231",https://rokomari.com//book/147017/critical-companion-to-contemporary-marxism,"",Critical Companion to Contemporary Marxism,"Jacques Bidet,Stathis Kouvelakis", , ,Aakar Books,9789350024423,"1st Edition,2016", ,India,English
"Exploring Marxs Capital:Philosophical, Economic and Political Dimensions",জ্যাকুইস বিডেট,"","TK. 1,071",https://rokomari.com//book/147018/exploring-marxs-capital-philosophical--economic-and-political-dimensions,"","Exploring Marxs Capital:Philosophical,Economic and Political Dimensions",Jacques Bidet, , ,Aakar Books,9789350022870,"1st Edition,2015",240,India,English
Criticism of Heaven: On Marxism and Theology ,রোনাল্ড বর,"","TK. 1,611",https://rokomari.com//book/147019/criticism-of-heaven--on-marxism-and-theology,"",Criticism of Heaven: On Marxism and Theology,Roland Boer, , ,Aakar Books,9789350022900,"1st Edition,2015",496,India,English
The Meanings of Work: Essays on the Affirmation and Negation of Work,রিকার্ডো অ্যান্টিনি,"",TK. 945,https://rokomari.com//book/147020/the-meanings-of-work--essays-on-the-affirmation-and-negation-of-work,"",The Meanings of Work: Essays on the Affirmation and Negation of Work,Ricardo Antunes, , ,Aakar Books,9789350022931,"1st Edition,2015",220,India,English
The October Revolution in Prospect and Retrospect,জন এরিক ম্যারট,"",TK. 990,https://rokomari.com//book/147021/the-october-revolution-in-prospect-and-retrospect,"",The October Revolution in Prospect and Retrospect,John Eric Marot, , ,Aakar Books,9789350022948,"1st Edition,2015",440,India,English
Marx's Concept of the Alternative to Capitalism,পিটার হুদিস,"","TK. 1,071",https://rokomari.com//book/147022/marx-s-concept-of-the-alternative-to-capitalism,"",Marx's Concept of the Alternative to Capitalism,Peter Hudis, , ,Aakar Books,9789350024447,"1st Edition,2016", ,India,English
Marxism and Social Movements ,আকার বুকস,"","TK. 1,971",https://rokomari.com//book/147023/marxism-and-social-movements,"",Marxism and Social Movements,Aakar Books, , ,Aakar Books,9789350024430,"2nd Edition,2016", ,India,English
"Criticism of Religion: On Marxism and Theology, II ",রোনাল্ড বর,"","TK. 1,305",https://rokomari.com//book/147024/criticism-of-religion--on-marxism-and-theology--ii,"","Criticism of Religion: On Marxism and Theology,II",Roland Boer, , ,Aakar Books,9789350024454,"1st Edition,2016", ,India,English
Althusser: The Detour of Theory,গ্রেগরি এলিয়ট,"","TK. 1,485",https://rokomari.com//book/147025/althusser--the-detour-of-theory,"",Althusser: The Detour of Theory,Gregory Elliott, , ,Aakar Books,9789350022924,"1st Edition,2014",434,India,English
The Theory of Revolution in the Young Marx,মাইকেল লোয়ে,"",TK. 765,https://rokomari.com//book/147026/the-theory-of-revolution-in-the-young-marx,"",The Theory of Revolution in the Young Marx,Michael Lowy, , ,Aakar Books,9789350022894,"1st Edition,2015",328,India,English
Making History,অ্যালেক্স কলিনিকস,"","TK. 1,071",https://rokomari.com//book/147027/making-history,"",Making History,Alex Callinicos, , ,Aakar Books,9789350022917,"1st Edition,2015",350,India,English
Marxism and Ecological Economics: Toward a Red and Green Political Economy,পল বার্কেট,"",TK. 891,https://rokomari.com//book/147028/marxism-and-ecological-economics--toward-a-red-and-green-political-economy,"",Marxism and Ecological Economics: Toward a Red and Green Political Economy,Paul Burkett, , ,Aakar Books,9789350022115,"1st Edition,2013", ,India,English
Theory as History: Essays on Modes of Production and Exploitation,জাইরাস ব্যানাজি,"",TK. 945,https://rokomari.com//book/147029/theory-as-history--essays-on-modes-of-production-and-exploitation,"",Theory as History: Essays on Modes of Production and Exploitation,Jairus Banaji, , ,Aakar Books,9789350022139,"1st Edition,2013",406,India,English
The New Dialectic and Marx's Capital,ক্রিস্টোফার জন আর্থার,"",TK. 810,https://rokomari.com//book/147030/the-new-dialectic-and-marx-s-capital,"",The New Dialectic and Marx's Capital,Christopher John Arthur, , ,Aakar Books,9789350022092,"1st Edition,2013", ,India,English
Lenin Rediscovered: What is to be Done? In Context ,লার্স টি লিহ,"","TK. 2,691",https://rokomari.com//book/147031/lenin-rediscovered--what-is-to-be-done--in-context,"",Lenin Rediscovered: What is to be Done? In Context,Lars T. Lih, , ,Aakar Books,9789350022108,"1st Edition,2013", ,India,English
"The Gramscian Moment: Philosophy, Hegemony and Marxism",পিটার ডি থমাস,"","TK. 1,071",https://rokomari.com//book/147032/the-gramscian-moment--philosophy--hegemony-and-marxism,"","The Gramscian Moment: Philosophy,Hegemony and Marxism",Peter D. Thomas, , ,Aakar Books,9789350022122,"1st Edition,2014",504,India,English
The Entropy of Capitalism (Studies in Critical Social Sciences),রবার্ট বিয়েল,"","TK. 1,611",https://rokomari.com//book/147033/the-entropy-of-capitalism--studies-in-critical-social-sciences-,"",The Entropy of Capitalism (Studies in Critical Social Sciences),Robert Biel, , ,Aakar Books,9789350024409,"1st Edition,2016", ,India,English
The Cuban Revolution as Socialist Human Development (Studies in Critical Social Sciences),হেনরি ভেল্টিমার,"","TK. 1,611",https://rokomari.com//book/147034/the-cuban-revolution-as-socialist-human-development--studies-in-critical-social-sciences-,"",The Cuban Revolution as Socialist Human Development (Studies in Critical Social Sciences),"Henry Veltmeyer,Mark Rushton", , ,Aakar Books,9789350024393,"1st Edition,2016", ,India,English
