Title,Author,Original Price,Discounted Price,URL,Summary,Book_Title,Book_Author,Translator,Editor,Publisher,ISBN,Edition,Number Of Pages,Country,Language
হুজুরের বউ,খাদিজা বিনতে মুজ্জাম্মিল,TK. 240,TK. 144,https://rokomari.com//book/171143/hujurer-bow,"",হুজুরের বউ,খাদিজা বিনতে মুজ্জাম্মিল, , ,আবরণ প্রকাশন, ,"1st Published,2018",142,বাংলাদেশ,বাংলা
হুজুরের অপেক্ষায়...,খাদিজা বিনতে মুজ্জাম্মিল,TK. 260,TK. 156,https://rokomari.com//book/182743/hujurer-opekkhaya---,"",হুজুরের অপেক্ষায়...,খাদিজা বিনতে মুজ্জাম্মিল, , ,আবরণ প্রকাশন, ,"1st Published,2019",144,বাংলাদেশ,বাংলা
গল্পে গল্পে একদিন,আবু সা’আদ,TK. 130,TK. 78,https://rokomari.com//book/192075/golpe-golpe-ekdin,"",গল্পে গল্পে একদিন,আবু সা’আদ, , ,আবরণ প্রকাশন, ,"1st Published,2019",80,বাংলাদেশ,বাংলা
নুড়ি পাথরের দ্বীপ,আবু সা’আদ,TK. 180,TK. 108,https://rokomari.com//book/192074/nuri-pathorer-dwip,"গল্প পড়তে ভালোবাসেন এমন ছোট বড় সকলের জন্য এই বইটি। এখানে ২৯টি অনুপ্রেরণামূলক জ্ঞানের গল্প দিয়ে সাজানো হয়েছে। বেশ চমৎকার কিছু গল্প, শিশু-কিশোরদের পড়ে শোনানো যায় আবার তরুণ তরুণী উপহার হিসেবেও দেয়ায় যায় এই বইটি। আপনার মুসলিম সন্তানের জন্য আদর্শ বই।",নুড়ি পাথরের দ্বীপ,আবু সা’আদ, , ,আবরণ প্রকাশন, ,"1st Published,2019",128,বাংলাদেশ,বাংলা
আফগান নারী,হাসান মুহাম্মদ সানাউল্লাহ,TK. 420,TK. 252,https://rokomari.com//book/189188/afgan-nari,"",আফগান নারী,হাসান মুহাম্মদ সানাউল্লাহ, , ,আবরণ প্রকাশন, ,"1st Published,2019",223,বাংলাদেশ,বাংলা
গল্পে আঁকা জ্ঞান,আবু সা’আদ,TK. 150,TK. 90,https://rokomari.com//book/190171/golpe-aaka-gyan,"",গল্পে আঁকা জ্ঞান,আবু সা’আদ, , ,আবরণ প্রকাশন, ,"1st Published,2019",110,বাংলাদেশ,বাংলা
মিয়া বিবি,মাওলানা যুলফিকার আহমদ নকশবন্দী,TK. 450,TK. 270,https://rokomari.com//book/190169/mia-bibi,"সংসার....!
কারো পৌষ মাস আবার কারো সর্বনাশ। বিয়ের পর অনেকেই হাসে আবার অনেকেই জীবন চলার সুর হারিয়ে ফেলে। পাত্র পাত্রী যদি একে অপরের মন মতো না হয় তবে সেই সংসারকে খুব সহজেই জাহান্নামের সাথে তুলনা করা যায়। বিয়ের পর স্বামী স্ত্রী যদি একে অপরের সুখ দুঃখের সাথী না হয় তবে সেই সংসারে সুখ আশা করা কোনোদিন সম্ভব নয়। পারিবারিক কোলাহল এড়িয়ে সংসার সাজাতে কার না ভলো লাগে! যে জীবনে পাওয়া যায় জান্নাতের ঘ্রাণ, সবারই এমন দাম্পত্য জীবনের আকাঙ্ক্ষা থাকে তবে সেই পথ অনুসরণ করে চলার সৌভাগ্য হয় ক'জনার। সেই কাঙ্ক্ষিত সংসার লাভের জন্য মিয়াজি মিয়া বিবির করণীয় ও বর্জনীয় বিষয়গুলোকে মানব কল্যানে কলমের শৈলীতে কারুখচিত করেছেন।",মিয়া বিবি,মাওলানা যুলফিকার আহমদ নকশবন্দী,মুফতী মাহদী হাসান, ,আবরণ প্রকাশন, ,"1st Published,2019",288,বাংলাদেশ,বাংলা
প্রাসাদ ষড়যন্ত্র,এনামুল করীম ইমাম,TK. 420,TK. 252,https://rokomari.com//book/193984/prasad-shorojontro,"",প্রাসাদ ষড়যন্ত্র,এনামুল করীম ইমাম, , ,আবরণ প্রকাশন, ,"1st published,2020",240,বাংলাদেশ,বাংলা
বিশ্বাসের দর্শন,ডাঃ মোঃ মাহবুবুল হাসান রনি,TK. 270,TK. 230,https://rokomari.com//book/193985/bissaser-dorshon,"",বিশ্বাসের দর্শন,ডাঃ মোঃ মাহবুবুল হাসান রনি, , ,আবরণ প্রকাশন, ,"1st published,2019",160,বাংলাদেশ,বাংলা
বীরাঙ্গনা,সালিম আব্দুল্লাহ,TK. 260,TK. 156,https://rokomari.com//book/193983/birangona,"""বীরাঙ্গনা"" বইয়ের সংক্ষিপ্ত লেখা:

নারী সাহাবিদের জীবনী নিয়ে অনেক বই লেখা হয়েছে। অনেক অনুবাদ, অনেক মৌলিক বই পাঠক মহলে ব্যাপক সাড়া পেয়েছে। তন্মধ্যে এমন সাহাবিয়াদের জীবনীও আছে, যাঁরা জিহাদের ময়দানে দৃঢ়তা ও অবিচলতার নতুন ইতিহাস রচনা করেছেন। আহতদের জখমে পট্টি বেঁধেছেন। তাঁদেরকে পানি পান করিয়েছেন। যুদ্ধকালে মুজাহিদদের সাহস যুগিয়েছেন।
কিন্তু এতশত বইয়ের ভিড়ে নারী সাহাবিদের জীবনী সম্বলিত এমন একটি বইও আমার চোখে পড়েনি যাঁরা মুজাহিদদের কাঁধে কাঁধ মিলিয়ে সশস্ত্র যুদ্ধ করেছেন; যাঁদের রণহুংকারে বাতিলের তখত-তাকাত থরথর করে কেঁপেছে। আমি খুঁজেছি। অনেক খুঁজেছি। স্যোশাল মিডিয়ায়, বিভিন্ন প্রকাশনে, বই বোদ্ধাদের কাছে। কিন্তু পাইনি কোথাও। আপনারা পেয়েছেন কী?
তাই বইটিতে এমন বারোজন যোদ্ধা সাহাবিয়াদের জীবনী তুলে ধরেছি, রণাঙ্গনে যাঁরা সশস্ত্র যুদ্ধ করেছেন। যুদ্ধে এমন বীরত্ব প্রদর্শন করেছেন, যা দেখে পুরুষরাও ঈর্ষান্বিত হয়েছেন। রণাঙ্গনে তাঁদের রুদ্রমূর্তি দেখে অনেকে বলেও ফেলেছেন, 'যোদ্ধা নিশ্চয় খালিদ হবেন বা কোনো ফেরেশতা।' 
বইটিতে উল্লেখ আছে খোদার রাহে শাহাদাত অর্জনকারী নারী সাহাবির জীবনী।",বীরাঙ্গনা,সালিম আব্দুল্লাহ, , ,আবরণ প্রকাশন, ,"1st published,2020",160,বাংলাদেশ,বাংলা
নাস্তিক নন্দিনী,মতিউর রহমান ,TK. 240,TK. 144,https://rokomari.com//book/192072/nastik-nondini,"""নাস্তিক নন্দিনী"" বইয়ের পিছনের লেখা:
ধর্ম মানুষের অন্যায় অপকর্মগুলাে চোখে আঙুল দিয়ে দেখিয়ে দেয় এবং ভয়ানক, জঘন্য সব কর্ম থেকে ফিরিয়ে রাখে। অধর্ম-নাস্তিকতা অন্যায়-অপকর্মের সবগুলাে দ্বার উন্মুক্ত করে দেয়; এবং জঘন্য সব অপকর্মের প্রতি উৎসাহ যােগায়। সভ্যতা, আধুনিকতা আর বিজ্ঞানমুখীতার নামে নাস্তিকতাকে সূক্ষ্মভাবে যেরূপে চালিয়ে ধোঁকা দেওয়া হচ্ছে, এতাে বড় ধোঁকা অন্য কোথাও নেই। ‘সভ্যতা’ যদি নগ্ন হওয়া বা থাকাকে বলা হয়, তাহলে মানুষের চেয়ে অন্য সব প্রাণী বেশি সভ্য। ‘আধুনিকতা’ মানে যদি অবাধ যৌনজীবন আর ‘স্বাধীনতার মানে যদি বাপ-বেটি, মাতা-পুত্র আর ভাই-বােনের মাঝে বাধাহীন যৌনাচারও বৈধ হয়, তাহলে নিম্ন শ্রেণীর একটা জন্তু অনেক বেশি আধুনিক। সবচেয়ে বেশি স্বাধীন। বিজ্ঞানমুখীতা মানে ধর্মহীনতা নয়। ধর্মের সাথে বিজ্ঞানের বিসর্গ-বিন্দু। পরিমাণও দ্বন্দ্ব নেই। ‘ধর্ম আর বিজ্ঞানের মাঝে রয়েছে চিরন্তন দ্বন্দ্ব’ এমনটা যারা বলে। থাকেন, অবশ্যই তাদের জ্ঞানের ঘাটতি রয়েছে। ‘নাস্তিকতা’ নামের এই মতবাদের মত এত বড় সর্বনাশ মানব জাতির ইতিহাসে মানব জাতির অন্য কোনাে মতবাদ করতে পারেনি। এই মতবাদটা মানবতাকে সর্বনাশের শেষ পর্যন্ত পৌঁছে দিয়েছে। লেলিন, স্টালিন, মাও সে তুং, পল পট, কিম ইন সাং, মেন পিশটু হেইলি মারিয়াম, এরা তার জ্বলন্ত প্রমাণ। উপন্যাসে সেই পটভূমিকেই তুলে ধরা হয়েছে।",নাস্তিক নন্দিনী,মতিউর রহমান, , ,আবরণ প্রকাশন, ,"1st Published,2019",144,বাংলাদেশ,বাংলা
মুসলিম গোয়েন্দা বাবু -১ম ও ২য় খণ্ড একত্রে,রফিক আহমেদ,TK. 460,TK. 276,https://rokomari.com//book/187479/muslim-goyenda-babu-1st-o-2nd-khondo-ekotre--kishor-goyenda-series-,"",মুসলিম গোয়েন্দা বাবু -১ম ও ২য় খণ্ড একত্রে,রফিক আহমেদ, , ,আবরণ প্রকাশন, ,"1st Published,2019",288,বাংলাদেশ,বাংলা
জন্মহীন শিশু,খাদিজা বিনতে মুজ্জাম্মিল,TK. 260,TK. 156,https://rokomari.com//book/189189/jonmohin-shisho,"",জন্মহীন শিশু,খাদিজা বিনতে মুজ্জাম্মিল, , ,আবরণ প্রকাশন, ,"1st Published,2019",143,বাংলাদেশ,বাংলা
আলীবাবা ও ৪১ দুর্নীতিবাজ,এনামুল করীম ইমাম,TK. 180,TK. 108,https://rokomari.com//book/189181/alibaba-o-41-durnitibaj,"",আলীবাবা ও ৪১ দুর্নীতিবাজ,এনামুল করীম ইমাম, , ,আবরণ প্রকাশন, ,"1st Published,2019",96,বাংলাদেশ,বাংলা
কুরআন আপনার সমাধান,হারুন ইয়াহইয়া,TK. 300,TK. 180,https://rokomari.com//book/189190/quran-apnar-somadhan,"",কুরআন আপনার সমাধান,হারুন ইয়াহইয়া,আকরাম হোসাইন, ,আবরণ প্রকাশন, ,"1st Published,2019",174,বাংলাদেশ,বাংলা
ইনতেজার,রাহাত হোসাইন,TK. 200,TK. 120,https://rokomari.com//book/187432/intejar,"",ইনতেজার,রাহাত হোসাইন, , ,আবরণ প্রকাশন, ,"1st Published,2019",112,বাংলাদেশ,বাংলা
মহাপাপ,ইমাম আয-যাহাবী রহ.,TK. 280,TK. 168,https://rokomari.com//book/187478/mohapap,"",মহাপাপ,ইমাম আয-যাহাবী রহ.,মুফতী মাহদী হাসান, ,আবরণ প্রকাশন, ,"1st Published,2019",158,বাংলাদেশ,বাংলা
কেয়ামতের আগে,মাওলানা শরীফ আনোয়ার (রহ.),TK. 280,TK. 168,https://rokomari.com//book/189184/keyamoter-age,"",কেয়ামতের আগে,মাওলানা শরীফ আনোয়ার (রহ.), , ,আবরণ প্রকাশন, ,"1st Published,2019",159,বাংলাদেশ,বাংলা
গল্পগুলো গপ্পো নয়,সালিম আব্দুল্লাহ,TK. 280,TK. 168,https://rokomari.com//book/192073/golpogolo-goppo-noy,"",গল্পগুলো গপ্পো নয়,সালিম আব্দুল্লাহ, ,মুহাম্মাদ তাশফীন,আবরণ প্রকাশন, ,"1st Published,2019",159,বাংলাদেশ,বাংলা
হ্যামফারের ডায়েরি ,নাসিরুদ্দীন সাদ,TK. 200,TK. 130,https://rokomari.com//book/202810/hamfarer-dairy,"বইটি একজন ইংরেজ গোয়েন্দার ব্যক্তিগত ডায়েরি৷ যেখানে সে জীবনের গল্পগুলো লিখে রাখতো৷ লিখে রাখতো তার সফলতা ও ব্যর্থতার গল্পগুলো৷ কীভাবে মুসলিম জাতিকে ধ্বংস করে ব্রিটিশ সাম্রাজ্যের বিস্তৃতি ঘটিয়েছিলো সেসব গোপন বিষয়গুলোও লিখে রেখেছিলো সযতনে৷ কীভাবে গোপনে মুসলমানদের দুর্বলতাগুলো চিহ্নিত করে কঠিন আঘাত হেনেছিল মুসলমানদের উপর তার বিবরণও ছিলো৷ যার কর্মফলেই খুব সহজেই ইসলামি খেলাফত ধ্বংস করা সম্ভব হয়৷ 
বক্ষমান ডায়েরিটি ইতিহাসের এক নীরব সাক্ষী৷ এর পাতায় পাতায় আঁকা আছে মুসলিম জাতির ধ্বংসের কারণসমূহ৷ কেন আজ মুসলিমরা ধ্বংস হলো? এর পিছনের সব কারণগুলো খুঁজে পাবেন ডায়েরিটিতে৷
বইটি আমাদেরকে ইতিহাস থেকে শিক্ষা নিয়ে অতীতের ভুল থেকে বেঁচে থাকার জানান দিয়ে যায়৷",হ্যামফারের ডায়েরি, ,নাসিরুদ্দীন সাদ, ,আবরণ প্রকাশন, ,"1st Published,2020",96,বাংলাদেশ,বাংলা
