Title,Author,Original Price,Discounted Price,URL,Summary,Book_Title,Book_Author,Translator,Editor,Publisher,ISBN,Edition,Number Of Pages,Country,Language
লিভিং উইথ অনার ,শিব খেরা ,TK. 160,TK. 120,https://rokomari.com//book/159595/living-with-honour,"",লিভিং উইথ অনার,শিব খেরা,কাজী মসিউর রহমান, ,আবরার পাবলিকেশন্স,9789849253419,"1st Published,2018",119,বাংলাদেশ,বাংলা
দ্য আলকেমিস্ট,পাওলো কোয়েলহো,TK. 160,TK. 120,https://rokomari.com//book/182875/the-alchemist,"",দ্য আলকেমিস্ট,পাওলো কোয়েলহো,মোঃ ফরহাদ হোসেন (সাজু), ,আবরার পাবলিকেশন্স,9789849253433,"1st Published,2019",112,বাংলাদেশ,বাংলা
কেন আমি ধর্ম বিশ্বাসী নই,বার্ট্রান্ড রাসেল,TK. 200,TK. 150,https://rokomari.com//book/134975/kano-ami-dormo-bessashe-noy,"",কেন আমি ধর্ম বিশ্বাসী নই,বার্ট্রান্ড রাসেল,মোঃ সাত্তার হোসেন, ,আবরার পাবলিকেশন্স,9789849253549,"1st Published,2017",171,বাংলাদেশ,বাংলা
ছড়াসমগ্র,সুকুমার রায়,TK. 200,TK. 150,https://rokomari.com//book/135001/sorasomogro,"",ছড়াসমগ্র,সুকুমার রায়,সত্যজিৎ রায়, ,আবরার পাবলিকেশন্স,9789849253617,"1st Published,2019",128,বাংলাদেশ,বাংলা
ভোলগা থেকে গঙ্গা (দুইপর্ব এক সঙ্গে),রাহুল সাংকৃত্যায়ন,TK. 370,TK. 278,https://rokomari.com//book/159598/volga-theke-gonga---duiporbo-eak-songe-,"",ভোলগা থেকে গঙ্গা (দুইপর্ব এক সঙ্গে),রাহুল সাংকৃত্যায়ন,শ্রী মহাদেব প্রসাদ সাহা, ,আবরার পাবলিকেশন্স,9789849253754,"1st Published,2018",333,বাংলাদেশ,বাংলা
ফ্রিডম ইজ নট ফ্রি,শিব খেরা ,TK. 230,TK. 173,https://rokomari.com//book/159574/freedom-is-not-free,"",ফ্রিডম ইজ নট ফ্রি,শিব খেরা, , ,আবরার পাবলিকেশন্স,9789849253426,"1st Published,2018",184,বাংলাদেশ,বাংলা
ট্রেন টু পাকিস্তান ,খুশবন্ত সিং,TK. 200,TK. 150,https://rokomari.com//book/159573/tren-to-pakistan,"",ট্রেন টু পাকিস্তান,খুশবন্ত সিং, , ,আবরার পাবলিকেশন্স,9789849253748,"1st Published,2018",159,বাংলাদেশ,বাংলা
গল্পসমগ্র,সুকুমার রায়,TK. 300,TK. 225,https://rokomari.com//book/135002/golposomogro,"",গল্পসমগ্র,সুকুমার রায়,সত্যজিৎ রায়, ,আবরার পাবলিকেশন্স,9789849253600,"1st Published,2019",237,বাংলাদেশ,বাংলা
স্তালিন,রাহুল সাংকৃত্যায়ন,TK. 270,TK. 203,https://rokomari.com//book/135014/stalin,"",স্তালিন,রাহুল সাংকৃত্যায়ন, , ,আবরার পাবলিকেশন্স,9789849253716,"1st Published,2017",216,বাংলাদেশ,বাংলা
মানুষের কি কোনো ভবিষ্যত আছে?,বার্ট্রান্ড রাসেল,TK. 120,TK. 90,https://rokomari.com//book/135003/manuser-ki-kono-vobeshot-ace-,"",মানুষের কি কোনো ভবিষ্যত আছে?,বার্ট্রান্ড রাসেল,মোঃ সাত্তার হোসেন, ,আবরার পাবলিকেশন্স,9789849253525,"1st Published,2017",87,বাংলাদেশ,বাংলা
