Title,Author,Original Price,Discounted Price,URL,Summary,Book_Title,Book_Author,Translator,Editor,Publisher,ISBN,Edition,Number Of Pages,Country,Language
ধর্ম ও শিষ্টাচার ,হাকীমুল ইসলাম কারী মুহাম্মদ তৈয়ব রহ.,TK. 30,TK. 18,https://rokomari.com//book/155810/dhan-dhormo-o-atthodarshon----------------------------------------------by------------,"""ধর্ম ও শিষ্টাচার ""বইটির ভূমিকা:
الحمد لله الذي جعلنا من امة سيد المرسلين وخاتم النبین وجعلنا من السالكين مسلك علماء دیوبند والصلواة والسلام على معلم الجن والانس النبي الاكرم وعلى اله واصمابه أجعين -
| ২। বিশ্ববিখ্যাত ইসলামী বিদ্যাপীঠ, দারুল উলুম দেওবন্দ মাদরাসা একটি ইলহামী দ্বীনি মারকায, যার প্রত্যেক রুহানী সন্তান বহুমুখী প্রতিভার অধিকারী ছিলেন। তেমনি হাকীমুল ইসলাম আল্লামা ক্বারী তায়্যেব সাহেব (রহ.) সেই দেওবন্দ মাদরাসার একজন সুযােগ্য রুহানী সন্তান। যিনি সুদীর্ঘ পঞ্চাশ বছর দারুল উলুম দেওবন্দ মাদরাসার মকবুল পদ’ মুহতামিমের দায়িত্ব সুষ্ঠভাবে পালন করেছিলেন। যার বয়ান ও লিখনি পথহারা উম্মতে মুসলিমার জন্য অন্যতম রাহবর তুল্য। হযরতরেই একটি বয়ানের সংকলন দ্বীন আওর আদব’ যা কুরআন ও হাদিসে তত্ত্বপূর্ণ, আকাবিরীনের বিভিন্ন ঘটনা সম্বলিত। যেহেতু বর্তমানে আহলেহক উলামায়ে কেরাম আলহামদুলিল্লাহ’ মাতৃভাষা বাংলা চর্চার প্রতি বেশী গুরুত্ব দিয়েছেন। পক্ষান্তরে হযরত হাকীমুল ইসলামের (রাহ.) এই বয়ানটি আদব-মিষ্টাচারিতার ব্যাপারে খুবই উপকারী হবে বলে আমার একান্ত বিশ্বাস। সেই বিবেচনায় ইহার নুিবাদের কাজে হাত দিয়েছি। অনুবাদের পান্ডুলিপি তৈরির পর ছাপানাের জন্য ইউনুছিয়া লাইব্রেরী সত্তাধিকারী মােঃ বশির আহমদ এর প্রচেষ্টায় আল-মাহমুদ। প্রকাশনী এর পরিচালক বন্ধুবর মাওলানা নূরুল্লাহর সঙ্গে যােগাযােগ হওয়ার পর তিনি ছাপানাের দায়িত্ব নেন। আমি মানুষ হিসেবে ভুলের ঊর্ধ্বে নয়। অনুবাদ কাজে কোথাও ভুলত্রুটি দৃষ্টিগােচর হলে অবগত করালে কৃতজ্ঞ থাকব। পরবর্তী সংস্করণে সংশােধনের তওয়াদা রইল ইনশাআল্লাহ। পরিশেষে সকলের শুকরিয়া জ্ঞাপন করছি। আল্লাহ পাক সকলকে উত্তম জাযাদান করুন। পরকালের নাজাতের উছিলায়। বানিয়ে দিন। আমীন!
سیدالمرسلين وخاتم النبیین صلی الله عليه وسلم .",ধর্ম ও শিষ্টাচার,হাকীমুল ইসলাম কারী মুহাম্মদ তৈয়ব রহ., ,আল্লামা মুফতী মুবারকুল্লাহ,আল মাহমুদ প্রকাশন, ,"1st Published,2012",32,বাংলাদেশ,বাংলা
বিষয় ভিত্তিক আয়াত ও হাদীস,عبد الحفيظ بن عبد الرؤوف (মাওলানা আব্দুল হাফীজ বিন আব্দুর রউফ),TK. 700,TK. 420,https://rokomari.com//book/128305/bisoybitti-ayaet-o-hadith,"",বিষয় ভিত্তিক আয়াত ও হাদীস,عبد الحفيظ بن عبد الرؤوف (মাওলানা আব্দুল হাফীজ বিন আব্দুর রউফ), , ,আল মাহমুদ প্রকাশন, ,"4th Edition,2013",799,বাংলাদেশ,বাংলা
রমজানের ইতিহাস তাৎপয ও ফজিলত,মাওলানা মহিউদ্দীন,TK. 90,TK. 54,https://rokomari.com//book/67552/romjaner-ithas-tatporjo-o-fozilot,"সূচিপত্র*
সিয়াম শব্দের ব্যাখ্যা* 
রোজার ইতিহাস* 
রোজা ফরজ হওয়ার তারিখ ও সময়* 
রোজার হেকমত* 
সিয়াম বহুবিদ রোগের প্রতিরোধক* 
রোজাদার সার্বক্ষণই আল্লাহ তা’আলার ইবাদতের অন্তর্ভূক্ত* 
সিয়াম আল্লাহর নৈকট্য লাভের অন্যতম মাধ্যম* 
রোযা কুরআন নাযিলের কৃতজ্ঞতার বহিঃপ্রকাশ* 
 অন্যান্য পাঁচ সিয়াম* 
পবিত্র কোরআনের পূর্ববর্তী উম্মতের আলোচনার রহস্য* 
নামায ও রোযার অবস্থার পরিবর্তন* 
রোযার স্তর সমূহ* 
রোযা পালন কারীর দুই স্তর* 
রোযা আদায়কারীরর করণীয় আদব সমূহ* 
নফছ কাবু করার জন্য তিনটি জিনিসের প্রয়োজন* 
রোযা কবুলের শর্ত* 
নবীগণের রোযা* 
রমজানের ফযিলত* 
সমস্ত কিতাব রমযান মাসেই অবতীর্ণ হয়েছে* 
মনীষীদের দৃষ্টিতে রোযা* 
মাহে রমযান সম্পর্কে আব্দুল কাদির জিলানী (রহ.) এর উপদশে* 
ইসলামের ঈদ সংস্কৃতি* 
ঈদের নামায ও তার সংক্ষিপ্ত নিয়ম* 
ঈদের নামায মোট তাকবীর কয়টি হবে* 
তাবকীর সংক্রান্ত সাহাবায়ে কেরামের ফতওয়া ও আমল* 
ঈদের দিনে পালনিয় সুন্নত সমূহ* 
লাইলাতুল কদরের অর্থ* 
যে রাতের কারণে এই মাসের ফজিলত* 
শবে কদরের এর ফজিলত* 
শবে কদর প্রদত্ত্ হওয়ার কারণ* 
লাইলাতুল কদর সম্মানিত হওয়ার রহস্য* 
পবিত্র কুরআনে সূর কদর নাযিল করার কারণ* 
স্মরণ করি সেই ঐশী দূতের মধুর পরশকে* 
মানষ যেকারণে পবিত্ররাতের সঠিক মূল্যায়নে ব্যর্থ* 
 লা্ইলাতুল কদর কবে* 
লাইলাতুল কদর গোপন থাকার রহস্য* 
এ’তেকাফ* 
এ’তেকাফের উদ্দেশ্য ও উপকারিতা* 
এ’তেকাফের বিশেষ দুটি ফজিলত* 
এ’তেকাফ এর প্রকারভেদ* 
এ’তেকাফ ভাঙ্গার কারণ সমূহ* 
যে সমস্ত কাজে এ’তেকাফ কারী বাইরে যেতে পারবে* 
এ’তেকাফ অবস্থায় মুবাহ কাজ সমূহ* 
মহিলাদের এ’তেকাফ* 
জুমআ ও জুমআতুল বিদা* 
দোয়া কবুলের দিন ও সময়* 
জুমআর দিনের বৈশিষ্টাবলি* 
বিজয়ের মাস মাহে রমজান* 
রমজানের বিশেষ আমল* 
কোরআন তিলাওয়াতের আদবসমূহ* 
দানের মর্যাদা সমূহ* 
ভিক্ষুককে না বলো না* 
প্রিয় বস্তু দান* 
সর্বাপ্রেক্ষা বড় দাতা* 
হযরত আয়েশা (রাযি.) এর সদকা* 
জিবরীল (আল.) এর বদদোয়া",রমজানের ইতিহাস তাৎপয ও ফজিলত,মাওলানা মহিউদ্দীন, , ,আল মাহমুদ প্রকাশন, ,"2nd Published,2016",80,বাংলাদেশ,বাংলা
তালিবে ইলমের জীবন ও সাধনা,মাওলানা খন্দকার মুশতাক আহমদ শরীয়তপুরী,TK. 150,TK. 90,https://rokomari.com//book/153390/talibe-elmer-jibon-o-sadhona,"",তালিবে ইলমের জীবন ও সাধনা,"মাওলানা খন্দকার মুশতাক আহমদ শরীয়তপুরী,মাওলানা সিদ্দীক আহমাদ বান্ধবী রহ.",মাওলানা মামূনুর রশীদ,মাওলানা খন্দকার মুশতাক আহমদ শরীয়তপুরী,আল মাহমুদ প্রকাশন, ,"1st Published,2014",94,বাংলাদেশ,বাংলা
তাম্বীহুল গাফেলীন,ফকীহ আবুল লাইস সমরকান্দী (রহ.),TK. 600,TK. 360,https://rokomari.com//book/150436/tambihul-gafelin,"",তাম্বীহুল গাফেলীন,ফকীহ আবুল লাইস সমরকান্দী (রহ.), , ,আল মাহমুদ প্রকাশন, ,"1st Published,2016",720,বাংলাদেশ,বাংলা
আল-মাহমূদ,মাহবুব শিরাজী,TK. 300,TK. 180,https://rokomari.com//book/153394/al-mahmud--tin-vashar-baboharik-shobdokosh-,"",আল-মাহমূদ,মাহবুব শিরাজী, , ,আল মাহমুদ প্রকাশন, ,"1st Published,2013",576,বাংলাদেশ,বাংলা
ইসলাম কি ভূমিকা রাখে?,সাইয়েদ আবুল হাসান আলী নদভী রহ.,TK. 40,TK. 24,https://rokomari.com//book/154180/islam-ki-vumika-rakhe-,"",ইসলাম কি ভূমিকা রাখে?,সাইয়েদ আবুল হাসান আলী নদভী রহ.,মুফতী মাহফূজুর রহমান, ,আল মাহমুদ প্রকাশন, ,"1st Published,2015",40,বাংলাদেশ,বাংলা
বিজ্ঞান ও সূফি দর্শন,মাহফুজুর রহমান,TK. 150,TK. 90,https://rokomari.com//book/153395/biggan-o-sufi-dorshon,"",বিজ্ঞান ও সূফি দর্শন,মাহফুজুর রহমান, , ,আল মাহমুদ প্রকাশন,9747027800043,"1st Published,2010",199,বাংলাদেশ,বাংলা
ধ্বংসের মুখে যুবসমাজ,মাওলানা খায়রুল ইসলাম ফরাজী,TK. 100,TK. 60,https://rokomari.com//book/150438/dhongser-mukhe-jubosomaj,"",ধ্বংসের মুখে যুবসমাজ,মাওলানা খায়রুল ইসলাম ফরাজী, ,হাফেজ মুফতী মিজান বিন মোতাহার,আল মাহমুদ প্রকাশন,9847027800050,"1st Published,2016",96,বাংলাদেশ,বাংলা
আহকামে রমাযান,মুফতী মাহবুবুর রহমান কাফী,TK. 180,TK. 108,https://rokomari.com//book/153387/ahokame-romajan,"",আহকামে রমাযান,মুফতী মাহবুবুর রহমান কাফী, , ,আল মাহমুদ প্রকাশন, ,"1st Published,2015",224,বাংলাদেশ,বাংলা
হযরত শাহ জালাল রহ.,মাওলানা নোমান আহমদ রহ.,TK. 120,TK. 72,https://rokomari.com//book/153396/hozrot-shah-jalal-rh-,"",হযরত শাহ জালাল রহ.,"মাওলানা নোমান আহমদ রহ.,মুফতী বখতিয়ার হোসাইন সরদার", ,মাওলানা নোমান আহমদ রহ.,আল মাহমুদ প্রকাশন,9847027800067,"3rd Edition,2016",112,বাংলাদেশ,বাংলা
